,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,131.05,,,,,2022-08-04 00:00:00+00:00
1,130.32,,,,,2022-08-05 00:00:00+00:00
2,130.72,,,,,2022-08-08 00:00:00+00:00
3,131.45,,,,,2022-08-09 00:00:00+00:00
4,133.66,,,,,2022-08-10 00:00:00+00:00
5,134.69,,,,,2022-08-11 00:00:00+00:00
6,137.44,,,,,2022-08-12 00:00:00+00:00
7,137.02,,,,,2022-08-15 00:00:00+00:00
8,139.02,,,,,2022-08-16 00:00:00+00:00
9,137.46,,,,,2022-08-17 00:00:00+00:00
10,138.77,,,,,2022-08-18 00:00:00+00:00
11,135.48,134.75666666666666,,,,2022-08-19 00:00:00+00:00
12,131.58,134.80083333333334,,,,2022-08-22 00:00:00+00:00
13,132.28,134.96416666666667,,,,2022-08-23 00:00:00+00:00
14,133.3,135.17916666666667,,,,2022-08-24 00:00:00+00:00
15,136.08,135.56500000000003,,,,2022-08-25 00:00:00+00:00
16,131.09,135.35083333333333,,,,2022-08-26 00:00:00+00:00
17,129.47,134.91583333333332,,,,2022-08-29 00:00:00+00:00
18,126.83,134.03166666666667,,,,2022-08-30 00:00:00+00:00
19,127.36,133.2266666666667,,,,2022-08-31 00:00:00+00:00
20,127.67,132.28083333333333,,,,2022-09-01 00:00:00+00:00
21,127.49,131.45000000000002,,,,2022-09-02 00:00:00+00:00
22,126.87,130.45833333333334,,,,2022-09-06 00:00:00+00:00
23,131.18,130.1,,,,2022-09-07 00:00:00+00:00
24,132.97,130.21583333333334,,,,2022-09-08 00:00:00+00:00
25,135.91,130.51833333333335,132.58307692307693,,,2022-09-09 00:00:00+00:00
26,136.65,130.7975,132.79846153846154,,,2022-09-12 00:00:00+00:00
27,130.46,130.32916666666668,132.80384615384617,,,2022-09-13 00:00:00+00:00
28,134.83,130.64083333333335,132.96192307692306,,,2022-09-14 00:00:00+00:00
29,135.24,131.12166666666667,133.1076923076923,,,2022-09-15 00:00:00+00:00
30,130.8,131.45250000000001,132.99769230769232,,,2022-09-16 00:00:00+00:00
31,132.3,131.86416666666668,132.90576923076924,,,2022-09-19 00:00:00+00:00
32,131.68,132.19833333333335,132.68423076923077,,,2022-09-20 00:00:00+00:00
33,124.63,131.96,132.2076923076923,,,2022-09-21 00:00:00+00:00
34,119.42,131.33916666666667,131.45384615384617,,,2022-09-22 00:00:00+00:00
35,118.33,130.26833333333335,130.71807692307692,,,2022-09-23 00:00:00+00:00
36,117.48,128.9775,129.89923076923077,,,2022-09-26 00:00:00+00:00
37,118.17,127.49916666666667,129.23346153846154,,,2022-09-27 00:00:00+00:00
