,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,192.44,,,,,2022-08-04 00:00:00+00:00
1,192.27,,,,,2022-08-05 00:00:00+00:00
2,193.97,,,,,2022-08-08 00:00:00+00:00
3,194.09,,,,,2022-08-09 00:00:00+00:00
4,197.23,,,,,2022-08-10 00:00:00+00:00
5,198.51,,,,,2022-08-11 00:00:00+00:00
6,200.87,,,,,2022-08-12 00:00:00+00:00
7,202.25,,,,,2022-08-15 00:00:00+00:00
8,203.67,,,,,2022-08-16 00:00:00+00:00
9,202.78,,,,,2022-08-17 00:00:00+00:00
10,203.72,,,,,2022-08-18 00:00:00+00:00
11,201.56,198.61333333333334,,,,2022-08-19 00:00:00+00:00
12,197.84,199.0633333333333,,,,2022-08-22 00:00:00+00:00
13,197.55,199.50333333333333,,,,2022-08-23 00:00:00+00:00
14,197.79,199.8216666666667,,,,2022-08-24 00:00:00+00:00
15,200.43,200.35,,,,2022-08-25 00:00:00+00:00
16,193.06,200.00250000000003,,,,2022-08-26 00:00:00+00:00
17,192.42,199.495,,,,2022-08-29 00:00:00+00:00
18,190.7,198.6475,,,,2022-08-30 00:00:00+00:00
19,189.35,197.5725,,,,2022-08-31 00:00:00+00:00
20,190.73,196.49416666666664,,,,2022-09-01 00:00:00+00:00
21,186.89,195.17,,,,2022-09-02 00:00:00+00:00
22,185.6,193.65999999999997,,,,2022-09-06 00:00:00+00:00
23,189.09,192.6208333333333,,,,2022-09-07 00:00:00+00:00
24,187.82,191.78583333333336,,,,2022-09-08 00:00:00+00:00
25,191.69,191.29749999999999,195.16615384615383,,,2022-09-09 00:00:00+00:00
26,192.03,190.8175,195.15038461538464,,,2022-09-12 00:00:00+00:00
27,184.98,189.53,194.87,,,2022-09-13 00:00:00+00:00
28,179.97,188.43916666666664,194.33153846153846,,,2022-09-14 00:00:00+00:00
29,176.86,187.1425,193.66884615384612,,,2022-09-15 00:00:00+00:00
30,177.35,186.02999999999997,192.90423076923076,,,2022-09-16 00:00:00+00:00
31,178.63,185.13666666666666,192.13961538461538,,,2022-09-19 00:00:00+00:00
32,177.01,183.99333333333334,191.22192307692305,,,2022-09-20 00:00:00+00:00
33,174.3,182.94416666666666,190.14692307692306,,,2022-09-21 00:00:00+00:00
34,173.25,181.915,188.97692307692307,,,2022-09-22 00:00:00+00:00
35,171.38,180.43916666666667,187.76923076923077,,,2022-09-23 00:00:00+00:00
36,170.07,178.96,186.47499999999997,,,2022-09-26 00:00:00+00:00
37,170.07,177.15833333333333,185.26384615384617,,,2022-09-27 00:00:00+00:00
38,173.83,175.64166666666665,184.34038461538464,,,2022-09-28 00:00:00+00:00
39,170.07,174.39916666666667,183.28346153846152,,,2022-09-29 00:00:00+00:00
40,166.97,173.31583333333333,182.09807692307692,,,2022-09-30 00:00:00+00:00
41,173.04,172.99750000000003,181.04461538461538,,,2022-10-03 00:00:00+00:00
42,178.19,173.0675,180.4726923076923,,,2022-10-04 00:00:00+00:00
43,177.81,172.9991666666667,179.91076923076923,,,2022-10-05 00:00:00+00:00
44,175.04,172.835,179.30846153846156,,,2022-10-06 00:00:00+00:00
45,171.41,172.59416666666664,178.61846153846153,,,2022-10-07 00:00:00+00:00
46,171.89,172.48083333333332,177.89384615384617,,,2022-10-10 00:00:00+00:00
47,173.62,172.6675,177.38346153846155,,,2022-10-11 00:00:00+00:00
48,172.79,172.89416666666668,176.89076923076922,,,2022-10-12 00:00:00+00:00
49,177.55,173.5175,176.44692307692307,185.64860000000002,,2022-10-13 00:00:00+00:00
50,174.16,173.545,175.92153846153846,185.283,,2022-10-14 00:00:00+00:00
