,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,23.75,,,,,2022-08-04 00:00:00+00:00
1,23.75,,,,,2022-08-05 00:00:00+00:00
2,23.75,,,,,2022-08-08 00:00:00+00:00
3,23.75,,,,,2022-08-09 00:00:00+00:00
4,23.75,,,,,2022-08-10 00:00:00+00:00
5,23.75,,,,,2022-08-11 00:00:00+00:00
6,23.75,,,,,2022-08-12 00:00:00+00:00
7,23.75,,,,,2022-08-15 00:00:00+00:00
8,23.75,,,,,2022-08-16 00:00:00+00:00
9,23.75,,,,,2022-08-17 00:00:00+00:00
10,23.75,,,,,2022-08-18 00:00:00+00:00
11,23.75,23.75,,,,2022-08-19 00:00:00+00:00
12,23.75,23.75,,,,2022-08-22 00:00:00+00:00
13,23.75,23.75,,,,2022-08-23 00:00:00+00:00
14,23.75,23.75,,,,2022-08-24 00:00:00+00:00
15,23.75,23.75,,,,2022-08-25 00:00:00+00:00
16,23.75,23.75,,,,2022-08-26 00:00:00+00:00
17,23.75,23.75,,,,2022-08-29 00:00:00+00:00
18,23.75,23.75,,,,2022-08-30 00:00:00+00:00
19,23.75,23.75,,,,2022-08-31 00:00:00+00:00
20,23.75,23.75,,,,2022-09-01 00:00:00+00:00
21,23.75,23.75,,,,2022-09-02 00:00:00+00:00
22,23.75,23.75,,,,2022-09-06 00:00:00+00:00
23,23.75,23.75,,,,2022-09-07 00:00:00+00:00
24,23.75,23.75,,,,2022-09-08 00:00:00+00:00
25,23.75,23.75,23.75,,,2022-09-09 00:00:00+00:00
26,23.75,23.75,23.75,,,2022-09-12 00:00:00+00:00
27,23.75,23.75,23.75,,,2022-09-13 00:00:00+00:00
28,23.75,23.75,23.75,,,2022-09-14 00:00:00+00:00
29,23.75,23.75,23.75,,,2022-09-15 00:00:00+00:00
30,23.75,23.75,23.75,,,2022-09-16 00:00:00+00:00
31,23.75,23.75,23.75,,,2022-09-19 00:00:00+00:00
32,23.75,23.75,23.75,,,2022-09-20 00:00:00+00:00
33,23.75,23.75,23.75,,,2022-09-21 00:00:00+00:00
34,23.75,23.75,23.75,,,2022-09-22 00:00:00+00:00
35,23.75,23.75,23.75,,,2022-09-23 00:00:00+00:00
36,23.75,23.75,23.75,,,2022-09-26 00:00:00+00:00
37,23.75,23.75,23.75,,,2022-09-27 00:00:00+00:00
38,23.75,23.75,23.75,,,2022-09-28 00:00:00+00:00
39,23.75,23.75,23.75,,,2022-09-29 00:00:00+00:00
40,23.75,23.75,23.75,,,2022-09-30 00:00:00+00:00
