,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,107.44,,,,,2022-08-04 00:00:00+00:00
1,105.02,,,,,2022-08-05 00:00:00+00:00
2,104.3,,,,,2022-08-08 00:00:00+00:00
3,104.91,,,,,2022-08-09 00:00:00+00:00
4,106.05,,,,,2022-08-10 00:00:00+00:00
5,106.63,,,,,2022-08-11 00:00:00+00:00
6,109.68,,,,,2022-08-12 00:00:00+00:00
7,109.6,,,,,2022-08-15 00:00:00+00:00
8,111.06,,,,,2022-08-16 00:00:00+00:00
9,111.7,,,,,2022-08-17 00:00:00+00:00
10,112.62,,,,,2022-08-18 00:00:00+00:00
11,109.09,108.175,,,,2022-08-19 00:00:00+00:00
12,107.83,108.2075,,,,2022-08-22 00:00:00+00:00
13,106.45,108.32666666666667,,,,2022-08-23 00:00:00+00:00
14,106.92,108.545,,,,2022-08-24 00:00:00+00:00
15,107.01,108.71999999999998,,,,2022-08-25 00:00:00+00:00
16,103.59,108.515,,,,2022-08-26 00:00:00+00:00
17,101.59,108.09500000000001,,,,2022-08-29 00:00:00+00:00
18,102.49,107.49583333333334,,,,2022-08-30 00:00:00+00:00
19,100.85,106.76666666666667,,,,2022-08-31 00:00:00+00:00
20,102.04,106.01499999999999,,,,2022-09-01 00:00:00+00:00
21,101.28,105.14666666666669,,,,2022-09-02 00:00:00+00:00
22,99.91,104.08749999999999,,,,2022-09-06 00:00:00+00:00
23,102.3,103.52166666666666,,,,2022-09-07 00:00:00+00:00
24,103.21,103.13666666666666,,,,2022-09-08 00:00:00+00:00
25,103.4,102.88250000000001,105.6526923076923,,,2022-09-09 00:00:00+00:00
26,104.09,102.64666666666666,105.52384615384615,,,2022-09-12 00:00:00+00:00
27,99.86,102.05083333333334,105.32538461538462,,,2022-09-13 00:00:00+00:00
28,99.86,101.74,105.15461538461538,,,2022-09-14 00:00:00+00:00
29,98.39,101.47333333333334,104.90384615384616,,,2022-09-15 00:00:00+00:00
30,97.27,101.03833333333334,104.56615384615385,,,2022-09-16 00:00:00+00:00
31,97.02,100.71916666666668,104.19653846153847,,,2022-09-19 00:00:00+00:00
32,94.85,100.12,103.62615384615384,,,2022-09-20 00:00:00+00:00
33,93.61,99.48083333333334,103.01115384615385,,,2022-09-21 00:00:00+00:00
34,94.06,98.99333333333334,102.35730769230769,,,2022-09-22 00:00:00+00:00
35,93.24,98.23833333333334,101.64730769230769,,,2022-09-23 00:00:00+00:00
36,91.59,97.27,100.83846153846154,,,2022-09-26 00:00:00+00:00
37,91.5,96.27833333333332,100.16192307692307,,,2022-09-27 00:00:00+00:00
38,93.05,95.35833333333333,99.59346153846155,,,2022-09-28 00:00:00+00:00
39,90.75,94.59916666666665,98.98961538461539,,,2022-09-29 00:00:00+00:00
40,90.35,93.80666666666667,98.35230769230769,,,2022-09-30 00:00:00+00:00
41,92.82,93.34249999999999,97.80653846153847,,,2022-10-03 00:00:00+00:00
42,94.16,93.08333333333333,97.44384615384615,,,2022-10-04 00:00:00+00:00
43,93.41,92.78249999999998,97.12923076923076,,,2022-10-05 00:00:00+00:00
44,93.35,92.65750000000001,96.7776923076923,,,2022-10-06 00:00:00+00:00
45,90.02,92.35833333333333,96.36115384615384,,,2022-10-07 00:00:00+00:00
46,90.26,92.04166666666667,95.90807692307693,,,2022-10-10 00:00:00+00:00
47,90.79,91.83749999999999,95.50461538461538,,,2022-10-11 00:00:00+00:00
48,90.61,91.75583333333333,95.14692307692309,,,2022-10-12 00:00:00+00:00
49,92.47,91.83666666666666,94.76884615384614,100.087,,2022-10-13 00:00:00+00:00
50,90.15,91.59499999999998,94.26653846153846,99.7412,,2022-10-14 00:00:00+00:00
51,91.78,91.68083333333334,93.8196153846154,99.4764,,2022-10-17 00:00:00+00:00
52,92.71,91.8775,93.38192307692307,99.24459999999999,,2022-10-18 00:00:00+00:00
53,91.63,91.77833333333332,93.0653846153846,98.979,,2022-10-19 00:00:00+00:00
54,90.33,91.45916666666666,92.69884615384613,98.6646,,2022-10-20 00:00:00+00:00
55,93.05,91.42916666666666,92.49346153846153,98.39299999999999,,2022-10-21 00:00:00+00:00
56,93.24,91.42,92.33846153846153,98.0642,,2022-10-24 00:00:00+00:00
57,95.16,91.84833333333334,92.26692307692308,97.77539999999999,,2022-10-25 00:00:00+00:00
58,93.89,92.15083333333332,92.23,97.432,,2022-10-26 00:00:00+00:00
59,95.63,92.55416666666666,92.3076923076923,97.11059999999999,,2022-10-27 00:00:00+00:00
60,96.68,93.06,92.40846153846154,96.79180000000001,,2022-10-28 00:00:00+00:00
61,95.57,93.31833333333333,92.49807692307694,96.5214,,2022-10-31 00:00:00+00:00
62,94.02,93.64083333333333,92.59153846153846,96.24519999999998,,2022-11-01 00:00:00+00:00
63,92.63,93.71166666666666,92.635,95.96879999999999,,2022-11-02 00:00:00+00:00
64,95.47,93.94166666666666,92.72807692307691,95.7398,,2022-11-03 00:00:00+00:00
65,96.62,94.3575,92.95384615384614,95.53199999999998,,2022-11-04 00:00:00+00:00
66,97.5,94.955,93.22884615384615,95.4102,,2022-11-07 00:00:00+00:00
67,99.43,95.48666666666668,93.48307692307694,95.367,,2022-11-08 00:00:00+00:00
68,97.26,95.82166666666667,93.60230769230769,95.26240000000001,,2022-11-09 00:00:00+00:00
69,102.54,96.43666666666667,93.95346153846154,95.29620000000001,,2022-11-10 00:00:00+00:00
70,104.32,97.30583333333334,94.37538461538462,95.3418,,2022-11-11 00:00:00+00:00
71,104.1,98.01166666666666,94.91692307692308,95.3982,,2022-11-14 00:00:00+00:00
72,105.05,98.70916666666666,95.48576923076924,95.50099999999999,,2022-11-15 00:00:00+00:00
73,104.02,99.41333333333334,95.99461538461539,95.53540000000001,,2022-11-16 00:00:00+00:00
74,104.1,100.25333333333333,96.51346153846154,95.5532,,2022-11-17 00:00:00+00:00
75,104.21,101.21833333333332,96.965,95.56939999999999,,2022-11-18 00:00:00+00:00
76,105.35,102.04166666666667,97.54961538461538,95.59459999999999,,2022-11-21 00:00:00+00:00
77,106.03,102.82583333333332,98.09769230769231,95.71799999999999,,2022-11-22 00:00:00+00:00
78,106.94,103.6125,98.645,95.85960000000001,,2022-11-23 00:00:00+00:00
79,107.12,104.25333333333333,99.24076923076925,96.0342,,2022-11-25 00:00:00+00:00
80,105.08,104.90499999999999,99.80807692307692,96.19040000000001,,2022-11-28 00:00:00+00:00
81,105.34,105.13833333333332,100.28076923076922,96.3568,,2022-11-29 00:00:00+00:00
82,108.31,105.47083333333335,100.86038461538463,96.62599999999999,,2022-11-30 00:00:00+00:00
83,109.53,105.92333333333335,101.41307692307691,96.9444,,2022-12-01 00:00:00+00:00
84,109.25,106.27333333333333,102.00384615384615,97.24820000000001,,2022-12-02 00:00:00+00:00
85,107.09,106.52916666666665,102.44461538461539,97.52519999999998,,2022-12-05 00:00:00+00:00
86,105.74,106.66583333333334,102.79307692307692,97.8082,,2022-12-06 00:00:00+00:00
87,103.53,106.60916666666667,103.09923076923077,98.04879999999999,,2022-12-07 00:00:00+00:00
88,104.44,106.53333333333335,103.5,98.2766,,2022-12-08 00:00:00+00:00
89,103.33,106.30833333333334,103.91153846153846,98.5282,,2022-12-09 00:00:00+00:00
90,105.26,106.16833333333334,104.28807692307691,98.82639999999999,,2022-12-12 00:00:00+00:00
91,106.38,106.10666666666667,104.66346153846153,99.0976,,2022-12-13 00:00:00+00:00
92,103.93,106.01083333333334,104.91076923076925,99.293,,2022-12-14 00:00:00+00:00
93,102.22,105.75083333333333,105.01807692307692,99.46919999999999,,2022-12-15 00:00:00+00:00
94,100.76,105.12166666666667,105.15269230769232,99.6174,,2022-12-16 00:00:00+00:00
95,100.28,104.35083333333334,105.06576923076923,99.82260000000001,,2022-12-19 00:00:00+00:00
96,100.39,103.6125,104.91461538461537,100.0252,,2022-12-20 00:00:00+00:00
97,102.55,103.23416666666667,104.855,100.2604,,2022-12-21 00:00:00+00:00
98,102.46,102.96083333333333,104.75538461538461,100.4974,,2022-12-22 00:00:00+00:00
99,102.81,102.90083333333332,104.70884615384615,100.70419999999999,,2022-12-23 00:00:00+00:00
100,102.11,102.70666666666666,104.63230769230769,100.9434,,2022-12-27 00:00:00+00:00
101,102.27,102.61833333333334,104.5576923076923,101.1532,,2022-12-28 00:00:00+00:00
102,104.1,102.52166666666666,104.50961538461539,101.381,,2022-12-29 00:00:00+00:00
103,102.59,102.20583333333333,104.37730769230771,101.6002,,2022-12-30 00:00:00+00:00
104,103.23,102.1475,104.2346153846154,101.8582,,2023-01-03 00:00:00+00:00
105,103.93,102.29,104.11192307692308,102.0758,,2023-01-04 00:00:00+00:00
106,102.58,102.44166666666666,104.01576923076922,102.2626,,2023-01-05 00:00:00+00:00
107,104.9,102.82666666666665,103.99884615384616,102.45739999999999,,2023-01-06 00:00:00+00:00
108,105.24,103.23083333333334,103.88076923076922,102.68440000000001,,2023-01-09 00:00:00+00:00
109,106.65,103.5725,103.77,102.9048,,2023-01-10 00:00:00+00:00
110,108.69,104.09166666666668,103.74846153846154,103.145,,2023-01-11 00:00:00+00:00
111,109.03,104.61000000000001,103.82307692307693,103.4142,,2023-01-12 00:00:00+00:00
112,107.63,105.07,103.89576923076923,103.6864,,2023-01-13 00:00:00+00:00
113,107.41,105.49833333333333,104.045,103.98200000000001,,2023-01-17 00:00:00+00:00
114,107.67,105.79583333333335,104.16923076923078,104.226,,2023-01-18 00:00:00+00:00
115,106.92,106.15666666666665,104.30730769230769,104.432,,2023-01-19 00:00:00+00:00
116,108.48,106.59416666666665,104.43115384615385,104.6516,,2023-01-20 00:00:00+00:00
117,108.67,106.98916666666668,104.51923076923077,104.8364,,2023-01-23 00:00:00+00:00
118,106.25,107.295,104.60846153846153,105.01619999999998,,2023-01-24 00:00:00+00:00
119,106.49,107.42750000000001,104.77269230769231,105.09519999999999,,2023-01-25 00:00:00+00:00
120,108.19,107.67333333333335,105.05846153846154,105.1726,,2023-01-26 00:00:00+00:00
121,107.94,107.78083333333332,105.35307692307691,105.24940000000001,,2023-01-27 00:00:00+00:00
122,106.66,107.61166666666666,105.59423076923078,105.2816,,2023-01-30 00:00:00+00:00
123,107.55,107.48833333333333,105.78653846153846,105.3522,,2023-01-31 00:00:00+00:00
124,109.01,107.60333333333334,106.03846153846153,105.4504,,2023-02-01 00:00:00+00:00
125,108.33,107.67999999999999,106.25076923076924,105.53280000000001,,2023-02-02 00:00:00+00:00
126,107.66,107.67916666666666,106.46423076923075,105.579,,2023-02-03 00:00:00+00:00
127,108.32,107.79583333333333,106.69692307692307,105.6248,,2023-02-06 00:00:00+00:00
128,109.35,107.86833333333334,106.89884615384615,105.67299999999999,,2023-02-07 00:00:00+00:00
129,109.25,107.91666666666667,107.15499999999999,105.7156,,2023-02-08 00:00:00+00:00
130,107.54,108.02416666666666,107.32076923076922,105.7648,,2023-02-09 00:00:00+00:00
131,108.71,108.20916666666666,107.50461538461538,105.8322,,2023-02-10 00:00:00+00:00
132,109.19,108.29249999999998,107.75884615384615,105.8498,,2023-02-13 00:00:00+00:00
133,108.4,108.33083333333333,107.89346153846154,105.82719999999999,,2023-02-14 00:00:00+00:00
134,108.64,108.49583333333334,108.02423076923077,105.815,,2023-02-15 00:00:00+00:00
135,107.13,108.46083333333333,108.0426923076923,105.8158,,2023-02-16 00:00:00+00:00
136,107.11,108.30250000000001,107.98192307692308,105.8432,,2023-02-17 00:00:00+00:00
137,104.16,107.955,107.79461538461538,105.8558,,2023-02-21 00:00:00+00:00
138,104.29,107.67416666666666,107.66615384615385,105.8528,,2023-02-22 00:00:00+00:00
139,103.76,107.29416666666668,107.52576923076923,105.86140000000002,,2023-02-23 00:00:00+00:00
140,102.51,106.72416666666668,107.32730769230768,105.80640000000001,,2023-02-24 00:00:00+00:00
141,101.51,106.07916666666667,107.11923076923078,105.709,,2023-02-27 00:00:00+00:00
142,101.8,105.60083333333334,106.8623076923077,105.6664,,2023-02-28 00:00:00+00:00
143,100.9,104.94999999999999,106.56346153846154,105.64,,2023-03-01 00:00:00+00:00
144,102.71,104.41000000000001,106.42730769230769,105.679,,2023-03-02 00:00:00+00:00
145,102.48,103.91666666666667,106.27307692307691,105.723,,2023-03-03 00:00:00+00:00
146,103.24,103.46666666666665,106.0826923076923,105.78,,2023-03-06 00:00:00+00:00
