,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,405.02,,,,,2022-08-04 00:00:00+00:00
1,407.78,,,,,2022-08-05 00:00:00+00:00
2,407.0,,,,,2022-08-08 00:00:00+00:00
3,388.6,,,,,2022-08-09 00:00:00+00:00
4,400.29,,,,,2022-08-10 00:00:00+00:00
5,396.68,,,,,2022-08-11 00:00:00+00:00
6,396.43,,,,,2022-08-12 00:00:00+00:00
7,390.85,,,,,2022-08-15 00:00:00+00:00
8,382.24,,,,,2022-08-16 00:00:00+00:00
9,374.01,,,,,2022-08-17 00:00:00+00:00
10,374.75,,,,,2022-08-18 00:00:00+00:00
11,373.74,391.4491666666667,,,,2022-08-19 00:00:00+00:00
12,358.4,387.5641666666667,,,,2022-08-22 00:00:00+00:00
13,356.91,383.325,,,,2022-08-23 00:00:00+00:00
14,360.55,379.45416666666665,,,,2022-08-24 00:00:00+00:00
15,371.21,378.00500000000005,,,,2022-08-25 00:00:00+00:00
16,349.9,373.80583333333334,,,,2022-08-26 00:00:00+00:00
17,349.05,369.83666666666664,,,,2022-08-29 00:00:00+00:00
18,348.84,365.87083333333334,,,,2022-08-30 00:00:00+00:00
19,347.62,362.2683333333334,,,,2022-08-31 00:00:00+00:00
20,349.93,359.5758333333333,,,,2022-09-01 00:00:00+00:00
21,343.83,357.0608333333333,,,,2022-09-02 00:00:00+00:00
22,341.73,354.30916666666667,,,,2022-09-06 00:00:00+00:00
23,354.68,352.72083333333336,,,,2022-09-07 00:00:00+00:00
24,364.95,353.26666666666665,,,,2022-09-08 00:00:00+00:00
25,374.13,354.70166666666665,371.8892307692308,,,2022-09-09 00:00:00+00:00
26,376.59,356.03833333333336,370.79576923076917,,,2022-09-12 00:00:00+00:00
27,350.43,354.3066666666667,368.59000000000003,,,2022-09-13 00:00:00+00:00
28,350.47,354.3541666666667,366.4157692307693,,,2022-09-14 00:00:00+00:00
29,349.84,354.42,364.92500000000007,,,2022-09-15 00:00:00+00:00
30,342.56,353.8966666666667,362.70461538461535,,,2022-09-16 00:00:00+00:00
31,339.67,353.2341666666667,360.51192307692304,,,2022-09-19 00:00:00+00:00
32,338.0,352.24,358.2646153846154,,,2022-09-20 00:00:00+00:00
33,333.48,351.3775,356.05807692307695,,,2022-09-21 00:00:00+00:00
34,326.08,350.0733333333333,353.8980769230769,,,2022-09-22 00:00:00+00:00
35,334.2,348.3666666666666,352.3669230769231,,,2022-09-23 00:00:00+00:00
36,331.22,345.55583333333334,350.6926923076923,,,2022-09-26 00:00:00+00:00
37,329.73,341.85583333333335,349.0,,,2022-09-27 00:00:00+00:00
38,334.03,338.30916666666667,348.06269230769226,,,2022-09-28 00:00:00+00:00
39,331.81,336.7575,347.09730769230765,,,2022-09-29 00:00:00+00:00
40,325.8,334.70166666666665,345.76076923076926,,,2022-09-30 00:00:00+00:00
41,336.68,333.605,344.4326923076923,,,2022-10-03 00:00:00+00:00
42,348.59,334.1075,344.3823076923076,,,2022-10-04 00:00:00+00:00
43,350.12,334.97833333333335,344.42346153846154,,,2022-10-05 00:00:00+00:00
44,346.02,335.6466666666667,344.315,,,2022-10-06 00:00:00+00:00
45,333.24,335.62666666666667,343.76192307692304,,,2022-10-07 00:00:00+00:00
46,324.72,335.5133333333333,342.7923076923077,,,2022-10-10 00:00:00+00:00
