,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,5.42,,,,,2022-08-04 00:00:00+00:00
1,5.4,,,,,2022-08-05 00:00:00+00:00
2,5.24,,,,,2022-08-08 00:00:00+00:00
3,5.23,,,,,2022-08-09 00:00:00+00:00
4,6.05,,,,,2022-08-10 00:00:00+00:00
5,5.74,,,,,2022-08-11 00:00:00+00:00
6,6.115,,,,,2022-08-12 00:00:00+00:00
7,5.9,,,,,2022-08-15 00:00:00+00:00
8,5.6,,,,,2022-08-16 00:00:00+00:00
9,5.34,,,,,2022-08-17 00:00:00+00:00
10,5.23,,,,,2022-08-18 00:00:00+00:00
11,4.86,5.510416666666667,,,,2022-08-19 00:00:00+00:00
12,4.73,5.452916666666667,,,,2022-08-22 00:00:00+00:00
13,4.88,5.409583333333334,,,,2022-08-23 00:00:00+00:00
14,5.16,5.402916666666666,,,,2022-08-24 00:00:00+00:00
15,5.07,5.389583333333333,,,,2022-08-25 00:00:00+00:00
16,4.9,5.29375,,,,2022-08-26 00:00:00+00:00
17,4.89,5.222916666666667,,,,2022-08-29 00:00:00+00:00
18,4.83,5.115833333333334,,,,2022-08-30 00:00:00+00:00
19,5.02,5.0425,,,,2022-08-31 00:00:00+00:00
20,4.92,4.985833333333333,,,,2022-09-01 00:00:00+00:00
21,4.74,4.935833333333333,,,,2022-09-02 00:00:00+00:00
22,5.01,4.9175,,,,2022-09-06 00:00:00+00:00
23,4.99,4.928333333333334,,,,2022-09-07 00:00:00+00:00
24,5.2,4.9675,,,,2022-09-08 00:00:00+00:00
25,5.48,5.0175,5.228653846153846,,,2022-09-09 00:00:00+00:00
26,5.57,5.051666666666667,5.234423076923078,,,2022-09-12 00:00:00+00:00
27,5.41,5.08,5.234807692307693,,,2022-09-13 00:00:00+00:00
28,5.56,5.135000000000001,5.247115384615385,,,2022-09-14 00:00:00+00:00
29,5.81,5.211666666666667,5.269423076923077,,,2022-09-15 00:00:00+00:00
30,5.45,5.263333333333334,5.2463461538461535,,,2022-09-16 00:00:00+00:00
31,5.54,5.306666666666667,5.238653846153846,,,2022-09-19 00:00:00+00:00
32,5.78,5.378333333333334,5.225769230769231,,,2022-09-20 00:00:00+00:00
33,5.65,5.454166666666667,5.216153846153846,,,2022-09-21 00:00:00+00:00
34,5.28,5.476666666666667,5.203846153846154,,,2022-09-22 00:00:00+00:00
35,5.08,5.484166666666667,5.193846153846154,,,2022-09-23 00:00:00+00:00
36,4.94,5.4624999999999995,5.1826923076923075,,,2022-09-26 00:00:00+00:00
37,5.15,5.435,5.193846153846153,,,2022-09-27 00:00:00+00:00
38,5.35,5.416666666666667,5.2176923076923085,,,2022-09-28 00:00:00+00:00
39,4.94,5.3775,5.22,,,2022-09-29 00:00:00+00:00
40,5.21,5.348333333333333,5.221923076923076,,,2022-09-30 00:00:00+00:00
41,5.28,5.304166666666667,5.2299999999999995,,,2022-10-03 00:00:00+00:00
42,5.37,5.2975,5.248076923076923,,,2022-10-04 00:00:00+00:00
43,5.38,5.284166666666667,5.266923076923077,,,2022-10-05 00:00:00+00:00
44,5.43,5.255,5.29,,,2022-10-06 00:00:00+00:00
45,5.05,5.205,5.291153846153847,,,2022-10-07 00:00:00+00:00
46,4.81,5.1658333333333335,5.2869230769230775,,,2022-10-10 00:00:00+00:00
47,4.52,5.119166666666667,5.278461538461538,,,2022-10-11 00:00:00+00:00
48,4.54,5.0858333333333325,5.260384615384615,,,2022-10-12 00:00:00+00:00
49,4.74,5.051666666666667,5.25076923076923,5.2357000000000005,,2022-10-13 00:00:00+00:00
50,4.57,4.986666666666666,5.226538461538461,5.2187,,2022-10-14 00:00:00+00:00
51,4.71,4.9675,5.196923076923077,5.2049,,2022-10-17 00:00:00+00:00
52,4.65,4.920833333333333,5.161538461538461,5.1931,,2022-10-18 00:00:00+00:00
53,4.53,4.858333333333333,5.127692307692308,5.179100000000001,,2022-10-19 00:00:00+00:00
54,4.6,4.7941666666666665,5.090769230769231,5.1501,,2022-10-20 00:00:00+00:00
55,4.68,4.735833333333333,5.047307692307692,5.1289,,2022-10-21 00:00:00+00:00
