,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,234.34,,,,,2022-08-04 00:00:00+00:00
1,234.74,,,,,2022-08-05 00:00:00+00:00
2,233.66,,,,,2022-08-08 00:00:00+00:00
3,232.6,,,,,2022-08-09 00:00:00+00:00
4,239.69,,,,,2022-08-10 00:00:00+00:00
5,242.0,,,,,2022-08-11 00:00:00+00:00
6,245.81,,,,,2022-08-12 00:00:00+00:00
7,248.26,,,,,2022-08-15 00:00:00+00:00
8,244.71,,,,,2022-08-16 00:00:00+00:00
9,240.62,,,,,2022-08-17 00:00:00+00:00
10,238.82,,,,,2022-08-18 00:00:00+00:00
11,239.02,239.5225,,,,2022-08-19 00:00:00+00:00
12,231.57,239.29166666666666,,,,2022-08-22 00:00:00+00:00
13,229.24,238.83333333333334,,,,2022-08-23 00:00:00+00:00
14,231.83,238.68083333333334,,,,2022-08-24 00:00:00+00:00
15,234.73,238.85833333333332,,,,2022-08-25 00:00:00+00:00
16,219.67,237.18999999999997,,,,2022-08-26 00:00:00+00:00
17,218.21,235.20749999999998,,,,2022-08-29 00:00:00+00:00
18,215.99,232.7225,,,,2022-08-30 00:00:00+00:00
19,212.66,229.75583333333336,,,,2022-08-31 00:00:00+00:00
20,211.62,226.99833333333333,,,,2022-09-01 00:00:00+00:00
21,207.26,224.21833333333336,,,,2022-09-02 00:00:00+00:00
22,209.66,221.78833333333333,,,,2022-09-06 00:00:00+00:00
23,215.14,219.79833333333332,,,,2022-09-07 00:00:00+00:00
24,221.12,218.92749999999998,,,,2022-09-08 00:00:00+00:00
25,223.17,218.42166666666665,229.0823076923077,,,2022-09-09 00:00:00+00:00
26,226.74,217.99750000000003,228.79,,,2022-09-12 00:00:00+00:00
27,212.51,216.14583333333334,227.935,,,2022-09-13 00:00:00+00:00
28,209.13,215.2675,226.99153846153848,,,2022-09-14 00:00:00+00:00
29,207.37,214.36416666666665,226.02115384615385,,,2022-09-15 00:00:00+00:00
30,205.04,213.45166666666663,224.68846153846155,,,2022-09-16 00:00:00+00:00
31,203.7,212.705,223.21538461538464,,,2022-09-19 00:00:00+00:00
32,199.66,211.70833333333334,221.4403846153846,,,2022-09-20 00:00:00+00:00
33,195.52,210.73,219.41192307692307,,,2022-09-21 00:00:00+00:00
34,190.62,209.14333333333332,217.33153846153846,,,2022-09-22 00:00:00+00:00
35,189.43,207.00083333333336,215.36269230769227,,,2022-09-23 00:00:00+00:00
36,186.08,204.08083333333335,213.33423076923074,,,2022-09-26 00:00:00+00:00
37,182.89,200.72416666666666,211.1753846153846,,,2022-09-27 00:00:00+00:00
38,185.69,197.3033333333333,209.41076923076923,,,2022-09-28 00:00:00+00:00
39,181.61,194.72833333333335,207.57884615384617,,,2022-09-29 00:00:00+00:00
40,181.14,192.39583333333334,205.6292307692308,,,2022-09-30 00:00:00+00:00
41,186.2,190.63166666666666,203.7626923076923,,,2022-10-03 00:00:00+00:00
42,193.1,189.63666666666668,202.74076923076922,,,2022-10-04 00:00:00+00:00
43,192.49,188.7025,201.75153846153847,,,2022-10-05 00:00:00+00:00
44,187.54,187.6925,200.6573076923077,,,2022-10-06 00:00:00+00:00
45,180.34,186.4275,199.41423076923076,,,2022-10-07 00:00:00+00:00
46,175.91,185.20166666666668,198.04076923076926,,,2022-10-10 00:00:00+00:00
47,172.45,183.78666666666666,196.70192307692307,,,2022-10-11 00:00:00+00:00
48,171.86,182.60166666666666,195.24807692307692,,,2022-10-12 00:00:00+00:00
49,176.21,182.045,193.7507692307692,210.9874,,2022-10-13 00:00:00+00:00
