,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,4.43,,,,,2022-08-04 00:00:00+00:00
1,4.74,,,,,2022-08-05 00:00:00+00:00
2,5.43,,,,,2022-08-08 00:00:00+00:00
3,5.35,,,,,2022-08-09 00:00:00+00:00
4,5.81,,,,,2022-08-10 00:00:00+00:00
5,6.22,,,,,2022-08-11 00:00:00+00:00
6,5.95,,,,,2022-08-12 00:00:00+00:00
7,5.86,,,,,2022-08-15 00:00:00+00:00
8,5.8,,,,,2022-08-16 00:00:00+00:00
9,5.32,,,,,2022-08-17 00:00:00+00:00
10,5.73,,,,,2022-08-18 00:00:00+00:00
11,5.05,5.474166666666666,,,,2022-08-19 00:00:00+00:00
12,5.11,5.530833333333334,,,,2022-08-22 00:00:00+00:00
13,5.27,5.574999999999999,,,,2022-08-23 00:00:00+00:00
14,5.09,5.546666666666667,,,,2022-08-24 00:00:00+00:00
15,5.0,5.517500000000001,,,,2022-08-25 00:00:00+00:00
16,4.83,5.435833333333334,,,,2022-08-26 00:00:00+00:00
17,4.64,5.304166666666667,,,,2022-08-29 00:00:00+00:00
18,4.73,5.2025,,,,2022-08-30 00:00:00+00:00
19,4.06,5.0525,,,,2022-08-31 00:00:00+00:00
20,4.01,4.903333333333333,,,,2022-09-01 00:00:00+00:00
21,4.08,4.8,,,,2022-09-02 00:00:00+00:00
22,4.09,4.663333333333333,,,,2022-09-06 00:00:00+00:00
23,4.3,4.600833333333333,,,,2022-09-07 00:00:00+00:00
24,4.17,4.5225,,,,2022-09-08 00:00:00+00:00
25,4.61,4.4675,4.987692307692308,,,2022-09-09 00:00:00+00:00
26,4.67,4.4325,4.996923076923077,,,2022-09-12 00:00:00+00:00
27,4.26,4.370833333333334,4.978461538461539,,,2022-09-13 00:00:00+00:00
28,4.48,4.341666666666666,4.941923076923077,,,2022-09-14 00:00:00+00:00
29,4.49,4.329166666666667,4.908846153846154,,,2022-09-15 00:00:00+00:00
30,5.06,4.3566666666666665,4.88,,,2022-09-16 00:00:00+00:00
31,4.33,4.379166666666666,4.807307692307692,,,2022-09-19 00:00:00+00:00
32,4.06,4.383333333333334,4.734615384615385,,,2022-09-20 00:00:00+00:00
33,4.0,4.376666666666667,4.663076923076924,,,2022-09-21 00:00:00+00:00
34,4.04,4.3725,4.595384615384615,,,2022-09-22 00:00:00+00:00
35,3.67,4.32,4.531923076923077,,,2022-09-23 00:00:00+00:00
36,3.5,4.264166666666667,4.446153846153846,,,2022-09-26 00:00:00+00:00
37,3.68,4.1866666666666665,4.393461538461539,,,2022-09-27 00:00:00+00:00
