,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,242.46,,,,,2022-08-04 00:00:00+00:00
1,240.32,,,,,2022-08-05 00:00:00+00:00
2,239.13,,,,,2022-08-08 00:00:00+00:00
3,232.88,,,,,2022-08-09 00:00:00+00:00
4,237.85,,,,,2022-08-10 00:00:00+00:00
5,236.02,,,,,2022-08-11 00:00:00+00:00
6,238.37,,,,,2022-08-12 00:00:00+00:00
7,238.26,,,,,2022-08-15 00:00:00+00:00
8,233.71,,,,,2022-08-16 00:00:00+00:00
9,229.71,,,,,2022-08-17 00:00:00+00:00
10,229.59,,,,,2022-08-18 00:00:00+00:00
11,224.78,235.25666666666666,,,,2022-08-19 00:00:00+00:00
12,218.54,233.26333333333332,,,,2022-08-22 00:00:00+00:00
13,216.81,231.30416666666665,,,,2022-08-23 00:00:00+00:00
14,220.47,229.7491666666667,,,,2022-08-24 00:00:00+00:00
15,225.02,229.09416666666667,,,,2022-08-25 00:00:00+00:00
16,211.09,226.8641666666667,,,,2022-08-26 00:00:00+00:00
17,208.9,224.60416666666666,,,,2022-08-29 00:00:00+00:00
18,206.5,221.9483333333333,,,,2022-08-30 00:00:00+00:00
19,205.74,219.23833333333334,,,,2022-08-31 00:00:00+00:00
20,206.11,216.93833333333336,,,,2022-09-01 00:00:00+00:00
21,203.67,214.76833333333332,,,,2022-09-02 00:00:00+00:00
22,202.3,212.49416666666664,,,,2022-09-06 00:00:00+00:00
23,210.87,211.335,,,,2022-09-07 00:00:00+00:00
24,214.78,211.02166666666668,,,,2022-09-08 00:00:00+00:00
25,221.32,211.39750000000004,222.8923076923077,,,2022-09-09 00:00:00+00:00
26,222.02,211.52666666666667,222.10615384615386,,,2022-09-12 00:00:00+00:00
27,211.4,210.39166666666665,220.99384615384616,,,2022-09-13 00:00:00+00:00
28,210.78,210.3658333333333,219.90346153846153,,,2022-09-14 00:00:00+00:00
29,209.62,210.42583333333334,219.00884615384618,,,2022-09-15 00:00:00+00:00
30,206.28,210.40750000000003,217.79461538461538,,,2022-09-16 00:00:00+00:00
31,202.21,210.11333333333334,216.4942307692308,,,2022-09-19 00:00:00+00:00
32,199.55,209.56666666666663,215.00115384615387,,,2022-09-20 00:00:00+00:00
33,195.04,208.8475,213.33884615384616,,,2022-09-21 00:00:00+00:00
34,191.08,207.91250000000002,211.69923076923078,,,2022-09-22 00:00:00+00:00
35,190.52,206.2166666666667,210.19192307692308,,,2022-09-23 00:00:00+00:00
36,187.93,203.97916666666666,208.58961538461537,,,2022-09-26 00:00:00+00:00
37,186.38,201.06750000000002,207.11269230769233,,,2022-09-27 00:00:00+00:00
38,192.4,198.59916666666666,206.1073076923077,,,2022-09-28 00:00:00+00:00
39,189.06,196.73750000000004,205.04,,,2022-09-29 00:00:00+00:00
40,187.44,194.79250000000002,203.7696153846154,,,2022-09-30 00:00:00+00:00
41,193.36,193.4375,202.5519230769231,,,2022-10-03 00:00:00+00:00
42,201.54,193.0425,202.1846153846154,,,2022-10-04 00:00:00+00:00
43,201.38,192.97333333333333,201.89538461538464,,,2022-10-05 00:00:00+00:00
44,197.7,192.81916666666666,201.55692307692308,,,2022-10-06 00:00:00+00:00
45,188.68,192.2891666666667,200.90076923076924,,,2022-10-07 00:00:00+00:00
