,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,209.42,,,,,2022-08-04 00:00:00+00:00
1,210.76,,,,,2022-08-05 00:00:00+00:00
2,209.32,,,,,2022-08-08 00:00:00+00:00
3,209.02,,,,,2022-08-09 00:00:00+00:00
4,213.45,,,,,2022-08-10 00:00:00+00:00
5,213.17,,,,,2022-08-11 00:00:00+00:00
6,217.46,,,,,2022-08-12 00:00:00+00:00
7,213.99,,,,,2022-08-15 00:00:00+00:00
8,217.06,,,,,2022-08-16 00:00:00+00:00
9,215.97,,,,,2022-08-17 00:00:00+00:00
10,216.6,,,,,2022-08-18 00:00:00+00:00
11,213.7,213.32666666666668,,,,2022-08-19 00:00:00+00:00
12,206.43,213.0775,,,,2022-08-22 00:00:00+00:00
13,205.4,212.63083333333336,,,,2022-08-23 00:00:00+00:00
14,205.62,212.3225,,,,2022-08-24 00:00:00+00:00
15,207.82,212.2225,,,,2022-08-25 00:00:00+00:00
16,199.47,211.0575,,,,2022-08-26 00:00:00+00:00
17,196.54,209.67166666666665,,,,2022-08-29 00:00:00+00:00
18,196.16,207.89666666666668,,,,2022-08-30 00:00:00+00:00
19,194.83,206.29999999999998,,,,2022-08-31 00:00:00+00:00
20,197.24,204.6483333333333,,,,2022-09-01 00:00:00+00:00
21,195.4,202.93416666666667,,,,2022-09-02 00:00:00+00:00
22,197.55,201.3466666666667,,,,2022-09-06 00:00:00+00:00
23,202.79,200.4375,,,,2022-09-07 00:00:00+00:00
24,203.96,200.23166666666668,,,,2022-09-08 00:00:00+00:00
25,206.51,200.32416666666666,206.75538461538463,,,2022-09-09 00:00:00+00:00
26,207.58,200.48749999999998,206.6846153846154,,,2022-09-12 00:00:00+00:00
27,200.43,199.87166666666667,206.28730769230768,,,2022-09-13 00:00:00+00:00
28,198.63,199.8016666666667,205.87615384615384,,,2022-09-14 00:00:00+00:00
29,194.79,199.65583333333336,205.32884615384617,,,2022-09-15 00:00:00+00:00
30,194.06,199.48083333333332,204.58307692307693,,,2022-09-16 00:00:00+00:00
31,197.45,199.69916666666666,203.97846153846152,,,2022-09-19 00:00:00+00:00
32,194.84,199.4991666666667,203.10846153846154,,,2022-09-20 00:00:00+00:00
33,192.72,199.27583333333334,202.29038461538462,,,2022-09-21 00:00:00+00:00
34,188.89,198.55416666666665,201.2069230769231,,,2022-09-22 00:00:00+00:00
35,187.73,197.29916666666665,200.12076923076924,,,2022-09-23 00:00:00+00:00
36,187.24,195.90583333333333,198.99153846153845,,,2022-09-26 00:00:00+00:00
37,183.51,193.98916666666665,197.83038461538462,,,2022-09-27 00:00:00+00:00
38,188.47,192.39666666666668,197.13961538461535,,,2022-09-28 00:00:00+00:00
39,183.88,191.0175,196.31192307692305,,,2022-09-29 00:00:00+00:00
40,180.65,189.51916666666662,195.35153846153847,,,2022-09-30 00:00:00+00:00
41,186.95,188.8658333333333,194.54884615384617,,,2022-10-03 00:00:00+00:00
42,193.23,188.79666666666665,194.30884615384613,,,2022-10-04 00:00:00+00:00
43,192.81,188.41,194.16538461538462,,,2022-10-05 00:00:00+00:00
44,191.9,188.165,194.00153846153847,,,2022-10-06 00:00:00+00:00
45,187.41,187.7225,193.71615384615387,,,2022-10-07 00:00:00+00:00
46,186.13,187.49249999999998,193.28884615384612,,,2022-10-10 00:00:00+00:00
47,186.03,187.35083333333333,192.92846153846156,,,2022-10-11 00:00:00+00:00
48,185.15,187.17666666666665,192.45153846153846,,,2022-10-12 00:00:00+00:00
49,190.79,187.78333333333333,191.98999999999998,199.13819999999998,,2022-10-13 00:00:00+00:00
50,186.1,187.5858333333333,191.30307692307693,198.6718,,2022-10-14 00:00:00+00:00
51,190.97,188.17666666666665,190.7053846153846,198.27599999999998,,2022-10-17 00:00:00+00:00
52,193.37,189.23666666666668,190.15884615384616,197.957,,2022-10-18 00:00:00+00:00
53,191.95,189.6533333333333,189.83269230769233,197.61559999999997,,2022-10-19 00:00:00+00:00
54,188.98,189.29916666666665,189.46153846153845,197.12620000000004,,2022-10-20 00:00:00+00:00
55,195.62,189.53333333333333,189.49346153846153,196.7752,,2022-10-21 00:00:00+00:00
