,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,171.79,,,,,2022-08-04 00:00:00+00:00
1,171.11,,,,,2022-08-05 00:00:00+00:00
2,170.2,,,,,2022-08-08 00:00:00+00:00
3,170.18,,,,,2022-08-09 00:00:00+00:00
4,170.67,,,,,2022-08-10 00:00:00+00:00
5,167.14,,,,,2022-08-11 00:00:00+00:00
6,165.3,,,,,2022-08-12 00:00:00+00:00
7,166.09,,,,,2022-08-15 00:00:00+00:00
8,167.57,,,,,2022-08-16 00:00:00+00:00
9,167.58,,,,,2022-08-17 00:00:00+00:00
10,166.77,,,,,2022-08-18 00:00:00+00:00
11,169.31,168.6425,,,,2022-08-19 00:00:00+00:00
12,167.59,168.2925,,,,2022-08-22 00:00:00+00:00
13,166.13,167.8775,,,,2022-08-23 00:00:00+00:00
14,165.58,167.4925,,,,2022-08-24 00:00:00+00:00
15,167.13,167.23833333333334,,,,2022-08-25 00:00:00+00:00
16,164.27,166.705,,,,2022-08-26 00:00:00+00:00
17,163.0,166.36,,,,2022-08-29 00:00:00+00:00
18,162.43,166.1208333333333,,,,2022-08-30 00:00:00+00:00
19,161.34,165.725,,,,2022-08-31 00:00:00+00:00
20,165.34,165.53916666666666,,,,2022-09-01 00:00:00+00:00
21,162.74,165.13583333333332,,,,2022-09-02 00:00:00+00:00
22,163.18,164.83666666666667,,,,2022-09-06 00:00:00+00:00
23,164.07,164.4,,,,2022-09-07 00:00:00+00:00
24,165.39,164.21666666666667,,,,2022-09-08 00:00:00+00:00
25,165.71,164.18166666666667,166.44653846153844,,,2022-09-09 00:00:00+00:00
26,165.64,164.18666666666667,166.21,,,2022-09-12 00:00:00+00:00
27,161.33,163.70333333333335,165.83384615384617,,,2022-09-13 00:00:00+00:00
28,164.66,163.73583333333332,165.6207692307692,,,2022-09-14 00:00:00+00:00
29,165.08,163.90916666666666,165.42461538461538,,,2022-09-15 00:00:00+00:00
30,167.6,164.34,165.30653846153848,,,2022-09-16 00:00:00+00:00
31,166.28,164.75166666666667,165.27346153846153,,,2022-09-19 00:00:00+00:00
32,164.97,164.72083333333333,165.26076923076923,,,2022-09-20 00:00:00+00:00
33,163.28,164.76583333333335,165.15269230769232,,,2022-09-21 00:00:00+00:00
34,166.18,165.01583333333335,165.09923076923076,,,2022-09-22 00:00:00+00:00
35,166.72,165.23666666666668,165.06615384615387,,,2022-09-23 00:00:00+00:00
36,165.7,165.2625,165.02500000000003,,,2022-09-26 00:00:00+00:00
37,164.94,165.19833333333332,164.85692307692307,,,2022-09-27 00:00:00+00:00
38,166.36,165.25833333333335,164.8096153846154,,,2022-09-28 00:00:00+00:00
39,164.53,165.525,164.74807692307692,,,2022-09-29 00:00:00+00:00
40,163.36,165.41666666666666,164.66269230769228,,,2022-09-30 00:00:00+00:00
41,163.2,165.26000000000002,164.51153846153844,,,2022-10-03 00:00:00+00:00
42,165.62,165.095,164.56346153846155,,,2022-10-04 00:00:00+00:00
43,165.11,164.9975,164.6446153846154,,,2022-10-05 00:00:00+00:00
44,161.91,164.7425,164.62461538461537,,,2022-10-06 00:00:00+00:00
45,160.2,164.48583333333332,164.58076923076922,,,2022-10-07 00:00:00+00:00
46,160.41,164.005,164.39115384615386,,,2022-10-10 00:00:00+00:00
47,162.73,163.67249999999999,164.39076923076922,,,2022-10-11 00:00:00+00:00
48,162.69,163.42166666666668,164.37192307692305,,,2022-10-12 00:00:00+00:00
49,165.15,163.43916666666667,164.41346153846155,165.42520000000002,,2022-10-13 00:00:00+00:00
50,164.46,163.28083333333333,164.37769230769234,165.2786,,2022-10-14 00:00:00+00:00
51,166.59,163.4525,164.4115384615385,165.1882,,2022-10-17 00:00:00+00:00
52,166.01,163.67333333333332,164.42576923076922,165.1044,,2022-10-18 00:00:00+00:00
53,164.69,163.79749999999999,164.555,164.9946,,2022-10-19 00:00:00+00:00
54,165.11,163.755,164.5723076923077,164.8834,,2022-10-20 00:00:00+00:00
55,168.71,164.055,164.71192307692309,164.91479999999999,,2022-10-21 00:00:00+00:00
56,170.98,164.81083333333333,164.84192307692308,165.0284,,2022-10-24 00:00:00+00:00
57,170.71,165.68666666666667,165.01230769230773,165.12080000000003,,2022-10-25 00:00:00+00:00
58,172.21,166.67,165.29076923076926,165.2136,,2022-10-26 00:00:00+00:00
59,172.31,167.46833333333333,165.63807692307694,165.3082,,2022-10-27 00:00:00+00:00
60,174.87,168.48333333333332,165.97230769230768,165.4702,,2022-10-28 00:00:00+00:00
61,173.97,169.21833333333333,166.25115384615384,165.5634,,2022-10-31 00:00:00+00:00
62,173.09,169.9375,166.53538461538463,165.67340000000002,,2022-11-01 00:00:00+00:00
63,170.43,170.2575,166.74653846153845,165.7594,,2022-11-02 00:00:00+00:00
64,170.72,170.65,166.91423076923076,165.8622,,2022-11-03 00:00:00+00:00
65,171.48,171.21583333333334,167.18153846153848,165.9492,,2022-11-04 00:00:00+00:00
66,172.98,171.87166666666667,167.55153846153846,166.1234,,2022-11-07 00:00:00+00:00
67,173.84,172.29916666666668,167.96076923076922,166.3402,,2022-11-08 00:00:00+00:00
68,172.45,172.42166666666665,168.22346153846152,166.5406,,2022-11-09 00:00:00+00:00
69,174.47,172.735,168.58346153846153,166.8032,,2022-11-10 00:00:00+00:00
70,169.25,172.48833333333334,168.86576923076925,166.88139999999999,,2022-11-11 00:00:00+00:00
71,171.91,172.455,169.31615384615387,167.0648,,2022-11-14 00:00:00+00:00
72,172.39,172.24833333333333,169.77692307692308,167.24899999999997,,2022-11-15 00:00:00+00:00
73,173.46,172.20583333333332,170.1896153846154,167.4368,,2022-11-16 00:00:00+00:00
74,174.86,172.35333333333335,170.65769230769232,167.62620000000004,,2022-11-17 00:00:00+00:00
75,176.2,172.83416666666665,171.0826923076923,167.83599999999998,,2022-11-18 00:00:00+00:00
76,175.97,173.27166666666665,171.5253846153846,168.0426,,2022-11-21 00:00:00+00:00
77,176.82,173.71666666666667,171.91884615384612,168.35240000000002,,2022-11-22 00:00:00+00:00
78,177.01,174.0525,172.34192307692308,168.59940000000003,,2022-11-23 00:00:00+00:00
79,177.24,174.3358333333333,172.82461538461536,168.84260000000003,,2022-11-25 00:00:00+00:00
80,177.33,174.74249999999998,173.29461538461538,169.0372,,2022-11-28 00:00:00+00:00
81,176.09,174.87749999999997,173.57846153846154,169.2334,,2022-11-29 00:00:00+00:00
82,178.0,175.60666666666665,173.84846153846152,169.49400000000003,,2022-11-30 00:00:00+00:00
83,178.74,176.17583333333334,174.15730769230765,169.8032,,2022-12-01 00:00:00+00:00
84,178.88,176.71666666666667,174.41384615384612,170.05720000000002,,2022-12-02 00:00:00+00:00
85,178.78,177.16,174.66269230769234,170.29840000000002,,2022-12-05 00:00:00+00:00
86,176.1,177.26333333333332,174.71,170.50640000000004,,2022-12-06 00:00:00+00:00
87,177.17,177.34416666666667,174.83307692307693,170.75100000000003,,2022-12-07 00:00:00+00:00
88,177.2,177.4466666666667,174.99115384615382,170.96779999999998,,2022-12-08 00:00:00+00:00
89,175.74,177.35666666666668,175.19538461538465,171.192,,2022-12-09 00:00:00+00:00
90,177.84,177.42583333333334,175.46923076923076,171.4816,,2022-12-12 00:00:00+00:00
91,179.21,177.59,175.76653846153843,171.80180000000001,,2022-12-13 00:00:00+00:00
92,179.76,177.79250000000002,176.0273076923077,172.08460000000002,,2022-12-14 00:00:00+00:00
93,177.49,177.90916666666666,176.1676923076923,172.3322,,2022-12-15 00:00:00+00:00
