,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,112.36,,,,,2022-08-04 00:00:00+00:00
1,115.76,,,,,2022-08-05 00:00:00+00:00
2,114.35,,,,,2022-08-08 00:00:00+00:00
3,115.38,,,,,2022-08-09 00:00:00+00:00
4,118.39,,,,,2022-08-10 00:00:00+00:00
5,120.14,,,,,2022-08-11 00:00:00+00:00
6,122.13,,,,,2022-08-12 00:00:00+00:00
7,122.46,,,,,2022-08-15 00:00:00+00:00
8,123.63,,,,,2022-08-16 00:00:00+00:00
9,122.59,,,,,2022-08-17 00:00:00+00:00
10,121.64,,,,,2022-08-18 00:00:00+00:00
11,118.63,118.955,,,,2022-08-19 00:00:00+00:00
12,116.67,119.31416666666667,,,,2022-08-22 00:00:00+00:00
13,115.52,119.29416666666664,,,,2022-08-23 00:00:00+00:00
14,115.8,119.415,,,,2022-08-24 00:00:00+00:00
15,118.55,119.67916666666667,,,,2022-08-25 00:00:00+00:00
16,114.67,119.36916666666667,,,,2022-08-26 00:00:00+00:00
17,114.39,118.88999999999999,,,,2022-08-29 00:00:00+00:00
18,114.41,118.24666666666667,,,,2022-08-30 00:00:00+00:00
19,113.73,117.51916666666666,,,,2022-08-31 00:00:00+00:00
20,114.51,116.75916666666667,,,,2022-09-01 00:00:00+00:00
21,113.71,116.01916666666666,,,,2022-09-02 00:00:00+00:00
22,113.74,115.36083333333333,,,,2022-09-06 00:00:00+00:00
23,115.9,115.13333333333333,,,,2022-09-07 00:00:00+00:00
24,118.6,115.29416666666668,,,,2022-09-08 00:00:00+00:00
25,119.17,115.59833333333334,117.18576923076922,,,2022-09-09 00:00:00+00:00
26,120.58,115.99666666666667,117.50192307692306,,,2022-09-12 00:00:00+00:00
27,116.39,115.81666666666666,117.52615384615386,,,2022-09-13 00:00:00+00:00
28,116.12,115.9375,117.59423076923078,,,2022-09-14 00:00:00+00:00
29,117.87,116.2275,117.69,,,2022-09-15 00:00:00+00:00
30,117.08,116.44999999999999,117.63961538461538,,,2022-09-16 00:00:00+00:00
31,118.16,116.81916666666666,117.56346153846152,,,2022-09-19 00:00:00+00:00
32,115.83,116.92916666666666,117.32115384615385,,,2022-09-20 00:00:00+00:00
33,112.49,116.82749999999999,116.93769230769232,,,2022-09-21 00:00:00+00:00
34,111.21,116.61666666666667,116.46000000000001,,,2022-09-22 00:00:00+00:00
35,109.14,116.05333333333334,115.9426923076923,,,2022-09-23 00:00:00+00:00
36,106.79,115.06916666666666,115.37153846153845,,,2022-09-26 00:00:00+00:00
37,105.85,113.95916666666666,114.88000000000001,,,2022-09-27 00:00:00+00:00
38,107.99,112.90999999999998,114.54615384615384,,,2022-09-28 00:00:00+00:00
