,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,397.4,,,,,2022-08-04 00:00:00+00:00
1,395.74,,,,,2022-08-05 00:00:00+00:00
2,387.68,,,,,2022-08-08 00:00:00+00:00
3,358.32,,,,,2022-08-09 00:00:00+00:00
4,374.51,,,,,2022-08-10 00:00:00+00:00
5,372.75,,,,,2022-08-11 00:00:00+00:00
6,381.2,,,,,2022-08-12 00:00:00+00:00
7,384.32,,,,,2022-08-15 00:00:00+00:00
8,380.73,,,,,2022-08-16 00:00:00+00:00
9,375.09,,,,,2022-08-17 00:00:00+00:00
10,382.02,,,,,2022-08-18 00:00:00+00:00
11,371.81,380.1308333333333,,,,2022-08-19 00:00:00+00:00
12,359.8,376.9975,,,,2022-08-22 00:00:00+00:00
13,362.45,374.2233333333333,,,,2022-08-23 00:00:00+00:00
14,362.67,372.13916666666665,,,,2022-08-24 00:00:00+00:00
15,376.72,373.67249999999996,,,,2022-08-25 00:00:00+00:00
16,359.18,372.39500000000004,,,,2022-08-26 00:00:00+00:00
17,353.38,370.7808333333333,,,,2022-08-29 00:00:00+00:00
18,347.14,367.94250000000005,,,,2022-08-30 00:00:00+00:00
19,344.13,364.5933333333333,,,,2022-08-31 00:00:00+00:00
20,337.11,360.9583333333333,,,,2022-09-01 00:00:00+00:00
21,335.25,357.6383333333333,,,,2022-09-02 00:00:00+00:00
22,330.58,353.3516666666667,,,,2022-09-06 00:00:00+00:00
23,337.82,350.51916666666665,,,,2022-09-07 00:00:00+00:00
24,351.09,349.79333333333335,,,,2022-09-08 00:00:00+00:00
25,358.67,349.4783333333333,364.52153846153846,,,2022-09-09 00:00:00+00:00
26,357.47,349.045,362.9857692307693,,,2022-09-12 00:00:00+00:00
27,340.68,346.0416666666667,360.8680769230769,,,2022-09-13 00:00:00+00:00
28,346.61,344.9941666666667,359.28846153846155,,,2022-09-14 00:00:00+00:00
29,337.36,343.65916666666664,358.4823076923077,,,2022-09-15 00:00:00+00:00
30,335.53,342.69166666666666,356.9830769230769,,,2022-09-16 00:00:00+00:00
31,334.35,341.8766666666667,355.50615384615384,,,2022-09-19 00:00:00+00:00
32,329.9,341.2758333333333,353.53307692307686,,,2022-09-20 00:00:00+00:00
33,322.86,340.24333333333334,351.16923076923075,,,2022-09-21 00:00:00+00:00
34,313.07,338.78416666666664,348.56692307692305,,,2022-09-22 00:00:00+00:00
35,307.6,336.2658333333334,345.97115384615387,,,2022-09-23 00:00:00+00:00
36,303.57,332.30583333333334,342.95384615384614,,,2022-09-26 00:00:00+00:00
37,308.38,328.115,340.5142307692308,,,2022-09-27 00:00:00+00:00
38,315.69,324.6333333333333,338.81769230769225,,,2022-09-28 00:00:00+00:00
39,310.71,322.1358333333333,336.8276923076923,,,2022-09-29 00:00:00+00:00
40,302.63,318.4708333333333,334.5184615384615,,,2022-09-30 00:00:00+00:00
41,316.53,316.735,332.20346153846157,,,2022-10-03 00:00:00+00:00
42,327.29,316.04833333333335,330.97692307692313,,,2022-10-04 00:00:00+00:00
43,329.05,315.6066666666667,330.04115384615386,,,2022-10-05 00:00:00+00:00
44,327.49,315.4058333333333,329.2853846153846,,,2022-10-06 00:00:00+00:00
45,314.16,314.68083333333334,328.1326923076923,,,2022-10-07 00:00:00+00:00
46,299.34,313.5366666666667,326.68,,,2022-10-10 00:00:00+00:00
47,280.92,311.31333333333333,324.5903846153846,,,2022-10-11 00:00:00+00:00
48,274.81,308.9166666666667,322.4453846153846,,,2022-10-12 00:00:00+00:00
49,278.54,306.43,320.1653846153846,341.842,,2022-10-13 00:00:00+00:00
50,263.7,302.0975,316.80423076923074,339.16799999999995,,2022-10-14 00:00:00+00:00
