,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,132.76,,,,,2022-08-04 00:00:00+00:00
1,133.38,,,,,2022-08-05 00:00:00+00:00
2,134.29,,,,,2022-08-08 00:00:00+00:00
3,134.42,,,,,2022-08-09 00:00:00+00:00
4,135.66,,,,,2022-08-10 00:00:00+00:00
5,134.63,,,,,2022-08-11 00:00:00+00:00
6,135.48,,,,,2022-08-12 00:00:00+00:00
7,136.45,,,,,2022-08-15 00:00:00+00:00
8,137.39,,,,,2022-08-16 00:00:00+00:00
9,136.83,,,,,2022-08-17 00:00:00+00:00
10,137.1,,,,,2022-08-18 00:00:00+00:00
11,136.95,135.445,,,,2022-08-19 00:00:00+00:00
12,136.21,135.7325,,,,2022-08-22 00:00:00+00:00
13,134.24,135.80416666666665,,,,2022-08-23 00:00:00+00:00
14,133.69,135.75416666666666,,,,2022-08-24 00:00:00+00:00
15,132.89,135.62666666666667,,,,2022-08-25 00:00:00+00:00
16,129.52,135.11499999999998,,,,2022-08-26 00:00:00+00:00
17,129.58,134.6941666666667,,,,2022-08-29 00:00:00+00:00
18,128.83,134.14000000000001,,,,2022-08-30 00:00:00+00:00
19,127.52,133.39583333333334,,,,2022-08-31 00:00:00+00:00
20,128.52,132.65666666666667,,,,2022-09-01 00:00:00+00:00
21,126.48,131.79416666666665,,,,2022-09-02 00:00:00+00:00
22,125.71,130.845,,,,2022-09-06 00:00:00+00:00
23,127.44,130.0525,,,,2022-09-07 00:00:00+00:00
24,125.5,129.16,,,,2022-09-08 00:00:00+00:00
25,126.84,128.54333333333332,132.2426923076923,,,2022-09-09 00:00:00+00:00
26,126.91,127.97833333333334,132.0176923076923,,,2022-09-12 00:00:00+00:00
27,123.76,127.21750000000002,131.64769230769232,,,2022-09-13 00:00:00+00:00
28,121.81,126.575,131.1676923076923,,,2022-09-14 00:00:00+00:00
29,121.42,125.895,130.6676923076923,,,2022-09-15 00:00:00+00:00
30,122.02,125.3275,130.14307692307693,,,2022-09-16 00:00:00+00:00
31,122.82,124.93583333333333,129.68884615384616,,,2022-09-19 00:00:00+00:00
32,121.56,124.35583333333334,129.15346153846156,,,2022-09-20 00:00:00+00:00
33,120.73,123.87666666666667,128.54884615384614,,,2022-09-21 00:00:00+00:00
34,120.71,123.46,127.9073076923077,,,2022-09-22 00:00:00+00:00
35,120.29,122.86416666666666,127.27115384615385,,,2022-09-23 00:00:00+00:00
36,118.78,122.30416666666666,126.56653846153846,,,2022-09-26 00:00:00+00:00
37,117.19,121.5,125.80653846153845,,,2022-09-27 00:00:00+00:00
38,117.18,120.68916666666667,125.07461538461538,,,2022-09-28 00:00:00+00:00
39,114.98,119.9575,124.33384615384615,,,2022-09-29 00:00:00+00:00
40,112.54,119.185,123.5203846153846,,,2022-09-30 00:00:00+00:00
41,114.08,118.57333333333332,122.7969230769231,,,2022-10-03 00:00:00+00:00
42,116.23,118.09083333333332,122.28576923076925,,,2022-10-04 00:00:00+00:00
43,114.58,117.40416666666668,121.70884615384617,,,2022-10-05 00:00:00+00:00
44,112.19,116.62333333333333,121.06884615384617,,,2022-10-06 00:00:00+00:00
45,109.59,115.69500000000001,120.37923076923076,,,2022-10-07 00:00:00+00:00
46,110.16,114.81583333333333,119.67307692307692,,,2022-10-10 00:00:00+00:00
47,111.37,114.0725,119.09192307692307,,,2022-10-11 00:00:00+00:00
48,112.86,113.57916666666667,118.59769230769233,,,2022-10-12 00:00:00+00:00
49,114.58,113.36166666666668,118.10307692307694,125.133,,2022-10-13 00:00:00+00:00
50,113.21,113.03083333333332,117.63038461538463,124.74199999999999,,2022-10-14 00:00:00+00:00
51,114.18,112.96416666666666,117.14346153846154,124.35799999999999,,2022-10-17 00:00:00+00:00
52,115.48,113.20916666666666,116.70384615384616,123.9818,,2022-10-18 00:00:00+00:00
53,114.94,113.28083333333335,116.36461538461539,123.59219999999999,,2022-10-19 00:00:00+00:00
54,112.32,112.955,115.9996153846154,123.12539999999998,,2022-10-20 00:00:00+00:00
55,113.96,112.90333333333332,115.7126923076923,122.71199999999999,,2022-10-21 00:00:00+00:00
56,115.86,113.20916666666666,115.47576923076923,122.31960000000001,,2022-10-24 00:00:00+00:00
57,119.49,114.03416666666665,115.34769230769231,121.9804,,2022-10-25 00:00:00+00:00
58,120.21,114.87166666666667,115.29576923076924,121.63680000000001,,2022-10-26 00:00:00+00:00
59,121.3,115.69916666666666,115.3176923076923,121.32620000000001,,2022-10-27 00:00:00+00:00
60,124.28,116.65083333333332,115.455,121.0698,,2022-10-28 00:00:00+00:00
61,124.46,117.47416666666665,115.61538461538461,120.82,,2022-10-31 00:00:00+00:00
62,124.35,118.40250000000002,115.8296153846154,120.58279999999999,,2022-11-01 00:00:00+00:00
63,122.27,119.07666666666667,116.025,120.3434,,2022-11-02 00:00:00+00:00
64,122.02,119.62166666666667,116.21115384615385,120.11,,2022-11-03 00:00:00+00:00
65,122.52,120.25333333333333,116.50115384615385,119.9026,,2022-11-04 00:00:00+00:00
66,124.32,121.25333333333333,116.95423076923075,119.7986,,2022-11-07 00:00:00+00:00
67,124.58,122.13833333333332,117.35807692307692,119.69859999999998,,2022-11-08 00:00:00+00:00
68,123.83,122.80250000000001,117.65038461538461,119.59859999999999,,2022-11-09 00:00:00+00:00
69,127.78,123.49333333333334,118.1580769230769,119.6038,,2022-11-10 00:00:00+00:00
70,127.45,124.09666666666668,118.74499999999999,119.58239999999999,,2022-11-11 00:00:00+00:00
71,127.56,124.61833333333334,119.43615384615386,119.604,,2022-11-14 00:00:00+00:00
72,128.14,124.94,120.1276923076923,119.6526,,2022-11-15 00:00:00+00:00
73,129.01,125.31916666666666,120.80615384615385,119.684,,2022-11-16 00:00:00+00:00
74,128.87,125.69583333333333,121.42192307692306,119.75139999999999,,2022-11-17 00:00:00+00:00
75,131.4,126.45666666666665,122.06884615384615,119.84259999999999,,2022-11-18 00:00:00+00:00
76,133.49,127.41249999999998,122.84884615384614,119.9742,,2022-11-21 00:00:00+00:00
77,134.98,128.45083333333332,123.64884615384615,120.1986,,2022-11-22 00:00:00+00:00
78,134.0,129.2575,124.36115384615384,120.44239999999999,,2022-11-23 00:00:00+00:00
79,135.03,130.12833333333333,125.13384615384615,120.71459999999999,,2022-11-25 00:00:00+00:00
80,133.31,130.91833333333332,125.94115384615384,120.94040000000001,,2022-11-28 00:00:00+00:00
81,133.16,131.36666666666665,126.67961538461539,121.1472,,2022-11-29 00:00:00+00:00
82,135.63,132.04833333333332,127.44,121.4286,,2022-11-30 00:00:00+00:00
83,136.6,132.80166666666665,128.09807692307692,121.74600000000001,,2022-12-01 00:00:00+00:00
84,137.93,133.6175,128.77961538461537,122.09039999999999,,2022-12-02 00:00:00+00:00
85,137.17,134.2975,129.39,122.428,,2022-12-05 00:00:00+00:00
86,136.01,134.8925,129.84115384615384,122.7726,,2022-12-06 00:00:00+00:00
87,136.7,135.33416666666668,130.31192307692305,123.16279999999999,,2022-12-07 00:00:00+00:00
88,136.76,135.60666666666665,130.78923076923076,123.5544,,2022-12-08 00:00:00+00:00
89,136.2,135.70833333333334,131.325,123.97879999999999,,2022-12-09 00:00:00+00:00
90,137.96,136.03833333333333,131.93807692307692,124.48719999999999,,2022-12-12 00:00:00+00:00
91,138.71,136.345,132.56076923076924,124.9798,,2022-12-13 00:00:00+00:00
92,139.1,136.8275,133.1292307692308,125.43720000000002,,2022-12-14 00:00:00+00:00
93,136.42,137.09916666666666,133.58461538461538,125.874,,2022-12-15 00:00:00+00:00
94,135.32,137.07333333333332,134.02653846153845,126.3366,,2022-12-16 00:00:00+00:00
95,135.66,136.995,134.32961538461538,126.85799999999999,,2022-12-19 00:00:00+00:00
96,135.38,136.7825,134.6346153846154,127.3624,,2022-12-20 00:00:00+00:00
97,136.96,136.765,134.99615384615385,127.8742,,2022-12-21 00:00:00+00:00
98,137.44,136.8841666666667,135.35384615384615,128.3658,,2022-12-22 00:00:00+00:00
99,137.15,136.92166666666665,135.66692307692307,128.8172,,2022-12-23 00:00:00+00:00
100,138.38,137.05666666666667,136.03269230769232,129.32059999999998,,2022-12-27 00:00:00+00:00
101,136.52,137.08333333333334,136.22961538461539,129.7674,,2022-12-28 00:00:00+00:00
102,137.24,137.02333333333334,136.37384615384616,130.2026,,2022-12-29 00:00:00+00:00
103,135.75,136.77666666666667,136.40346153846153,130.6188,,2022-12-30 00:00:00+00:00
104,137.11,136.61083333333332,136.52307692307693,131.1146,,2023-01-03 00:00:00+00:00
105,136.81,136.64333333333335,136.59153846153845,131.5716,,2023-01-04 00:00:00+00:00
106,135.54,136.66166666666666,136.6773076923077,131.96519999999998,,2023-01-05 00:00:00+00:00
107,138.45,136.89416666666668,136.88076923076923,132.34439999999998,,2023-01-06 00:00:00+00:00
108,137.02,137.03083333333333,136.93423076923077,132.6806,,2023-01-09 00:00:00+00:00
109,135.86,136.93916666666667,136.90576923076924,132.97179999999997,,2023-01-10 00:00:00+00:00
110,136.31,136.845,136.84346153846155,133.2124,,2023-01-11 00:00:00+00:00
111,136.24,136.76916666666668,136.80769230769232,133.44799999999998,,2023-01-12 00:00:00+00:00
112,136.83,136.64000000000001,136.83923076923077,133.6976,,2023-01-13 00:00:00+00:00
113,136.86,136.66833333333332,136.8453846153846,133.98940000000002,,2023-01-17 00:00:00+00:00
114,132.84,136.30166666666668,136.6946153846154,134.2058,,2023-01-18 00:00:00+00:00
115,132.16,136.0025,136.53923076923076,134.39860000000002,,2023-01-19 00:00:00+00:00
116,135.13,135.8375,136.4303846153846,134.6148,,2023-01-20 00:00:00+00:00
117,134.23,135.6225,136.2580769230769,134.80780000000001,,2023-01-23 00:00:00+00:00
118,134.63,135.54666666666665,136.08615384615385,135.02380000000002,,2023-01-24 00:00:00+00:00
119,132.06,135.01416666666668,135.91846153846154,135.1094,,2023-01-25 00:00:00+00:00
120,130.27,134.45166666666668,135.7242307692308,135.1658,,2023-01-26 00:00:00+00:00
121,128.92,133.87333333333333,135.465,135.193,,2023-01-27 00:00:00+00:00
122,128.99,133.26333333333335,135.21923076923076,135.21,,2023-01-30 00:00:00+00:00
123,130.01,132.74416666666667,134.95192307692307,135.23,,2023-01-31 00:00:00+00:00
124,130.01,132.17583333333332,134.66615384615386,135.2528,,2023-02-01 00:00:00+00:00
125,130.18,131.61916666666667,134.39807692307693,135.2284,,2023-02-02 00:00:00+00:00
126,131.26,131.48749999999998,134.12423076923076,135.1838,,2023-02-03 00:00:00+00:00
127,130.39,131.34,133.88846153846154,135.092,,2023-02-06 00:00:00+00:00
