,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,302.24,,,,,2022-08-04 00:00:00+00:00
1,301.97,,,,,2022-08-05 00:00:00+00:00
2,300.98,,,,,2022-08-08 00:00:00+00:00
3,300.67,,,,,2022-08-09 00:00:00+00:00
4,309.4,,,,,2022-08-10 00:00:00+00:00
5,305.87,,,,,2022-08-11 00:00:00+00:00
6,311.55,,,,,2022-08-12 00:00:00+00:00
7,312.21,,,,,2022-08-15 00:00:00+00:00
8,312.29,,,,,2022-08-16 00:00:00+00:00
9,309.46,,,,,2022-08-17 00:00:00+00:00
10,310.17,,,,,2022-08-18 00:00:00+00:00
11,303.75,306.7133333333333,,,,2022-08-19 00:00:00+00:00
12,295.79,306.1758333333333,,,,2022-08-22 00:00:00+00:00
13,294.18,305.5266666666667,,,,2022-08-23 00:00:00+00:00
14,293.13,304.8725,,,,2022-08-24 00:00:00+00:00
15,297.12,304.57666666666665,,,,2022-08-25 00:00:00+00:00
16,286.25,302.6475,,,,2022-08-26 00:00:00+00:00
17,287.51,301.1175,,,,2022-08-29 00:00:00+00:00
18,284.65,298.87583333333333,,,,2022-08-30 00:00:00+00:00
19,282.86,296.43,,,,2022-08-31 00:00:00+00:00
20,279.14,293.66749999999996,,,,2022-09-01 00:00:00+00:00
21,277.71,291.0216666666667,,,,2022-09-02 00:00:00+00:00
22,276.94,288.2525,,,,2022-09-06 00:00:00+00:00
23,285.83,286.75916666666666,,,,2022-09-07 00:00:00+00:00
24,283.91,285.76916666666665,,,,2022-09-08 00:00:00+00:00
25,287.03,285.17333333333335,295.8696153846154,,,2022-09-09 00:00:00+00:00
26,294.51,285.2883333333333,295.5723076923077,,,2022-09-12 00:00:00+00:00
27,285.58,284.32666666666665,294.94192307692305,,,2022-09-13 00:00:00+00:00
28,286.57,284.3533333333333,294.3876923076923,,,2022-09-14 00:00:00+00:00
29,282.9,283.9691666666667,293.7042307692308,,,2022-09-15 00:00:00+00:00
30,283.36,283.8616666666667,292.7026923076923,,,2022-09-16 00:00:00+00:00
31,285.14,284.0516666666667,291.9053846153846,,,2022-09-19 00:00:00+00:00
32,281.53,284.25083333333333,290.7507692307692,,,2022-09-20 00:00:00+00:00
33,276.53,284.1525,289.3784615384615,,,2022-09-21 00:00:00+00:00
34,274.07,283.9133333333333,287.90846153846155,,,2022-09-22 00:00:00+00:00
35,269.15,282.5233333333333,286.3580769230769,,,2022-09-23 00:00:00+00:00
36,264.25,280.885,284.5919230769231,,,2022-09-26 00:00:00+00:00
37,265.2,279.06583333333333,283.10923076923075,,,2022-09-27 00:00:00+00:00
38,271.45,277.14416666666665,282.1730769230769,,,2022-09-28 00:00:00+00:00
39,269.61,275.81333333333333,281.2280769230769,,,2022-09-29 00:00:00+00:00
40,269.59,274.3983333333333,280.3226923076923,,,2022-09-30 00:00:00+00:00
41,275.82,273.80833333333334,279.5034615384615,,,2022-10-03 00:00:00+00:00
42,286.46,274.06666666666666,279.51153846153846,,,2022-10-04 00:00:00+00:00
43,283.79,273.95416666666665,279.36846153846153,,,2022-10-05 00:00:00+00:00
44,278.82,273.7283333333333,279.1442307692308,,,2022-10-06 00:00:00+00:00
45,273.2,273.4508333333333,278.7726923076923,,,2022-10-07 00:00:00+00:00
46,271.83,273.26416666666665,278.4915384615384,,,2022-10-10 00:00:00+00:00
47,271.0,273.41833333333335,278.23346153846154,,,2022-10-11 00:00:00+00:00
48,271.59,274.03000000000003,278.0276923076923,,,2022-10-12 00:00:00+00:00
49,282.46,275.4683333333333,277.8980769230769,286.9404,,2022-10-13 00:00:00+00:00
50,275.34,275.79249999999996,277.5684615384615,286.4024,,2022-10-14 00:00:00+00:00
51,280.92,276.73499999999996,277.33346153846156,285.9814,,2022-10-17 00:00:00+00:00
52,284.66,277.99083333333334,276.95461538461535,285.655,,2022-10-18 00:00:00+00:00
53,283.91,278.665,276.8903846153846,285.3198,,2022-10-19 00:00:00+00:00
54,282.23,278.3125,276.72346153846155,284.77639999999997,,2022-10-20 00:00:00+00:00
55,288.32,278.69,276.93192307692306,284.4254,,2022-10-21 00:00:00+00:00
56,278.12,278.6316666666667,276.7303846153846,283.7568,,2022-10-24 00:00:00+00:00
57,288.18,279.88,276.8473076923077,283.2762,,2022-10-25 00:00:00+00:00
58,294.84,281.7975,277.35923076923075,282.92719999999997,,2022-10-26 00:00:00+00:00
59,293.26,283.6525,278.0026923076923,282.6032,,2022-10-27 00:00:00+00:00
60,301.8,286.17,279.0692307692307,282.43580000000003,,2022-10-28 00:00:00+00:00
61,297.35,287.4108333333333,280.15384615384613,282.3078,,2022-10-31 00:00:00+00:00
62,298.17,289.31333333333333,281.45846153846156,282.3554,,2022-11-01 00:00:00+00:00
63,294.34,290.4316666666667,282.5792307692308,282.35859999999997,,2022-11-02 00:00:00+00:00
64,297.6,291.51000000000005,283.585,282.448,,2022-11-03 00:00:00+00:00
65,308.93,293.59499999999997,285.0973076923077,282.6842,,2022-11-04 00:00:00+00:00
66,313.49,296.2,286.78576923076923,283.229,,2022-11-07 00:00:00+00:00
67,314.71,298.39916666666664,288.28153846153845,283.77299999999997,,2022-11-08 00:00:00+00:00
68,314.44,301.4258333333333,289.35769230769233,284.36879999999996,,2022-11-09 00:00:00+00:00
69,328.37,304.77500000000003,291.0723076923077,285.279,,2022-11-10 00:00:00+00:00
70,330.22,307.7233333333333,293.0492307692308,286.3006,,2022-11-11 00:00:00+00:00
71,332.08,310.9583333333333,295.31384615384616,287.388,,2022-11-14 00:00:00+00:00
72,332.56,313.52166666666665,297.64961538461534,288.5004,,2022-11-15 00:00:00+00:00
73,333.73,316.55333333333334,300.0623076923077,289.4584,,2022-11-16 00:00:00+00:00
74,330.34,319.2341666666667,302.3219230769231,290.387,,2022-11-17 00:00:00+00:00
75,334.91,322.615,304.33923076923077,291.3446,,2022-11-18 00:00:00+00:00
76,334.37,325.6791666666667,306.6096153846154,292.1418,,2022-11-21 00:00:00+00:00
77,339.76,328.24833333333333,308.8726923076923,293.2254,,2022-11-22 00:00:00+00:00
