,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,305.79,,,,,2022-08-04 00:00:00+00:00
1,301.32,,,,,2022-08-05 00:00:00+00:00
2,302.5,,,,,2022-08-08 00:00:00+00:00
3,303.02,,,,,2022-08-09 00:00:00+00:00
4,304.61,,,,,2022-08-10 00:00:00+00:00
5,301.17,,,,,2022-08-11 00:00:00+00:00
6,308.08,,,,,2022-08-12 00:00:00+00:00
7,313.94,,,,,2022-08-15 00:00:00+00:00
8,310.31,,,,,2022-08-16 00:00:00+00:00
9,316.82,,,,,2022-08-17 00:00:00+00:00
10,316.72,,,,,2022-08-18 00:00:00+00:00
11,322.77,308.92083333333335,,,,2022-08-19 00:00:00+00:00
12,323.1,310.36333333333334,,,,2022-08-22 00:00:00+00:00
13,315.1,311.51166666666666,,,,2022-08-23 00:00:00+00:00
14,318.87,312.87583333333333,,,,2022-08-24 00:00:00+00:00
15,323.14,314.5525,,,,2022-08-25 00:00:00+00:00
16,315.56,315.46500000000003,,,,2022-08-26 00:00:00+00:00
17,310.15,316.21333333333337,,,,2022-08-29 00:00:00+00:00
18,307.04,316.1266666666667,,,,2022-08-30 00:00:00+00:00
19,301.23,315.06750000000005,,,,2022-08-31 00:00:00+00:00
20,309.13,314.96916666666664,,,,2022-09-01 00:00:00+00:00
21,301.33,313.67833333333334,,,,2022-09-02 00:00:00+00:00
22,306.82,312.8533333333333,,,,2022-09-06 00:00:00+00:00
23,311.6,311.92249999999996,,,,2022-09-07 00:00:00+00:00
24,315.5,311.28916666666663,,,,2022-09-08 00:00:00+00:00
25,317.7,311.5058333333333,310.8969230769231,,,2022-09-09 00:00:00+00:00
26,315.22,311.20166666666665,311.25961538461536,,,2022-09-12 00:00:00+00:00
27,306.48,309.81333333333333,311.45807692307693,,,2022-09-13 00:00:00+00:00
28,309.61,309.3175,311.7315384615385,,,2022-09-14 00:00:00+00:00
29,309.47,309.2608333333333,311.9796153846154,,,2022-09-15 00:00:00+00:00
30,308.89,309.415,312.1442307692308,,,2022-09-16 00:00:00+00:00
31,305.09,309.7366666666666,312.295,,,2022-09-19 00:00:00+00:00
32,301.73,309.12,312.0507692307693,,,2022-09-20 00:00:00+00:00
33,296.48,308.7158333333333,311.37923076923073,,,2022-09-21 00:00:00+00:00
34,310.87,309.05333333333334,311.40076923076924,,,2022-09-22 00:00:00+00:00
35,311.46,309.0416666666667,311.19461538461536,,,2022-09-23 00:00:00+00:00
36,307.5,308.375,310.84000000000003,,,2022-09-26 00:00:00+00:00
37,311.1,307.825,310.3911538461538,,,2022-09-27 00:00:00+00:00
38,334.38,309.4216666666667,310.82500000000005,,,2022-09-28 00:00:00+00:00
39,330.01,311.3825,311.39846153846156,,,2022-09-29 00:00:00+00:00
40,323.35,312.5275,311.57076923076926,,,2022-09-30 00:00:00+00:00
41,321.55,313.53416666666664,311.50961538461536,,,2022-10-03 00:00:00+00:00
42,329.89,315.28416666666664,312.06076923076927,,,2022-10-04 00:00:00+00:00
43,331.78,317.5083333333334,312.8926923076923,,,2022-10-05 00:00:00+00:00
44,332.95,320.11,313.8892307692308,,,2022-10-06 00:00:00+00:00
45,326.66,322.625,314.8673076923077,,,2022-10-07 00:00:00+00:00
46,323.89,323.71,315.435,,,2022-10-10 00:00:00+00:00
47,327.6,325.055,316.4453846153846,,,2022-10-11 00:00:00+00:00
48,324.57,326.47749999999996,317.12807692307695,,,2022-10-12 00:00:00+00:00
49,332.1,328.2275,317.91653846153844,314.319,,2022-10-13 00:00:00+00:00
50,331.39,327.97833333333335,318.52769230769235,314.83099999999996,,2022-10-14 00:00:00+00:00
51,332.76,328.2075,319.1069230769231,315.4598,,2022-10-17 00:00:00+00:00
52,335.03,329.18083333333334,319.86884615384616,316.1104,,2022-10-18 00:00:00+00:00
53,329.29,329.8258333333333,320.74615384615385,316.6358,,2022-10-19 00:00:00+00:00
54,329.07,329.7575,321.49461538461543,317.125,,2022-10-20 00:00:00+00:00
55,340.77,330.50666666666666,322.6984615384615,317.91700000000003,,2022-10-21 00:00:00+00:00
56,347.9,331.7525,324.19884615384615,318.7134,,2022-10-24 00:00:00+00:00
57,351.31,333.8066666666667,325.97653846153844,319.4608,,2022-10-25 00:00:00+00:00
58,357.86,336.6375,328.1353846153846,320.4118,,2022-10-26 00:00:00+00:00
59,356.33,339.0316666666667,330.43730769230774,321.202,,2022-10-27 00:00:00+00:00
60,359.9,341.97583333333336,332.3230769230769,322.06559999999996,,2022-10-28 00:00:00+00:00
61,362.09,344.47499999999997,334.2703846153846,322.85200000000003,,2022-10-31 00:00:00+00:00
62,352.58,346.2408333333333,336.0042307692308,323.4416,,2022-11-01 00:00:00+00:00
63,354.96,348.09083333333325,337.69115384615384,324.2388,,2022-11-02 00:00:00+00:00
64,361.68,350.31166666666667,338.74115384615385,325.095,,2022-11-03 00:00:00+00:00
65,357.41,352.655,339.795,325.7804,,2022-11-04 00:00:00+00:00
66,365.07,355.655,341.39961538461534,326.7706,,2022-11-07 00:00:00+00:00
67,366.66,357.8125,343.13461538461536,327.9008,,2022-11-08 00:00:00+00:00
68,363.27,359.0933333333333,344.4184615384615,329.0254,,2022-11-09 00:00:00+00:00
69,368.72,360.5441666666666,345.8392307692308,330.37520000000006,,2022-11-10 00:00:00+00:00
70,352.3,360.0808333333334,346.58346153846156,331.2386,,2022-11-11 00:00:00+00:00
71,356.06,360.05833333333334,347.71423076923077,332.3332,,2022-11-14 00:00:00+00:00
72,349.95,359.2291666666667,348.7165384615385,333.1958,,2022-11-15 00:00:00+00:00
73,352.93,358.46583333333336,349.69076923076926,334.0224,,2022-11-16 00:00:00+00:00
74,360.77,359.1483333333333,351.08307692307693,334.9278,,2022-11-17 00:00:00+00:00
75,361.67,359.7075,352.2203846153846,335.80719999999997,,2022-11-18 00:00:00+00:00
76,361.17,359.665,353.3657692307692,336.7262,,2022-11-21 00:00:00+00:00
77,360.88,359.95416666666665,354.44730769230773,337.8142,,2022-11-22 00:00:00+00:00
78,361.72,359.675,355.4738461538461,338.8564,,2022-11-23 00:00:00+00:00
79,365.25,359.55749999999995,356.856923076923,339.972,,2022-11-25 00:00:00+00:00
80,365.77,359.7658333333333,358.2684615384615,341.1096,,2022-11-28 00:00:00+00:00
81,363.95,359.36833333333334,359.15999999999997,342.2868,,2022-11-29 00:00:00+00:00
82,371.08,360.93333333333334,360.0515384615385,343.6738,,2022-11-30 00:00:00+00:00
83,370.33,362.1225,360.7830769230769,345.1508,,2022-12-01 00:00:00+00:00
84,374.76,364.19,361.43307692307684,346.42859999999996,,2022-12-02 00:00:00+00:00
85,369.29,365.5533333333333,361.9315384615384,347.5852,,2022-12-05 00:00:00+00:00
86,368.54,366.2008333333333,362.2638461538462,348.806,,2022-12-06 00:00:00+00:00
87,371.97,367.05916666666667,362.64384615384614,350.02340000000004,,2022-12-07 00:00:00+00:00
88,371.79,367.94416666666666,363.38269230769225,350.7716,,2022-12-08 00:00:00+00:00
89,360.99,367.9533333333334,363.61461538461543,351.3912,,2022-12-09 00:00:00+00:00
90,367.25,368.4141666666667,363.8288461538462,352.26919999999996,,2022-12-12 00:00:00+00:00
91,358.66,367.865,363.8769230769231,353.0114,,2022-12-13 00:00:00+00:00
92,363.5,367.6758333333333,363.8165384615385,353.6836,,2022-12-14 00:00:00+00:00
93,360.01,367.3475,363.5607692307693,354.24820000000005,,2022-12-15 00:00:00+00:00
94,359.87,366.41333333333336,363.43,354.7866,,2022-12-16 00:00:00+00:00
95,357.78,365.3675,363.0092307692308,355.409,,2022-12-19 00:00:00+00:00
96,359.64,364.1075,363.29153846153844,356.124,,2022-12-20 00:00:00+00:00
97,368.01,364.00083333333333,363.7511538461539,356.9322,,2022-12-21 00:00:00+00:00
98,365.31,363.7316666666666,364.3419230769231,357.74699999999996,,2022-12-22 00:00:00+00:00
99,367.9,363.3925,364.9176923076923,358.463,,2022-12-23 00:00:00+00:00
100,364.88,362.81666666666666,365.07576923076925,359.1328000000001,,2022-12-27 00:00:00+00:00
101,365.22,363.1691666666666,365.2123076923077,359.782,,2022-12-28 00:00:00+00:00
102,367.02,363.15000000000003,365.43730769230774,360.4218,,2022-12-29 00:00:00+00:00
103,365.84,363.7483333333334,365.62807692307695,361.1528,,2022-12-30 00:00:00+00:00
104,364.99,363.8725,365.75384615384615,361.87120000000004,,2023-01-03 00:00:00+00:00
105,363.1,364.12999999999994,365.67115384615386,362.3178,,2023-01-04 00:00:00+00:00
106,358.92,364.0508333333333,365.40769230769234,362.5382,,2023-01-05 00:00:00+00:00
107,362.94,364.4808333333333,365.36884615384616,362.7708,,2023-01-06 00:00:00+00:00
108,349.83,363.66333333333336,364.55153846153837,362.61019999999996,,2023-01-09 00:00:00+00:00
109,352.75,362.39166666666665,363.8753846153846,362.5385999999999,,2023-01-10 00:00:00+00:00
110,360.41,361.98333333333335,363.32346153846163,362.5488,,2023-01-11 00:00:00+00:00
111,359.12,361.2516666666667,362.9323076923077,362.48940000000005,,2023-01-12 00:00:00+00:00
112,361.62,360.98,362.6661538461539,362.67019999999997,,2023-01-13 00:00:00+00:00
113,357.74,360.3566666666666,362.11884615384616,362.7258,,2023-01-17 00:00:00+00:00
114,352.01,359.1058333333333,361.35807692307696,362.5324,,2023-01-18 00:00:00+00:00
115,351.08,357.87583333333333,360.9769230769231,362.4058,,2023-01-19 00:00:00+00:00
116,346.07,356.2991666666667,360.16230769230765,362.0258,,2023-01-20 00:00:00+00:00
117,342.21,354.55833333333334,359.52961538461534,361.5368,,2023-01-23 00:00:00+00:00
118,346.39,353.51416666666665,358.8715384615385,361.19919999999996,,2023-01-24 00:00:00+00:00
119,349.73,352.41333333333336,358.47615384615386,360.8194,,2023-01-25 00:00:00+00:00
120,348.01,352.2616666666667,358.02000000000004,360.7336,,2023-01-26 00:00:00+00:00
121,342.1,351.37416666666667,357.41692307692307,360.4544,,2023-01-27 00:00:00+00:00
122,340.5,349.715,356.6807692307693,360.2654,,2023-01-30 00:00:00+00:00
123,344.15,348.46750000000003,355.76307692307694,360.0898,,2023-01-31 00:00:00+00:00
124,342.57,346.87999999999994,354.88846153846157,359.7258,,2023-02-01 00:00:00+00:00
125,330.7,344.6266666666667,353.45769230769235,359.10640000000006,,2023-02-02 00:00:00+00:00
126,339.08,343.5491666666667,352.4653846153846,358.6646,,2023-02-03 00:00:00+00:00
127,337.66,342.43083333333334,351.40538461538466,358.2002,,2023-02-06 00:00:00+00:00
128,339.68,341.89833333333337,350.3538461538462,357.7594,,2023-02-07 00:00:00+00:00
129,340.73,341.77500000000003,349.38807692307694,357.269,,2023-02-08 00:00:00+00:00
130,341.79,341.39166666666665,348.4957692307692,356.7894,,2023-02-09 00:00:00+00:00
131,345.12,341.0075,347.80423076923074,356.4128,,2023-02-10 00:00:00+00:00
132,350.4,341.20666666666665,347.47653846153844,355.9992,,2023-02-13 00:00:00+00:00
133,347.56,341.6616666666667,346.885,355.5438,,2023-02-14 00:00:00+00:00
134,335.01,341.2041666666667,346.315,354.7488000000001,,2023-02-15 00:00:00+00:00
135,326.07,339.6975,345.2888461538462,353.8844,,2023-02-16 00:00:00+00:00
136,328.4,338.51666666666665,344.0576923076923,353.08160000000004,,2023-02-17 00:00:00+00:00
137,327.51,338.25083333333333,342.8419230769231,352.19239999999996,,2023-02-21 00:00:00+00:00
138,329.07,337.4166666666667,341.59000000000003,351.338,,2023-02-22 00:00:00+00:00
139,327.52,336.57166666666666,340.42769230769227,350.6686,,2023-02-23 00:00:00+00:00
140,321.64,335.0683333333333,339.25961538461536,349.7564,,2023-02-24 00:00:00+00:00
141,316.62,333.05916666666667,337.93423076923074,348.9156,,2023-02-27 00:00:00+00:00
142,311.22,330.51166666666666,336.5938461538462,347.87,,2023-02-28 00:00:00+00:00
143,314.17,327.9325,335.5153846153847,346.9532,,2023-03-01 00:00:00+00:00
144,315.05,324.9866666666667,334.31,346.0568,,2023-03-02 00:00:00+00:00
145,318.43,322.55916666666667,333.10615384615386,345.26980000000003,,2023-03-03 00:00:00+00:00
146,318.96,321.22166666666664,331.9888461538461,344.4562,,2023-03-06 00:00:00+00:00
147,310.63,319.935,330.77846153846156,343.3086,,2023-03-07 00:00:00+00:00
148,312.54,318.61333333333334,329.7030769230769,342.2532,,2023-03-08 00:00:00+00:00
149,316.85,317.72499999999997,328.6530769230769,341.23220000000003,,2023-03-09 00:00:00+00:00
150,315.02,316.5541666666667,327.59346153846155,340.235,,2023-03-10 00:00:00+00:00
151,324.49,316.3016666666667,327.3546153846154,339.42040000000003,,2023-03-13 00:00:00+00:00
152,327.07,316.75416666666666,326.89269230769236,338.6214,,2023-03-14 00:00:00+00:00
153,329.47,317.825,326.5776923076923,337.894,,2023-03-15 00:00:00+00:00
154,329.53,319.35083333333336,326.18730769230774,337.18479999999994,,2023-03-16 00:00:00+00:00
155,329.18,320.6016666666667,325.7430769230769,336.5064,,2023-03-17 00:00:00+00:00
156,333.6,322.1475,325.4280769230769,336.0,,2023-03-20 00:00:00+00:00
157,331.08,323.20166666666665,324.88807692307694,335.3628,,2023-03-21 00:00:00+00:00
158,330.97,324.20250000000004,324.14076923076925,334.98560000000003,,2023-03-22 00:00:00+00:00
159,332.64,326.0366666666667,323.56692307692305,334.58340000000004,,2023-03-23 00:00:00+00:00
160,336.13,328.0025,323.61,334.0978,,2023-03-24 00:00:00+00:00
161,334.6,329.4816666666667,323.9380769230769,333.6074,,2023-03-27 00:00:00+00:00
162,337.65,331.3675,324.2938461538461,333.12800000000004,,2023-03-28 00:00:00+00:00
163,335.87,332.31583333333333,324.61538461538464,332.69059999999996,,2023-03-29 00:00:00+00:00
164,340.69,333.4508333333334,325.06230769230774,332.4642,,2023-03-30 00:00:00+00:00
165,343.42,334.6133333333333,325.67384615384617,332.311,,2023-03-31 00:00:00+00:00
166,350.74,336.3808333333333,326.79307692307697,332.4044,,2023-04-03 00:00:00+00:00
167,354.62,338.50083333333333,328.2546153846154,332.6526,,2023-04-04 00:00:00+00:00
168,362.24,340.8875,330.2169230769231,332.9696,,2023-04-05 00:00:00+00:00
169,368.29,343.9883333333333,332.2984615384615,333.3408,,2023-04-06 00:00:00+00:00
170,367.0,346.9908333333333,334.29653846153843,333.7206,,2023-04-10 00:00:00+00:00
171,364.04,349.6075,336.0507692307692,334.1594,,2023-04-11 00:00:00+00:00
172,369.05,352.35083333333336,337.9773076923077,334.73040000000003,,2023-04-12 00:00:00+00:00
173,375.15,355.73,340.45884615384614,335.35040000000004,,2023-04-13 00:00:00+00:00
174,374.73,358.82,342.8507692307693,335.9936,,2023-04-14 00:00:00+00:00
175,372.35,361.85999999999996,344.98538461538465,336.8266,,2023-04-17 00:00:00+00:00
176,369.91,364.295,347.09653846153844,337.4432,,2023-04-18 00:00:00+00:00
177,370.47,366.5491666666667,348.865,338.0994,,2023-04-19 00:00:00+00:00
178,374.81,368.555,350.70115384615383,338.80199999999996,,2023-04-20 00:00:00+00:00
179,385.24,371.10666666666674,352.8461538461539,339.6922,,2023-04-21 00:00:00+00:00
180,383.35,372.86583333333334,354.91615384615386,340.5234,,2023-04-24 00:00:00+00:00
181,384.84,374.24500000000006,357.05692307692306,341.3178,,2023-04-25 00:00:00+00:00
182,376.27,375.0175,358.6980769230769,341.8352,,2023-04-26 00:00:00+00:00
183,390.35,377.21000000000004,360.97769230769234,342.69100000000003,,2023-04-27 00:00:00+00:00
184,395.86,379.44416666666666,363.4734615384616,343.908,,2023-04-28 00:00:00+00:00
185,405.81,381.9991666666667,366.28769230769234,345.5028,,2023-05-01 00:00:00+00:00
186,404.2,384.455,368.9057692307692,347.0188,,2023-05-02 00:00:00+00:00
187,431.19,389.35833333333335,372.6207692307692,349.0924,,2023-05-03 00:00:00+00:00
188,428.44,394.23583333333335,376.1126923076923,351.07980000000003,,2023-05-04 00:00:00+00:00
189,427.81,399.01416666666665,379.6488461538462,353.0856,,2023-05-05 00:00:00+00:00
190,432.72,403.84,383.1884615384615,355.3072,,2023-05-08 00:00:00+00:00
191,428.38,407.435,386.4561538461539,357.54240000000004,,2023-05-09 00:00:00+00:00
192,435.92,411.81583333333333,389.7323076923077,360.0364,,2023-05-10 00:00:00+00:00
193,435.55,416.04166666666674,392.84499999999997,362.46399999999994,,2023-05-11 00:00:00+00:00
194,434.43,420.8883333333333,395.6215384615385,364.85159999999996,,2023-05-12 00:00:00+00:00
195,434.51,424.5683333333333,398.1684615384616,367.1732,,2023-05-15 00:00:00+00:00
196,436.65,427.9675,400.8473076923077,369.527,,2023-05-16 00:00:00+00:00
197,437.47,430.6058333333333,403.6715384615385,372.06379999999996,,2023-05-17 00:00:00+00:00
198,437.89,433.41333333333336,406.3192307692308,374.5708,,2023-05-18 00:00:00+00:00
199,442.38,434.34583333333336,408.905,377.0814,347.77389999999997,2023-05-19 00:00:00+00:00
200,433.99,434.80833333333334,411.18423076923074,379.46079999999995,348.41490000000005,2023-05-22 00:00:00+00:00
201,423.21,434.425,413.1403846153846,381.43520000000007,349.02434999999997,2023-05-23 00:00:00+00:00
