,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,428.13,,,,,2022-08-04 00:00:00+00:00
1,426.41,,,,,2022-08-05 00:00:00+00:00
2,423.86,,,,,2022-08-08 00:00:00+00:00
3,428.55,,,,,2022-08-09 00:00:00+00:00
4,429.99,,,,,2022-08-10 00:00:00+00:00
5,428.85,,,,,2022-08-11 00:00:00+00:00
6,434.24,,,,,2022-08-12 00:00:00+00:00
7,438.01,,,,,2022-08-15 00:00:00+00:00
8,440.16,,,,,2022-08-16 00:00:00+00:00
9,441.59,,,,,2022-08-17 00:00:00+00:00
10,439.35,,,,,2022-08-18 00:00:00+00:00
11,440.03,433.26416666666665,,,,2022-08-19 00:00:00+00:00
12,432.33,433.6141666666667,,,,2022-08-22 00:00:00+00:00
13,433.12,434.17333333333335,,,,2022-08-23 00:00:00+00:00
14,433.71,434.9941666666667,,,,2022-08-24 00:00:00+00:00
15,438.64,435.83500000000004,,,,2022-08-25 00:00:00+00:00
16,431.13,435.93000000000006,,,,2022-08-26 00:00:00+00:00
17,429.68,435.99916666666667,,,,2022-08-29 00:00:00+00:00
18,425.11,435.2383333333334,,,,2022-08-30 00:00:00+00:00
19,420.11,433.74666666666667,,,,2022-08-31 00:00:00+00:00
20,422.61,432.28416666666664,,,,2022-09-01 00:00:00+00:00
21,418.57,430.36583333333334,,,,2022-09-02 00:00:00+00:00
22,417.78,428.5683333333333,,,,2022-09-06 00:00:00+00:00
23,420.14,426.91083333333336,,,,2022-09-07 00:00:00+00:00
24,419.65,425.8541666666667,,,,2022-09-08 00:00:00+00:00
25,421.53,424.8883333333333,429.3569230769231,,,2022-09-09 00:00:00+00:00
26,418.64,423.6325,428.9919230769231,,,2022-09-12 00:00:00+00:00
27,409.33,421.19,428.335,,,2022-09-13 00:00:00+00:00
28,416.63,419.9816666666666,428.05692307692306,,,2022-09-14 00:00:00+00:00
29,413.59,418.6408333333334,427.48153846153843,,,2022-09-15 00:00:00+00:00
30,414.29,417.7391666666667,426.8776923076923,,,2022-09-16 00:00:00+00:00
31,416.52,417.44,426.40346153846156,,,2022-09-19 00:00:00+00:00
32,420.58,417.2708333333333,425.87807692307695,,,2022-09-20 00:00:00+00:00
33,420.2,417.4066666666666,425.1930769230769,,,2022-09-21 00:00:00+00:00
34,422.08,417.76500000000004,424.49769230769226,,,2022-09-22 00:00:00+00:00
35,413.07,417.1758333333333,423.4007692307692,,,2022-09-23 00:00:00+00:00
36,407.65,416.1758333333333,422.1815384615385,,,2022-09-26 00:00:00+00:00
37,399.74,414.35999999999996,420.6319230769231,,,2022-09-27 00:00:00+00:00
38,400.0,412.8066666666666,419.38846153846157,,,2022-09-28 00:00:00+00:00
39,389.79,411.1783333333333,417.721923076923,,,2022-09-29 00:00:00+00:00
40,386.29,408.65000000000003,415.8980769230769,,,2022-09-30 00:00:00+00:00
41,399.74,407.49583333333334,414.4019230769231,,,2022-10-03 00:00:00+00:00
42,406.11,406.8141666666666,413.4396153846154,,,2022-10-04 00:00:00+00:00
43,402.51,405.6466666666667,412.39461538461535,,,2022-10-05 00:00:00+00:00
44,399.61,403.89916666666664,411.4138461538462,,,2022-10-06 00:00:00+00:00
45,403.96,402.54583333333335,410.79269230769233,,,2022-10-07 00:00:00+00:00
46,409.99,401.53833333333324,410.3073076923077,,,2022-10-10 00:00:00+00:00
47,411.06,401.37083333333334,410.0184615384615,,,2022-10-11 00:00:00+00:00
48,397.42,400.5183333333334,409.23538461538465,,,2022-10-12 00:00:00+00:00
49,405.96,401.0366666666667,408.68999999999994,418.9608,,2022-10-13 00:00:00+00:00
50,389.41,400.1541666666667,407.5269230769231,418.1864,,2022-10-14 00:00:00+00:00
51,397.31,400.7808333333333,406.5953846153846,417.60439999999994,,2022-10-17 00:00:00+00:00
52,431.84,404.57666666666665,407.1030769230769,417.76399999999995,,2022-10-18 00:00:00+00:00
53,439.96,407.9283333333333,408.2811538461538,417.9922,,2022-10-19 00:00:00+00:00
54,444.34,411.1141666666667,409.3469230769231,418.27920000000006,,2022-10-20 00:00:00+00:00
55,454.61,415.4558333333334,410.92461538461544,418.79439999999994,,2022-10-21 00:00:00+00:00
56,457.46,420.2766666666667,412.585,419.25880000000006,,2022-10-24 00:00:00+00:00
57,460.15,424.9591666666667,414.2630769230769,419.7016,,2022-10-25 00:00:00+00:00
58,462.56,429.34,415.8776923076923,420.14959999999996,,2022-10-26 00:00:00+00:00
59,471.93,434.41249999999997,417.86730769230775,420.7564,,2022-10-27 00:00:00+00:00
60,484.87,441.7,420.2823076923077,421.6668,,2022-10-28 00:00:00+00:00
61,486.68,448.4266666666667,423.1134615384616,422.59979999999996,,2022-10-31 00:00:00+00:00
62,485.63,456.445,426.11269230769227,423.6658,,2022-11-01 00:00:00+00:00
63,482.06,463.50749999999994,429.27884615384613,424.64459999999997,,2022-11-02 00:00:00+00:00
64,484.82,467.92250000000007,432.54115384615386,425.6667999999999,,2022-11-03 00:00:00+00:00
65,481.67,471.39833333333337,436.07500000000005,426.5274,,2022-11-04 00:00:00+00:00
