,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,197.16,,,,,2022-08-04 00:00:00+00:00
1,199.08,,,,,2022-08-05 00:00:00+00:00
2,201.84,,,,,2022-08-08 00:00:00+00:00
3,195.2,,,,,2022-08-09 00:00:00+00:00
4,201.43,,,,,2022-08-10 00:00:00+00:00
5,202.18,,,,,2022-08-11 00:00:00+00:00
6,206.47,,,,,2022-08-12 00:00:00+00:00
7,208.04,,,,,2022-08-15 00:00:00+00:00
8,214.12,,,,,2022-08-16 00:00:00+00:00
9,215.37,,,,,2022-08-17 00:00:00+00:00
10,216.47,,,,,2022-08-18 00:00:00+00:00
11,211.36,205.7266666666667,,,,2022-08-19 00:00:00+00:00
12,209.99,206.79583333333335,,,,2022-08-22 00:00:00+00:00
13,207.47,207.495,,,,2022-08-23 00:00:00+00:00
14,208.41,208.04250000000002,,,,2022-08-24 00:00:00+00:00
15,210.96,209.35583333333332,,,,2022-08-25 00:00:00+00:00
16,200.99,209.31916666666666,,,,2022-08-26 00:00:00+00:00
17,201.07,209.2266666666667,,,,2022-08-29 00:00:00+00:00
18,197.22,208.45583333333332,,,,2022-08-30 00:00:00+00:00
19,194.14,207.29749999999999,,,,2022-08-31 00:00:00+00:00
20,195.76,205.7675,,,,2022-09-01 00:00:00+00:00
21,195.51,204.11250000000004,,,,2022-09-02 00:00:00+00:00
22,192.96,202.1533333333333,,,,2022-09-06 00:00:00+00:00
23,201.3,201.31499999999997,,,,2022-09-07 00:00:00+00:00
24,204.38,200.8475,,,,2022-09-08 00:00:00+00:00
25,205.65,200.69583333333335,203.63576923076923,,,2022-09-09 00:00:00+00:00
26,206.4,200.5283333333333,203.99115384615385,,,2022-09-12 00:00:00+00:00
27,193.63,199.08416666666665,203.78153846153847,,,2022-09-13 00:00:00+00:00
28,192.39,198.36749999999998,203.4180769230769,,,2022-09-14 00:00:00+00:00
29,191.04,197.53166666666667,203.2580769230769,,,2022-09-15 00:00:00+00:00
