,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,531.85,,,,,2022-08-04 00:00:00+00:00
1,519.97,,,,,2022-08-05 00:00:00+00:00
2,509.54,,,,,2022-08-08 00:00:00+00:00
3,469.4,,,,,2022-08-09 00:00:00+00:00
4,494.95,,,,,2022-08-10 00:00:00+00:00
5,497.46,,,,,2022-08-11 00:00:00+00:00
6,518.59,,,,,2022-08-12 00:00:00+00:00
7,517.29,,,,,2022-08-15 00:00:00+00:00
8,510.36,,,,,2022-08-16 00:00:00+00:00
9,497.56,,,,,2022-08-17 00:00:00+00:00
10,503.15,,,,,2022-08-18 00:00:00+00:00
11,476.79,503.90916666666664,,,,2022-08-19 00:00:00+00:00
12,457.57,497.7191666666666,,,,2022-08-22 00:00:00+00:00
13,463.97,493.0525,,,,2022-08-23 00:00:00+00:00
14,463.01,489.175,,,,2022-08-24 00:00:00+00:00
15,478.19,489.90749999999997,,,,2022-08-25 00:00:00+00:00
16,453.31,486.4375,,,,2022-08-26 00:00:00+00:00
17,444.54,482.0275,,,,2022-08-29 00:00:00+00:00
18,442.68,475.70166666666665,,,,2022-08-30 00:00:00+00:00
19,437.91,469.08666666666664,,,,2022-08-31 00:00:00+00:00
20,432.04,462.56,,,,2022-09-01 00:00:00+00:00
21,430.21,456.9475,,,,2022-09-02 00:00:00+00:00
22,426.76,450.5816666666667,,,,2022-09-06 00:00:00+00:00
23,432.0,446.8491666666667,,,,2022-09-07 00:00:00+00:00
24,439.16,445.31500000000005,,,,2022-09-08 00:00:00+00:00
25,450.78,444.21583333333336,473.04,,,2022-09-09 00:00:00+00:00
26,447.3,442.9066666666667,469.7880769230769,,,2022-09-12 00:00:00+00:00
27,420.48,438.0975,465.96153846153845,,,2022-09-13 00:00:00+00:00
28,421.76,435.4683333333333,462.5853846153846,,,2022-09-14 00:00:00+00:00
29,413.44,432.8766666666667,460.43307692307695,,,2022-09-15 00:00:00+00:00
30,409.22,430.0883333333333,457.13576923076926,,,2022-09-16 00:00:00+00:00
31,409.22,427.6975,453.7419230769231,,,2022-09-19 00:00:00+00:00
32,403.4,425.3108333333333,449.3115384615385,,,2022-09-20 00:00:00+00:00
33,398.65,422.68083333333334,444.7484615384616,,,2022-09-21 00:00:00+00:00
34,386.83,419.3533333333333,439.9973076923077,,,2022-09-22 00:00:00+00:00
35,380.56,415.0666666666666,435.4973076923077,,,2022-09-23 00:00:00+00:00
36,371.44,409.42333333333335,430.4315384615384,,,2022-09-26 00:00:00+00:00
37,376.7,403.25,426.5819230769231,,,2022-09-27 00:00:00+00:00
38,381.65,397.77916666666664,423.66192307692313,,,2022-09-28 00:00:00+00:00
39,370.55,393.61833333333334,420.0688461538461,,,2022-09-29 00:00:00+00:00
40,366.0,388.97166666666664,416.33769230769235,,,2022-09-30 00:00:00+00:00
41,389.68,386.9916666666666,412.93346153846153,,,2022-10-03 00:00:00+00:00
42,400.63,386.27583333333337,410.9073076923077,,,2022-10-04 00:00:00+00:00
43,399.91,385.5,409.1907692307692,,,2022-10-05 00:00:00+00:00
44,397.6,385.0166666666667,407.45692307692303,,,2022-10-06 00:00:00+00:00
45,374.84,383.03249999999997,405.0311538461538,,,2022-10-07 00:00:00+00:00
46,350.72,380.0233333333333,401.9034615384616,,,2022-10-10 00:00:00+00:00
47,327.05,375.5641666666667,397.9357692307692,,,2022-10-11 00:00:00+00:00
48,323.98,371.6091666666666,393.9826923076923,,,2022-10-12 00:00:00+00:00
49,340.61,368.6016666666667,390.4676923076923,431.2252,,2022-10-13 00:00:00+00:00
50,314.95,363.04333333333335,385.69038461538463,426.8872,,2022-10-14 00:00:00+00:00
51,315.42,358.4491666666666,380.48423076923075,422.7962,,2022-10-17 00:00:00+00:00
52,322.06,354.78749999999997,375.6673076923077,419.04659999999996,,2022-10-18 00:00:00+00:00
53,330.08,349.8208333333334,372.19038461538463,416.26020000000005,,2022-10-19 00:00:00+00:00
54,355.87,346.09083333333336,369.6561538461538,413.47860000000003,,2022-10-20 00:00:00+00:00
55,369.29,343.5391666666667,367.95807692307693,410.9152,,2022-10-21 00:00:00+00:00
56,373.96,341.56916666666666,366.6019230769231,408.0226,,2022-10-24 00:00:00+00:00
