,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,158.99,,,,,2022-08-04 00:00:00+00:00
1,157.01,,,,,2022-08-05 00:00:00+00:00
2,158.27,,,,,2022-08-08 00:00:00+00:00
3,158.79,,,,,2022-08-09 00:00:00+00:00
4,161.24,,,,,2022-08-10 00:00:00+00:00
5,161.13,,,,,2022-08-11 00:00:00+00:00
6,164.07,,,,,2022-08-12 00:00:00+00:00
7,163.18,,,,,2022-08-15 00:00:00+00:00
8,166.24,,,,,2022-08-16 00:00:00+00:00
9,163.57,,,,,2022-08-17 00:00:00+00:00
10,165.05,,,,,2022-08-18 00:00:00+00:00
11,161.38,161.57666666666668,,,,2022-08-19 00:00:00+00:00
12,157.92,161.48749999999998,,,,2022-08-22 00:00:00+00:00
13,158.64,161.62333333333333,,,,2022-08-23 00:00:00+00:00
14,159.93,161.76166666666668,,,,2022-08-24 00:00:00+00:00
15,162.67,162.085,,,,2022-08-25 00:00:00+00:00
16,156.69,161.70583333333335,,,,2022-08-26 00:00:00+00:00
17,155.72,161.255,,,,2022-08-29 00:00:00+00:00
18,153.34,160.36083333333332,,,,2022-08-30 00:00:00+00:00
19,153.74,159.57416666666666,,,,2022-08-31 00:00:00+00:00
20,153.95,158.54999999999998,,,,2022-09-01 00:00:00+00:00
21,154.23,157.77166666666668,,,,2022-09-02 00:00:00+00:00
22,152.37,156.715,,,,2022-09-06 00:00:00+00:00
23,157.6,156.4,,,,2022-09-07 00:00:00+00:00
24,159.4,156.52333333333334,,,,2022-09-08 00:00:00+00:00
25,162.36,156.83333333333334,159.13384615384615,,,2022-09-09 00:00:00+00:00
26,163.78,157.15416666666667,159.31807692307694,,,2022-09-12 00:00:00+00:00
27,157.88,156.755,159.35153846153847,,,2022-09-13 00:00:00+00:00
28,162.54,157.2425,159.51576923076922,,,2022-09-14 00:00:00+00:00
29,162.51,157.80833333333334,159.65884615384616,,,2022-09-15 00:00:00+00:00
30,154.92,157.94,159.4157692307692,,,2022-09-16 00:00:00+00:00
31,157.36,158.24166666666667,159.27076923076922,,,2022-09-19 00:00:00+00:00
32,157.01,158.49666666666667,158.99923076923076,,,2022-09-20 00:00:00+00:00
33,148.17,157.99166666666665,158.4219230769231,,,2022-09-21 00:00:00+00:00
34,140.11,156.97,157.41692307692307,,,2022-09-22 00:00:00+00:00
35,137.48,155.29333333333332,156.41346153846152,,,2022-09-23 00:00:00+00:00
36,136.22,153.36166666666668,155.30461538461537,,,2022-09-26 00:00:00+00:00
37,138.68,151.38833333333332,154.43153846153845,,,2022-09-27 00:00:00+00:00
38,143.82,149.725,153.88923076923078,,,2022-09-28 00:00:00+00:00
39,140.51,148.2775,153.19192307692308,,,2022-09-29 00:00:00+00:00
40,140.14,146.41083333333333,152.43076923076924,,,2022-09-30 00:00:00+00:00
41,140.8,144.60166666666666,151.58961538461537,,,2022-10-03 00:00:00+00:00
42,147.56,143.98833333333334,151.23846153846154,,,2022-10-04 00:00:00+00:00
43,147.18,143.14,150.91000000000003,,,2022-10-05 00:00:00+00:00
44,144.07,142.06166666666667,150.55346153846153,,,2022-10-06 00:00:00+00:00
45,141.5,141.50583333333336,150.0826923076923,,,2022-10-07 00:00:00+00:00
46,140.5,141.53833333333333,149.5653846153846,,,2022-10-10 00:00:00+00:00
47,138.79,141.6475,148.97153846153844,,,2022-10-11 00:00:00+00:00
48,141.87,142.1183333333333,148.5676923076923,,,2022-10-12 00:00:00+00:00
49,143.22,142.49666666666667,148.01461538461538,153.282,,2022-10-13 00:00:00+00:00
50,143.53,142.4725,147.40423076923076,152.9728,,2022-10-14 00:00:00+00:00
51,147.85,143.08416666666668,146.84615384615384,152.78959999999998,,2022-10-17 00:00:00+00:00
52,149.99,143.905,146.31576923076923,152.624,,2022-10-18 00:00:00+00:00
53,149.99,144.67083333333335,146.0123076923077,152.44799999999998,,2022-10-19 00:00:00+00:00
54,147.52,144.6675,145.4346153846154,152.1736,,2022-10-20 00:00:00+00:00
55,153.49,145.19333333333336,145.0876923076923,152.0208,,2022-10-21 00:00:00+00:00
56,154.98,146.1025,145.08999999999997,151.839,,2022-10-24 00:00:00+00:00
57,155.43,147.26333333333332,145.01576923076925,151.684,,2022-10-25 00:00:00+00:00
58,155.04,148.475,144.94,151.46,,2022-10-26 00:00:00+00:00
59,156.25,149.92999999999998,145.25076923076924,151.3136,,2022-10-27 00:00:00+00:00
60,159.65,151.41166666666666,146.0023076923077,151.2056,,2022-10-28 00:00:00+00:00
61,160.11,152.8191666666667,146.87269230769232,151.1802,,2022-10-31 00:00:00+00:00
62,160.07,154.19750000000002,147.79,151.2232,,2022-11-01 00:00:00+00:00
63,152.99,154.62583333333333,148.3403846153846,151.1102,,2022-11-02 00:00:00+00:00
