,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,356.07,,,,,2022-08-04 00:00:00+00:00
1,357.51,,,,,2022-08-05 00:00:00+00:00
2,352.16,,,,,2022-08-08 00:00:00+00:00
3,346.54,,,,,2022-08-09 00:00:00+00:00
4,353.38,,,,,2022-08-10 00:00:00+00:00
5,350.58,,,,,2022-08-11 00:00:00+00:00
6,354.27,,,,,2022-08-12 00:00:00+00:00
7,359.95,,,,,2022-08-15 00:00:00+00:00
8,359.25,,,,,2022-08-16 00:00:00+00:00
9,355.33,,,,,2022-08-17 00:00:00+00:00
10,357.36,,,,,2022-08-18 00:00:00+00:00
11,354.28,354.72333333333336,,,,2022-08-19 00:00:00+00:00
12,345.51,353.8433333333333,,,,2022-08-22 00:00:00+00:00
13,340.89,352.4583333333333,,,,2022-08-23 00:00:00+00:00
14,339.71,351.42083333333335,,,,2022-08-24 00:00:00+00:00
15,344.67,351.26499999999993,,,,2022-08-25 00:00:00+00:00
16,331.96,349.48,,,,2022-08-26 00:00:00+00:00
17,329.35,347.7108333333333,,,,2022-08-29 00:00:00+00:00
18,327.81,345.5058333333333,,,,2022-08-30 00:00:00+00:00
19,324.37,342.5408333333333,,,,2022-08-31 00:00:00+00:00
20,325.25,339.7075,,,,2022-09-01 00:00:00+00:00
21,322.56,336.97666666666663,,,,2022-09-02 00:00:00+00:00
22,324.08,334.2033333333333,,,,2022-09-06 00:00:00+00:00
23,328.62,332.065,,,,2022-09-07 00:00:00+00:00
24,330.07,330.7783333333333,,,,2022-09-08 00:00:00+00:00
25,335.85,330.35833333333335,342.59153846153845,,,2022-09-09 00:00:00+00:00
26,338.42,330.25083333333333,341.9126923076923,,,2022-09-12 00:00:00+00:00
27,325.44,328.6483333333333,340.67923076923074,,,2022-09-13 00:00:00+00:00
28,325.85,328.13916666666665,339.6673076923077,,,2022-09-14 00:00:00+00:00
29,316.96,327.1066666666666,338.52961538461534,,,2022-09-15 00:00:00+00:00
30,315.13,326.05,337.05846153846153,,,2022-09-16 00:00:00+00:00
31,314.03,325.18833333333333,335.6526923076923,,,2022-09-19 00:00:00+00:00
32,313.27,324.19,334.0757692307692,,,2022-09-20 00:00:00+00:00
33,304.5,322.685,331.94307692307694,,,2022-09-21 00:00:00+00:00
