,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,260.64,,,,,2022-08-04 00:00:00+00:00
1,259.23,,,,,2022-08-05 00:00:00+00:00
2,256.8,,,,,2022-08-08 00:00:00+00:00
3,260.06,,,,,2022-08-09 00:00:00+00:00
4,261.36,,,,,2022-08-10 00:00:00+00:00
5,259.28,,,,,2022-08-11 00:00:00+00:00
6,262.18,,,,,2022-08-12 00:00:00+00:00
7,265.44,,,,,2022-08-15 00:00:00+00:00
8,266.29,,,,,2022-08-16 00:00:00+00:00
9,266.82,,,,,2022-08-17 00:00:00+00:00
10,266.58,,,,,2022-08-18 00:00:00+00:00
11,266.54,262.6016666666667,,,,2022-08-19 00:00:00+00:00
12,262.95,262.7941666666667,,,,2022-08-22 00:00:00+00:00
13,260.54,262.90333333333336,,,,2022-08-23 00:00:00+00:00
14,260.86,263.2416666666667,,,,2022-08-24 00:00:00+00:00
15,262.56,263.45,,,,2022-08-25 00:00:00+00:00
16,256.95,263.0825,,,,2022-08-26 00:00:00+00:00
17,255.66,262.78083333333336,,,,2022-08-29 00:00:00+00:00
18,253.49,262.0566666666667,,,,2022-08-30 00:00:00+00:00
19,252.28,260.96,,,,2022-08-31 00:00:00+00:00
20,256.47,260.14166666666665,,,,2022-09-01 00:00:00+00:00
21,254.51,259.11583333333334,,,,2022-09-02 00:00:00+00:00
22,254.39,258.1,,,,2022-09-06 00:00:00+00:00
23,258.42,257.42333333333335,,,,2022-09-07 00:00:00+00:00
24,260.08,257.18416666666667,,,,2022-09-08 00:00:00+00:00
25,259.52,257.0991666666667,259.99615384615385,,,2022-09-09 00:00:00+00:00
26,260.37,257.05833333333334,259.9857692307692,,,2022-09-12 00:00:00+00:00
27,254.33,256.3725,259.7973076923077,,,2022-09-13 00:00:00+00:00
28,255.72,256.27000000000004,259.7557692307692,,,2022-09-14 00:00:00+00:00
29,253.47,256.0875,259.5023076923077,,,2022-09-15 00:00:00+00:00
30,254.91,256.2058333333334,259.25423076923073,,,2022-09-16 00:00:00+00:00
31,257.01,256.59999999999997,259.16692307692307,,,2022-09-19 00:00:00+00:00
32,255.4,256.5108333333333,258.9061538461538,,,2022-09-20 00:00:00+00:00
33,251.08,256.22499999999997,258.3538461538462,,,2022-09-21 00:00:00+00:00
34,247.94,255.6875,257.6480769230769,,,2022-09-22 00:00:00+00:00
35,245.95,254.6483333333333,256.8453846153846,,,2022-09-23 00:00:00+00:00
36,243.76,253.28833333333333,255.9676923076923,,,2022-09-26 00:00:00+00:00
37,236.7,251.38666666666666,254.82,,,2022-09-27 00:00:00+00:00
38,236.94,249.43416666666667,253.81961538461536,,,2022-09-28 00:00:00+00:00
39,234.4,247.77333333333334,252.81423076923076,,,2022-09-29 00:00:00+00:00
40,230.74,245.69166666666663,251.65576923076924,,,2022-09-30 00:00:00+00:00
41,235.34,244.18083333333334,250.60884615384614,,,2022-10-03 00:00:00+00:00
42,238.5,242.81333333333336,249.89923076923077,,,2022-10-04 00:00:00+00:00
43,239.09,241.32000000000002,249.2619230769231,,,2022-10-05 00:00:00+00:00
44,234.75,239.59916666666666,248.54115384615383,,,2022-10-06 00:00:00+00:00
45,233.19,238.10833333333335,247.80692307692306,,,2022-10-07 00:00:00+00:00
46,234.95,237.02583333333334,246.97923076923072,,,2022-10-10 00:00:00+00:00
47,237.05,236.2841666666667,246.30769230769232,,,2022-10-11 00:00:00+00:00
48,237.06,235.72583333333333,245.64115384615386,,,2022-10-12 00:00:00+00:00
49,246.75,236.56333333333336,245.19230769230768,252.30599999999998,,2022-10-13 00:00:00+00:00
50,243.16,237.08166666666668,244.54153846153847,251.9564,,2022-10-14 00:00:00+00:00
51,246.48,238.08833333333334,244.04,251.7014,,2022-10-17 00:00:00+00:00
52,249.19,239.62583333333336,243.60999999999999,251.54919999999998,,2022-10-18 00:00:00+00:00
53,250.75,240.91,243.47230769230768,251.363,,2022-10-19 00:00:00+00:00
