,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,337.81,,,,,2022-08-04 00:00:00+00:00
1,346.69,,,,,2022-08-05 00:00:00+00:00
2,347.38,,,,,2022-08-08 00:00:00+00:00
3,354.77,,,,,2022-08-09 00:00:00+00:00
4,359.61,,,,,2022-08-10 00:00:00+00:00
5,358.76,,,,,2022-08-11 00:00:00+00:00
6,365.2,,,,,2022-08-12 00:00:00+00:00
7,371.45,,,,,2022-08-15 00:00:00+00:00
8,373.84,,,,,2022-08-16 00:00:00+00:00
9,367.37,,,,,2022-08-17 00:00:00+00:00
10,368.56,,,,,2022-08-18 00:00:00+00:00
11,371.01,360.20416666666665,,,,2022-08-19 00:00:00+00:00
12,368.12,362.73,,,,2022-08-22 00:00:00+00:00
13,364.02,364.1741666666667,,,,2022-08-23 00:00:00+00:00
14,363.22,365.4941666666667,,,,2022-08-24 00:00:00+00:00
15,366.89,366.50416666666666,,,,2022-08-25 00:00:00+00:00
16,356.79,366.2691666666667,,,,2022-08-26 00:00:00+00:00
17,363.02,366.62416666666667,,,,2022-08-29 00:00:00+00:00
18,364.01,366.52500000000003,,,,2022-08-30 00:00:00+00:00
19,367.0,366.15416666666664,,,,2022-08-31 00:00:00+00:00
20,363.83,365.32,,,,2022-09-01 00:00:00+00:00
21,363.82,365.02416666666664,,,,2022-09-02 00:00:00+00:00
22,360.8,364.3775,,,,2022-09-06 00:00:00+00:00
23,366.96,364.04,,,,2022-09-07 00:00:00+00:00
24,370.16,364.21000000000004,,,,2022-09-08 00:00:00+00:00
25,366.21,364.3925,362.5884615384615,,,2022-09-09 00:00:00+00:00
26,363.73,364.435,363.58538461538467,,,2022-09-12 00:00:00+00:00
27,347.89,362.8516666666667,363.63153846153847,,,2022-09-13 00:00:00+00:00
28,341.4,361.56916666666666,363.4015384615385,,,2022-09-14 00:00:00+00:00
29,341.02,359.73583333333335,362.8726923076923,,,2022-09-15 00:00:00+00:00
30,346.25,358.2558333333333,362.3588461538462,,,2022-09-16 00:00:00+00:00
31,348.95,356.7516666666666,361.98153846153843,,,2022-09-19 00:00:00+00:00
32,345.56,355.2291666666667,361.22615384615386,,,2022-09-20 00:00:00+00:00
33,345.47,353.7,360.2269230769231,,,2022-09-21 00:00:00+00:00
34,346.96,352.5466666666667,359.19307692307694,,,2022-09-22 00:00:00+00:00
35,343.27,350.5725,358.2661538461538,,,2022-09-23 00:00:00+00:00
36,342.88,348.2991666666667,357.27846153846156,,,2022-09-26 00:00:00+00:00
37,341.47,346.2375,356.14230769230767,,,2022-09-27 00:00:00+00:00
38,348.94,345.00500000000005,355.4046153846154,,,2022-09-28 00:00:00+00:00
39,342.0,344.51416666666665,354.5576923076923,,,2022-09-29 00:00:00+00:00
40,339.87,344.3866666666667,353.6596153846154,,,2022-09-30 00:00:00+00:00
41,346.74,344.8633333333334,352.88461538461536,,,2022-10-03 00:00:00+00:00
42,355.36,345.6225,352.82961538461535,,,2022-10-04 00:00:00+00:00
43,354.37,346.0741666666667,352.49692307692305,,,2022-10-05 00:00:00+00:00
44,350.89,346.5183333333334,351.9923076923077,,,2022-10-06 00:00:00+00:00
45,346.68,346.6191666666667,351.2107692307692,,,2022-10-07 00:00:00+00:00
46,347.32,346.64916666666664,350.5757692307692,,,2022-10-10 00:00:00+00:00
47,351.55,347.33916666666664,350.1038461538462,,,2022-10-11 00:00:00+00:00
48,345.39,347.54833333333335,349.5111538461539,,,2022-10-12 00:00:00+00:00
49,354.47,348.63166666666666,349.0307692307692,355.3146,,2022-10-13 00:00:00+00:00
50,352.65,348.94083333333333,348.35730769230764,355.6114,,2022-10-14 00:00:00+00:00
51,354.49,349.98166666666674,347.90653846153845,355.76739999999995,,2022-10-17 00:00:00+00:00
52,360.88,351.7325,347.79692307692306,356.0374,,2022-10-18 00:00:00+00:00
53,360.66,352.8925,348.2880769230769,356.1552,,2022-10-19 00:00:00+00:00
54,359.19,353.21166666666664,348.9723076923077,356.1468,,2022-10-20 00:00:00+00:00
55,370.64,354.56750000000005,350.11153846153843,356.3844,,2022-10-21 00:00:00+00:00
56,379.11,356.91916666666674,351.37538461538463,356.66259999999994,,2022-10-24 00:00:00+00:00
57,382.43,359.8983333333333,352.66307692307697,356.8822,,2022-10-25 00:00:00+00:00
58,385.41,363.0725,354.19576923076926,357.1136,,2022-10-26 00:00:00+00:00
59,388.07,366.11583333333334,355.83423076923077,357.52759999999995,,2022-10-27 00:00:00+00:00
60,394.72,370.2266666666667,357.6711538461538,358.05080000000004,,2022-10-28 00:00:00+00:00
61,389.37,373.135,359.4442307692308,358.41799999999995,,2022-10-31 00:00:00+00:00
62,382.04,375.5841666666667,360.95038461538456,358.6964,,2022-11-01 00:00:00+00:00
63,389.79,378.52583333333337,362.80884615384616,359.2118,,2022-11-02 00:00:00+00:00
64,397.58,381.5841666666667,364.6796153846154,359.89899999999994,,2022-11-03 00:00:00+00:00
65,396.65,384.5833333333333,366.78153846153845,360.4942,,2022-11-04 00:00:00+00:00
66,395.8,387.63416666666666,368.9326923076923,361.27439999999996,,2022-11-07 00:00:00+00:00
67,390.77,389.31166666666667,370.6261538461538,361.8294,,2022-11-08 00:00:00+00:00
68,386.22,389.9041666666667,371.81307692307695,362.2736,,2022-11-09 00:00:00+00:00
69,370.32,388.895,372.4265384615385,362.34,,2022-11-10 00:00:00+00:00
70,356.21,386.46166666666664,372.63115384615384,362.18760000000003,,2022-11-11 00:00:00+00:00
71,361.08,384.21250000000003,373.185,362.1328000000001,,2022-11-14 00:00:00+00:00
72,353.68,380.7925,373.4296153846154,361.9904,,2022-11-15 00:00:00+00:00
73,363.2,378.6116666666667,373.8776923076923,361.91519999999997,,2022-11-16 00:00:00+00:00
74,366.55,377.3208333333334,374.69153846153847,361.843,,2022-11-17 00:00:00+00:00
75,369.73,375.64916666666664,375.27846153846156,361.9134,,2022-11-18 00:00:00+00:00
76,368.79,373.25,375.8992307692308,362.0146,,2022-11-21 00:00:00+00:00
77,377.73,371.67333333333335,376.7930769230769,362.61140000000006,,2022-11-22 00:00:00+00:00
78,380.75,370.4191666666666,377.5573076923077,363.39840000000004,,2022-11-23 00:00:00+00:00
79,383.34,369.8,378.4296153846154,364.24480000000005,,2022-11-25 00:00:00+00:00
80,380.34,369.31,379.2430769230769,364.92659999999995,,2022-11-28 00:00:00+00:00
81,381.78,370.26500000000004,379.6715384615385,365.5832,,2022-11-29 00:00:00+00:00
82,381.68,372.3875,379.77038461538456,366.3056,,2022-11-30 00:00:00+00:00
83,379.72,373.94083333333333,379.66615384615386,366.9906,,2022-12-01 00:00:00+00:00
84,386.85,376.705,379.72153846153844,367.7884,,2022-12-02 00:00:00+00:00
85,382.44,378.30833333333334,379.505,368.5718,,2022-12-05 00:00:00+00:00
86,378.04,379.2658333333333,378.8634615384616,369.275,,2022-12-06 00:00:00+00:00
87,385.51,380.5808333333334,378.71500000000003,370.15579999999994,,2022-12-07 00:00:00+00:00
