,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,313.29,,,,,2022-08-04 00:00:00+00:00
1,311.07,,,,,2022-08-05 00:00:00+00:00
2,312.85,,,,,2022-08-08 00:00:00+00:00
3,310.52,,,,,2022-08-09 00:00:00+00:00
4,322.54,,,,,2022-08-10 00:00:00+00:00
5,317.6,,,,,2022-08-11 00:00:00+00:00
6,322.97,,,,,2022-08-12 00:00:00+00:00
7,322.3,,,,,2022-08-15 00:00:00+00:00
8,322.19,,,,,2022-08-16 00:00:00+00:00
9,321.56,,,,,2022-08-17 00:00:00+00:00
10,319.86,,,,,2022-08-18 00:00:00+00:00
11,310.89,317.30333333333334,,,,2022-08-19 00:00:00+00:00
12,304.43,316.565,,,,2022-08-22 00:00:00+00:00
13,298.6,315.5258333333333,,,,2022-08-23 00:00:00+00:00
14,298.85,314.3591666666667,,,,2022-08-24 00:00:00+00:00
15,306.05,313.9866666666667,,,,2022-08-25 00:00:00+00:00
16,292.91,311.5175,,,,2022-08-26 00:00:00+00:00
17,290.1,309.22583333333336,,,,2022-08-29 00:00:00+00:00
18,286.8,306.21166666666664,,,,2022-08-30 00:00:00+00:00
19,284.52,303.06333333333333,,,,2022-08-31 00:00:00+00:00
20,286.78,300.1125,,,,2022-09-01 00:00:00+00:00
21,284.4,297.0158333333333,,,,2022-09-02 00:00:00+00:00
22,287.9,294.3525,,,,2022-09-06 00:00:00+00:00
23,294.43,292.98083333333335,,,,2022-09-07 00:00:00+00:00
24,296.11,292.28749999999997,,,,2022-09-08 00:00:00+00:00
25,299.54,292.36583333333334,304.5792307692308,,,2022-09-09 00:00:00+00:00
26,303.33,292.7391666666667,304.19615384615383,,,2022-09-12 00:00:00+00:00
27,290.71,291.4608333333333,303.41307692307697,,,2022-09-13 00:00:00+00:00
28,286.21,290.9025,302.38846153846157,,,2022-09-14 00:00:00+00:00
29,282.31,290.25333333333333,301.30346153846153,,,2022-09-15 00:00:00+00:00
30,280.29,289.71083333333337,299.67846153846153,,,2022-09-16 00:00:00+00:00
31,278.51,289.21,298.175,,,2022-09-19 00:00:00+00:00
32,270.81,287.87916666666666,296.1688461538462,,,2022-09-20 00:00:00+00:00
33,266.7,286.40416666666664,294.0303846153846,,,2022-09-21 00:00:00+00:00
34,255.3,283.6875,291.45769230769235,,,2022-09-22 00:00:00+00:00
35,254.69,280.37583333333333,288.8857692307692,,,2022-09-23 00:00:00+00:00
36,250.32,276.56,286.2111538461538,,,2022-09-26 00:00:00+00:00
37,249.74,272.41,283.85923076923075,,,2022-09-27 00:00:00+00:00
38,251.98,268.1308333333333,281.8419230769231,,,2022-09-28 00:00:00+00:00
39,246.56,264.45166666666665,279.8403846153846,,,2022-09-29 00:00:00+00:00
40,243.11,260.86,277.69653846153847,,,2022-09-30 00:00:00+00:00
41,250.87,258.24,275.5742307692307,,,2022-10-03 00:00:00+00:00
42,261.98,256.71416666666664,274.38461538461536,,,2022-10-04 00:00:00+00:00
43,261.86,255.32666666666668,273.29846153846154,,,2022-10-05 00:00:00+00:00
44,254.07,253.9316666666667,272.0396153846154,,,2022-10-06 00:00:00+00:00
45,245.46,252.16166666666666,270.53730769230765,,,2022-10-07 00:00:00+00:00
46,243.07,251.1425,268.85615384615386,,,2022-10-10 00:00:00+00:00
47,240.88,249.99166666666667,267.1823076923077,,,2022-10-11 00:00:00+00:00
48,239.55,249.09416666666667,265.3226923076923,,,2022-10-12 00:00:00+00:00
49,241.83,248.43500000000003,263.2996153846154,283.384,,2022-10-13 00:00:00+00:00
50,235.25,247.04083333333335,260.95884615384614,281.8232,,2022-10-14 00:00:00+00:00
51,243.06,246.7491666666667,258.78653846153844,280.46299999999997,,2022-10-17 00:00:00+00:00
52,245.93,246.98416666666665,256.57884615384614,279.1246,,2022-10-18 00:00:00+00:00
