,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,170.57,,,,,2022-08-04 00:00:00+00:00
1,167.11,,,,,2022-08-05 00:00:00+00:00
2,170.25,,,,,2022-08-08 00:00:00+00:00
3,168.53,,,,,2022-08-09 00:00:00+00:00
4,178.34,,,,,2022-08-10 00:00:00+00:00
5,177.49,,,,,2022-08-11 00:00:00+00:00
6,180.5,,,,,2022-08-12 00:00:00+00:00
7,180.89,,,,,2022-08-15 00:00:00+00:00
8,179.47,,,,,2022-08-16 00:00:00+00:00
9,174.85,,,,,2022-08-17 00:00:00+00:00
10,174.66,,,,,2022-08-18 00:00:00+00:00
11,167.96,174.21833333333333,,,,2022-08-19 00:00:00+00:00
12,163.05,173.59166666666667,,,,2022-08-22 00:00:00+00:00
13,161.11,173.09166666666667,,,,2022-08-23 00:00:00+00:00
14,163.26,172.5091666666667,,,,2022-08-24 00:00:00+00:00
15,168.78,172.53,,,,2022-08-25 00:00:00+00:00
16,161.78,171.15,,,,2022-08-26 00:00:00+00:00
17,159.17,169.62333333333333,,,,2022-08-29 00:00:00+00:00
18,157.16,167.67833333333334,,,,2022-08-30 00:00:00+00:00
19,162.93,166.18166666666664,,,,2022-08-31 00:00:00+00:00
20,165.36,165.00583333333333,,,,2022-09-01 00:00:00+00:00
21,160.32,163.795,,,,2022-09-02 00:00:00+00:00
22,158.54,162.45166666666665,,,,2022-09-06 00:00:00+00:00
23,160.39,161.82083333333335,,,,2022-09-07 00:00:00+00:00
24,162.06,161.73833333333332,,,,2022-09-08 00:00:00+00:00
25,169.15,162.40833333333333,167.83384615384617,,,2022-09-09 00:00:00+00:00
26,168.96,162.88333333333335,167.7719230769231,,,2022-09-12 00:00:00+00:00
27,153.13,161.57916666666668,167.23423076923078,,,2022-09-13 00:00:00+00:00
28,151.47,160.72,166.51192307692307,,,2022-09-14 00:00:00+00:00
29,149.55,159.91833333333332,165.78192307692308,,,2022-09-15 00:00:00+00:00
30,146.29,159.0125,164.54923076923075,,,2022-09-16 00:00:00+00:00
31,148.02,157.76999999999998,163.41576923076926,,,2022-09-19 00:00:00+00:00
32,146.09,156.16416666666666,162.09230769230768,,,2022-09-20 00:00:00+00:00
