,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,165.31,,,,,2022-08-04 00:00:00+00:00
1,165.6,,,,,2022-08-05 00:00:00+00:00
2,166.97,,,,,2022-08-08 00:00:00+00:00
3,167.06,,,,,2022-08-09 00:00:00+00:00
4,169.68,,,,,2022-08-10 00:00:00+00:00
5,170.23,,,,,2022-08-11 00:00:00+00:00
6,172.72,,,,,2022-08-12 00:00:00+00:00
7,173.16,,,,,2022-08-15 00:00:00+00:00
8,172.93,,,,,2022-08-16 00:00:00+00:00
9,172.83,,,,,2022-08-17 00:00:00+00:00
10,173.11,,,,,2022-08-18 00:00:00+00:00
11,171.78,170.115,,,,2022-08-19 00:00:00+00:00
12,168.31,170.365,,,,2022-08-22 00:00:00+00:00
13,166.89,170.4725,,,,2022-08-23 00:00:00+00:00
14,168.27,170.58083333333332,,,,2022-08-24 00:00:00+00:00
15,170.37,170.85666666666665,,,,2022-08-25 00:00:00+00:00
16,165.96,170.54666666666668,,,,2022-08-26 00:00:00+00:00
17,164.35,170.05666666666667,,,,2022-08-29 00:00:00+00:00
18,162.54,169.20833333333334,,,,2022-08-30 00:00:00+00:00
19,161.37,168.22583333333333,,,,2022-08-31 00:00:00+00:00
20,162.57,167.36249999999998,,,,2022-09-01 00:00:00+00:00
21,160.27,166.31583333333333,,,,2022-09-02 00:00:00+00:00
22,161.57,165.35416666666666,,,,2022-09-06 00:00:00+00:00
23,165.56,164.83583333333334,,,,2022-09-07 00:00:00+00:00
24,166.27,164.66583333333332,,,,2022-09-08 00:00:00+00:00
25,166.76,164.655,167.40153846153845,,,2022-09-09 00:00:00+00:00
26,167.39,164.58166666666668,167.48153846153843,,,2022-09-12 00:00:00+00:00
27,160.49,163.75833333333333,167.285,,,2022-09-13 00:00:00+00:00
28,158.81,163.1625,166.97115384615384,,,2022-09-14 00:00:00+00:00
29,156.89,162.54083333333332,166.58000000000004,,,2022-09-15 00:00:00+00:00
30,156.34,162.02416666666667,166.06692307692308,,,2022-09-16 00:00:00+00:00
31,157.22,161.6783333333333,165.56653846153844,,,2022-09-19 00:00:00+00:00
32,155.47,161.08666666666667,164.90307692307695,,,2022-09-20 00:00:00+00:00
33,153.6,160.53083333333333,164.15076923076924,,,2022-09-21 00:00:00+00:00
34,151.21,159.66750000000002,163.3153846153846,,,2022-09-22 00:00:00+00:00
35,151.38,158.48583333333332,162.4903846153846,,,2022-09-23 00:00:00+00:00
36,149.19,157.0625,161.57038461538463,,,2022-09-26 00:00:00+00:00
37,149.18,155.5975,160.70115384615383,,,2022-09-27 00:00:00+00:00
38,150.95,154.2275,160.03346153846152,,,2022-09-28 00:00:00+00:00
39,150.65,153.4075,159.40884615384616,,,2022-09-29 00:00:00+00:00
40,149.29,152.61416666666665,158.67884615384614,,,2022-09-30 00:00:00+00:00
41,154.88,152.4466666666667,158.08307692307693,,,2022-10-03 00:00:00+00:00
42,158.71,152.64416666666665,157.80423076923077,,,2022-10-04 00:00:00+00:00
43,159.23,152.81166666666667,157.6073076923077,,,2022-10-05 00:00:00+00:00
44,157.32,152.96583333333334,157.40653846153845,,,2022-10-06 00:00:00+00:00
45,152.19,152.84833333333333,157.05346153846153,,,2022-10-07 00:00:00+00:00
46,153.99,153.07999999999998,156.72346153846155,,,2022-10-10 00:00:00+00:00
47,152.36,153.16166666666666,156.41923076923075,,,2022-10-11 00:00:00+00:00
48,151.99,153.395,156.05076923076925,,,2022-10-12 00:00:00+00:00
49,155.99,153.9625,155.68269230769232,161.3432,,2022-10-13 00:00:00+00:00
50,151.9,154.04166666666666,155.13,161.075,,2022-10-14 00:00:00+00:00
51,155.88,154.4775,154.71153846153845,160.8806,,2022-10-17 00:00:00+00:00
52,157.49,155.16083333333333,154.33076923076922,160.691,,2022-10-18 00:00:00+00:00
53,156.97,155.335,154.19538461538463,160.4892,,2022-10-19 00:00:00+00:00
54,154.56,154.98916666666668,154.03192307692308,160.1868,,2022-10-20 00:00:00+00:00
55,154.93,154.63083333333336,153.95653846153846,159.8808,,2022-10-21 00:00:00+00:00
56,156.45,154.5583333333333,153.96076923076924,159.55540000000002,,2022-10-24 00:00:00+00:00
57,153.11,154.63500000000002,153.8026923076923,159.1544,,2022-10-25 00:00:00+00:00
58,154.44,154.6725,153.7630769230769,158.7846,,2022-10-26 00:00:00+00:00
59,155.23,154.91166666666666,153.82576923076923,158.4326,,2022-10-27 00:00:00+00:00
60,163.74,155.89083333333335,154.30769230769232,158.24519999999998,,2022-10-28 00:00:00+00:00
61,161.49,156.34916666666666,154.69653846153844,158.0394,,2022-10-31 00:00:00+00:00
62,162.24,157.21083333333334,155.19846153846154,157.918,,2022-11-01 00:00:00+00:00
63,159.06,157.47583333333333,155.57846153846154,157.76139999999998,,2022-11-02 00:00:00+00:00
64,159.03,157.60416666666666,155.88923076923078,157.57659999999998,,2022-11-03 00:00:00+00:00
65,160.37,157.88750000000002,156.26307692307694,157.3766,,2022-11-04 00:00:00+00:00
66,163.01,158.59166666666667,156.79076923076923,157.3176,,2022-11-07 00:00:00+00:00
67,161.73,159.15833333333333,157.05423076923077,157.2652,,2022-11-08 00:00:00+00:00
68,159.31,159.39666666666668,157.07730769230767,157.2006,,2022-11-09 00:00:00+00:00
69,168.39,160.67,157.42961538461537,157.341,,2022-11-10 00:00:00+00:00
70,166.6,161.6833333333333,157.78653846153844,157.4216,,2022-11-11 00:00:00+00:00
71,165.29,162.52166666666668,158.29038461538462,157.52200000000002,,2022-11-14 00:00:00+00:00
72,163.62,162.51166666666666,158.66076923076923,157.563,,2022-11-15 00:00:00+00:00
73,165.51,162.84666666666666,159.16653846153847,157.562,,2022-11-16 00:00:00+00:00
74,165.65,163.13083333333333,159.69192307692308,157.5496,,2022-11-17 00:00:00+00:00
75,167.5,163.83416666666668,160.1346153846154,157.5644,,2022-11-18 00:00:00+00:00
76,169.87,164.73749999999998,160.82576923076925,157.614,,2022-11-21 00:00:00+00:00
77,170.82,165.60833333333335,161.4003846153846,157.8206,,2022-11-22 00:00:00+00:00
78,170.49,166.23166666666665,161.9003846153846,158.0542,,2022-11-23 00:00:00+00:00
79,171.82,167.07250000000002,162.47153846153847,158.3528,,2022-11-25 00:00:00+00:00
80,168.38,167.82833333333332,163.00307692307692,158.5936,,2022-11-28 00:00:00+00:00
81,168.68,167.8525,163.53192307692308,158.8228,,2022-11-29 00:00:00+00:00
82,173.18,168.40083333333334,164.1753846153846,159.177,,2022-11-30 00:00:00+00:00
83,173.03,169.04583333333332,164.94153846153847,159.56560000000002,,2022-12-01 00:00:00+00:00
84,173.91,169.90333333333334,165.6903846153846,160.0196,,2022-12-02 00:00:00+00:00
85,171.67,170.41666666666666,166.3226923076923,160.4254,,2022-12-05 00:00:00+00:00
86,171.95,170.94166666666663,166.63846153846154,160.8806,,2022-12-06 00:00:00+00:00
87,171.24,171.25333333333333,167.0134615384615,161.3218,,2022-12-07 00:00:00+00:00
88,172.2,171.4475,167.39653846153846,161.74679999999998,,2022-12-08 00:00:00+00:00
89,171.06,171.46749999999997,167.85807692307694,162.155,,2022-12-09 00:00:00+00:00
90,173.03,171.67916666666667,168.39653846153846,162.6298,,2022-12-12 00:00:00+00:00
91,173.46,171.81583333333333,168.89999999999998,163.0014,,2022-12-13 00:00:00+00:00
92,172.37,172.14833333333334,169.25999999999996,163.2746,,2022-12-14 00:00:00+00:00
93,168.1,172.1,169.505,163.452,,2022-12-15 00:00:00+00:00
94,165.19,171.43416666666667,169.73115384615383,163.6094,,2022-12-16 00:00:00+00:00
95,163.73,170.65916666666666,169.5519230769231,163.8402,,2022-12-19 00:00:00+00:00
96,164.85,169.90416666666667,169.48461538461535,164.05740000000003,,2022-12-20 00:00:00+00:00
97,167.59,169.56416666666667,169.5730769230769,164.362,,2022-12-21 00:00:00+00:00
98,165.7,169.04333333333332,169.6530769230769,164.6362,,2022-12-22 00:00:00+00:00
99,165.59,168.5725,169.6561538461538,164.8282,,2022-12-23 00:00:00+00:00
100,166.44,168.0925,169.68653846153848,165.11899999999997,,2022-12-27 00:00:00+00:00
101,164.6,167.55416666666665,169.575,165.2934,,2022-12-28 00:00:00+00:00
102,166.78,167.03333333333333,169.45615384615388,165.4792,,2022-12-29 00:00:00+00:00
103,165.48,166.3683333333333,169.2507692307692,165.6494,,2022-12-30 00:00:00+00:00
104,165.98,165.83583333333334,169.0773076923077,165.87779999999998,,2023-01-03 00:00:00+00:00
105,169.21,165.9283333333333,168.9769230769231,166.1634,,2023-01-04 00:00:00+00:00
106,166.14,166.0075,168.89076923076922,166.3572,,2023-01-05 00:00:00+00:00
107,170.96,166.61,168.97846153846152,166.7142,,2023-01-06 00:00:00+00:00
108,170.39,167.07166666666666,168.87115384615387,167.0332,,2023-01-09 00:00:00+00:00
109,170.39,167.30499999999998,168.76961538461535,167.3364,,2023-01-10 00:00:00+00:00
110,173.91,167.98916666666665,168.7696153846154,167.53979999999999,,2023-01-11 00:00:00+00:00
111,174.16,168.70333333333335,168.8653846153846,167.79319999999998,,2023-01-12 00:00:00+00:00
112,173.38,169.28166666666667,168.92038461538462,168.01600000000002,,2023-01-13 00:00:00+00:00
113,172.01,169.89916666666667,168.95,168.275,,2023-01-17 00:00:00+00:00
114,168.81,170.0683333333333,168.8196153846154,168.47060000000002,,2023-01-18 00:00:00+00:00
115,169.6,170.41166666666666,168.7634615384615,168.6552,,2023-01-19 00:00:00+00:00
116,173.12,171.00666666666666,168.7669230769231,168.85739999999998,,2023-01-20 00:00:00+00:00
117,173.51,171.365,168.76884615384614,169.093,,2023-01-23 00:00:00+00:00
118,173.49,171.9775,168.8119230769231,169.3766,,2023-01-24 00:00:00+00:00
119,173.28,172.17083333333332,169.01115384615383,169.47439999999997,,2023-01-25 00:00:00+00:00
120,175.66,172.61,169.41384615384615,169.65560000000002,,2023-01-26 00:00:00+00:00
121,172.13,172.755,169.73692307692306,169.7924,,2023-01-27 00:00:00+00:00
122,171.93,172.59,170.00923076923078,169.95859999999996,,2023-01-30 00:00:00+00:00
123,174.91,172.6525,170.29076923076926,170.1466,,2023-01-31 00:00:00+00:00
124,175.46,172.82583333333332,170.66615384615386,170.34279999999998,,2023-02-01 00:00:00+00:00
125,175.32,173.1016666666667,171.04038461538462,170.49919999999997,,2023-02-02 00:00:00+00:00
126,171.88,173.3575,171.24961538461537,170.5394,,2023-02-03 00:00:00+00:00
127,172.25,173.57833333333335,171.54384615384618,170.56799999999998,,2023-02-06 00:00:00+00:00
128,173.81,173.63583333333335,171.81423076923073,170.63440000000003,,2023-02-07 00:00:00+00:00
129,173.4,173.62666666666667,172.11884615384616,170.666,,2023-02-08 00:00:00+00:00
130,171.41,173.45333333333335,172.3276923076923,170.7266,,2023-02-09 00:00:00+00:00
131,172.05,173.35083333333333,172.43692307692305,170.79399999999998,,2023-02-10 00:00:00+00:00
132,174.0,173.2125,172.73923076923077,170.81039999999996,,2023-02-13 00:00:00+00:00
133,167.0,172.785,172.58692307692309,170.6898,,2023-02-14 00:00:00+00:00
134,168.07,172.46333333333334,172.4976923076923,170.57300000000004,,2023-02-15 00:00:00+00:00
135,166.51,171.76333333333332,172.34846153846155,170.4698,,2023-02-16 00:00:00+00:00
136,166.44,171.01166666666666,172.06115384615381,170.3596,,2023-02-17 00:00:00+00:00
137,163.93,170.0625,171.6676923076923,170.2134,,2023-02-21 00:00:00+00:00
138,164.06,169.41083333333333,171.30923076923077,170.05059999999997,,2023-02-22 00:00:00+00:00
139,163.88,168.71333333333334,170.99653846153845,169.907,,2023-02-23 00:00:00+00:00
140,162.04,167.7325,170.73615384615383,169.68719999999996,,2023-02-24 00:00:00+00:00
141,162.23,166.80166666666665,170.45269230769233,169.46259999999998,,2023-02-27 00:00:00+00:00
142,162.14,166.02916666666667,170.0303846153846,169.25799999999998,,2023-02-28 00:00:00+00:00
143,162.01,165.1925,169.58807692307693,169.13620000000003,,2023-03-01 00:00:00+00:00
144,161.89,164.18333333333334,169.14192307692306,169.0702,,2023-03-02 00:00:00+00:00
145,163.67,163.90583333333333,168.7723076923077,169.06900000000002,,2023-03-03 00:00:00+00:00
146,165.26,163.67166666666665,168.37230769230771,169.0772,,2023-03-06 00:00:00+00:00
147,162.26,163.3175,167.9926923076923,168.97060000000002,,2023-03-07 00:00:00+00:00
148,162.25,162.96833333333333,167.62038461538458,168.9016,,2023-03-08 00:00:00+00:00
149,158.83,162.54333333333332,167.00192307692305,168.7664,,2023-03-09 00:00:00+00:00
150,157.2,161.97166666666666,166.29961538461538,168.5816,,2023-03-10 00:00:00+00:00
151,155.26,161.25333333333333,165.5280769230769,168.3948,,2023-03-13 00:00:00+00:00
152,157.26,160.855,164.9657692307692,168.2044,,2023-03-14 00:00:00+00:00
153,154.08,160.17583333333332,164.26692307692306,167.97639999999998,,2023-03-15 00:00:00+00:00
154,158.69,159.88833333333335,163.68538461538463,167.8306,,2023-03-16 00:00:00+00:00
155,155.8,159.37083333333334,163.00846153846152,167.56239999999997,,2023-03-17 00:00:00+00:00
156,158.21,159.06416666666667,162.5007692307692,167.40380000000002,,2023-03-20 00:00:00+00:00
157,160.42,158.79333333333332,162.0534615384615,167.19299999999998,,2023-03-21 00:00:00+00:00
158,157.91,158.18083333333334,161.4346153846154,166.9434,,2023-03-22 00:00:00+00:00
159,158.65,157.88,161.11346153846154,166.70860000000002,,2023-03-23 00:00:00+00:00
160,160.53,157.73666666666665,160.82346153846154,166.44099999999997,,2023-03-24 00:00:00+00:00
161,161.35,157.94666666666666,160.625,166.1848,,2023-03-27 00:00:00+00:00
162,162.3,158.37166666666667,160.4657692307692,165.9632,,2023-03-28 00:00:00+00:00
163,164.48,159.14,160.48692307692306,165.81260000000003,,2023-03-29 00:00:00+00:00
164,164.88,159.775,160.5184615384615,165.73399999999998,,2023-03-30 00:00:00+00:00
165,166.55,160.81416666666667,160.62115384615385,165.673,,2023-03-31 00:00:00+00:00
