,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,48.18,,,,,2022-08-04 00:00:00+00:00
1,45.69,,,,,2022-08-05 00:00:00+00:00
2,44.715,,,,,2022-08-08 00:00:00+00:00
3,44.405,,,,,2022-08-09 00:00:00+00:00
4,44.91,,,,,2022-08-10 00:00:00+00:00
5,44.65,,,,,2022-08-11 00:00:00+00:00
6,45.01,,,,,2022-08-12 00:00:00+00:00
7,45.895,,,,,2022-08-15 00:00:00+00:00
8,46.14,,,,,2022-08-16 00:00:00+00:00
9,45.755,,,,,2022-08-17 00:00:00+00:00
10,45.63,,,,,2022-08-18 00:00:00+00:00
11,45.295,45.52291666666667,,,,2022-08-19 00:00:00+00:00
12,44.795,45.240833333333335,,,,2022-08-22 00:00:00+00:00
13,45.08,45.19,,,,2022-08-23 00:00:00+00:00
14,45.215,45.23166666666666,,,,2022-08-24 00:00:00+00:00
15,45.59,45.33041666666667,,,,2022-08-25 00:00:00+00:00
16,44.575,45.3025,,,,2022-08-26 00:00:00+00:00
17,44.295,45.27291666666667,,,,2022-08-29 00:00:00+00:00
18,44.265,45.21083333333333,,,,2022-08-30 00:00:00+00:00
19,44.415,45.087500000000006,,,,2022-08-31 00:00:00+00:00
20,44.5,44.95083333333334,,,,2022-09-01 00:00:00+00:00
21,44.195,44.82083333333333,,,,2022-09-02 00:00:00+00:00
22,44.295,44.709583333333335,,,,2022-09-06 00:00:00+00:00
23,45.225,44.70375000000001,,,,2022-09-07 00:00:00+00:00
24,45.71,44.78,,,,2022-09-08 00:00:00+00:00
25,46.215,44.874583333333334,45.17865384615384,,,2022-09-09 00:00:00+00:00
26,46.78,45.005,45.12480769230769,,,2022-09-12 00:00:00+00:00
27,44.765,44.93625,45.089230769230774,,,2022-09-13 00:00:00+00:00
28,44.465,44.927083333333336,45.07961538461538,,,2022-09-14 00:00:00+00:00
29,43.685,44.876250000000006,45.051923076923075,,,2022-09-15 00:00:00+00:00
30,43.62,44.8225,45.00230769230769,,,2022-09-16 00:00:00+00:00
31,43.925,44.781666666666666,44.97442307692308,,,2022-09-19 00:00:00+00:00
32,43.85,44.7275,44.9298076923077,,,2022-09-20 00:00:00+00:00
33,43.52,44.67124999999999,44.838461538461544,,,2022-09-21 00:00:00+00:00
34,43.385,44.595416666666665,44.7325,,,2022-09-22 00:00:00+00:00
35,43.545,44.45541666666667,44.6475,,,2022-09-23 00:00:00+00:00
36,43.955,44.30916666666667,44.58307692307692,,,2022-09-26 00:00:00+00:00
37,43.675,44.0975,44.52076923076923,,,2022-09-27 00:00:00+00:00
38,44.7,43.92416666666667,44.517115384615394,,,2022-09-28 00:00:00+00:00
39,44.005,43.86083333333334,44.475769230769224,,,2022-09-29 00:00:00+00:00
40,43.48,43.77875,44.40903846153846,,,2022-09-30 00:00:00+00:00
41,44.535,43.84958333333333,44.368461538461546,,,2022-10-03 00:00:00+00:00
42,45.825,44.03333333333333,44.416538461538465,,,2022-10-04 00:00:00+00:00
43,46.09,44.21375,44.48557692307692,,,2022-10-05 00:00:00+00:00
44,45.87,44.382083333333334,44.54730769230769,,,2022-10-06 00:00:00+00:00
45,45.145,44.517500000000005,44.575384615384614,,,2022-10-07 00:00:00+00:00
46,45.51,44.694583333333334,44.61423076923077,,,2022-10-10 00:00:00+00:00
47,44.73,44.79333333333333,44.63480769230769,,,2022-10-11 00:00:00+00:00
48,44.785,44.862500000000004,44.653653846153844,,,2022-10-12 00:00:00+00:00
49,45.04,44.97625,44.64653846153846,44.8706,,2022-10-13 00:00:00+00:00
50,43.7,44.89291666666667,44.56923076923077,44.781000000000006,,2022-10-14 00:00:00+00:00
51,44.69,44.949999999999996,44.510576923076925,44.761,,2022-10-17 00:00:00+00:00
52,45.24,45.096666666666664,44.45134615384616,44.771499999999996,,2022-10-18 00:00:00+00:00
53,44.12,45.062083333333334,44.426538461538456,44.765800000000006,,2022-10-19 00:00:00+00:00
54,43.505,44.86875,44.38961538461539,44.7377,,2022-10-20 00:00:00+00:00
55,43.795,44.6775,44.393846153846155,44.7206,,2022-10-21 00:00:00+00:00
56,45.055,44.609583333333326,44.44903846153846,44.721500000000006,,2022-10-24 00:00:00+00:00
57,45.83,44.666666666666664,44.52230769230769,44.720200000000006,,2022-10-25 00:00:00+00:00
58,46.005,44.70791666666667,44.605192307692306,44.7175,,2022-10-26 00:00:00+00:00
59,45.865,44.8025,44.69538461538461,44.7197,,2022-10-27 00:00:00+00:00
60,46.77,44.96791666666667,44.82557692307692,44.7425,,2022-10-28 00:00:00+00:00
61,46.86,45.11958333333333,44.95307692307693,44.7738,,2022-10-31 00:00:00+00:00
62,47.175,45.409166666666664,45.07692307692308,44.8214,,2022-11-01 00:00:00+00:00
63,45.855,45.50625,45.16076923076923,44.83689999999999,,2022-11-02 00:00:00+00:00
64,45.545,45.531666666666666,45.193269230769225,44.843500000000006,,2022-11-03 00:00:00+00:00
65,48.97,45.935833333333335,45.38423076923077,44.911100000000005,,2022-11-04 00:00:00+00:00
66,49.45,46.43125,45.613846153846154,45.008599999999994,,2022-11-07 00:00:00+00:00
67,48.93,46.859166666666674,45.78288461538462,45.1013,,2022-11-08 00:00:00+00:00
68,48.115,47.11416666666667,45.870961538461536,45.1783,,2022-11-09 00:00:00+00:00
69,49.65,47.432500000000005,46.00788461538461,45.283,,2022-11-10 00:00:00+00:00
70,49.06,47.68708333333333,46.13057692307692,45.3742,,2022-11-11 00:00:00+00:00
71,48.46,47.903333333333336,46.25807692307693,45.459500000000006,,2022-11-14 00:00:00+00:00
72,49.07,48.095,46.394999999999996,45.555,,2022-11-15 00:00:00+00:00
73,49.595,48.322916666666664,46.58211538461539,45.64240000000001,,2022-11-16 00:00:00+00:00
74,49.48,48.51499999999999,46.762692307692305,45.717800000000004,,2022-11-17 00:00:00+00:00
75,49.85,48.84791666666666,46.947692307692314,45.7905,,2022-11-18 00:00:00+00:00
76,50.55,49.26500000000001,47.21115384615385,45.8659,,2022-11-21 00:00:00+00:00
77,51.58,49.482499999999995,47.47615384615384,46.0022,,2022-11-22 00:00:00+00:00
78,51.965,49.692083333333336,47.73480769230769,46.15219999999999,,2022-11-23 00:00:00+00:00
79,51.685,49.92166666666666,48.025769230769235,46.31219999999999,,2022-11-25 00:00:00+00:00
80,50.94,50.15708333333333,48.31173076923077,46.4586,,2022-11-28 00:00:00+00:00
81,49.895,50.1775,48.54634615384616,46.577999999999996,,2022-11-29 00:00:00+00:00
82,51.43,50.375,48.79153846153846,46.7296,,2022-11-30 00:00:00+00:00
83,51.625,50.638749999999995,49.01442307692308,46.8917,,2022-12-01 00:00:00+00:00
84,52.02,50.88458333333333,49.245769230769234,47.064400000000006,,2022-12-02 00:00:00+00:00
85,51.085,51.00874999999999,49.44653846153846,47.2152,,2022-12-05 00:00:00+00:00
86,50.72,51.11208333333334,49.598461538461535,47.350500000000004,,2022-12-06 00:00:00+00:00
