,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,90.17,,,,,2022-08-04 00:00:00+00:00
1,90.22,,,,,2022-08-05 00:00:00+00:00
2,90.39,,,,,2022-08-08 00:00:00+00:00
3,93.35,,,,,2022-08-09 00:00:00+00:00
4,95.18,,,,,2022-08-10 00:00:00+00:00
5,96.71,,,,,2022-08-11 00:00:00+00:00
6,97.47,,,,,2022-08-12 00:00:00+00:00
7,95.79,,,,,2022-08-15 00:00:00+00:00
8,96.65,,,,,2022-08-16 00:00:00+00:00
9,98.62,,,,,2022-08-17 00:00:00+00:00
10,100.79,,,,,2022-08-18 00:00:00+00:00
11,100.45,95.4825,,,,2022-08-19 00:00:00+00:00
12,100.42,96.33666666666666,,,,2022-08-22 00:00:00+00:00
13,103.49,97.4425,,,,2022-08-23 00:00:00+00:00
14,104.78,98.64166666666667,,,,2022-08-24 00:00:00+00:00
15,105.97,99.69333333333333,,,,2022-08-25 00:00:00+00:00
16,104.34,100.45666666666666,,,,2022-08-26 00:00:00+00:00
17,105.0,101.1475,,,,2022-08-29 00:00:00+00:00
18,101.5,101.48333333333333,,,,2022-08-30 00:00:00+00:00
19,100.75,101.89666666666666,,,,2022-08-31 00:00:00+00:00
20,96.76,101.90583333333332,,,,2022-09-01 00:00:00+00:00
21,99.13,101.94833333333334,,,,2022-09-02 00:00:00+00:00
22,98.46,101.75416666666668,,,,2022-09-06 00:00:00+00:00
23,98.34,101.57833333333333,,,,2022-09-07 00:00:00+00:00
24,98.45,101.41416666666667,,,,2022-09-08 00:00:00+00:00
25,100.01,101.12416666666667,98.58423076923077,,,2022-09-09 00:00:00+00:00
26,99.94,100.72083333333335,98.96000000000001,,,2022-09-12 00:00:00+00:00
27,97.65,100.02749999999999,99.24576923076924,,,2022-09-13 00:00:00+00:00
28,98.32,99.52583333333332,99.55076923076922,,,2022-09-14 00:00:00+00:00
29,96.14,98.78750000000001,99.65807692307693,,,2022-09-15 00:00:00+00:00
30,95.65,98.30000000000001,99.67615384615384,,,2022-09-16 00:00:00+00:00
31,96.3,97.92916666666667,99.66038461538461,,,2022-09-19 00:00:00+00:00
32,97.2,97.96583333333335,99.65,,,2022-09-20 00:00:00+00:00
33,94.67,97.59416666666665,99.60692307692307,,,2022-09-21 00:00:00+00:00
34,95.98,97.38749999999999,99.58115384615385,,,2022-09-22 00:00:00+00:00
35,91.45,96.81333333333333,99.30538461538461,,,2022-09-23 00:00:00+00:00
36,89.54,96.07083333333333,98.8726923076923,,,2022-09-26 00:00:00+00:00
37,92.85,95.47416666666668,98.58038461538462,,,2022-09-27 00:00:00+00:00
38,100.09,95.48666666666666,98.56769230769231,,,2022-09-28 00:00:00+00:00
39,98.7,95.57416666666667,98.38346153846155,,,2022-09-29 00:00:00+00:00
