,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,194.18,,,,,2022-08-04 00:00:00+00:00
1,186.84,,,,,2022-08-05 00:00:00+00:00
2,182.94,,,,,2022-08-08 00:00:00+00:00
3,171.14,,,,,2022-08-09 00:00:00+00:00
4,174.27,,,,,2022-08-10 00:00:00+00:00
5,171.81,,,,,2022-08-11 00:00:00+00:00
6,171.18,,,,,2022-08-12 00:00:00+00:00
7,176.78,,,,,2022-08-15 00:00:00+00:00
8,167.96,,,,,2022-08-16 00:00:00+00:00
9,158.0,,,,,2022-08-17 00:00:00+00:00
10,150.0,,,,,2022-08-18 00:00:00+00:00
11,146.1,170.9333333333333,,,,2022-08-19 00:00:00+00:00
12,142.47,166.62416666666667,,,,2022-08-22 00:00:00+00:00
13,143.78,163.03583333333333,,,,2022-08-23 00:00:00+00:00
14,141.43,159.57666666666668,,,,2022-08-24 00:00:00+00:00
15,142.05,157.1525,,,,2022-08-25 00:00:00+00:00
16,136.7,154.02166666666668,,,,2022-08-26 00:00:00+00:00
17,137.26,151.1425,,,,2022-08-29 00:00:00+00:00
18,135.93,148.205,,,,2022-08-30 00:00:00+00:00
19,132.27,144.4958333333333,,,,2022-08-31 00:00:00+00:00
20,138.95,142.07833333333332,,,,2022-09-01 00:00:00+00:00
21,138.57,140.45916666666668,,,,2022-09-02 00:00:00+00:00
22,130.08,138.79916666666668,,,,2022-09-06 00:00:00+00:00
23,134.9,137.8658333333333,,,,2022-09-07 00:00:00+00:00
24,141.28,137.76666666666668,,,,2022-09-08 00:00:00+00:00
25,142.28,137.64166666666668,153.42884615384617,,,2022-09-09 00:00:00+00:00
26,140.32,137.54916666666665,151.3573076923077,,,2022-09-12 00:00:00+00:00
27,131.3,136.65333333333334,149.22115384615384,,,2022-09-13 00:00:00+00:00
28,139.4,136.87833333333333,147.54653846153846,,,2022-09-14 00:00:00+00:00
29,135.86,136.76166666666666,146.1896153846154,,,2022-09-15 00:00:00+00:00
30,137.74,136.9125,144.7846153846154,,,2022-09-16 00:00:00+00:00
31,127.9,136.54833333333332,143.09576923076924,,,2022-09-19 00:00:00+00:00
32,129.705,135.77791666666667,141.50057692307692,,,2022-09-20 00:00:00+00:00
33,125.76,134.71041666666665,139.53826923076923,,,2022-09-21 00:00:00+00:00
34,124.32,134.23041666666668,137.8598076923077,,,2022-09-22 00:00:00+00:00
35,123.64,133.29208333333335,136.53826923076923,,,2022-09-23 00:00:00+00:00
36,119.69,131.49291666666667,135.3725,,,2022-09-26 00:00:00+00:00
37,122.23,129.82208333333332,134.4544230769231,,,2022-09-27 00:00:00+00:00
38,122.15,128.30791666666667,133.67288461538462,,,2022-09-28 00:00:00+00:00
39,118.07,127.20541666666668,132.68403846153848,,,2022-09-29 00:00:00+00:00
40,118.25,125.44291666666668,131.7925,,,2022-09-30 00:00:00+00:00
41,120.99,124.20375000000001,130.98250000000002,,,2022-10-03 00:00:00+00:00
42,125.67,123.19791666666667,130.5582692307692,,,2022-10-04 00:00:00+00:00
43,125.62,123.00791666666667,130.11057692307693,,,2022-10-05 00:00:00+00:00
44,125.15,122.62833333333334,129.69596153846152,,,2022-10-06 00:00:00+00:00
45,119.32,122.09166666666668,129.19788461538462,,,2022-10-07 00:00:00+00:00
46,123.42,122.01666666666665,128.60057692307694,,,2022-10-10 00:00:00+00:00
47,120.72,121.77333333333333,127.91403846153845,,,2022-10-11 00:00:00+00:00
48,130.72,122.6925,127.93865384615385,,,2022-10-12 00:00:00+00:00
49,134.72,123.73333333333333,127.93173076923077,140.6363,,2022-10-13 00:00:00+00:00
50,134.0,124.72083333333332,127.65173076923078,139.4327,,2022-10-14 00:00:00+00:00
51,139.25,126.48583333333333,127.53519230769231,138.4809,,2022-10-17 00:00:00+00:00
52,134.09,127.80583333333334,127.29557692307694,137.5039,,2022-10-18 00:00:00+00:00
53,123.52,128.01666666666668,126.99634615384616,136.5515,,2022-10-19 00:00:00+00:00
54,118.38,127.40916666666668,126.18788461538462,135.43370000000002,,2022-10-20 00:00:00+00:00
55,128.32,127.63416666666666,125.89788461538461,134.5639,,2022-10-21 00:00:00+00:00
56,133.02,128.29,125.71634615384616,133.8007,,2022-10-24 00:00:00+00:00
57,136.57,129.7275,126.0498076923077,132.9965,,2022-10-25 00:00:00+00:00
58,142.0,131.27583333333334,126.52269230769231,132.47729999999999,,2022-10-26 00:00:00+00:00
59,144.11,133.225,127.22846153846154,132.1995,,2022-10-27 00:00:00+00:00
60,150.97,134.9125,128.25346153846155,132.2189,,2022-10-28 00:00:00+00:00
61,150.33,136.21333333333334,129.28,132.3035,,2022-10-31 00:00:00+00:00
62,154.62,137.93166666666667,130.62346153846153,132.5465,,2022-11-01 00:00:00+00:00
63,148.62,138.7125,131.63846153846154,132.6433,,2022-11-02 00:00:00+00:00
64,147.5,139.83,132.61346153846154,132.7647,,2022-11-03 00:00:00+00:00
65,158.41,142.73749999999998,134.165,133.09189999999998,,2022-11-04 00:00:00+00:00
66,164.04,146.5425,135.92615384615385,133.6387,,2022-11-07 00:00:00+00:00
67,164.61,149.5666666666667,137.60384615384618,134.1857,,2022-11-08 00:00:00+00:00
68,163.21,152.0825,139.04769230769233,134.7313,,2022-11-09 00:00:00+00:00
69,168.56,154.74833333333333,140.69923076923078,135.4571,,2022-11-10 00:00:00+00:00
70,171.2,157.18166666666664,142.4703846153846,136.1021,,2022-11-11 00:00:00+00:00
71,179.03,160.09166666666667,144.7669230769231,136.9113,,2022-11-14 00:00:00+00:00
72,185.47,162.96666666666667,147.15346153846153,138.0191,,2022-11-15 00:00:00+00:00
73,185.25,165.87666666666667,149.63538461538462,139.0261,,2022-11-16 00:00:00+00:00
74,183.9,168.31666666666666,151.68076923076922,139.8785,,2022-11-17 00:00:00+00:00
75,181.59,171.06416666666667,153.48346153846154,140.6647,,2022-11-18 00:00:00+00:00
76,176.75,173.50166666666667,155.1276923076923,141.3933,,2022-11-21 00:00:00+00:00
77,179.59,175.26666666666665,156.67923076923077,142.3591,,2022-11-22 00:00:00+00:00
78,176.81,176.33083333333335,158.3223076923077,143.1073,,2022-11-23 00:00:00+00:00
79,176.4,177.3133333333333,160.35615384615386,143.9181,,2022-11-25 00:00:00+00:00
80,175.38,178.3275,162.54846153846154,144.6709,,2022-11-28 00:00:00+00:00
81,173.15,178.71,164.27269230769232,145.5759,,2022-11-29 00:00:00+00:00
82,175.91,179.1025,165.92230769230767,146.5,,2022-11-30 00:00:00+00:00
83,181.48,179.30666666666664,167.6496153846154,147.61440000000002,,2022-12-01 00:00:00+00:00
84,182.35,179.04666666666665,169.20153846153846,148.775,,2022-12-02 00:00:00+00:00
85,175.93,178.27,170.42538461538464,149.8208,,2022-12-05 00:00:00+00:00
86,173.54,177.40666666666667,171.29346153846154,150.89780000000002,,2022-12-06 00:00:00+00:00
87,179.0,177.19083333333333,172.39615384615385,152.0332,,2022-12-07 00:00:00+00:00
88,184.7,177.85333333333332,173.55307692307693,153.2842,,2022-12-08 00:00:00+00:00
89,177.35,177.66666666666666,174.65807692307695,154.46980000000002,,2022-12-09 00:00:00+00:00
90,165.13,176.69333333333336,175.33615384615388,155.40740000000002,,2022-12-12 00:00:00+00:00
91,197.54,178.455,176.84115384615384,156.9384,,2022-12-13 00:00:00+00:00
92,208.95,181.25250000000003,178.56846153846152,158.60399999999998,,2022-12-14 00:00:00+00:00
93,207.25,184.09416666666667,180.20846153846153,160.2366,,2022-12-15 00:00:00+00:00
94,193.29,185.54250000000002,181.3653846153846,161.5994,,2022-12-16 00:00:00+00:00
95,189.89,186.24333333333334,182.18576923076924,163.0108,,2022-12-19 00:00:00+00:00
96,201.16,187.81083333333333,183.33807692307693,164.56560000000002,,2022-12-20 00:00:00+00:00
97,210.04,190.6533333333333,184.53076923076924,166.352,,2022-12-21 00:00:00+00:00
