,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,283.65,,,,,2022-08-04 00:00:00+00:00
1,282.91,,,,,2022-08-05 00:00:00+00:00
2,280.32,,,,,2022-08-08 00:00:00+00:00
3,282.3,,,,,2022-08-09 00:00:00+00:00
4,289.16,,,,,2022-08-10 00:00:00+00:00
5,287.02,,,,,2022-08-11 00:00:00+00:00
6,291.91,,,,,2022-08-12 00:00:00+00:00
7,293.47,,,,,2022-08-15 00:00:00+00:00
8,292.71,,,,,2022-08-16 00:00:00+00:00
9,291.32,,,,,2022-08-17 00:00:00+00:00
10,290.17,,,,,2022-08-18 00:00:00+00:00
11,286.15,287.59083333333336,,,,2022-08-19 00:00:00+00:00
12,277.75,287.0991666666667,,,,2022-08-22 00:00:00+00:00
13,276.44,286.56,,,,2022-08-23 00:00:00+00:00
14,275.79,286.1825,,,,2022-08-24 00:00:00+00:00
15,278.85,285.89500000000004,,,,2022-08-25 00:00:00+00:00
16,268.09,284.13916666666665,,,,2022-08-26 00:00:00+00:00
17,265.23,282.3233333333333,,,,2022-08-29 00:00:00+00:00
18,262.97,279.9116666666667,,,,2022-08-30 00:00:00+00:00
19,261.47,277.245,,,,2022-08-31 00:00:00+00:00
20,260.4,274.5525,,,,2022-09-01 00:00:00+00:00
21,256.06,271.6141666666667,,,,2022-09-02 00:00:00+00:00
22,253.25,268.53749999999997,,,,2022-09-06 00:00:00+00:00
23,258.09,266.19916666666666,,,,2022-09-07 00:00:00+00:00
24,258.52,264.59666666666664,,,,2022-09-08 00:00:00+00:00
25,264.46,263.5983333333333,275.71,,,2022-09-09 00:00:00+00:00
26,266.65,262.83666666666664,275.05615384615385,,,2022-09-12 00:00:00+00:00
27,251.99,260.5983333333333,273.86692307692306,,,2022-09-13 00:00:00+00:00
28,252.22,259.2758333333333,272.7861538461538,,,2022-09-14 00:00:00+00:00
29,245.38,257.6216666666666,271.36615384615385,,,2022-09-15 00:00:00+00:00
