,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,229.91,,,,,2022-08-04 00:00:00+00:00
1,226.78,,,,,2022-08-05 00:00:00+00:00
2,233.49,,,,,2022-08-08 00:00:00+00:00
3,229.94,,,,,2022-08-09 00:00:00+00:00
4,244.11,,,,,2022-08-10 00:00:00+00:00
5,242.7,,,,,2022-08-11 00:00:00+00:00
6,249.3,,,,,2022-08-12 00:00:00+00:00
7,249.11,,,,,2022-08-15 00:00:00+00:00
8,245.69,,,,,2022-08-16 00:00:00+00:00
9,241.15,,,,,2022-08-17 00:00:00+00:00
10,245.17,,,,,2022-08-18 00:00:00+00:00
11,241.16,239.87583333333336,,,,2022-08-19 00:00:00+00:00
12,226.54,239.59500000000003,,,,2022-08-22 00:00:00+00:00
13,224.55,239.40916666666666,,,,2022-08-23 00:00:00+00:00
14,229.61,239.08583333333334,,,,2022-08-24 00:00:00+00:00
15,233.98,239.4225,,,,2022-08-25 00:00:00+00:00
16,223.28,237.68666666666664,,,,2022-08-26 00:00:00+00:00
17,224.57,236.17583333333334,,,,2022-08-29 00:00:00+00:00
18,220.65,233.78833333333333,,,,2022-08-30 00:00:00+00:00
19,223.56,231.65916666666666,,,,2022-08-31 00:00:00+00:00
20,230.04,230.355,,,,2022-09-01 00:00:00+00:00
21,226.11,229.1016666666667,,,,2022-09-02 00:00:00+00:00
22,218.39,226.87,,,,2022-09-06 00:00:00+00:00
23,228.96,225.85333333333332,,,,2022-09-07 00:00:00+00:00
24,227.44,225.9283333333333,,,,2022-09-08 00:00:00+00:00
25,233.57,226.68000000000004,232.68307692307692,,,2022-09-09 00:00:00+00:00
26,236.53,227.25666666666666,232.93769230769232,,,2022-09-12 00:00:00+00:00
27,218.13,225.93583333333333,232.60500000000002,,,2022-09-13 00:00:00+00:00
28,224.12,226.0058333333333,232.24461538461537,,,2022-09-14 00:00:00+00:00
29,235.38,226.90666666666667,232.45384615384617,,,2022-09-15 00:00:00+00:00
30,240.13,228.53,232.30076923076925,,,2022-09-16 00:00:00+00:00
31,243.63,230.2025,232.33653846153845,,,2022-09-19 00:00:00+00:00
32,242.85,231.27,232.08846153846156,,,2022-09-20 00:00:00+00:00
33,236.87,232.16666666666666,231.6176923076923,,,2022-09-21 00:00:00+00:00
34,237.05,233.72166666666666,231.28538461538463,,,2022-09-22 00:00:00+00:00
35,226.41,233.5091666666667,230.71846153846153,,,2022-09-23 00:00:00+00:00
36,224.07,233.22833333333332,229.90692307692308,,,2022-09-26 00:00:00+00:00
37,224.36,232.4608333333333,229.26076923076923,,,2022-09-27 00:00:00+00:00
38,245.2,233.1833333333333,229.97846153846152,,,2022-09-28 00:00:00+00:00
39,239.71,234.98166666666665,230.56153846153845,,,2022-09-29 00:00:00+00:00
40,235.44,235.92499999999998,230.78576923076923,,,2022-09-30 00:00:00+00:00
41,239.04,236.23,230.98038461538465,,,2022-10-03 00:00:00+00:00
42,240.74,236.28083333333333,231.65192307692308,,,2022-10-04 00:00:00+00:00
43,236.73,235.70583333333335,232.11961538461537,,,2022-10-05 00:00:00+00:00
44,240.02,235.47,232.8646153846154,,,2022-10-06 00:00:00+00:00
45,224.75,234.46,232.91038461538463,,,2022-10-07 00:00:00+00:00
46,229.98,233.87083333333337,232.90807692307692,,,2022-10-10 00:00:00+00:00
47,214.29,232.86083333333332,232.45346153846154,,,2022-10-11 00:00:00+00:00
48,220.87,232.59416666666667,232.54884615384617,,,2022-10-12 00:00:00+00:00
49,232.51,233.27333333333334,232.6853846153846,232.7714,,2022-10-13 00:00:00+00:00
50,230.0,232.00666666666666,232.78384615384616,232.7732,,2022-10-14 00:00:00+00:00
51,245.1,232.45583333333335,233.22730769230768,233.1396,,2022-10-17 00:00:00+00:00
52,240.86,232.90750000000003,233.39384615384614,233.287,,2022-10-18 00:00:00+00:00
53,272.38,235.68583333333333,235.4803846153846,234.1358,,2022-10-19 00:00:00+00:00
54,268.16,237.97083333333333,237.17423076923075,234.6168,,2022-10-20 00:00:00+00:00
55,289.57,242.37416666666664,239.25846153846155,235.55419999999998,,2022-10-21 00:00:00+00:00
56,282.45,245.91,240.88615384615383,236.21720000000002,,2022-10-24 00:00:00+00:00
57,291.02,251.4325,242.70884615384614,237.05540000000002,,2022-10-25 00:00:00+00:00
58,298.62,257.1525,244.85384615384615,238.11399999999998,,2022-10-26 00:00:00+00:00
59,296.94,264.04,247.16423076923078,239.22979999999998,,2022-10-27 00:00:00+00:00
60,295.72,270.2775,249.42076923076925,240.24079999999998,,2022-10-28 00:00:00+00:00
61,291.88,275.22499999999997,251.93884615384616,241.2552,,2022-10-31 00:00:00+00:00
62,286.75,279.95416666666665,254.3496153846154,242.45940000000002,,2022-11-01 00:00:00+00:00
63,273.0,282.27916666666664,256.2203846153846,243.4284,,2022-11-02 00:00:00+00:00
64,269.06,284.62916666666666,257.13807692307694,244.21740000000003,,2022-11-03 00:00:00+00:00
65,260.79,283.66333333333336,257.94884615384615,244.7536,,2022-11-04 00:00:00+00:00
