,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,20.9,,,,,2022-08-04 00:00:00+00:00
1,20.22,,,,,2022-08-05 00:00:00+00:00
2,20.17,,,,,2022-08-08 00:00:00+00:00
3,19.17,,,,,2022-08-09 00:00:00+00:00
4,20.05,,,,,2022-08-10 00:00:00+00:00
5,20.82,,,,,2022-08-11 00:00:00+00:00
6,21.11,,,,,2022-08-12 00:00:00+00:00
7,21.3,,,,,2022-08-15 00:00:00+00:00
8,20.91,,,,,2022-08-16 00:00:00+00:00
9,20.08,,,,,2022-08-17 00:00:00+00:00
10,19.91,,,,,2022-08-18 00:00:00+00:00
11,19.05,20.3075,,,,2022-08-19 00:00:00+00:00
12,18.95,20.145,,,,2022-08-22 00:00:00+00:00
13,18.29,19.984166666666667,,,,2022-08-23 00:00:00+00:00
14,18.87,19.875833333333336,,,,2022-08-24 00:00:00+00:00
15,20.08,19.951666666666664,,,,2022-08-25 00:00:00+00:00
16,19.92,19.940833333333334,,,,2022-08-26 00:00:00+00:00
17,19.81,19.856666666666666,,,,2022-08-29 00:00:00+00:00
18,19.83,19.75,,,,2022-08-30 00:00:00+00:00
19,19.91,19.634166666666665,,,,2022-08-31 00:00:00+00:00
20,18.79,19.4575,,,,2022-09-01 00:00:00+00:00
21,17.73,19.261666666666667,,,,2022-09-02 00:00:00+00:00
22,17.11,19.028333333333332,,,,2022-09-06 00:00:00+00:00
23,17.48,18.8975,,,,2022-09-07 00:00:00+00:00
24,17.68,18.791666666666664,,,,2022-09-08 00:00:00+00:00
25,19.16,18.864166666666666,19.51153846153846,,,2022-09-09 00:00:00+00:00
26,21.75,19.104166666666668,19.544230769230772,,,2022-09-12 00:00:00+00:00
27,21.97,19.261666666666667,19.611538461538462,,,2022-09-13 00:00:00+00:00
28,21.94,19.43,19.67961538461538,,,2022-09-14 00:00:00+00:00
29,21.51,19.57166666666667,19.769615384615385,,,2022-09-15 00:00:00+00:00
30,20.15,19.598333333333333,19.77346153846154,,,2022-09-16 00:00:00+00:00
31,20.9,19.680833333333336,19.776538461538465,,,2022-09-19 00:00:00+00:00
32,20.41,19.815833333333334,19.749615384615385,,,2022-09-20 00:00:00+00:00
33,18.3,19.863333333333333,19.63423076923077,,,2022-09-21 00:00:00+00:00
34,18.35,19.96666666666667,19.53576923076923,,,2022-09-22 00:00:00+00:00
35,17.64,19.98,19.44192307692308,,,2022-09-23 00:00:00+00:00
36,17.62,19.975,19.353846153846153,,,2022-09-26 00:00:00+00:00
37,17.19,19.810833333333335,19.282307692307693,,,2022-09-27 00:00:00+00:00
38,17.33,19.4425,19.220000000000002,,,2022-09-28 00:00:00+00:00
39,15.58,18.91,19.11576923076923,,,2022-09-29 00:00:00+00:00
40,15.77,18.395833333333332,18.99653846153846,,,2022-09-30 00:00:00+00:00
41,15.49,17.894166666666667,18.82,,,2022-10-03 00:00:00+00:00
42,16.73,17.609166666666667,18.697307692307692,,,2022-10-04 00:00:00+00:00
43,16.04,17.20416666666667,18.552307692307693,,,2022-10-05 00:00:00+00:00
44,14.77,16.734166666666667,18.357692307692307,,,2022-10-06 00:00:00+00:00
45,13.76,16.355833333333333,18.121153846153845,,,2022-10-07 00:00:00+00:00
46,13.28,15.933333333333335,17.909230769230767,,,2022-10-10 00:00:00+00:00
47,12.83,15.532499999999999,17.720769230769232,,,2022-10-11 00:00:00+00:00
48,12.88,15.137500000000001,17.55807692307692,,,2022-10-12 00:00:00+00:00
49,12.78,14.770000000000001,17.377307692307692,18.4454,,2022-10-13 00:00:00+00:00
50,11.75,14.305000000000001,17.14923076923077,18.2624,,2022-10-14 00:00:00+00:00
51,12.21,14.024166666666666,16.881923076923076,18.1022,,2022-10-17 00:00:00+00:00
52,12.21,13.7275,16.515,17.943,,2022-10-18 00:00:00+00:00
53,10.92,13.34666666666667,16.09,17.778,,2022-10-19 00:00:00+00:00
54,10.97,12.866666666666667,15.668076923076923,17.596400000000003,,2022-10-20 00:00:00+00:00
55,11.21,12.464166666666666,15.271923076923079,17.4042,,2022-10-21 00:00:00+00:00
56,9.45,12.020833333333334,14.860384615384616,17.171,,2022-10-24 00:00:00+00:00
57,10.63,11.76,14.465384615384616,16.9576,,2022-10-25 00:00:00+00:00
58,10.81,11.554166666666667,14.096153846153847,16.7556,,2022-10-26 00:00:00+00:00
59,9.98,11.316666666666668,13.776153846153846,16.5536,,2022-10-27 00:00:00+00:00
60,9.69,11.050833333333335,13.443076923076925,16.3492,,2022-10-28 00:00:00+00:00
