,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,114.48,,,,,2022-08-04 00:00:00+00:00
1,113.87,,,,,2022-08-05 00:00:00+00:00
2,114.0,,,,,2022-08-08 00:00:00+00:00
3,110.11,,,,,2022-08-09 00:00:00+00:00
4,113.14,,,,,2022-08-10 00:00:00+00:00
5,114.1,,,,,2022-08-11 00:00:00+00:00
6,116.07,,,,,2022-08-12 00:00:00+00:00
7,116.32,,,,,2022-08-15 00:00:00+00:00
8,118.06,,,,,2022-08-16 00:00:00+00:00
9,117.04,,,,,2022-08-17 00:00:00+00:00
10,116.01,,,,,2022-08-18 00:00:00+00:00
11,113.16,114.69666666666666,,,,2022-08-19 00:00:00+00:00
12,110.34,114.35166666666667,,,,2022-08-22 00:00:00+00:00
13,110.68,114.08583333333335,,,,2022-08-23 00:00:00+00:00
14,111.41,113.87,,,,2022-08-24 00:00:00+00:00
15,113.22,114.12916666666666,,,,2022-08-25 00:00:00+00:00
16,108.28,113.72416666666668,,,,2022-08-26 00:00:00+00:00
17,107.88,113.20583333333333,,,,2022-08-29 00:00:00+00:00
18,107.86,112.52166666666666,,,,2022-08-30 00:00:00+00:00
19,106.45,111.69916666666667,,,,2022-08-31 00:00:00+00:00
20,106.49,110.735,,,,2022-09-01 00:00:00+00:00
21,105.74,109.79333333333334,,,,2022-09-02 00:00:00+00:00
22,105.15,108.88833333333332,,,,2022-09-06 00:00:00+00:00
23,108.48,108.49833333333333,,,,2022-09-07 00:00:00+00:00
24,108.73,108.36416666666666,,,,2022-09-08 00:00:00+00:00
25,110.97,108.38833333333332,111.46307692307693,,,2022-09-09 00:00:00+00:00
26,112.38,108.46916666666668,111.38230769230769,,,2022-09-12 00:00:00+00:00
27,105.72,107.84416666666668,111.06884615384615,,,2022-09-13 00:00:00+00:00
28,107.0,107.73750000000001,110.79961538461538,,,2022-09-14 00:00:00+00:00
29,105.5,107.53916666666667,110.62230769230769,,,2022-09-15 00:00:00+00:00
30,104.12,107.2275,110.27538461538462,,,2022-09-16 00:00:00+00:00
31,107.21,107.29083333333334,110.01038461538461,,,2022-09-19 00:00:00+00:00
32,102.42,106.95166666666667,109.48538461538462,,,2022-09-20 00:00:00+00:00
33,99.79,106.45583333333333,108.84961538461538,,,2022-09-21 00:00:00+00:00
34,98.55,105.90583333333335,108.09923076923077,,,2022-09-22 00:00:00+00:00
35,97.02,104.95083333333334,107.32923076923076,,,2022-09-23 00:00:00+00:00
36,96.06,103.895,106.56192307692308,,,2022-09-26 00:00:00+00:00
37,96.29,102.67166666666667,105.91307692307691,,,2022-09-27 00:00:00+00:00
38,98.7,101.53166666666665,105.46538461538464,,,2022-09-28 00:00:00+00:00
39,95.33,100.66583333333334,104.875,,,2022-09-29 00:00:00+00:00
40,83.12,98.67583333333333,103.78692307692307,,,2022-09-30 00:00:00+00:00
41,85.4,97.00083333333333,102.71692307692307,,,2022-10-03 00:00:00+00:00
42,88.64,95.71083333333333,101.96153846153847,,,2022-10-04 00:00:00+00:00
43,91.1,94.36833333333334,101.31615384615384,,,2022-10-05 00:00:00+00:00
44,90.17,93.34749999999998,100.63576923076923,,,2022-10-06 00:00:00+00:00
45,87.16,92.295,99.89384615384614,,,2022-10-07 00:00:00+00:00
46,86.69,91.30666666666667,99.13230769230769,,,2022-10-10 00:00:00+00:00
47,87.99,90.55416666666667,98.44961538461538,,,2022-10-11 00:00:00+00:00
48,88.51,89.92500000000001,97.80961538461537,,,2022-10-12 00:00:00+00:00
49,89.56,89.36416666666666,97.08192307692306,104.0494,,2022-10-13 00:00:00+00:00
50,87.55,88.435,96.26730769230768,103.51080000000002,,2022-10-14 00:00:00+00:00
51,89.97,87.98833333333334,95.45961538461538,103.0328,,2022-10-17 00:00:00+00:00
52,89.68,88.53500000000001,94.58653846153847,102.54639999999999,,2022-10-18 00:00:00+00:00
53,88.57,88.79916666666668,93.92692307692309,102.1156,,2022-10-19 00:00:00+00:00
54,86.83,88.64833333333333,93.15115384615386,101.58939999999998,,2022-10-20 00:00:00+00:00
55,88.5,88.43166666666667,92.4973076923077,101.0774,,2022-10-21 00:00:00+00:00
56,88.01,88.25166666666667,91.8776923076923,100.51619999999998,,2022-10-24 00:00:00+00:00
57,91.72,88.63166666666666,91.28192307692309,100.02420000000001,,2022-10-25 00:00:00+00:00
58,92.39,89.10666666666667,90.89615384615385,99.5108,,2022-10-26 00:00:00+00:00
59,90.54,89.31916666666666,90.54038461538462,98.98080000000002,,2022-10-27 00:00:00+00:00
60,93.83,89.7625,90.35884615384614,98.53720000000001,,2022-10-28 00:00:00+00:00
61,92.68,90.0225,90.19192307692309,98.1276,,2022-10-31 00:00:00+00:00
62,93.77,90.54083333333334,90.10384615384616,97.79620000000001,,2022-11-01 00:00:00+00:00
63,90.3,90.56833333333333,89.87346153846154,97.38860000000001,,2022-11-02 00:00:00+00:00
64,90.4,90.62833333333333,89.55423076923077,96.9684,,2022-11-03 00:00:00+00:00
65,95.79,91.23,89.57192307692307,96.6198,,2022-11-04 00:00:00+00:00
66,93.44,91.78083333333332,89.96884615384616,96.323,,2022-11-07 00:00:00+00:00
67,93.75,92.21833333333332,90.28999999999999,96.04039999999999,,2022-11-08 00:00:00+00:00
68,92.1,92.55916666666667,90.42307692307692,95.7252,,2022-11-09 00:00:00+00:00
69,99.49,93.20666666666666,90.74576923076924,95.586,,2022-11-10 00:00:00+00:00
70,106.09,94.34833333333334,91.35807692307692,95.57799999999999,,2022-11-11 00:00:00+00:00
71,104.39,95.5025,92.02076923076925,95.551,,2022-11-14 00:00:00+00:00
72,106.71,96.57583333333332,92.79076923076923,95.58220000000001,,2022-11-15 00:00:00+00:00
73,105.23,97.62166666666666,93.45384615384614,95.51719999999999,,2022-11-16 00:00:00+00:00
74,105.36,98.58749999999999,94.10192307692309,95.44980000000001,,2022-11-17 00:00:00+00:00
75,105.42,99.84750000000001,94.71192307692309,95.3388,,2022-11-18 00:00:00+00:00
76,103.83,100.96666666666668,95.33807692307693,95.1678,,2022-11-21 00:00:00+00:00
77,105.97,101.815,95.95346153846154,95.1728,,2022-11-22 00:00:00+00:00
78,106.65,102.91583333333334,96.60615384615383,95.1658,,2022-11-23 00:00:00+00:00
79,105.96,103.93333333333334,97.27499999999999,95.175,,2022-11-25 00:00:00+00:00
80,104.96,105.005,97.97230769230768,95.1918,,2022-11-28 00:00:00+00:00
81,106.25,105.56833333333333,98.65499999999999,95.1726,,2022-11-29 00:00:00+00:00
82,109.69,105.86833333333334,99.48884615384615,95.318,,2022-11-30 00:00:00+00:00
83,111.11,106.42833333333333,100.23461538461538,95.54439999999998,,2022-12-01 00:00:00+00:00
84,112.2,106.88583333333334,100.99653846153845,95.81740000000002,,2022-12-02 00:00:00+00:00
85,109.62,107.25166666666667,101.73038461538461,96.0694,,2022-12-05 00:00:00+00:00
86,107.93,107.46583333333332,102.27269230769231,96.30679999999998,,2022-12-06 00:00:00+00:00
87,108.33,107.70833333333333,102.87461538461538,96.54759999999999,,2022-12-07 00:00:00+00:00
88,111.36,108.33583333333333,103.55115384615384,96.8008,,2022-12-08 00:00:00+00:00
89,109.42,108.62333333333333,104.28653846153847,97.0826,,2022-12-09 00:00:00+00:00
90,112.07,109.075,105.11999999999999,97.66159999999999,,2022-12-12 00:00:00+00:00
91,112.85,109.64916666666666,105.77615384615385,98.21060000000001,,2022-12-13 00:00:00+00:00
92,111.45,110.19,106.46884615384616,98.66680000000001,,2022-12-14 00:00:00+00:00
93,108.51,110.37833333333333,107.03653846153846,99.015,,2022-12-15 00:00:00+00:00
94,105.95,110.06666666666666,107.56923076923077,99.33059999999999,,2022-12-16 00:00:00+00:00
95,103.05,109.395,107.70615384615384,99.6484,,2022-12-19 00:00:00+00:00
96,103.21,108.64583333333333,107.59538461538462,99.9788,,2022-12-20 00:00:00+00:00
97,115.78,109.15916666666668,108.03346153846154,100.53460000000001,,2022-12-21 00:00:00+00:00
98,116.71,109.89083333333333,108.41807692307694,101.0986,,2022-12-22 00:00:00+00:00
99,116.25,110.55083333333334,108.8419230769231,101.6324,,2022-12-23 00:00:00+00:00
100,117.56,111.0675,109.31115384615386,102.23259999999999,,2022-12-27 00:00:00+00:00
101,114.98,111.53083333333332,109.67884615384615,102.73280000000001,,2022-12-28 00:00:00+00:00
102,117.35,111.97083333333332,110.19884615384616,103.2862,,2022-12-29 00:00:00+00:00
103,117.01,112.3175,110.62346153846154,103.855,,2022-12-30 00:00:00+00:00
104,118.75,112.92583333333334,111.08884615384616,104.49340000000001,,2023-01-03 00:00:00+00:00
105,121.21,113.98416666666667,111.67538461538462,105.1476,,2023-01-04 00:00:00+00:00
106,120.62,115.20666666666666,112.27769230769232,105.79979999999999,,2023-01-05 00:00:00+00:00
107,124.53,116.99666666666667,112.98076923076923,106.456,,2023-01-06 00:00:00+00:00
108,124.85,118.8,113.56384615384614,107.10520000000001,,2023-01-09 00:00:00+00:00
109,125.84,119.63833333333334,114.13038461538461,107.81119999999999,,2023-01-10 00:00:00+00:00
110,127.94,120.57416666666666,114.73576923076924,108.49339999999998,,2023-01-11 00:00:00+00:00
111,127.89,121.54416666666667,115.43846153846154,109.19760000000001,,2023-01-12 00:00:00+00:00
112,128.85,122.485,116.24307692307691,109.89920000000001,,2023-01-13 00:00:00+00:00
113,128.14,123.58166666666666,117.00500000000001,110.65599999999999,,2023-01-17 00:00:00+00:00
114,126.43,124.33833333333335,117.58461538461538,111.3766,,2023-01-18 00:00:00+00:00
115,124.53,124.96500000000002,118.16576923076923,111.95139999999999,,2023-01-19 00:00:00+00:00
116,126.62,125.62083333333332,118.72538461538463,112.615,,2023-01-20 00:00:00+00:00
117,128.29,126.21083333333333,119.31923076923077,113.3058,,2023-01-23 00:00:00+00:00
118,126.83,126.72833333333334,119.91076923076922,114.00040000000001,,2023-01-24 00:00:00+00:00
119,126.82,126.91916666666667,120.61500000000001,114.54700000000001,,2023-01-25 00:00:00+00:00
120,127.53,127.1425,121.445,114.97579999999999,,2023-01-26 00:00:00+00:00
121,127.53,127.28333333333332,122.38653846153846,115.4386,,2023-01-27 00:00:00+00:00
122,126.37,127.15250000000002,123.27730769230769,115.8318,,2023-01-30 00:00:00+00:00
123,127.33,127.10583333333334,123.72153846153846,116.27380000000001,,2023-01-31 00:00:00+00:00
124,129.5,127.16000000000001,124.21346153846153,116.75659999999999,,2023-02-01 00:00:00+00:00
125,129.06,127.23666666666666,124.70615384615384,117.22939999999998,,2023-02-02 00:00:00+00:00
126,127.61,127.335,125.0926923076923,117.705,,2023-02-03 00:00:00+00:00
127,125.73,127.435,125.50615384615384,118.1002,,2023-02-06 00:00:00+00:00
128,125.33,127.3275,125.81307692307692,118.4738,,2023-02-07 00:00:00+00:00
129,122.91,126.87916666666668,126.04000000000002,118.81279999999998,,2023-02-08 00:00:00+00:00
130,122.18,126.49166666666666,126.17192307692306,119.15719999999999,,2023-02-09 00:00:00+00:00
131,122.23,126.10916666666667,126.21115384615385,119.47679999999998,,2023-02-10 00:00:00+00:00
132,125.15,125.91083333333334,126.38538461538461,119.786,,2023-02-13 00:00:00+00:00
133,126.2,125.80000000000001,126.44961538461538,120.0878,,2023-02-14 00:00:00+00:00
134,127.48,125.8925,126.55076923076923,120.3934,,2023-02-15 00:00:00+00:00
135,124.38,125.64666666666666,126.49461538461539,120.6886,,2023-02-16 00:00:00+00:00
136,124.84,125.25833333333333,126.37538461538462,121.02680000000001,,2023-02-17 00:00:00+00:00
137,121.1,124.59500000000001,126.11423076923077,121.28220000000002,,2023-02-21 00:00:00+00:00
138,119.9,123.95249999999999,125.77000000000001,121.45299999999999,,2023-02-22 00:00:00+00:00
139,119.96,123.47166666666665,125.4553846153846,121.6638,,2023-02-23 00:00:00+00:00
140,118.04,122.86416666666666,125.1326923076923,121.7832,,2023-02-24 00:00:00+00:00
141,118.53,122.49916666666667,124.90192307692307,121.8968,,2023-02-27 00:00:00+00:00
142,118.79,122.21666666666668,124.60076923076923,122.04360000000001,,2023-02-28 00:00:00+00:00
143,118.58,121.91250000000001,124.22730769230769,122.245,,2023-03-01 00:00:00+00:00
144,119.58,121.44833333333332,123.94846153846153,122.5176,,2023-03-02 00:00:00+00:00
145,120.94,121.00999999999999,123.72230769230768,122.87539999999998,,2023-03-03 00:00:00+00:00
146,120.17,120.40083333333332,123.43923076923078,123.21459999999999,,2023-03-06 00:00:00+00:00
147,119.59,120.00166666666667,123.13384615384615,123.2908,,2023-03-07 00:00:00+00:00
148,119.86,119.58666666666666,122.88346153846155,123.35379999999999,,2023-03-08 00:00:00+00:00
149,117.87,119.3175,122.51961538461539,123.38619999999999,,2023-03-09 00:00:00+00:00
150,117.49,119.11666666666666,122.0576923076923,123.38480000000001,,2023-03-10 00:00:00+00:00
151,116.86,118.85833333333335,121.58846153846154,123.4224,,2023-03-13 00:00:00+00:00
152,119.0,118.93833333333335,121.25730769230769,123.45540000000001,,2023-03-14 00:00:00+00:00
153,118.17,118.90833333333332,120.96653846153846,123.4786,,2023-03-15 00:00:00+00:00
154,120.65,119.06333333333333,120.78653846153847,123.5166,,2023-03-16 00:00:00+00:00
155,120.39,119.21416666666666,120.68961538461538,123.5002,,2023-03-17 00:00:00+00:00
156,121.2,119.34916666666668,120.65192307692307,123.51180000000001,,2023-03-20 00:00:00+00:00
157,125.61,119.73833333333334,120.78192307692308,123.5334,,2023-03-21 00:00:00+00:00
158,119.5,119.6825,120.56461538461538,123.42640000000002,,2023-03-22 00:00:00+00:00
159,120.97,119.79750000000001,120.36346153846155,123.329,,2023-03-23 00:00:00+00:00
160,120.71,119.86833333333333,120.10307692307691,123.18440000000001,,2023-03-24 00:00:00+00:00
161,117.81,119.86333333333334,119.85038461538463,122.98280000000001,,2023-03-27 00:00:00+00:00
162,117.87,119.895,119.58230769230771,122.7632,,2023-03-28 00:00:00+00:00
163,120.49,120.19749999999999,119.55884615384615,122.6102,,2023-03-29 00:00:00+00:00
