,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,478.04,,,,,2022-08-04 00:00:00+00:00
1,477.59,,,,,2022-08-05 00:00:00+00:00
2,470.05,,,,,2022-08-08 00:00:00+00:00
3,473.73,,,,,2022-08-09 00:00:00+00:00
4,473.14,,,,,2022-08-10 00:00:00+00:00
5,470.31,,,,,2022-08-11 00:00:00+00:00
6,479.58,,,,,2022-08-12 00:00:00+00:00
7,486.87,,,,,2022-08-15 00:00:00+00:00
8,485.5,,,,,2022-08-16 00:00:00+00:00
9,492.51,,,,,2022-08-17 00:00:00+00:00
10,492.88,,,,,2022-08-18 00:00:00+00:00
11,490.75,480.91249999999997,,,,2022-08-19 00:00:00+00:00
12,484.19,481.425,,,,2022-08-22 00:00:00+00:00
13,482.88,481.8658333333333,,,,2022-08-23 00:00:00+00:00
14,488.89,483.4358333333333,,,,2022-08-24 00:00:00+00:00
15,494.48,485.165,,,,2022-08-25 00:00:00+00:00
16,485.13,486.16416666666663,,,,2022-08-26 00:00:00+00:00
17,485.81,487.4558333333334,,,,2022-08-29 00:00:00+00:00
18,480.93,487.5683333333334,,,,2022-08-30 00:00:00+00:00
19,477.99,486.8283333333333,,,,2022-08-31 00:00:00+00:00
20,480.32,486.3966666666666,,,,2022-09-01 00:00:00+00:00
21,476.95,485.1000000000001,,,,2022-09-02 00:00:00+00:00
22,479.74,484.00500000000005,,,,2022-09-06 00:00:00+00:00
23,487.78,483.7575,,,,2022-09-07 00:00:00+00:00
24,489.73,484.2191666666666,,,,2022-09-08 00:00:00+00:00
25,491.41,484.93000000000006,482.96846153846155,,,2022-09-09 00:00:00+00:00
26,482.3,484.3808333333333,483.1323076923076,,,2022-09-12 00:00:00+00:00
27,468.93,482.2516666666666,482.7992307692308,,,2022-09-13 00:00:00+00:00
28,484.88,482.2308333333333,483.36961538461543,,,2022-09-14 00:00:00+00:00
29,485.08,482.17,483.8061538461539,,,2022-09-15 00:00:00+00:00
30,485.2,482.5258333333333,484.27000000000004,,,2022-09-16 00:00:00+00:00
31,488.07,483.36583333333334,484.9530769230769,,,2022-09-19 00:00:00+00:00
32,494.0,484.5058333333334,485.50769230769225,,,2022-09-20 00:00:00+00:00
33,492.87,485.83250000000004,485.7384615384616,,,2022-09-21 00:00:00+00:00
34,496.46,487.22583333333336,486.15999999999997,,,2022-09-22 00:00:00+00:00
35,478.82,486.4791666666667,485.6334615384616,,,2022-09-23 00:00:00+00:00
36,474.37,485.1991666666667,484.92153846153843,,,2022-09-26 00:00:00+00:00
37,474.14,483.76,484.28269230769223,,,2022-09-27 00:00:00+00:00
38,483.69,483.8758333333333,484.26346153846157,,,2022-09-28 00:00:00+00:00
39,470.48,484.00500000000005,483.78653846153844,,,2022-09-29 00:00:00+00:00
40,470.32,482.7916666666667,483.07230769230773,,,2022-09-30 00:00:00+00:00
41,485.71,482.8441666666667,482.735,,,2022-10-03 00:00:00+00:00
42,490.28,483.2675,482.93307692307695,,,2022-10-04 00:00:00+00:00
43,484.45,482.96583333333325,482.8807692307692,,,2022-10-05 00:00:00+00:00
44,485.23,482.23499999999996,483.0461538461538,,,2022-10-06 00:00:00+00:00
45,496.09,482.50333333333333,483.7423076923077,,,2022-10-07 00:00:00+00:00
46,503.83,483.1175,484.64653846153846,,,2022-10-10 00:00:00+00:00
47,507.31,485.4916666666666,485.8142307692308,,,2022-10-11 00:00:00+00:00
48,492.38,486.9925,486.3003846153846,,,2022-10-12 00:00:00+00:00
49,501.44,489.2675,486.8257692307692,484.67019999999997,,2022-10-13 00:00:00+00:00
50,464.19,487.6425,485.84346153846155,484.3932,,2022-10-14 00:00:00+00:00
51,475.09,488.02666666666664,485.2157692307692,484.3432,,2022-10-17 00:00:00+00:00
52,506.8,491.06666666666666,486.1580769230769,485.0782,,2022-10-18 00:00:00+00:00
53,510.91,493.1666666666667,487.7726923076923,485.8218,,2022-10-19 00:00:00+00:00
54,512.44,495.0133333333333,488.8326923076923,486.6078,,2022-10-20 00:00:00+00:00
55,522.66,498.19750000000005,490.2780769230769,487.65479999999997,,2022-10-21 00:00:00+00:00
56,525.96,501.5916666666667,491.84576923076924,488.58240000000006,,2022-10-24 00:00:00+00:00
57,526.75,504.1466666666667,493.33346153846156,489.38,,2022-10-25 00:00:00+00:00
58,530.99,506.41,494.75615384615384,490.28979999999996,,2022-10-26 00:00:00+00:00
59,535.51,508.76000000000005,496.3961538461538,491.1498,,2022-10-27 00:00:00+00:00
60,548.11,513.4041666666667,498.3826923076923,492.2544,,2022-10-28 00:00:00+00:00
61,549.01,517.3683333333333,501.0823076923077,493.4196,,2022-10-31 00:00:00+00:00
62,535.88,523.3425000000001,503.4480769230769,494.45340000000004,,2022-11-01 00:00:00+00:00
63,530.3,527.9433333333333,505.60807692307696,495.4018,,2022-11-02 00:00:00+00:00
64,525.51,529.5024999999999,507.2165384615385,496.13419999999996,,2022-11-03 00:00:00+00:00
65,522.77,530.4908333333333,509.22769230769234,496.7,,2022-11-04 00:00:00+00:00
66,534.77,532.3516666666667,511.7065384615384,497.6928,,2022-11-07 00:00:00+00:00
67,540.93,533.8741666666666,513.8303846153847,498.79519999999997,,2022-11-08 00:00:00+00:00
68,533.14,534.4725,515.4788461538461,499.8394,,2022-11-09 00:00:00+00:00
69,531.59,534.8758333333334,517.2919230769231,500.9114,,2022-11-10 00:00:00+00:00
70,492.7,531.685,517.5792307692308,501.159,,2022-11-11 00:00:00+00:00
71,481.74,527.2041666666667,517.0273076923078,501.25479999999993,,2022-11-14 00:00:00+00:00
72,500.72,523.255,516.9076923076923,501.67440000000005,,2022-11-15 00:00:00+00:00
73,505.13,519.5983333333332,516.8238461538461,502.02139999999997,,2022-11-16 00:00:00+00:00
74,518.85,518.1791666666667,517.8419230769231,502.6038,,2022-11-17 00:00:00+00:00
75,520.42,517.3558333333334,518.571923076923,503.184,,2022-11-18 00:00:00+00:00
76,527.87,517.5525,521.0211538461538,504.0954,,2022-11-21 00:00:00+00:00
77,524.65,517.7091666666666,522.9273076923077,505.20980000000003,,2022-11-22 00:00:00+00:00
78,522.34,516.6733333333333,523.525,505.95899999999995,,2022-11-23 00:00:00+00:00
79,527.83,515.5816666666666,524.1757692307692,506.814,,2022-11-25 00:00:00+00:00
