,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,493.0,,,,,2022-08-04 00:00:00+00:00
1,494.85,,,,,2022-08-05 00:00:00+00:00
2,494.95,,,,,2022-08-08 00:00:00+00:00
3,487.46,,,,,2022-08-09 00:00:00+00:00
4,516.2,,,,,2022-08-10 00:00:00+00:00
5,499.45,,,,,2022-08-11 00:00:00+00:00
6,506.51,,,,,2022-08-12 00:00:00+00:00
7,504.07,,,,,2022-08-15 00:00:00+00:00
8,496.74,,,,,2022-08-16 00:00:00+00:00
9,488.76,,,,,2022-08-17 00:00:00+00:00
10,489.6,,,,,2022-08-18 00:00:00+00:00
11,476.26,495.6541666666667,,,,2022-08-19 00:00:00+00:00
12,459.71,492.88000000000005,,,,2022-08-22 00:00:00+00:00
13,459.99,489.97499999999997,,,,2022-08-23 00:00:00+00:00
14,457.52,486.8558333333333,,,,2022-08-24 00:00:00+00:00
15,466.03,485.07,,,,2022-08-25 00:00:00+00:00
16,444.69,479.11083333333335,,,,2022-08-26 00:00:00+00:00
17,435.78,473.805,,,,2022-08-29 00:00:00+00:00
18,436.84,467.99916666666667,,,,2022-08-30 00:00:00+00:00
19,434.62,462.21166666666664,,,,2022-08-31 00:00:00+00:00
20,430.56,456.69666666666666,,,,2022-09-01 00:00:00+00:00
21,434.51,452.1758333333334,,,,2022-09-02 00:00:00+00:00
22,430.47,447.2483333333333,,,,2022-09-06 00:00:00+00:00
23,444.16,444.57333333333327,,,,2022-09-07 00:00:00+00:00
24,450.77,443.8283333333333,,,,2022-09-08 00:00:00+00:00
25,470.03,444.66499999999996,469.3665384615385,,,2022-09-09 00:00:00+00:00
26,476.29,446.2291666666667,468.7238461538461,,,2022-09-12 00:00:00+00:00
27,452.38,445.09166666666664,467.0903846153846,,,2022-09-13 00:00:00+00:00
28,457.49,446.1583333333333,465.64961538461546,,,2022-09-14 00:00:00+00:00
29,435.55,446.13916666666665,463.6530769230769,,,2022-09-15 00:00:00+00:00
30,425.8,445.2191666666667,460.1761538461538,,,2022-09-16 00:00:00+00:00
31,425.05,444.4216666666667,457.3146153846154,,,2022-09-19 00:00:00+00:00
32,411.2,442.80833333333334,453.64884615384614,,,2022-09-20 00:00:00+00:00
33,401.43,440.05166666666673,449.70115384615383,,,2022-09-21 00:00:00+00:00
34,386.97,436.4266666666667,445.4792307692308,,,2022-09-22 00:00:00+00:00
35,377.04,430.8333333333333,441.1823076923077,,,2022-09-23 00:00:00+00:00
36,370.1,424.11083333333335,436.5861538461538,,,2022-09-26 00:00:00+00:00
37,378.95,416.5208333333333,432.84346153846155,,,2022-09-27 00:00:00+00:00
38,388.85,409.2341666666667,430.1180769230769,,,2022-09-28 00:00:00+00:00
39,385.5,403.66083333333336,427.25307692307695,,,2022-09-29 00:00:00+00:00
40,377.61,397.00416666666666,424.1796153846154,,,2022-09-30 00:00:00+00:00
41,391.71,393.35083333333336,421.32115384615383,,,2022-10-03 00:00:00+00:00
42,411.55,392.16333333333336,420.04653846153843,,,2022-10-04 00:00:00+00:00
43,420.58,391.7908333333333,419.4619230769231,,,2022-10-05 00:00:00+00:00
44,418.43,392.3933333333334,418.75384615384615,,,2022-10-06 00:00:00+00:00
45,401.21,392.375,417.46884615384613,,,2022-10-07 00:00:00+00:00
46,381.78,391.94250000000005,415.5926923076923,,,2022-10-10 00:00:00+00:00
47,371.3,391.4641666666667,413.16153846153844,,,2022-10-11 00:00:00+00:00
48,369.13,391.3833333333334,410.8023076923077,,,2022-10-12 00:00:00+00:00
49,361.9,389.96250000000003,407.63846153846157,437.62660000000005,,2022-10-13 00:00:00+00:00
50,341.76,386.03833333333336,403.44576923076926,434.6018,,2022-10-14 00:00:00+00:00
51,348.61,382.96416666666664,398.77576923076924,431.677,,2022-10-17 00:00:00+00:00
52,356.79,381.2291666666667,394.1796153846154,428.91380000000004,,2022-10-18 00:00:00+00:00
53,355.44,378.2066666666667,390.45115384615383,426.27340000000004,,2022-10-19 00:00:00+00:00
54,356.26,373.59916666666663,386.5576923076923,423.0746,,2022-10-20 00:00:00+00:00
55,360.67,368.6066666666666,383.6776923076923,420.29900000000004,,2022-10-21 00:00:00+00:00
56,366.56,364.28416666666664,381.3992307692307,417.5,,2022-10-24 00:00:00+00:00
57,376.66,362.2383333333333,379.5380769230769,414.9518,,2022-10-25 00:00:00+00:00
58,366.41,360.9575,377.81538461538463,412.34520000000003,,2022-10-26 00:00:00+00:00
59,415.67,364.655,378.36307692307696,410.88339999999994,,2022-10-27 00:00:00+00:00
60,420.4,368.9275,379.64884615384614,409.49940000000004,,2022-10-28 00:00:00+00:00
