,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,250.93,,,,,2022-08-04 00:00:00+00:00
1,251.02,,,,,2022-08-05 00:00:00+00:00
2,249.74,,,,,2022-08-08 00:00:00+00:00
3,249.34,,,,,2022-08-09 00:00:00+00:00
4,257.57,,,,,2022-08-10 00:00:00+00:00
5,260.21,,,,,2022-08-11 00:00:00+00:00
6,261.84,,,,,2022-08-12 00:00:00+00:00
7,257.06,,,,,2022-08-15 00:00:00+00:00
8,257.61,,,,,2022-08-16 00:00:00+00:00
9,257.8,,,,,2022-08-17 00:00:00+00:00
10,258.6,,,,,2022-08-18 00:00:00+00:00
11,255.75,255.62250000000003,,,,2022-08-19 00:00:00+00:00
12,256.91,256.12083333333334,,,,2022-08-22 00:00:00+00:00
13,258.3,256.7275,,,,2022-08-23 00:00:00+00:00
14,259.82,257.5675,,,,2022-08-24 00:00:00+00:00
15,262.99,258.705,,,,2022-08-25 00:00:00+00:00
16,252.99,258.3233333333333,,,,2022-08-26 00:00:00+00:00
17,251.85,257.62666666666667,,,,2022-08-29 00:00:00+00:00
18,244.77,256.20416666666665,,,,2022-08-30 00:00:00+00:00
19,243.13,255.04333333333332,,,,2022-08-31 00:00:00+00:00
20,241.13,253.67,,,,2022-09-01 00:00:00+00:00
21,239.26,252.125,,,,2022-09-02 00:00:00+00:00
22,239.91,250.5675,,,,2022-09-06 00:00:00+00:00
23,243.22,249.52333333333334,,,,2022-09-07 00:00:00+00:00
24,245.93,248.60833333333335,,,,2022-09-08 00:00:00+00:00
25,249.85,247.90416666666667,252.2126923076923,,,2022-09-09 00:00:00+00:00
26,250.58,247.1341666666667,252.19923076923075,,,2022-09-12 00:00:00+00:00
27,243.3,245.49333333333334,251.9023076923077,,,2022-09-13 00:00:00+00:00
28,238.04,244.24750000000003,251.4523076923077,,,2022-09-14 00:00:00+00:00
29,238.86,243.165,251.0492307692308,,,2022-09-15 00:00:00+00:00
30,233.98,242.26583333333335,250.14192307692306,,,2022-09-16 00:00:00+00:00
31,236.09,241.67916666666667,249.21423076923077,,,2022-09-19 00:00:00+00:00
32,229.59,240.7175,247.97384615384618,,,2022-09-20 00:00:00+00:00
33,227.89,239.77,246.85192307692307,,,2022-09-21 00:00:00+00:00
34,224.71,238.50333333333333,245.58653846153845,,,2022-09-22 00:00:00+00:00
35,217.65,236.37250000000003,244.0423076923077,,,2022-09-23 00:00:00+00:00
36,214.76,233.77499999999998,242.35615384615386,,,2022-09-26 00:00:00+00:00
37,213.84,230.77416666666667,240.74423076923074,,,2022-09-27 00:00:00+00:00
38,216.72,227.9525,239.19846153846154,,,2022-09-28 00:00:00+00:00
39,214.55,225.5566666666667,237.51576923076922,,,2022-09-29 00:00:00+00:00
40,209.65,223.19083333333333,235.58615384615385,,,2022-09-30 00:00:00+00:00
41,216.8,221.3525,233.8096153846154,,,2022-10-03 00:00:00+00:00
42,223.17,220.45166666666668,232.66269230769228,,,2022-10-04 00:00:00+00:00
43,221.02,219.19583333333333,231.4769230769231,,,2022-10-05 00:00:00+00:00
44,218.93,218.3075,230.4830769230769,,,2022-10-06 00:00:00+00:00
45,214.57,217.1975,229.3846153846154,,,2022-10-07 00:00:00+00:00
46,212.24,216.15833333333333,228.27346153846156,,,2022-10-10 00:00:00+00:00
47,212.79,215.75333333333333,227.25538461538463,,,2022-10-11 00:00:00+00:00
48,211.32,215.46666666666667,226.15576923076924,,,2022-10-12 00:00:00+00:00
49,215.61,215.61416666666665,225.0938461538462,238.2838,,2022-10-13 00:00:00+00:00
50,213.49,215.34500000000003,223.84615384615384,237.535,,2022-10-14 00:00:00+00:00
51,219.1,215.72416666666666,222.66346153846155,236.8966,,2022-10-17 00:00:00+00:00
52,222.34,216.78166666666667,221.5773076923077,236.3486,,2022-10-18 00:00:00+00:00
53,217.62,216.85000000000002,220.58961538461537,235.71419999999998,,2022-10-19 00:00:00+00:00
54,204.87,215.32500000000002,219.31384615384616,234.6602,,2022-10-20 00:00:00+00:00
