,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,89.0,,,,,2022-08-04 00:00:00+00:00
1,88.98,,,,,2022-08-05 00:00:00+00:00
2,89.46,,,,,2022-08-08 00:00:00+00:00
3,89.38,,,,,2022-08-09 00:00:00+00:00
4,89.82,,,,,2022-08-10 00:00:00+00:00
5,91.52,,,,,2022-08-11 00:00:00+00:00
6,91.88,,,,,2022-08-12 00:00:00+00:00
7,92.43,,,,,2022-08-15 00:00:00+00:00
8,93.18,,,,,2022-08-16 00:00:00+00:00
9,91.58,,,,,2022-08-17 00:00:00+00:00
10,86.11,,,,,2022-08-18 00:00:00+00:00
11,84.7,89.83666666666666,,,,2022-08-19 00:00:00+00:00
12,85.72,89.56333333333333,,,,2022-08-22 00:00:00+00:00
13,87.55,89.44416666666666,,,,2022-08-23 00:00:00+00:00
14,88.19,89.33833333333332,,,,2022-08-24 00:00:00+00:00
15,92.18,89.57166666666667,,,,2022-08-25 00:00:00+00:00
16,90.06,89.59166666666665,,,,2022-08-26 00:00:00+00:00
17,87.55,89.26083333333334,,,,2022-08-29 00:00:00+00:00
18,86.95,88.85000000000001,,,,2022-08-30 00:00:00+00:00
19,88.51,88.52333333333333,,,,2022-08-31 00:00:00+00:00
20,88.13,88.1025,,,,2022-09-01 00:00:00+00:00
21,88.52,87.84750000000001,,,,2022-09-02 00:00:00+00:00
22,86.79,87.90416666666665,,,,2022-09-06 00:00:00+00:00
23,87.22,88.11416666666668,,,,2022-09-07 00:00:00+00:00
24,85.5,88.09583333333335,,,,2022-09-08 00:00:00+00:00
25,87.49,88.09083333333335,88.78461538461539,,,2022-09-09 00:00:00+00:00
26,87.46,88.02999999999999,88.72538461538463,,,2022-09-12 00:00:00+00:00
27,87.39,87.63083333333333,88.66423076923077,,,2022-09-13 00:00:00+00:00
28,85.42,87.24416666666667,88.50884615384615,,,2022-09-14 00:00:00+00:00
29,84.2,86.96499999999999,88.30961538461537,,,2022-09-15 00:00:00+00:00
30,82.71,86.61166666666666,88.03615384615385,,,2022-09-16 00:00:00+00:00
31,82.8,86.13583333333332,87.70076923076924,,,2022-09-19 00:00:00+00:00
32,83.98,85.79,87.39692307692309,,,2022-09-20 00:00:00+00:00
33,79.76,85.06,86.90961538461539,,,2022-09-21 00:00:00+00:00
34,78.95,84.40666666666668,86.3623076923077,,,2022-09-22 00:00:00+00:00
35,77.55,83.60083333333334,85.82269230769231,,,2022-09-23 00:00:00+00:00
36,77.88,82.96583333333334,85.50615384615384,,,2022-09-26 00:00:00+00:00
37,77.97,82.1725,85.24730769230769,,,2022-09-27 00:00:00+00:00
38,78.05,81.38833333333334,84.9523076923077,,,2022-09-28 00:00:00+00:00
39,75.18,80.37083333333334,84.47653846153845,,,2022-09-29 00:00:00+00:00
40,75.6,79.5525,83.9923076923077,,,2022-09-30 00:00:00+00:00
41,76.46,78.9075,83.3876923076923,,,2022-10-03 00:00:00+00:00
42,79.92,78.675,82.9976923076923,,,2022-10-04 00:00:00+00:00
43,80.11,78.45083333333334,82.71153846153847,,,2022-10-05 00:00:00+00:00
44,79.8,78.1025,82.43653846153848,,,2022-10-06 00:00:00+00:00
45,78.02,77.9575,82.03307692307693,,,2022-10-07 00:00:00+00:00
46,75.16,77.64166666666667,81.53423076923076,,,2022-10-10 00:00:00+00:00
47,72.88,77.2525,80.9326923076923,,,2022-10-11 00:00:00+00:00
48,71.89,76.75333333333333,80.35961538461538,,,2022-10-12 00:00:00+00:00
49,71.17,76.18666666666665,79.74230769230768,84.1742,,2022-10-13 00:00:00+00:00
50,68.6,75.39916666666666,79.0923076923077,83.76620000000001,,2022-10-14 00:00:00+00:00
51,71.17,75.065,78.46461538461539,83.41,,2022-10-17 00:00:00+00:00
52,70.68,74.655,77.81923076923077,83.0344,,2022-10-18 00:00:00+00:00
53,67.04,73.86999999999999,77.03653846153847,82.58760000000001,,2022-10-19 00:00:00+00:00
54,64.69,72.60083333333334,76.23923076923076,82.085,,2022-10-20 00:00:00+00:00
55,62.43,71.1275,75.40192307692308,81.5032,,2022-10-21 00:00:00+00:00
56,56.28,69.1675,74.38538461538461,80.7912,,2022-10-24 00:00:00+00:00
57,57.32,67.4425,73.40538461538462,80.089,,2022-10-25 00:00:00+00:00
58,58.82,66.08083333333333,72.43769230769232,79.4018,,2022-10-26 00:00:00+00:00
59,56.72,64.73416666666667,71.55153846153847,78.7046,,2022-10-27 00:00:00+00:00
60,55.41,63.36083333333334,70.64615384615385,78.0906,,2022-10-28 00:00:00+00:00
61,55.62,62.065000000000005,69.80269230769231,77.509,,2022-10-31 00:00:00+00:00
62,59.57,61.3125,69.09846153846154,76.98599999999999,,2022-11-01 00:00:00+00:00
63,59.29,60.32249999999999,68.38,76.4208,,2022-11-02 00:00:00+00:00
64,59.15,59.36166666666667,67.65307692307692,75.84,,2022-11-03 00:00:00+00:00
65,62.52,58.98500000000001,67.16615384615385,75.24680000000001,,2022-11-04 00:00:00+00:00
66,62.63,58.81333333333333,66.66730769230769,74.6982,,2022-11-07 00:00:00+00:00
67,62.13,58.788333333333334,66.11615384615385,74.18979999999999,,2022-11-08 00:00:00+00:00
68,59.22,59.03333333333333,65.32,73.6352,,2022-11-09 00:00:00+00:00
69,62.27,59.44583333333333,64.63384615384615,73.1104,,2022-11-10 00:00:00+00:00
70,64.76,59.94083333333333,64.05538461538461,72.64299999999999,,2022-11-11 00:00:00+00:00
71,65.24,60.65083333333334,63.56384615384616,72.17739999999999,,2022-11-14 00:00:00+00:00
72,71.6,62.0,63.426923076923075,71.8736,,2022-11-15 00:00:00+00:00
73,71.33,63.30916666666666,63.3673076923077,71.5558,,2022-11-16 00:00:00+00:00
74,71.0,64.26166666666667,63.33307692307692,71.2658,,2022-11-17 00:00:00+00:00
75,67.44,64.94083333333333,63.18961538461538,70.8648,,2022-11-18 00:00:00+00:00
76,66.28,65.535,63.10038461538462,70.4412,,2022-11-21 00:00:00+00:00
77,65.5,65.78333333333333,62.88230769230769,70.0034,,2022-11-22 00:00:00+00:00
78,66.63,66.11666666666666,62.72653846153847,69.6276,,2022-11-23 00:00:00+00:00
79,65.63,66.40833333333333,62.67230769230769,69.25619999999999,,2022-11-25 00:00:00+00:00
80,66.96,67.05333333333333,62.75961538461539,68.9412,,2022-11-28 00:00:00+00:00
81,68.78,67.59583333333333,63.00384615384615,68.6608,,2022-11-29 00:00:00+00:00
82,71.12,68.12583333333333,63.574615384615385,68.4036,,2022-11-30 00:00:00+00:00
83,68.25,68.37666666666667,63.995,68.1734,,2022-12-01 00:00:00+00:00
84,70.9,68.31833333333333,64.45961538461539,68.0124,,2022-12-02 00:00:00+00:00
85,69.02,68.12583333333333,64.9326923076923,67.8418,,2022-12-05 00:00:00+00:00
86,68.21,67.89333333333333,65.425,67.6484,,2022-12-06 00:00:00+00:00
87,68.4,67.97333333333333,65.91653846153847,67.45700000000001,,2022-12-07 00:00:00+00:00
88,71.21,68.38416666666667,66.36423076923077,67.3202,,2022-12-08 00:00:00+00:00
89,70.17,68.77333333333333,66.78269230769232,67.22,,2022-12-09 00:00:00+00:00
90,69.35,69.0,67.175,67.09499999999998,,2022-12-12 00:00:00+00:00
91,69.99,69.36333333333333,67.46230769230769,66.96560000000001,,2022-12-13 00:00:00+00:00
92,72.98,69.865,67.86038461538462,66.8268,,2022-12-14 00:00:00+00:00
93,71.3,70.075,68.21307692307693,66.6506,,2022-12-15 00:00:00+00:00
94,71.3,70.08999999999999,68.6776923076923,66.4806,,2022-12-16 00:00:00+00:00
95,70.96,70.31583333333333,69.01192307692307,66.3394,,2022-12-19 00:00:00+00:00
96,69.71,70.21666666666667,69.2023076923077,66.2304,,2022-12-20 00:00:00+00:00
97,72.28,70.48833333333333,69.47307692307692,66.21839999999999,,2022-12-21 00:00:00+00:00
98,72.18,70.81916666666666,69.49538461538462,66.2242,,2022-12-22 00:00:00+00:00
99,71.09,71.04333333333334,69.48615384615384,66.2226,,2022-12-23 00:00:00+00:00
100,73.14,71.20416666666667,69.56846153846153,66.3134,,2022-12-27 00:00:00+00:00
101,71.67,71.32916666666667,69.73115384615384,66.3234,,2022-12-28 00:00:00+00:00
102,73.15,71.64583333333333,69.99538461538462,66.3728,,2022-12-29 00:00:00+00:00
103,72.63,71.86583333333333,70.26961538461538,66.4846,,2022-12-30 00:00:00+00:00
104,76.45,72.15499999999999,70.64730769230769,66.7198,,2023-01-03 00:00:00+00:00
105,82.57,73.09416666666667,71.29884615384616,67.12259999999999,,2023-01-04 00:00:00+00:00
106,82.06,73.99083333333334,71.87961538461539,67.6382,,2023-01-05 00:00:00+00:00
107,81.51,74.87,72.36923076923077,68.122,,2023-01-06 00:00:00+00:00
108,79.52,75.6875,72.6923076923077,68.536,,2023-01-09 00:00:00+00:00
109,82.6,76.5475,73.24423076923077,69.0536,,2023-01-10 00:00:00+00:00
110,84.1,77.54083333333334,73.75192307692308,69.6274,,2023-01-11 00:00:00+00:00
111,85.27,78.7225,74.37692307692308,70.2204,,2023-01-12 00:00:00+00:00
112,88.36,79.99083333333333,75.15192307692308,70.7962,,2023-01-13 00:00:00+00:00
113,89.06,81.44,75.94653846153845,71.3916,,2023-01-17 00:00:00+00:00
114,88.5,82.71916666666667,76.61153846153846,71.9786,,2023-01-18 00:00:00+00:00
115,89.25,84.10416666666667,77.3453846153846,72.5132,,2023-01-19 00:00:00+00:00
116,89.09,85.15749999999998,78.10461538461539,73.0424,,2023-01-20 00:00:00+00:00
117,90.28,85.8,78.88499999999999,73.60539999999999,,2023-01-23 00:00:00+00:00
118,89.95,86.4575,79.53769230769231,74.22,,2023-01-24 00:00:00+00:00
119,90.3,87.19,80.26846153846154,74.78059999999999,,2023-01-25 00:00:00+00:00
120,92.29,88.25416666666666,81.07576923076924,75.3312,,2023-01-26 00:00:00+00:00
121,91.65,89.00833333333334,81.87153846153845,75.8594,,2023-01-27 00:00:00+00:00
122,89.58,89.46499999999999,82.63576923076923,76.219,,2023-01-30 00:00:00+00:00
123,88.61,89.74333333333334,83.26384615384616,76.5646,,2023-01-31 00:00:00+00:00
124,91.77,90.02749999999999,84.01730769230768,76.98,,2023-02-01 00:00:00+00:00
125,90.73,90.16666666666667,84.7726923076923,77.4458,,2023-02-02 00:00:00+00:00
126,89.9,90.28333333333335,85.41730769230769,77.9182,,2023-02-03 00:00:00+00:00
127,88.36,90.20916666666666,86.05923076923077,78.3754,,2023-02-06 00:00:00+00:00
128,88.32,90.145,86.64269230769231,78.8092,,2023-02-07 00:00:00+00:00
129,88.36,89.985,87.2476923076923,79.2638,,2023-02-08 00:00:00+00:00
130,89.2,89.92250000000001,87.7380769230769,79.7086,,2023-02-09 00:00:00+00:00
131,86.7,89.6225,87.89692307692309,80.067,,2023-02-10 00:00:00+00:00
