,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,134.25,,,,,2022-08-04 00:00:00+00:00
1,136.64,,,,,2022-08-05 00:00:00+00:00
2,136.55,,,,,2022-08-08 00:00:00+00:00
3,138.59,,,,,2022-08-09 00:00:00+00:00
4,141.49,,,,,2022-08-10 00:00:00+00:00
5,141.9,,,,,2022-08-11 00:00:00+00:00
6,142.89,,,,,2022-08-12 00:00:00+00:00
7,141.87,,,,,2022-08-15 00:00:00+00:00
8,142.65,,,,,2022-08-16 00:00:00+00:00
9,140.47,,,,,2022-08-17 00:00:00+00:00
10,142.54,,,,,2022-08-18 00:00:00+00:00
11,138.17,139.83416666666668,,,,2022-08-19 00:00:00+00:00
12,135.41,139.93083333333334,,,,2022-08-22 00:00:00+00:00
13,137.46,139.9991666666667,,,,2022-08-23 00:00:00+00:00
14,138.13,140.13083333333333,,,,2022-08-24 00:00:00+00:00
15,144.21,140.59916666666666,,,,2022-08-25 00:00:00+00:00
16,140.51,140.5175,,,,2022-08-26 00:00:00+00:00
17,139.56,140.3225,,,,2022-08-29 00:00:00+00:00
18,135.2,139.68166666666667,,,,2022-08-30 00:00:00+00:00
19,132.94,138.9375,,,,2022-08-31 00:00:00+00:00
20,130.4,137.91666666666666,,,,2022-09-01 00:00:00+00:00
21,130.78,137.10916666666665,,,,2022-09-02 00:00:00+00:00
22,134.45,136.435,,,,2022-09-06 00:00:00+00:00
23,135.61,136.22166666666666,,,,2022-09-07 00:00:00+00:00
24,139.42,136.5558333333333,,,,2022-09-08 00:00:00+00:00
25,143.56,137.06416666666667,138.29423076923078,,,2022-09-09 00:00:00+00:00
26,141.72,137.36333333333332,138.58153846153846,,,2022-09-12 00:00:00+00:00
27,136.1,136.6875,138.56076923076924,,,2022-09-13 00:00:00+00:00
28,120.71,135.0375,137.95153846153846,,,2022-09-14 00:00:00+00:00
29,117.27,133.18,137.13153846153844,,,2022-09-15 00:00:00+00:00
30,117.08,131.67,136.1926923076923,,,2022-09-16 00:00:00+00:00
31,118.82,130.4933333333333,135.305,,,2022-09-19 00:00:00+00:00
32,113.52,129.08666666666667,134.17538461538462,,,2022-09-20 00:00:00+00:00
33,110.5,127.39666666666666,132.96884615384616,,,2022-09-21 00:00:00+00:00
34,108.85,125.26333333333334,131.66884615384615,,,2022-09-22 00:00:00+00:00
35,105.87,122.78499999999998,130.33807692307693,,,2022-09-23 00:00:00+00:00
36,103.39,119.78250000000001,128.8323076923077,,,2022-09-26 00:00:00+00:00
37,105.29,116.59333333333332,127.56769230769231,,,2022-09-27 00:00:00+00:00
38,106.92,113.69333333333334,126.47192307692308,,,2022-09-28 00:00:00+00:00
39,105.29,111.12583333333333,125.23461538461538,,,2022-09-29 00:00:00+00:00
40,106.99,109.9825,124.03692307692307,,,2022-09-30 00:00:00+00:00
41,114.33,109.7375,122.8876923076923,,,2022-10-03 00:00:00+00:00
42,119.31,109.92333333333333,122.0723076923077,,,2022-10-04 00:00:00+00:00
43,117.85,109.84250000000002,121.2373076923077,,,2022-10-05 00:00:00+00:00
44,117.81,110.2,120.56846153846155,,,2022-10-06 00:00:00+00:00
45,115.01,110.57583333333334,119.87884615384615,,,2022-10-07 00:00:00+00:00
46,118.07,111.34416666666665,119.40461538461538,,,2022-10-10 00:00:00+00:00
47,118.86,112.42666666666668,118.94615384615385,,,2022-10-11 00:00:00+00:00
48,119.31,113.75333333333333,118.36384615384615,,,2022-10-12 00:00:00+00:00
49,124.0,115.3125,117.91730769230769,127.57039999999999,,2022-10-13 00:00:00+00:00
50,118.71,116.295,117.12076923076923,127.25959999999999,,2022-10-14 00:00:00+00:00
51,122.09,117.695,116.295,126.96859999999998,,2022-10-17 00:00:00+00:00
52,124.46,119.15083333333332,115.63115384615384,126.7268,,2022-10-18 00:00:00+00:00
53,121.89,119.78083333333332,115.08461538461539,126.39280000000001,,2022-10-19 00:00:00+00:00
54,124.92,120.24833333333333,115.24653846153848,126.06139999999999,,2022-10-20 00:00:00+00:00
55,135.56,121.72416666666665,115.95000000000002,125.93459999999999,,2022-10-21 00:00:00+00:00
56,134.75,123.13583333333332,116.62961538461539,125.77179999999998,,2022-10-24 00:00:00+00:00
57,136.51,124.9275,117.31,125.6646,,2022-10-25 00:00:00+00:00
58,137.02,126.50666666666666,118.21384615384615,125.552,,2022-10-26 00:00:00+00:00
59,135.5,127.89333333333332,119.17538461538462,125.4526,,2022-10-27 00:00:00+00:00
60,134.0,129.11749999999998,120.14269230769231,125.2818,,2022-10-28 00:00:00+00:00
61,131.38,129.7325,121.12384615384615,125.14599999999999,,2022-10-31 00:00:00+00:00
62,134.5,131.04833333333332,122.32038461538461,125.1278,,2022-11-01 00:00:00+00:00
63,128.72,131.60083333333333,123.22153846153846,124.95299999999999,,2022-11-02 00:00:00+00:00
64,128.77,131.96,124.06192307692307,124.7658,,2022-11-03 00:00:00+00:00
65,133.56,132.9325,125.14923076923077,124.55279999999999,,2022-11-04 00:00:00+00:00
66,134.32,133.71583333333334,126.20038461538462,124.42900000000002,,2022-11-07 00:00:00+00:00
67,134.49,133.62666666666667,126.97576923076925,124.3276,,2022-11-08 00:00:00+00:00
68,131.07,133.32000000000002,127.42807692307692,124.245,,2022-11-09 00:00:00+00:00
69,139.03,133.53,128.2426923076923,124.36679999999998,,2022-11-10 00:00:00+00:00
70,138.76,133.675,129.04846153846154,124.53399999999999,,2022-11-11 00:00:00+00:00
71,142.2,134.23333333333332,130.0942307692308,124.7624,,2022-11-14 00:00:00+00:00
72,144.05,135.07083333333335,131.09346153846153,124.95439999999999,,2022-11-15 00:00:00+00:00
73,141.6,135.92249999999999,131.96807692307692,125.0742,,2022-11-16 00:00:00+00:00
74,142.1,136.55583333333334,132.8446153846154,125.1278,,2022-11-17 00:00:00+00:00
75,142.03,137.665,133.53807692307691,125.09720000000002,,2022-11-18 00:00:00+00:00
76,149.04,139.35416666666666,134.70461538461538,125.2436,,2022-11-21 00:00:00+00:00
77,152.15,140.90333333333334,135.86076923076922,125.56459999999998,,2022-11-22 00:00:00+00:00
78,149.73,142.18749999999997,136.8326923076923,126.145,,2022-11-23 00:00:00+00:00
79,149.19,143.4125,137.8826923076923,126.7834,,2022-11-25 00:00:00+00:00
80,147.53,144.78416666666666,138.75230769230768,127.3924,,2022-11-28 00:00:00+00:00
81,146.99,145.4475,139.19192307692308,127.9558,,2022-11-29 00:00:00+00:00
82,149.95,146.38,139.77653846153845,128.6844,,2022-11-30 00:00:00+00:00
83,149.25,146.9675,140.26653846153846,129.45940000000002,,2022-12-01 00:00:00+00:00
84,154.2,147.81333333333333,140.9273076923077,130.3664,,2022-12-02 00:00:00+00:00
