,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,192.15,,,,,2022-08-04 00:00:00+00:00
1,189.89,,,,,2022-08-05 00:00:00+00:00
2,177.93,,,,,2022-08-08 00:00:00+00:00
3,170.86,,,,,2022-08-09 00:00:00+00:00
4,180.97,,,,,2022-08-10 00:00:00+00:00
5,179.42,,,,,2022-08-11 00:00:00+00:00
6,187.09,,,,,2022-08-12 00:00:00+00:00
7,190.32,,,,,2022-08-15 00:00:00+00:00
8,188.79,,,,,2022-08-16 00:00:00+00:00
9,183.35,,,,,2022-08-17 00:00:00+00:00
10,187.73,,,,,2022-08-18 00:00:00+00:00
11,178.49,183.91583333333332,,,,2022-08-19 00:00:00+00:00
12,170.34,182.09833333333333,,,,2022-08-22 00:00:00+00:00
13,171.81,180.59166666666667,,,,2022-08-23 00:00:00+00:00
14,172.22,180.1158333333333,,,,2022-08-24 00:00:00+00:00
15,179.13,180.80499999999998,,,,2022-08-25 00:00:00+00:00
16,162.6,179.27416666666667,,,,2022-08-26 00:00:00+00:00
17,158.01,177.49,,,,2022-08-29 00:00:00+00:00
18,154.68,174.7891666666667,,,,2022-08-30 00:00:00+00:00
19,150.94,171.50749999999996,,,,2022-08-31 00:00:00+00:00
20,139.37,167.38916666666665,,,,2022-09-01 00:00:00+00:00
21,136.47,163.4825,,,,2022-09-02 00:00:00+00:00
22,134.65,159.05916666666667,,,,2022-09-06 00:00:00+00:00
23,137.14,155.61333333333332,,,,2022-09-07 00:00:00+00:00
24,139.9,153.07666666666668,,,,2022-09-08 00:00:00+00:00
25,143.87,150.74833333333333,167.62,,,2022-09-09 00:00:00+00:00
26,145.05,148.48416666666668,165.80846153846156,,,2022-09-12 00:00:00+00:00
27,131.31,144.49916666666667,163.5553846153846,,,2022-09-13 00:00:00+00:00
28,131.28,141.88916666666668,161.76115384615383,,,2022-09-14 00:00:00+00:00
29,129.29,139.49583333333334,160.1623076923077,,,2022-09-15 00:00:00+00:00
30,131.98,137.60416666666666,158.2780769230769,,,2022-09-16 00:00:00+00:00
31,133.82,136.17749999999998,156.52423076923077,,,2022-09-19 00:00:00+00:00
32,131.76,135.54333333333332,154.39615384615385,,,2022-09-20 00:00:00+00:00
33,132.61,135.22166666666666,152.17653846153846,,,2022-09-21 00:00:00+00:00
34,125.61,134.46833333333333,149.74653846153845,,,2022-09-22 00:00:00+00:00
35,125.16,133.47,147.50846153846152,,,2022-09-23 00:00:00+00:00
36,122.28,132.00166666666667,144.99115384615385,,,2022-09-26 00:00:00+00:00
37,124.13,130.35666666666665,142.90038461538464,,,2022-09-27 00:00:00+00:00
38,127.36,128.8825,141.2473076923077,,,2022-09-28 00:00:00+00:00
39,122.2,128.12333333333333,139.33923076923077,,,2022-09-29 00:00:00+00:00
40,121.39,127.29916666666666,137.38423076923075,,,2022-09-30 00:00:00+00:00
41,125.12,126.95166666666667,135.30692307692308,,,2022-10-03 00:00:00+00:00
42,131.67,126.92583333333333,134.1173076923077,,,2022-10-04 00:00:00+00:00
43,132.09,126.78166666666668,133.1203846153846,,,2022-10-05 00:00:00+00:00
44,131.3,126.74333333333334,132.22115384615384,,,2022-10-06 00:00:00+00:00
45,120.76,125.75583333333333,131.06038461538463,,,2022-10-07 00:00:00+00:00
46,116.7,125.01333333333334,130.18846153846152,,,2022-10-10 00:00:00+00:00
47,115.86,124.23833333333333,129.39576923076922,,,2022-10-11 00:00:00+00:00
48,115.0,123.63166666666666,128.64,,,2022-10-12 00:00:00+00:00
49,119.6,123.25416666666668,127.96538461538461,148.029,,2022-10-13 00:00:00+00:00
50,112.27,121.99666666666667,126.9026923076923,146.43140000000002,,2022-10-14 00:00:00+00:00
51,118.88,121.71999999999998,125.94153846153846,145.0112,,2022-10-17 00:00:00+00:00
52,119.67,121.57666666666667,124.96538461538461,143.84599999999998,,2022-10-18 00:00:00+00:00
53,120.51,121.1925,124.55000000000001,142.839,,2022-10-19 00:00:00+00:00
54,121.94,120.38166666666667,124.19076923076923,141.6584,,2022-10-20 00:00:00+00:00
55,124.66,119.76249999999999,124.0126923076923,140.5632,,2022-10-21 00:00:00+00:00
56,125.99,119.32,123.7823076923077,139.3412,,2022-10-24 00:00:00+00:00
57,132.61,120.3075,123.73576923076924,138.18699999999998,,2022-10-25 00:00:00+00:00
58,128.96,121.32916666666667,123.62807692307692,136.9904,,2022-10-26 00:00:00+00:00
59,131.76,122.65416666666668,123.59538461538462,135.95860000000002,,2022-10-27 00:00:00+00:00
60,138.34,124.59916666666668,124.08500000000001,134.9708,,2022-10-28 00:00:00+00:00
61,134.97,125.88,124.46230769230769,134.1004,,2022-10-31 00:00:00+00:00
62,135.43,127.81,124.96807692307692,133.4022,,2022-11-01 00:00:00+00:00
63,132.19,128.91916666666665,125.27807692307692,132.6098,,2022-11-02 00:00:00+00:00
64,134.21,130.13083333333333,125.54153846153848,131.8496,,2022-11-03 00:00:00+00:00
65,141.56,131.885,126.28615384615385,131.0982,,2022-11-04 00:00:00+00:00
66,143.01,133.64083333333335,127.11769230769231,130.7064,,2022-11-07 00:00:00+00:00
67,146.02,135.42083333333335,127.92153846153846,130.4666,,2022-11-08 00:00:00+00:00
68,137.76,136.40166666666667,128.15576923076924,130.1282,,2022-11-09 00:00:00+00:00
69,157.5,138.47583333333333,129.1330769230769,130.2594,,2022-11-10 00:00:00+00:00
70,163.27,141.335,130.3626923076923,130.7374,,2022-11-11 00:00:00+00:00
71,162.95,143.93416666666667,131.98538461538462,131.267,,2022-11-14 00:00:00+00:00
72,166.66,146.29416666666665,133.90692307692308,131.9072,,2022-11-15 00:00:00+00:00
73,159.1,148.30499999999998,135.57,132.3464,,2022-11-16 00:00:00+00:00
74,156.77,150.08333333333334,137.17653846153846,132.6838,,2022-11-17 00:00:00+00:00
75,154.09,151.90833333333333,138.50307692307692,132.88819999999998,,2022-11-18 00:00:00+00:00
76,153.17,153.48833333333334,140.07615384615386,133.0506,,2022-11-21 00:00:00+00:00
77,160.38,155.05666666666667,141.6723076923077,133.632,,2022-11-22 00:00:00+00:00
78,165.19,156.905,143.42307692307693,134.31019999999998,,2022-11-23 00:00:00+00:00
79,162.7,158.295,145.04576923076922,134.9784,,2022-11-25 00:00:00+00:00
80,158.27,160.00416666666666,146.44307692307692,135.5042,,2022-11-28 00:00:00+00:00
81,156.39,159.91166666666666,147.66346153846155,135.9556,,2022-11-29 00:00:00+00:00
82,169.23,160.40833333333333,149.32653846153846,136.705,,2022-11-30 00:00:00+00:00
83,171.35,161.10833333333332,150.81653846153847,137.47979999999998,,2022-12-01 00:00:00+00:00
84,168.76,161.28333333333333,152.34730769230768,138.3428,,2022-12-02 00:00:00+00:00
85,166.1,161.86666666666667,153.6680769230769,139.1616,,2022-12-05 00:00:00+00:00
86,159.87,162.12499999999997,154.49615384615385,139.9134,,2022-12-06 00:00:00+00:00
87,161.2,162.7175,155.505,140.65480000000002,,2022-12-07 00:00:00+00:00
88,171.69,164.26083333333332,156.89961538461537,141.54139999999998,,2022-12-08 00:00:00+00:00
89,170.01,165.06333333333333,158.35423076923078,142.4976,,2022-12-09 00:00:00+00:00
90,175.35,165.91,159.93653846153845,143.5768,,2022-12-12 00:00:00+00:00
91,180.72,167.41166666666666,161.4426923076923,144.6888,,2022-12-13 00:00:00+00:00
92,176.74,168.95083333333332,162.73999999999998,145.59019999999998,,2022-12-14 00:00:00+00:00
93,169.52,170.045,163.64384615384614,146.33880000000002,,2022-12-15 00:00:00+00:00
94,165.71,169.75166666666667,164.71884615384613,147.02700000000002,,2022-12-16 00:00:00+00:00
95,162.54,169.0175,164.91269230769228,147.86260000000001,,2022-12-19 00:00:00+00:00
96,160.85,168.35833333333332,164.8196153846154,148.7456,,2022-12-20 00:00:00+00:00
97,165.01,168.2675,164.89884615384614,149.7286,,2022-12-21 00:00:00+00:00
98,153.39,167.7275,164.3884615384615,150.4964,,2022-12-22 00:00:00+00:00
99,152.06,166.96583333333334,164.11769230769232,151.1456,,2022-12-23 00:00:00+00:00
100,141.21,164.42583333333332,163.51923076923077,151.72439999999997,,2022-12-27 00:00:00+00:00
101,140.36,161.955,162.99115384615382,152.154,,2022-12-28 00:00:00+00:00
102,146.03,159.51166666666668,162.71653846153848,152.68120000000002,,2022-12-29 00:00:00+00:00
103,146.14,156.63,162.16884615384618,153.1938,,2022-12-30 00:00:00+00:00
104,143.15,153.83083333333335,161.32115384615386,153.618,,2023-01-03 00:00:00+00:00
105,147.49,151.995,160.73615384615385,154.0746,,2023-01-04 00:00:00+00:00
106,142.65,150.07333333333335,160.13538461538462,154.4078,,2023-01-05 00:00:00+00:00
107,148.59,148.91083333333333,159.83538461538458,154.72740000000002,,2023-01-06 00:00:00+00:00
108,156.28,148.53,159.33730769230766,155.27380000000002,,2023-01-09 00:00:00+00:00
109,159.09,148.03666666666666,158.86576923076925,155.8204,,2023-01-10 00:00:00+00:00
110,160.01,148.58833333333334,158.52923076923076,156.25379999999998,,2023-01-11 00:00:00+00:00
111,165.11,149.67583333333334,158.49115384615385,156.8566,,2023-01-12 00:00:00+00:00
112,168.99,151.99083333333334,158.84192307692305,157.5278,,2023-01-13 00:00:00+00:00
113,177.02,155.04583333333332,159.45038461538462,158.4244,,2023-01-17 00:00:00+00:00
114,173.77,157.3575,159.5303846153846,159.2156,,2023-01-18 00:00:00+00:00
115,167.65,159.15,159.4396153846154,159.7374,,2023-01-19 00:00:00+00:00
116,178.39,162.08666666666667,159.55653846153848,160.445,,2023-01-20 00:00:00+00:00
117,191.93,165.79,159.98769230769233,161.3632,,2023-01-23 00:00:00+00:00
118,192.65,169.95666666666668,160.5996153846154,162.461,,2023-01-24 00:00:00+00:00
119,193.23,173.67666666666665,161.51153846153846,163.1756,,2023-01-25 00:00:00+00:00
120,198.02,177.155,162.75423076923076,163.87060000000002,,2023-01-26 00:00:00+00:00
121,203.65,180.86833333333334,164.3353846153846,164.6846,,2023-01-27 00:00:00+00:00
122,191.62,183.50250000000003,165.51884615384617,165.18380000000002,,2023-01-30 00:00:00+00:00
123,195.37,186.02416666666667,166.68653846153848,165.90919999999997,,2023-01-31 00:00:00+00:00
124,209.43,189.3941666666667,168.84192307692308,166.9624,,2023-02-01 00:00:00+00:00
125,217.09,192.73333333333332,171.34307692307692,168.22240000000002,,2023-02-02 00:00:00+00:00
126,211.0,195.8358333333333,174.0273076923077,169.37900000000002,,2023-02-03 00:00:00+00:00
127,210.89,199.4391666666667,176.73999999999998,170.3892,,2023-02-06 00:00:00+00:00
128,221.73,203.05083333333332,179.65153846153845,171.52,,2023-02-07 00:00:00+00:00
129,222.05,205.56083333333333,182.57115384615383,172.707,,2023-02-08 00:00:00+00:00
130,223.37,208.1208333333333,185.65653846153845,174.009,,2023-02-09 00:00:00+00:00
131,212.65,209.73916666666665,188.16269230769234,175.1342,,2023-02-10 00:00:00+00:00
132,217.88,211.39416666666668,191.05615384615385,176.1072,,2023-02-13 00:00:00+00:00
133,229.71,213.56583333333333,194.17615384615388,177.27439999999999,,2023-02-14 00:00:00+00:00
134,227.64,216.5675,196.92076923076922,178.452,,2023-02-15 00:00:00+00:00
135,220.02,218.62166666666667,199.26423076923078,179.5304,,2023-02-16 00:00:00+00:00
136,213.88,218.99249999999998,201.33615384615388,180.6106,,2023-02-17 00:00:00+00:00
137,206.55,218.11416666666665,202.93,181.5176,,2023-02-21 00:00:00+00:00
138,207.54,217.82583333333335,204.41269230769234,182.23460000000003,,2023-02-22 00:00:00+00:00
139,236.64,219.9716666666667,206.70576923076922,183.5672,,2023-02-23 00:00:00+00:00
140,232.86,220.8991666666667,208.97846153846154,184.71740000000003,,2023-02-24 00:00:00+00:00
141,235.01,221.97916666666666,211.56923076923078,185.8032,,2023-02-27 00:00:00+00:00
142,232.16,222.71166666666667,213.63730769230767,186.9116,,2023-02-28 00:00:00+00:00
143,226.98,223.90583333333333,214.98538461538462,188.06080000000003,,2023-03-01 00:00:00+00:00
144,233.14,225.1775,216.54269230769233,189.40939999999998,,2023-03-02 00:00:00+00:00
145,238.9,225.9433333333333,218.29923076923075,190.9366,,2023-03-03 00:00:00+00:00
146,235.54,226.60166666666666,219.7423076923077,192.43040000000002,,2023-03-06 00:00:00+00:00
147,232.88,227.67333333333332,220.86653846153845,193.78779999999998,,2023-03-07 00:00:00+00:00
148,241.81,230.0008333333333,222.79692307692306,195.55620000000002,,2023-03-08 00:00:00+00:00
