,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,77.4,,,,,2022-08-04 00:00:00+00:00
1,77.35,,,,,2022-08-05 00:00:00+00:00
2,76.47,,,,,2022-08-08 00:00:00+00:00
3,76.77,,,,,2022-08-09 00:00:00+00:00
4,77.54,,,,,2022-08-10 00:00:00+00:00
5,77.16,,,,,2022-08-11 00:00:00+00:00
6,79.15,,,,,2022-08-12 00:00:00+00:00
7,79.11,,,,,2022-08-15 00:00:00+00:00
8,79.52,,,,,2022-08-16 00:00:00+00:00
9,79.25,,,,,2022-08-17 00:00:00+00:00
10,79.32,,,,,2022-08-18 00:00:00+00:00
11,78.66,78.14166666666667,,,,2022-08-19 00:00:00+00:00
12,76.46,78.06333333333333,,,,2022-08-22 00:00:00+00:00
13,76.41,77.985,,,,2022-08-23 00:00:00+00:00
14,76.17,77.96,,,,2022-08-24 00:00:00+00:00
15,76.89,77.97,,,,2022-08-25 00:00:00+00:00
16,74.65,77.72916666666667,,,,2022-08-26 00:00:00+00:00
17,74.19,77.48166666666667,,,,2022-08-29 00:00:00+00:00
18,74.14,77.06416666666667,,,,2022-08-30 00:00:00+00:00
19,74.15,76.65083333333332,,,,2022-08-31 00:00:00+00:00
20,75.3,76.29916666666666,,,,2022-09-01 00:00:00+00:00
21,74.68,75.91833333333334,,,,2022-09-02 00:00:00+00:00
22,73.83,75.46083333333333,,,,2022-09-06 00:00:00+00:00
23,74.49,75.11333333333333,,,,2022-09-07 00:00:00+00:00
24,74.65,74.9625,,,,2022-09-08 00:00:00+00:00
25,75.91,74.92083333333333,76.52384615384615,,,2022-09-09 00:00:00+00:00
26,77.08,74.99666666666667,76.51153846153846,,,2022-09-12 00:00:00+00:00
27,76.04,74.92583333333333,76.46115384615385,,,2022-09-13 00:00:00+00:00
28,72.12,74.715,76.29384615384615,,,2022-09-14 00:00:00+00:00
29,70.24,74.38583333333334,76.0426923076923,,,2022-09-15 00:00:00+00:00
30,68.83,73.94333333333333,75.70769230769231,,,2022-09-16 00:00:00+00:00
31,69.07,73.52,75.39653846153846,,,2022-09-19 00:00:00+00:00
32,68.11,72.92083333333333,74.97192307692308,,,2022-09-20 00:00:00+00:00
33,66.75,72.26,74.49653846153845,,,2022-09-21 00:00:00+00:00
34,66.03,71.61,73.97769230769231,,,2022-09-22 00:00:00+00:00
35,64.55,70.78166666666667,73.41230769230769,,,2022-09-23 00:00:00+00:00
36,63.45,69.84833333333333,72.80192307692307,,,2022-09-26 00:00:00+00:00
37,62.42,68.72416666666666,72.17730769230769,,,2022-09-27 00:00:00+00:00
38,63.07,67.55666666666666,71.66230769230768,,,2022-09-28 00:00:00+00:00
39,61.4,66.33666666666666,71.08500000000001,,,2022-09-29 00:00:00+00:00
40,61.07,65.41583333333334,70.50423076923076,,,2022-09-30 00:00:00+00:00
41,63.08,64.81916666666666,69.97307692307693,,,2022-10-03 00:00:00+00:00
42,65.69,64.5575,69.62846153846154,,,2022-10-04 00:00:00+00:00
43,66.64,64.355,69.33807692307693,,,2022-10-05 00:00:00+00:00
44,65.3,64.12083333333332,68.99807692307692,,,2022-10-06 00:00:00+00:00
45,63.29,63.8325,68.58038461538462,,,2022-10-07 00:00:00+00:00
46,62.57,63.54416666666666,68.09076923076924,,,2022-10-10 00:00:00+00:00
47,62.41,63.365833333333335,67.61884615384615,,,2022-10-11 00:00:00+00:00
48,63.78,63.39333333333334,67.23230769230769,,,2022-10-12 00:00:00+00:00
49,65.2,63.625,66.875,71.5562,,2022-10-13 00:00:00+00:00
50,64.31,63.72833333333333,66.47730769230769,71.2944,,2022-10-14 00:00:00+00:00
51,67.02,64.19666666666667,66.13538461538461,71.0878,,2022-10-17 00:00:00+00:00
52,67.03,64.69333333333333,65.74884615384616,70.899,,2022-10-18 00:00:00+00:00
53,66.3,64.96166666666666,65.37423076923076,70.6896,,2022-10-19 00:00:00+00:00
54,69.25,65.25833333333333,65.26384615384616,70.5238,,2022-10-20 00:00:00+00:00
55,72.7,65.76333333333334,65.35846153846154,70.4346,,2022-10-21 00:00:00+00:00
56,72.92,66.39833333333333,65.51576923076922,70.31,,2022-10-24 00:00:00+00:00
57,73.14,67.21916666666667,65.6723076923077,70.1906,,2022-10-25 00:00:00+00:00
