,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,706.92,,,,,2022-08-04 00:00:00+00:00
1,709.01,,,,,2022-08-05 00:00:00+00:00
2,712.27,,,,,2022-08-08 00:00:00+00:00
3,717.02,,,,,2022-08-09 00:00:00+00:00
4,719.83,,,,,2022-08-10 00:00:00+00:00
5,719.41,,,,,2022-08-11 00:00:00+00:00
6,731.59,,,,,2022-08-12 00:00:00+00:00
7,737.96,,,,,2022-08-15 00:00:00+00:00
8,742.59,,,,,2022-08-16 00:00:00+00:00
9,743.76,,,,,2022-08-17 00:00:00+00:00
10,736.72,,,,,2022-08-18 00:00:00+00:00
11,736.55,726.1358333333333,,,,2022-08-19 00:00:00+00:00
12,724.38,727.5908333333333,,,,2022-08-22 00:00:00+00:00
13,720.09,728.5141666666667,,,,2022-08-23 00:00:00+00:00
14,711.21,728.4258333333333,,,,2022-08-24 00:00:00+00:00
15,713.73,728.1516666666666,,,,2022-08-25 00:00:00+00:00
16,698.79,726.3983333333334,,,,2022-08-26 00:00:00+00:00
17,704.77,725.1783333333333,,,,2022-08-29 00:00:00+00:00
18,698.26,722.4008333333333,,,,2022-08-30 00:00:00+00:00
19,697.12,718.9975,,,,2022-08-31 00:00:00+00:00
20,706.47,715.9875000000001,,,,2022-09-01 00:00:00+00:00
21,702.7,712.5658333333334,,,,2022-09-02 00:00:00+00:00
22,707.53,710.1333333333333,,,,2022-09-06 00:00:00+00:00
23,724.41,709.1216666666666,,,,2022-09-07 00:00:00+00:00
24,728.64,709.4766666666666,,,,2022-09-08 00:00:00+00:00
25,721.02,709.5541666666667,718.1826923076923,,,2022-09-09 00:00:00+00:00
26,727.42,710.9049999999999,718.9711538461538,,,2022-09-12 00:00:00+00:00
27,695.68,709.4008333333333,718.4584615384615,,,2022-09-13 00:00:00+00:00
28,689.43,708.6208333333334,717.5799999999999,,,2022-09-14 00:00:00+00:00
29,688.87,707.2958333333332,716.4973076923077,,,2022-09-15 00:00:00+00:00
30,693.51,706.9,715.485,,,2022-09-16 00:00:00+00:00
31,695.28,706.7466666666666,714.5569230769231,,,2022-09-19 00:00:00+00:00
32,701.07,706.2966666666666,713.3830769230769,,,2022-09-20 00:00:00+00:00
33,695.425,705.6904166666667,711.7471153846155,,,2022-09-21 00:00:00+00:00
34,693.56,704.5262499999999,709.8613461538462,,,2022-09-22 00:00:00+00:00
35,688.23,701.51125,707.7255769230768,,,2022-09-23 00:00:00+00:00
36,693.72,698.60125,706.0717307692307,,,2022-09-26 00:00:00+00:00
37,693.19,696.2820833333334,704.4040384615383,,,2022-09-27 00:00:00+00:00
38,717.63,695.46625,704.1444230769231,,,2022-09-28 00:00:00+00:00
39,711.76,696.80625,703.8240384615385,,,2022-09-29 00:00:00+00:00
40,703.35,697.96625,703.5217307692308,,,2022-09-30 00:00:00+00:00
41,718.19,700.4095833333334,703.6932692307691,,,2022-10-03 00:00:00+00:00
42,729.71,703.42625,704.8824999999999,,,2022-10-04 00:00:00+00:00
43,732.09,706.4937500000001,705.9332692307694,,,2022-10-05 00:00:00+00:00
44,732.41,709.1054166666667,707.2467307692308,,,2022-10-06 00:00:00+00:00
45,710.77,710.3841666666667,707.7717307692308,,,2022-10-07 00:00:00+00:00
46,724.57,712.9683333333334,708.4678846153846,,,2022-10-10 00:00:00+00:00
47,730.9,716.5241666666667,709.5524999999999,,,2022-10-11 00:00:00+00:00
48,727.56,719.3441666666668,710.3228846153846,,,2022-10-12 00:00:00+00:00
49,737.98,723.0766666666667,710.8448076923077,714.1011,,2022-10-13 00:00:00+00:00
50,731.91,724.2666666666668,710.9705769230769,714.6008999999999,,2022-10-14 00:00:00+00:00
51,736.27,726.3091666666668,711.5571153846154,715.1461,,2022-10-17 00:00:00+00:00
52,742.11,729.5391666666666,712.1221153846155,715.7429000000001,,2022-10-18 00:00:00+00:00
53,737.72,731.1666666666666,713.7390384615385,716.1569000000001,,2022-10-19 00:00:00+00:00
54,730.92,731.2675,715.3348076923078,716.3787,,2022-10-20 00:00:00+00:00
55,744.07,732.2658333333334,717.4578846153846,716.8719,,2022-10-21 00:00:00+00:00
56,768.46,735.27,720.3405769230769,717.6093,,2022-10-24 00:00:00+00:00
57,775.73,740.6833333333334,723.4348076923077,718.3647,,2022-10-25 00:00:00+00:00
58,777.46,745.0908333333333,726.3728846153847,719.0621000000001,,2022-10-26 00:00:00+00:00
59,813.22,751.9508333333333,730.9034615384614,720.4513000000001,,2022-10-27 00:00:00+00:00
60,836.3,761.0124999999999,736.3934615384616,722.4428999999999,,2022-10-28 00:00:00+00:00
61,837.17,769.2783333333333,742.1219230769232,724.4553,,2022-10-31 00:00:00+00:00
62,834.0,777.7858333333334,747.5173076923077,726.6476999999999,,2022-11-01 00:00:00+00:00
63,815.11,784.3558333333332,752.2065384615386,728.5481,,2022-11-02 00:00:00+00:00
64,819.37,790.7941666666667,756.1196153846154,730.7113,,2022-11-03 00:00:00+00:00
65,815.74,797.2958333333332,760.1188461538461,732.7515,,2022-11-04 00:00:00+00:00
66,830.2,805.5691666666667,764.9976923076922,735.3797,,2022-11-07 00:00:00+00:00
67,833.51,813.0225,769.433076923077,737.9544999999999,,2022-11-08 00:00:00+00:00
68,828.7,818.0425,773.2403846153846,740.5633,,2022-11-09 00:00:00+00:00
69,843.85,823.7191666666666,777.5388461538461,743.4979,,2022-11-10 00:00:00+00:00
70,815.6,826.8975,780.7384615384615,745.6805,,2022-11-11 00:00:00+00:00
71,824.92,827.8725000000001,785.1288461538462,748.1248999999999,,2022-11-14 00:00:00+00:00
72,825.12,826.9408333333332,788.9961538461538,750.4766999999999,,2022-11-15 00:00:00+00:00
73,833.98,826.6750000000001,792.9607692307692,752.6681000000001,,2022-11-16 00:00:00+00:00
74,829.98,826.34,796.8999999999999,754.6949,,2022-11-17 00:00:00+00:00
75,838.27,828.2700000000001,800.7573076923077,757.0399000000001,,2022-11-18 00:00:00+00:00
76,846.39,830.5216666666666,805.1603846153846,759.4193,,2022-11-21 00:00:00+00:00
77,852.13,833.5541666666667,809.6165384615384,762.5483,,2022-11-22 00:00:00+00:00
78,850.82,835.2725,813.7976923076923,765.7761,,2022-11-23 00:00:00+00:00
79,855.97,837.1441666666666,818.3457692307693,769.1181,,2022-11-25 00:00:00+00:00
80,852.56,839.1325,823.0242307692308,772.2991000000001,,2022-11-28 00:00:00+00:00
81,849.73,839.6225,827.088076923077,775.3881,,2022-11-29 00:00:00+00:00
82,864.54,843.7008333333333,830.7834615384616,778.6575,,2022-11-30 00:00:00+00:00
83,857.18,846.3891666666667,833.9161538461539,781.8926000000001,,2022-12-01 00:00:00+00:00
84,858.41,849.1633333333334,837.0296153846152,785.1895999999999,,2022-12-02 00:00:00+00:00
85,843.1,849.9233333333333,838.1788461538462,788.2869999999999,,2022-12-05 00:00:00+00:00
86,829.66,849.8966666666666,837.9234615384617,791.0058,,2022-12-06 00:00:00+00:00
