,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,167.233333,,,,,2022-08-04 00:00:00+00:00
1,167.123333,,,,,2022-08-05 00:00:00+00:00
2,167.023333,,,,,2022-08-08 00:00:00+00:00
3,166.79,,,,,2022-08-09 00:00:00+00:00
4,173.946666,,,,,2022-08-10 00:00:00+00:00
5,172.17,,,,,2022-08-11 00:00:00+00:00
6,175.626666,,,,,2022-08-12 00:00:00+00:00
7,175.923333,,,,,2022-08-15 00:00:00+00:00
8,174.85,,,,,2022-08-16 00:00:00+00:00
9,171.503333,,,,,2022-08-17 00:00:00+00:00
10,172.616666,,,,,2022-08-18 00:00:00+00:00
11,171.17,171.33138858333334,,,,2022-08-19 00:00:00+00:00
12,169.35,171.5077775,,,,2022-08-22 00:00:00+00:00
13,189.836666,173.40055525000002,,,,2022-08-23 00:00:00+00:00
14,188.27,175.17111083333336,,,,2022-08-24 00:00:00+00:00
15,191.86,177.2602775,,,,2022-08-25 00:00:00+00:00
16,186.896666,178.33944416666668,,,,2022-08-26 00:00:00+00:00
17,186.33,179.51944416666666,,,,2022-08-29 00:00:00+00:00
18,186.56,180.43055533333333,,,,2022-08-30 00:00:00+00:00
19,185.603333,181.237222,,,,2022-08-31 00:00:00+00:00
20,181.716666,181.80944416666668,,,,2022-09-01 00:00:00+00:00
21,179.733333,182.49527750000001,,,,2022-09-02 00:00:00+00:00
22,176.846666,182.8477775,,,,2022-09-06 00:00:00+00:00
23,180.0,183.58361083333332,,,,2022-09-07 00:00:00+00:00
24,182.416666,184.67249966666668,,,,2022-09-08 00:00:00+00:00
25,188.256666,184.54083300000002,178.06358942307693,,,2022-09-09 00:00:00+00:00
26,189.36,184.63166633333333,178.91461507692307,,,2022-09-12 00:00:00+00:00
27,182.96,183.88999966666665,179.52371765384618,,,2022-09-13 00:00:00+00:00
28,182.06,183.4869441666667,180.10205100000002,,,2022-09-14 00:00:00+00:00
29,179.62,182.92777750000002,180.59551253846155,,,2022-09-15 00:00:00+00:00
30,174.09,181.88861083333333,180.6010253846154,,,2022-09-16 00:00:00+00:00
31,175.35,181.03416641666664,180.7233330769231,,,2022-09-19 00:00:00+00:00
32,175.02,180.47611091666667,180.6999997692308,,,2022-09-20 00:00:00+00:00
33,171.12,179.7583331666667,180.51525619230767,,,2022-09-21 00:00:00+00:00
34,166.18,178.86944433333335,180.18179465384617,,,2022-09-22 00:00:00+00:00
35,161.57,177.33361100000002,179.79974338461537,,,2022-09-23 00:00:00+00:00
