,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,175.87,,,,,2022-08-04 00:00:00+00:00
1,174.55,,,,,2022-08-05 00:00:00+00:00
2,173.85,,,,,2022-08-08 00:00:00+00:00
3,174.5,,,,,2022-08-09 00:00:00+00:00
4,175.94,,,,,2022-08-10 00:00:00+00:00
5,175.04,,,,,2022-08-11 00:00:00+00:00
6,177.33,,,,,2022-08-12 00:00:00+00:00
7,179.28,,,,,2022-08-15 00:00:00+00:00
8,180.32,,,,,2022-08-16 00:00:00+00:00
9,180.22,,,,,2022-08-17 00:00:00+00:00
10,180.4,,,,,2022-08-18 00:00:00+00:00
11,180.17,177.28916666666666,,,,2022-08-19 00:00:00+00:00
12,178.45,177.5041666666667,,,,2022-08-22 00:00:00+00:00
13,178.37,177.8225,,,,2022-08-23 00:00:00+00:00
14,179.26,178.27333333333334,,,,2022-08-24 00:00:00+00:00
15,179.27,178.67083333333335,,,,2022-08-25 00:00:00+00:00
16,175.04,178.59583333333333,,,,2022-08-26 00:00:00+00:00
17,174.49,178.54999999999998,,,,2022-08-29 00:00:00+00:00
18,172.99,178.18833333333336,,,,2022-08-30 00:00:00+00:00
19,172.27,177.60416666666666,,,,2022-08-31 00:00:00+00:00
20,172.85,176.98166666666665,,,,2022-09-01 00:00:00+00:00
21,170.66,176.18499999999997,,,,2022-09-02 00:00:00+00:00
22,169.51,175.2775,,,,2022-09-06 00:00:00+00:00
23,173.25,174.70083333333332,,,,2022-09-07 00:00:00+00:00
24,172.67,174.21916666666667,,,,2022-09-08 00:00:00+00:00
25,173.22,173.79,175.76038461538462,,,2022-09-09 00:00:00+00:00
26,173.9,173.34333333333333,175.6846153846154,,,2022-09-12 00:00:00+00:00
27,167.41,172.35500000000002,175.41,,,2022-09-13 00:00:00+00:00
28,168.68,171.82500000000002,175.21115384615385,,,2022-09-14 00:00:00+00:00
29,165.88,171.1075,174.8796153846154,,,2022-09-15 00:00:00+00:00
30,166.97,170.60583333333332,174.53461538461536,,,2022-09-16 00:00:00+00:00
31,168.73,170.31083333333333,174.29192307692307,,,2022-09-19 00:00:00+00:00
32,168.92,169.98333333333332,173.96846153846155,,,2022-09-20 00:00:00+00:00
33,168.44,169.79833333333332,173.55153846153846,,,2022-09-21 00:00:00+00:00
34,168.6,169.7225,173.10076923076923,,,2022-09-22 00:00:00+00:00
35,168.52,169.32833333333335,172.65076923076924,,,2022-09-23 00:00:00+00:00
36,168.45,168.97666666666666,172.1911538461538,,,2022-09-26 00:00:00+00:00
37,166.01,168.37583333333333,171.64653846153846,,,2022-09-27 00:00:00+00:00
38,168.67,167.93999999999997,171.27038461538461,,,2022-09-28 00:00:00+00:00
