,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,116.78,,,,,2022-08-04 00:00:00+00:00
1,118.28,,,,,2022-08-05 00:00:00+00:00
2,118.49,,,,,2022-08-08 00:00:00+00:00
3,119.66,,,,,2022-08-09 00:00:00+00:00
4,120.89,,,,,2022-08-10 00:00:00+00:00
5,120.46,,,,,2022-08-11 00:00:00+00:00
6,121.77,,,,,2022-08-12 00:00:00+00:00
7,122.01,,,,,2022-08-15 00:00:00+00:00
8,122.49,,,,,2022-08-16 00:00:00+00:00
9,127.06,,,,,2022-08-17 00:00:00+00:00
10,128.21,,,,,2022-08-18 00:00:00+00:00
11,127.48,121.96499999999999,,,,2022-08-19 00:00:00+00:00
12,125.94,122.72833333333334,,,,2022-08-22 00:00:00+00:00
13,124.4,123.23833333333334,,,,2022-08-23 00:00:00+00:00
14,125.48,123.82083333333334,,,,2022-08-24 00:00:00+00:00
15,126.43,124.38499999999999,,,,2022-08-25 00:00:00+00:00
16,125.16,124.74083333333334,,,,2022-08-26 00:00:00+00:00
17,125.02,125.12083333333334,,,,2022-08-29 00:00:00+00:00
18,124.24,125.32666666666667,,,,2022-08-30 00:00:00+00:00
19,122.65,125.38000000000001,,,,2022-08-31 00:00:00+00:00
20,123.7,125.48083333333334,,,,2022-09-01 00:00:00+00:00
21,122.41,125.09333333333335,,,,2022-09-02 00:00:00+00:00
22,122.48,124.61583333333334,,,,2022-09-06 00:00:00+00:00
23,127.2,124.59250000000002,,,,2022-09-07 00:00:00+00:00
24,129.22,124.86583333333334,,,,2022-09-08 00:00:00+00:00
25,128.68,125.22250000000001,123.715,,,2022-09-09 00:00:00+00:00
26,129.1,125.52416666666666,124.18884615384614,,,2022-09-12 00:00:00+00:00
27,126.71,125.54750000000001,124.51307692307692,,,2022-09-13 00:00:00+00:00
28,128.04,125.78750000000001,124.88038461538461,,,2022-09-14 00:00:00+00:00
29,127.09,125.96,125.16615384615385,,,2022-09-15 00:00:00+00:00
30,124.89,126.01416666666667,125.32000000000001,,,2022-09-16 00:00:00+00:00
31,127.29,126.40083333333332,125.58269230769231,,,2022-09-19 00:00:00+00:00
32,125.1,126.5175,125.71076923076923,,,2022-09-20 00:00:00+00:00
33,121.36,126.43,125.68576923076922,,,2022-09-21 00:00:00+00:00
34,122.42,126.425,125.68307692307692,,,2022-09-22 00:00:00+00:00
35,121.53,125.95249999999999,125.47038461538462,,,2022-09-23 00:00:00+00:00
36,118.88,125.09083333333332,125.11153846153846,,,2022-09-26 00:00:00+00:00
37,119.1,124.29249999999998,124.78923076923077,,,2022-09-27 00:00:00+00:00
38,119.05,123.455,124.52423076923077,,,2022-09-28 00:00:00+00:00
