,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,144.65,,,,,2022-08-04 00:00:00+00:00
1,144.72,,,,,2022-08-05 00:00:00+00:00
2,145.27,,,,,2022-08-08 00:00:00+00:00
3,144.93,,,,,2022-08-09 00:00:00+00:00
4,146.3,,,,,2022-08-10 00:00:00+00:00
5,145.26,,,,,2022-08-11 00:00:00+00:00
6,146.67,,,,,2022-08-12 00:00:00+00:00
7,148.56,,,,,2022-08-15 00:00:00+00:00
8,149.93,,,,,2022-08-16 00:00:00+00:00
9,149.24,,,,,2022-08-17 00:00:00+00:00
10,149.77,,,,,2022-08-18 00:00:00+00:00
11,149.73,147.08583333333334,,,,2022-08-19 00:00:00+00:00
12,149.33,147.47583333333333,,,,2022-08-22 00:00:00+00:00
13,146.45,147.62,,,,2022-08-23 00:00:00+00:00
14,145.82,147.66583333333332,,,,2022-08-24 00:00:00+00:00
15,145.7,147.73,,,,2022-08-25 00:00:00+00:00
16,142.29,147.39583333333334,,,,2022-08-26 00:00:00+00:00
17,141.69,147.09833333333333,,,,2022-08-29 00:00:00+00:00
18,140.18,146.5575,,,,2022-08-30 00:00:00+00:00
19,137.94,145.6725,,,,2022-08-31 00:00:00+00:00
20,139.64,144.815,,,,2022-09-01 00:00:00+00:00
21,137.16,143.80833333333334,,,,2022-09-02 00:00:00+00:00
22,135.63,142.63,,,,2022-09-06 00:00:00+00:00
23,137.68,141.62583333333333,,,,2022-09-07 00:00:00+00:00
24,137.86,140.67,,,,2022-09-08 00:00:00+00:00
25,139.96,140.1291666666667,143.93692307692308,,,2022-09-09 00:00:00+00:00
26,141.1,139.73583333333332,143.80038461538462,,,2022-09-12 00:00:00+00:00
27,138.18,139.10916666666668,143.54884615384614,,,2022-09-13 00:00:00+00:00
28,138.51,138.79416666666665,143.28884615384615,,,2022-09-14 00:00:00+00:00
29,137.44,138.44,143.00076923076924,,,2022-09-15 00:00:00+00:00
30,138.28,138.28166666666667,142.69230769230768,,,2022-09-16 00:00:00+00:00
31,137.99,138.28583333333333,142.4126923076923,,,2022-09-19 00:00:00+00:00
32,137.5,138.1075,142.06,,,2022-09-20 00:00:00+00:00
33,135.73,137.98833333333332,141.56653846153847,,,2022-09-21 00:00:00+00:00
34,136.21,138.03666666666666,141.03884615384615,,,2022-09-22 00:00:00+00:00
35,135.58,137.86166666666668,140.51346153846154,,,2022-09-23 00:00:00+00:00
36,135.71,137.6825,139.9726923076923,,,2022-09-26 00:00:00+00:00
37,131.98,137.01749999999998,139.29,,,2022-09-27 00:00:00+00:00
38,131.98,136.2575,138.62269230769232,,,2022-09-28 00:00:00+00:00
39,128.7,135.4675,137.94,,,2022-09-29 00:00:00+00:00
40,126.25,134.44583333333333,137.18730769230768,,,2022-09-30 00:00:00+00:00
41,128.51,133.70166666666668,136.52615384615385,,,2022-10-03 00:00:00+00:00
42,130.1,133.01999999999998,136.0573076923077,,,2022-10-04 00:00:00+00:00
43,129.2,132.2875,135.57692307692307,,,2022-10-05 00:00:00+00:00
44,126.48,131.36916666666664,135.04999999999998,,,2022-10-06 00:00:00+00:00
45,124.27,130.41416666666666,134.52423076923077,,,2022-10-07 00:00:00+00:00
46,123.76,129.37666666666667,133.91346153846155,,,2022-10-10 00:00:00+00:00
47,124.23,128.4308333333333,133.41615384615386,,,2022-10-11 00:00:00+00:00
48,124.43,127.49083333333334,132.98538461538462,,,2022-10-12 00:00:00+00:00
49,126.31,127.01833333333333,132.54807692307693,138.2158,,2022-10-13 00:00:00+00:00
50,125.08,126.44333333333333,132.05653846153845,137.8244,,2022-10-14 00:00:00+00:00
51,127.34,126.33,131.57115384615383,137.4768,,2022-10-17 00:00:00+00:00
52,128.37,126.50666666666666,131.08153846153846,137.1388,,2022-10-18 00:00:00+00:00
53,129.56,126.59416666666668,130.75,136.8314,,2022-10-19 00:00:00+00:00
54,126.99,126.335,130.30692307692308,136.4452,,2022-10-20 00:00:00+00:00
55,128.58,126.28333333333335,129.96615384615384,136.1116,,2022-10-21 00:00:00+00:00
56,129.37,126.52416666666666,129.62346153846153,135.7656,,2022-10-24 00:00:00+00:00
57,130.86,127.07333333333334,129.34923076923076,135.4116,,2022-10-25 00:00:00+00:00
58,131.78,127.74166666666667,129.12923076923076,135.0486,,2022-10-26 00:00:00+00:00
59,131.88,128.37916666666666,128.98115384615383,134.7014,,2022-10-27 00:00:00+00:00
60,135.22,129.27833333333334,128.94307692307692,134.41039999999998,,2022-10-28 00:00:00+00:00
61,134.67,129.975,128.90807692307692,134.1092,,2022-10-31 00:00:00+00:00
62,134.88,130.79166666666666,128.87615384615384,133.8202,,2022-11-01 00:00:00+00:00
63,132.94,131.25833333333333,128.91307692307691,133.55,,2022-11-02 00:00:00+00:00
64,132.03,131.56333333333333,128.915,133.2742,,2022-11-03 00:00:00+00:00
65,134.44,131.97,129.13576923076923,133.049,,2022-11-04 00:00:00+00:00
66,136.5,132.76250000000002,129.53,132.9332,,2022-11-07 00:00:00+00:00
67,136.81,133.44833333333332,129.84923076923076,132.8356,,2022-11-08 00:00:00+00:00
68,136.48,134.04083333333332,130.0946153846154,132.7616,,2022-11-09 00:00:00+00:00
69,141.18,134.90083333333334,130.5553846153846,132.8264,,2022-11-10 00:00:00+00:00
70,140.97,135.66666666666666,131.1126923076923,132.853,,2022-11-11 00:00:00+00:00
71,140.98,136.425,131.7553846153846,132.92940000000002,,2022-11-14 00:00:00+00:00
72,140.49,136.86416666666668,132.39884615384614,133.0266,,2022-11-15 00:00:00+00:00
73,141.74,137.45333333333335,133.07230769230767,133.1078,,2022-11-16 00:00:00+00:00
74,140.87,137.95250000000001,133.70461538461538,133.168,,2022-11-17 00:00:00+00:00
75,142.57,138.755,134.32999999999998,133.2202,,2022-11-18 00:00:00+00:00
76,144.38,139.78416666666666,135.0723076923077,133.2858,,2022-11-21 00:00:00+00:00
77,145.62,140.71583333333334,135.7753846153846,133.4346,,2022-11-22 00:00:00+00:00
78,146.45,141.545,136.47076923076924,133.5934,,2022-11-23 00:00:00+00:00
79,146.72,142.37083333333334,137.13076923076923,133.779,,2022-11-25 00:00:00+00:00
80,146.6,143.21416666666667,137.885,133.9454,,2022-11-28 00:00:00+00:00
81,145.48,143.5725,138.535,134.0952,,2022-11-29 00:00:00+00:00
82,149.16,144.255,139.29615384615383,134.3284,,2022-11-30 00:00:00+00:00
83,149.25,144.94416666666666,140.00346153846152,134.59879999999998,,2022-12-01 00:00:00+00:00
84,150.61,145.7875,140.7276923076923,134.8868,,2022-12-02 00:00:00+00:00
85,149.09,146.4,141.38961538461538,135.15699999999998,,2022-12-05 00:00:00+00:00
86,149.28,147.10083333333333,141.9303846153846,135.4284,,2022-12-06 00:00:00+00:00
87,150.24,147.74,142.52923076923076,135.7936,,2022-12-07 00:00:00+00:00
88,151.32,148.31833333333333,143.16153846153847,136.1804,,2022-12-08 00:00:00+00:00
89,150.92,148.76000000000002,143.8530769230769,136.6248,,2022-12-09 00:00:00+00:00
90,152.47,149.26166666666668,144.63923076923078,137.1492,,2022-12-12 00:00:00+00:00
91,152.24,149.72166666666666,145.32384615384615,137.6238,,2022-12-13 00:00:00+00:00
92,152.84,150.24166666666667,145.9523076923077,138.0786,,2022-12-14 00:00:00+00:00
93,151.11,150.71083333333334,146.50230769230768,138.5168,,2022-12-15 00:00:00+00:00
94,150.44,150.8175,147.03923076923076,138.996,,2022-12-16 00:00:00+00:00
95,150.4,150.91333333333333,147.39384615384614,139.5186,,2022-12-19 00:00:00+00:00
96,150.46,150.90083333333334,147.75884615384615,140.0526,,2022-12-20 00:00:00+00:00
97,151.84,151.13,148.17653846153846,140.60479999999998,,2022-12-21 00:00:00+00:00
98,152.19,151.3725,148.62653846153847,141.16,,2022-12-22 00:00:00+00:00
99,152.62,151.57083333333333,149.04500000000002,141.6862,,2022-12-23 00:00:00+00:00
100,153.95,151.79,149.54807692307693,142.2636,,2022-12-27 00:00:00+00:00
101,151.96,151.87666666666667,149.9092307692308,142.756,,2022-12-28 00:00:00+00:00
102,152.59,151.88666666666666,150.225,143.24040000000002,,2022-12-29 00:00:00+00:00
103,151.56,151.83,150.45346153846154,143.6804,,2022-12-30 00:00:00+00:00
104,151.57,151.72416666666666,150.6503846153846,144.172,,2023-01-03 00:00:00+00:00
105,152.23,151.8175,150.8623076923077,144.645,,2023-01-04 00:00:00+00:00
106,150.34,151.80916666666667,151.00615384615386,145.0644,,2023-01-05 00:00:00+00:00
107,153.92,152.1025,151.33076923076922,145.52560000000003,,2023-01-06 00:00:00+00:00
108,152.04,152.23416666666665,151.44153846153847,145.9308,,2023-01-09 00:00:00+00:00
109,151.89,152.23833333333332,151.54307692307694,146.331,,2023-01-10 00:00:00+00:00
110,150.66,152.11083333333332,151.54500000000002,146.6398,,2023-01-11 00:00:00+00:00
111,149.81,151.87666666666667,151.5726923076923,146.9426,,2023-01-12 00:00:00+00:00
112,150.88,151.62083333333334,151.63423076923078,147.2626,,2023-01-13 00:00:00+00:00
113,150.44,151.49416666666664,151.6419230769231,147.6126,,2023-01-17 00:00:00+00:00
114,146.41,150.97916666666666,151.4530769230769,147.9002,,2023-01-18 00:00:00+00:00
115,142.42,150.2175,151.12615384615384,148.0598,,2023-01-19 00:00:00+00:00
116,142.97,149.50083333333333,150.76076923076923,148.1892,,2023-01-20 00:00:00+00:00
117,141.05,148.56916666666666,150.33038461538462,148.274,,2023-01-23 00:00:00+00:00
118,141.82,147.85916666666665,149.90653846153847,148.3808,,2023-01-24 00:00:00+00:00
119,141.72,146.8425,149.54538461538462,148.3916,,2023-01-25 00:00:00+00:00
120,141.15,145.935,149.18807692307692,148.3952,,2023-01-26 00:00:00+00:00
121,140.57,144.99166666666667,148.81,148.387,,2023-01-27 00:00:00+00:00
122,141.01,144.1875,148.44653846153847,148.3974,,2023-01-30 00:00:00+00:00
123,142.38,143.56833333333333,148.0826923076923,148.41019999999997,,2023-01-31 00:00:00+00:00
124,143.19,142.92749999999998,147.73653846153846,148.4566,,2023-02-01 00:00:00+00:00
125,142.17,142.23833333333334,147.33461538461538,148.4486,,2023-02-02 00:00:00+00:00
126,142.61,141.92166666666665,146.89846153846153,148.4132,,2023-02-03 00:00:00+00:00
127,141.4,141.83666666666667,146.4923076923077,148.3288,,2023-02-06 00:00:00+00:00
128,140.02,141.59083333333334,146.00884615384615,148.2002,,2023-02-07 00:00:00+00:00
129,138.57,141.38416666666666,145.50923076923078,148.03719999999998,,2023-02-08 00:00:00+00:00
130,137.05,140.98666666666668,144.95076923076923,147.84619999999998,,2023-02-09 00:00:00+00:00
131,138.26,140.69833333333335,144.41346153846155,147.7018,,2023-02-10 00:00:00+00:00
132,140.07,140.60833333333332,144.0184615384615,147.52,,2023-02-13 00:00:00+00:00
133,139.28,140.50083333333333,143.45538461538462,147.32059999999998,,2023-02-14 00:00:00+00:00
134,138.96,140.33,142.9523076923077,147.08759999999998,,2023-02-15 00:00:00+00:00
135,137.14,139.89333333333335,142.385,146.8486,,2023-02-16 00:00:00+00:00
136,140.01,139.62833333333333,141.97538461538463,146.6632,,2023-02-17 00:00:00+00:00
137,139.91,139.44,141.5946153846154,146.4566,,2023-02-21 00:00:00+00:00
138,140.5,139.26416666666668,141.19538461538463,146.24020000000002,,2023-02-22 00:00:00+00:00
139,140.05,139.15166666666667,140.79576923076922,146.02280000000002,,2023-02-23 00:00:00+00:00
140,139.26,139.08833333333334,140.52076923076922,145.7586,,2023-02-24 00:00:00+00:00
141,139.14,139.13583333333335,140.39461538461538,145.4966,,2023-02-27 00:00:00+00:00
142,137.56,139.1783333333333,140.18653846153845,145.191,,2023-02-28 00:00:00+00:00
143,137.66,139.12833333333333,140.05615384615385,144.922,,2023-03-01 00:00:00+00:00
144,139.93,139.11666666666665,139.98346153846154,144.7118,,2023-03-02 00:00:00+00:00
145,140.95,139.25583333333333,139.95384615384617,144.52280000000002,,2023-03-03 00:00:00+00:00
146,140.35,139.37166666666664,139.92307692307693,144.32059999999998,,2023-03-06 00:00:00+00:00
147,137.56,139.40666666666667,139.8073076923077,144.035,,2023-03-07 00:00:00+00:00
148,137.58,139.20416666666668,139.67538461538462,143.74280000000002,,2023-03-08 00:00:00+00:00
149,136.57,138.92583333333332,139.45192307692307,143.4218,,2023-03-09 00:00:00+00:00
150,137.19,138.65,139.22115384615384,143.0866,,2023-03-10 00:00:00+00:00
151,138.14,138.4908333333333,139.06615384615387,142.81019999999998,,2023-03-13 00:00:00+00:00
152,139.85,138.54,138.96,142.5554,,2023-03-14 00:00:00+00:00
153,141.83,138.76416666666665,138.97653846153847,142.3608,,2023-03-15 00:00:00+00:00
154,142.89,139.20833333333334,139.08692307692306,142.18720000000002,,2023-03-16 00:00:00+00:00
155,142.93,139.6475,139.2546153846154,142.00119999999998,,2023-03-17 00:00:00+00:00
156,145.13,140.08083333333335,139.5653846153846,141.897,,2023-03-20 00:00:00+00:00
157,144.08,140.34166666666667,139.78923076923076,141.7002,,2023-03-21 00:00:00+00:00
158,143.99,140.645,139.94,141.5392,,2023-03-22 00:00:00+00:00
159,143.79,141.16416666666666,140.11346153846154,141.37720000000002,,2023-03-23 00:00:00+00:00
160,146.72,141.92583333333332,140.41192307692307,141.29840000000002,,2023-03-24 00:00:00+00:00
161,145.95,142.7075,140.75076923076924,141.2212,,2023-03-27 00:00:00+00:00
162,146.36,143.47166666666666,140.995,141.1308,,2023-03-28 00:00:00+00:00
163,146.81,144.19416666666666,141.26038461538462,141.0582,,2023-03-29 00:00:00+00:00
164,147.45,144.82750000000001,141.5276923076923,141.079,,2023-03-30 00:00:00+00:00
165,148.69,145.39916666666667,141.85999999999999,141.2044,,2023-03-31 00:00:00+00:00
166,149.51,145.95083333333332,142.2542307692308,141.33520000000001,,2023-04-03 00:00:00+00:00
167,150.23,146.55916666666667,142.68076923076924,141.5188,,2023-04-04 00:00:00+00:00
168,151.26,147.07,143.2076923076923,141.7076,,2023-04-05 00:00:00+00:00
169,152.22,147.74833333333333,143.7676923076923,141.9176,,2023-04-06 00:00:00+00:00
170,150.96,148.32916666666668,144.19192307692308,142.1138,,2023-04-10 00:00:00+00:00
171,150.66,148.90166666666667,144.56538461538463,142.3156,,2023-04-11 00:00:00+00:00
172,151.07,149.26416666666668,144.97769230769228,142.5168,,2023-04-12 00:00:00+00:00
173,151.77,149.74916666666667,145.52423076923077,142.7046,,2023-04-13 00:00:00+00:00
174,151.0,150.13583333333332,146.04038461538462,142.8608,,2023-04-14 00:00:00+00:00
175,151.05,150.48916666666665,146.59730769230768,143.0384,,2023-04-17 00:00:00+00:00
176,151.21,150.80249999999998,147.13653846153846,143.21040000000002,,2023-04-18 00:00:00+00:00
177,151.24,151.01500000000001,147.64038461538462,143.40720000000002,,2023-04-19 00:00:00+00:00
178,150.85,151.12666666666667,148.06346153846155,143.6238,,2023-04-20 00:00:00+00:00
179,156.07,151.61333333333334,148.61115384615385,143.9738,,2023-04-21 00:00:00+00:00
180,156.35,152.0375,149.12884615384615,144.3598,,2023-04-24 00:00:00+00:00
181,156.39,152.38500000000002,149.64653846153846,144.7224,,2023-04-25 00:00:00+00:00
182,154.58,152.68666666666667,150.01000000000002,145.0126,,2023-04-26 00:00:00+00:00
183,156.47,153.17083333333332,150.48653846153846,145.3564,,2023-04-27 00:00:00+00:00
184,156.38,153.61333333333332,150.96307692307693,145.7048,,2023-04-28 00:00:00+00:00
185,156.57,154.01333333333335,151.45461538461538,146.0934,,2023-05-01 00:00:00+00:00
186,156.43,154.46583333333334,151.8280769230769,146.4218,,2023-05-02 00:00:00+00:00
187,156.23,154.8975,152.22346153846155,146.7482,,2023-05-03 00:00:00+00:00
188,155.51,155.25583333333333,152.57538461538462,147.04840000000002,,2023-05-04 00:00:00+00:00
189,156.03,155.655,152.93,147.368,,2023-05-05 00:00:00+00:00
190,155.3,156.02583333333334,153.2319230769231,147.6888,,2023-05-08 00:00:00+00:00
191,153.71,155.82916666666665,153.425,147.9802,,2023-05-09 00:00:00+00:00
192,154.03,155.63583333333335,153.59884615384615,148.3096,,2023-05-10 00:00:00+00:00
193,154.39,155.46916666666667,153.75884615384615,148.6442,,2023-05-11 00:00:00+00:00
194,155.96,155.58416666666668,153.9396153846154,148.9648,,2023-05-12 00:00:00+00:00
195,156.01,155.54583333333332,154.0853846153846,149.266,,2023-05-15 00:00:00+00:00
196,155.74,155.4925,154.26923076923077,149.5738,,2023-05-16 00:00:00+00:00
197,155.08,155.3683333333333,154.43923076923076,149.9242,,2023-05-17 00:00:00+00:00
198,152.53,155.04333333333332,154.4953846153846,150.2232,,2023-05-18 00:00:00+00:00
199,153.17,154.78833333333333,154.54923076923075,150.5552,143.46975,2023-05-19 00:00:00+00:00
200,149.16,154.2591666666667,154.47846153846152,150.7946,143.4923,2023-05-22 00:00:00+00:00
201,147.55,153.5525,154.34384615384616,150.9828,143.50645,2023-05-23 00:00:00+00:00
202,146.33,152.80499999999998,154.15615384615384,151.1124,143.51175,2023-05-24 00:00:00+00:00
203,145.39,152.11166666666665,153.93115384615382,151.1836,143.51405,2023-05-25 00:00:00+00:00
204,145.4,151.3925,153.72153846153844,151.2338,143.50955,2023-05-26 00:00:00+00:00
205,143.18,150.45833333333334,153.22576923076923,151.2388,143.49915,2023-05-30 00:00:00+00:00
206,142.5,149.33666666666667,152.69307692307692,151.1862,143.4783,2023-05-31 00:00:00+00:00
207,143.96,148.3325,152.215,151.18380000000002,143.4553,2023-06-01 00:00:00+00:00
208,146.52,147.56416666666667,151.905,151.2344,143.43824999999998,2023-06-02 00:00:00+00:00
209,145.94,146.8025,151.5,151.2774,143.42175,2023-06-05 00:00:00+00:00
210,144.49,146.1325,151.0426923076923,151.2328,143.39535,2023-06-06 00:00:00+00:00
211,144.8,145.435,150.59,151.2098,143.3707,2023-06-07 00:00:00+00:00
212,146.44,145.20833333333334,150.20576923076925,151.2114,143.35625,2023-06-08 00:00:00+00:00
213,146.56,145.12583333333333,149.83384615384617,151.2064,143.3568,2023-06-09 00:00:00+00:00
214,145.41,145.04916666666668,149.44538461538463,151.16559999999998,143.35475,2023-06-12 00:00:00+00:00
215,145.06,145.02166666666668,149.02346153846153,151.09300000000002,143.35154999999997,2023-06-13 00:00:00+00:00
