,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,293.47,,,,,2022-08-04 00:00:00+00:00
1,292.82,,,,,2022-08-05 00:00:00+00:00
2,292.55,,,,,2022-08-08 00:00:00+00:00
3,289.75,,,,,2022-08-09 00:00:00+00:00
4,299.69,,,,,2022-08-10 00:00:00+00:00
5,302.26,,,,,2022-08-11 00:00:00+00:00
6,308.0,,,,,2022-08-12 00:00:00+00:00
7,306.42,,,,,2022-08-15 00:00:00+00:00
8,306.11,,,,,2022-08-16 00:00:00+00:00
9,299.19,,,,,2022-08-17 00:00:00+00:00
10,300.74,,,,,2022-08-18 00:00:00+00:00
11,295.76,298.8966666666667,,,,2022-08-19 00:00:00+00:00
12,285.06,298.1958333333333,,,,2022-08-22 00:00:00+00:00
13,285.56,297.59083333333336,,,,2022-08-23 00:00:00+00:00
14,285.4,296.995,,,,2022-08-24 00:00:00+00:00
15,292.38,297.21416666666664,,,,2022-08-25 00:00:00+00:00
16,276.2,295.25666666666666,,,,2022-08-26 00:00:00+00:00
17,273.32,292.84499999999997,,,,2022-08-29 00:00:00+00:00
18,269.61,289.6458333333333,,,,2022-08-30 00:00:00+00:00
19,265.0,286.19416666666666,,,,2022-08-31 00:00:00+00:00
20,267.65,282.9891666666667,,,,2022-09-01 00:00:00+00:00
21,264.87,280.12916666666666,,,,2022-09-02 00:00:00+00:00
22,266.53,277.27833333333336,,,,2022-09-06 00:00:00+00:00
23,273.01,275.3825,,,,2022-09-07 00:00:00+00:00
24,274.76,274.52416666666664,,,,2022-09-08 00:00:00+00:00
25,278.99,273.97666666666663,286.35,,,2022-09-09 00:00:00+00:00
26,282.55,273.7391666666667,285.92999999999995,,,2022-09-12 00:00:00+00:00
27,270.28,271.8975,285.06307692307695,,,2022-09-13 00:00:00+00:00
28,270.77,271.445,284.2253846153846,,,2022-09-14 00:00:00+00:00
29,267.54,270.9633333333333,283.37115384615385,,,2022-09-15 00:00:00+00:00
30,260.1,270.17083333333335,281.84846153846155,,,2022-09-16 00:00:00+00:00
31,265.16,270.18416666666667,280.4215384615385,,,2022-09-19 00:00:00+00:00
32,258.96,269.46,278.5353846153846,,,2022-09-20 00:00:00+00:00
33,258.63,268.94,276.6973076923077,,,2022-09-21 00:00:00+00:00
34,250.43,267.5983333333333,274.5557692307693,,,2022-09-22 00:00:00+00:00
35,244.62,265.2325,272.4569230769231,,,2022-09-23 00:00:00+00:00
36,239.98,262.33416666666665,270.12,,,2022-09-26 00:00:00+00:00
37,238.29,258.9425,267.9096153846154,,,2022-09-27 00:00:00+00:00
38,247.85,256.0508333333333,266.47846153846154,,,2022-09-28 00:00:00+00:00
39,245.56,253.99083333333337,264.94,,,2022-09-29 00:00:00+00:00
40,242.31,251.6191666666667,263.28269230769234,,,2022-09-30 00:00:00+00:00
41,252.26,250.34583333333333,261.7396153846154,,,2022-10-03 00:00:00+00:00
42,263.03,250.59,261.23307692307696,,,2022-10-04 00:00:00+00:00
43,263.19,250.42583333333334,260.8434615384615,,,2022-10-05 00:00:00+00:00
44,260.93,250.59,260.50961538461536,,,2022-10-06 00:00:00+00:00
45,254.19,250.22,260.09384615384613,,,2022-10-07 00:00:00+00:00
46,252.87,250.42333333333332,259.52538461538467,,,2022-10-10 00:00:00+00:00
47,255.0,251.28833333333333,259.14576923076925,,,2022-10-11 00:00:00+00:00
48,253.17,252.38750000000002,258.63192307692304,,,2022-10-12 00:00:00+00:00
49,259.16,254.12666666666667,258.09923076923076,272.03860000000003,,2022-10-13 00:00:00+00:00
50,254.24,254.6591666666667,257.31,271.254,,2022-10-14 00:00:00+00:00
51,261.98,256.0275,256.6557692307692,270.63719999999995,,2022-10-17 00:00:00+00:00
52,266.83,258.0708333333333,256.05115384615385,270.1228,,2022-10-18 00:00:00+00:00
53,265.58,259.18083333333334,255.87038461538458,269.63939999999997,,2022-10-19 00:00:00+00:00
54,259.91,258.9208333333333,255.45269230769233,268.8438,,2022-10-20 00:00:00+00:00
55,269.39,259.4375,255.52384615384614,268.1864,,2022-10-21 00:00:00+00:00
56,277.09,260.78416666666664,256.1773076923077,267.5682,,2022-10-24 00:00:00+00:00
57,281.86,263.09,256.81961538461536,267.077,,2022-10-25 00:00:00+00:00
58,278.9,265.25916666666666,257.58653846153845,266.5328,,2022-10-26 00:00:00+00:00
59,283.58,267.6408333333333,258.54615384615386,266.2206,,2022-10-27 00:00:00+00:00
60,291.65,270.8475,260.13153846153847,266.03880000000004,,2022-10-28 00:00:00+00:00
61,290.62,273.4691666666667,261.9007692307692,265.936,,2022-10-31 00:00:00+00:00
62,288.94,276.36083333333335,263.7838461538462,266.0136,,2022-11-01 00:00:00+00:00
63,283.55,278.1583333333333,265.5246153846154,265.9734,,2022-11-02 00:00:00+00:00
