,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,22.53,,,,,2022-08-04 00:00:00+00:00
1,22.55,,,,,2022-08-05 00:00:00+00:00
2,22.9,,,,,2022-08-08 00:00:00+00:00
3,22.54,,,,,2022-08-09 00:00:00+00:00
4,22.9,,,,,2022-08-10 00:00:00+00:00
5,22.86,,,,,2022-08-11 00:00:00+00:00
6,23.43,,,,,2022-08-12 00:00:00+00:00
7,23.38,,,,,2022-08-15 00:00:00+00:00
8,22.99,,,,,2022-08-16 00:00:00+00:00
9,22.49,,,,,2022-08-17 00:00:00+00:00
10,22.56,,,,,2022-08-18 00:00:00+00:00
11,21.77,22.741666666666664,,,,2022-08-19 00:00:00+00:00
12,21.24,22.63416666666667,,,,2022-08-22 00:00:00+00:00
13,20.57,22.469166666666666,,,,2022-08-23 00:00:00+00:00
14,21.04,22.314166666666665,,,,2022-08-24 00:00:00+00:00
15,24.01,22.436666666666667,,,,2022-08-25 00:00:00+00:00
16,23.08,22.451666666666668,,,,2022-08-26 00:00:00+00:00
17,22.91,22.45583333333333,,,,2022-08-29 00:00:00+00:00
18,21.96,22.333333333333332,,,,2022-08-30 00:00:00+00:00
19,23.04,22.304999999999996,,,,2022-08-31 00:00:00+00:00
20,22.74,22.284166666666668,,,,2022-09-01 00:00:00+00:00
21,22.07,22.249166666666667,,,,2022-09-02 00:00:00+00:00
22,22.1,22.21083333333333,,,,2022-09-06 00:00:00+00:00
23,23.47,22.352500000000003,,,,2022-09-07 00:00:00+00:00
24,24.0,22.5825,,,,2022-09-08 00:00:00+00:00
25,25.55,22.997500000000002,22.718461538461536,,,2022-09-09 00:00:00+00:00
26,25.7,23.385833333333334,22.840384615384615,,,2022-09-12 00:00:00+00:00
27,24.59,23.434166666666666,22.918846153846154,,,2022-09-13 00:00:00+00:00
28,24.76,23.574166666666667,22.990384615384617,,,2022-09-14 00:00:00+00:00
29,25.63,23.800833333333333,23.10923076923077,,,2022-09-15 00:00:00+00:00
30,24.92,24.0475,23.186923076923076,,,2022-09-16 00:00:00+00:00
31,25.42,24.245833333333334,23.28538461538462,,,2022-09-19 00:00:00+00:00
32,24.76,24.414166666666663,23.33653846153846,,,2022-09-20 00:00:00+00:00
33,23.91,24.5675,23.356923076923074,,,2022-09-21 00:00:00+00:00
34,23.21,24.66,23.365384615384617,,,2022-09-22 00:00:00+00:00
35,22.59,24.58666666666667,23.369230769230764,,,2022-09-23 00:00:00+00:00
36,22.81,24.4875,23.378846153846155,,,2022-09-26 00:00:00+00:00
37,22.64,24.245,23.412307692307692,,,2022-09-27 00:00:00+00:00
38,23.84,24.09,23.512307692307694,,,2022-09-28 00:00:00+00:00
39,23.19,23.973333333333333,23.61307692307692,,,2022-09-29 00:00:00+00:00
40,23.3,23.851666666666663,23.700000000000003,,,2022-09-30 00:00:00+00:00
41,23.7,23.69083333333333,23.688076923076924,,,2022-10-03 00:00:00+00:00
42,24.9,23.68916666666667,23.75807692307692,,,2022-10-04 00:00:00+00:00
43,24.63,23.623333333333335,23.824230769230766,,,2022-10-05 00:00:00+00:00
44,25.83,23.712500000000002,23.97307692307692,,,2022-10-06 00:00:00+00:00
45,25.12,23.813333333333333,24.053076923076922,,,2022-10-07 00:00:00+00:00
46,24.65,23.933333333333334,24.12653846153846,,,2022-10-10 00:00:00+00:00
47,22.99,23.966666666666665,24.161923076923078,,,2022-10-11 00:00:00+00:00
48,23.07,23.98833333333333,24.199230769230773,,,2022-10-12 00:00:00+00:00
49,22.2,23.951666666666664,24.150384615384613,23.3808,,2022-10-13 00:00:00+00:00
50,21.35,23.74416666666667,24.048461538461538,23.357200000000002,,2022-10-14 00:00:00+00:00
51,22.53,23.68916666666667,23.932307692307692,23.356800000000003,,2022-10-17 00:00:00+00:00
52,23.32,23.690833333333334,23.840769230769233,23.3652,,2022-10-18 00:00:00+00:00
53,23.04,23.635833333333334,23.781153846153845,23.3752,,2022-10-19 00:00:00+00:00
54,22.97,23.474999999999998,23.712307692307693,23.3766,,2022-10-20 00:00:00+00:00
55,21.5,23.214166666666667,23.553461538461537,23.3494,,2022-10-21 00:00:00+00:00
56,21.98,22.893333333333334,23.440384615384616,23.3204,,2022-10-24 00:00:00+00:00
57,22.59,22.6825,23.331538461538457,23.3046,,2022-10-25 00:00:00+00:00
58,22.04,22.465,23.226923076923075,23.2856,,2022-10-26 00:00:00+00:00
59,21.89,22.373333333333335,23.14923076923077,23.273600000000002,,2022-10-27 00:00:00+00:00
60,24.9,22.525833333333335,23.214230769230767,23.320400000000003,,2022-10-28 00:00:00+00:00
61,24.6,22.72583333333333,23.29153846153846,23.377,,2022-10-31 00:00:00+00:00
62,24.2,22.963333333333335,23.345000000000002,23.4362,,2022-11-01 00:00:00+00:00
63,23.48,23.0425,23.37730769230769,23.4944,,2022-11-02 00:00:00+00:00
