,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,130.75,,,,,2022-08-04 00:00:00+00:00
1,131.39,,,,,2022-08-05 00:00:00+00:00
2,131.22,,,,,2022-08-08 00:00:00+00:00
3,132.9,,,,,2022-08-09 00:00:00+00:00
4,134.41,,,,,2022-08-10 00:00:00+00:00
5,134.23,,,,,2022-08-11 00:00:00+00:00
6,137.24,,,,,2022-08-12 00:00:00+00:00
7,138.38,,,,,2022-08-15 00:00:00+00:00
8,137.11,,,,,2022-08-16 00:00:00+00:00
9,137.39,,,,,2022-08-17 00:00:00+00:00
10,136.63,,,,,2022-08-18 00:00:00+00:00
11,134.08,134.64416666666668,,,,2022-08-19 00:00:00+00:00
12,130.94,134.66,,,,2022-08-22 00:00:00+00:00
13,128.46,134.41583333333335,,,,2022-08-23 00:00:00+00:00
14,131.12,134.4075,,,,2022-08-24 00:00:00+00:00
15,132.78,134.3975,,,,2022-08-25 00:00:00+00:00
16,128.35,133.8925,,,,2022-08-26 00:00:00+00:00
17,127.29,133.31416666666667,,,,2022-08-29 00:00:00+00:00
18,125.65,132.34833333333333,,,,2022-08-30 00:00:00+00:00
19,124.51,131.1925,,,,2022-08-31 00:00:00+00:00
20,124.3,130.125,,,,2022-09-01 00:00:00+00:00
21,121.89,128.83333333333334,,,,2022-09-02 00:00:00+00:00
22,123.8,127.76416666666665,,,,2022-09-06 00:00:00+00:00
23,126.63,127.14333333333333,,,,2022-09-07 00:00:00+00:00
24,127.91,126.89083333333332,,,,2022-09-08 00:00:00+00:00
25,129.63,126.98833333333334,130.7303846153846,,,2022-09-09 00:00:00+00:00
26,130.2,126.91166666666668,130.70923076923077,,,2022-09-12 00:00:00+00:00
27,125.08,126.27,130.46653846153848,,,2022-09-13 00:00:00+00:00
28,121.08,125.66416666666665,130.07653846153846,,,2022-09-14 00:00:00+00:00
29,116.22,124.74166666666666,129.435,,,2022-09-15 00:00:00+00:00
30,113.67,123.74333333333334,128.63730769230767,,,2022-09-16 00:00:00+00:00
31,112.8,122.7675,127.81307692307692,,,2022-09-19 00:00:00+00:00
32,110.93,121.65333333333332,126.80115384615384,,,2022-09-20 00:00:00+00:00
33,108.55,120.54166666666667,125.65384615384616,,,2022-09-21 00:00:00+00:00
34,108.54,119.27,124.55499999999999,,,2022-09-22 00:00:00+00:00
35,108.6,117.7675,123.44769230769231,,,2022-09-23 00:00:00+00:00
36,104.16,115.78833333333334,122.19884615384616,,,2022-09-26 00:00:00+00:00
37,102.28,113.50916666666666,120.97576923076923,,,2022-09-27 00:00:00+00:00
38,103.93,111.32,119.93692307692308,,,2022-09-28 00:00:00+00:00
39,101.19,109.32916666666667,118.88807692307691,,,2022-09-29 00:00:00+00:00
40,101.6,107.70583333333333,117.75269230769231,,,2022-09-30 00:00:00+00:00
