,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,11.32,,,,,2022-08-04 00:00:00+00:00
1,11.45,,,,,2022-08-05 00:00:00+00:00
2,9.82,,,,,2022-08-08 00:00:00+00:00
3,9.25,,,,,2022-08-09 00:00:00+00:00
4,9.59,,,,,2022-08-10 00:00:00+00:00
5,9.42,,,,,2022-08-11 00:00:00+00:00
6,9.91,,,,,2022-08-12 00:00:00+00:00
7,9.91,,,,,2022-08-15 00:00:00+00:00
8,9.74,,,,,2022-08-16 00:00:00+00:00
9,9.43,,,,,2022-08-17 00:00:00+00:00
10,9.15,,,,,2022-08-18 00:00:00+00:00
11,8.51,9.791666666666666,,,,2022-08-19 00:00:00+00:00
12,8.07,9.520833333333334,,,,2022-08-22 00:00:00+00:00
13,8.01,9.234166666666667,,,,2022-08-23 00:00:00+00:00
14,8.1,9.090833333333334,,,,2022-08-24 00:00:00+00:00
15,8.42,9.021666666666667,,,,2022-08-25 00:00:00+00:00
16,7.94,8.884166666666667,,,,2022-08-26 00:00:00+00:00
17,7.81,8.75,,,,2022-08-29 00:00:00+00:00
18,7.79,8.573333333333332,,,,2022-08-30 00:00:00+00:00
19,7.72,8.390833333333333,,,,2022-08-31 00:00:00+00:00
20,7.49,8.203333333333333,,,,2022-09-01 00:00:00+00:00
21,7.4,8.034166666666666,,,,2022-09-02 00:00:00+00:00
22,7.28,7.878333333333334,,,,2022-09-06 00:00:00+00:00
23,7.39,7.785,,,,2022-09-07 00:00:00+00:00
24,7.53,7.739999999999999,,,,2022-09-08 00:00:00+00:00
25,7.79,7.721666666666667,8.701538461538462,,,2022-09-09 00:00:00+00:00
26,8.01,7.714166666666667,8.57423076923077,,,2022-09-12 00:00:00+00:00
27,7.48,7.635833333333334,8.42153846153846,,,2022-09-13 00:00:00+00:00
28,7.63,7.609999999999999,8.337307692307693,,,2022-09-14 00:00:00+00:00
29,8.01,7.626666666666668,8.289615384615384,,,2022-09-15 00:00:00+00:00
30,7.78,7.6258333333333335,8.22,,,2022-09-16 00:00:00+00:00
31,7.86,7.6375,8.16,,,2022-09-19 00:00:00+00:00
32,7.62,7.648333333333333,8.071923076923078,,,2022-09-20 00:00:00+00:00
33,7.69,7.6725,7.986538461538462,,,2022-09-21 00:00:00+00:00
34,7.37,7.68,7.895384615384615,,,2022-09-22 00:00:00+00:00
35,7.4,7.680833333333333,7.8173076923076925,,,2022-09-23 00:00:00+00:00
36,7.53,7.680833333333333,7.755,,,2022-09-26 00:00:00+00:00
37,7.63,7.6675,7.721153846153846,,,2022-09-27 00:00:00+00:00
38,7.94,7.661666666666666,7.716153846153846,,,2022-09-28 00:00:00+00:00
39,8.08,7.711666666666666,7.718846153846154,,,2022-09-29 00:00:00+00:00
40,8.13,7.753333333333334,7.72,,,2022-09-30 00:00:00+00:00
41,8.24,7.7725,7.713076923076924,,,2022-10-03 00:00:00+00:00
42,8.46,7.829166666666667,7.733076923076923,,,2022-10-04 00:00:00+00:00
43,8.42,7.8758333333333335,7.7565384615384625,,,2022-10-05 00:00:00+00:00
44,8.47,7.946666666666668,7.782692307692309,,,2022-10-06 00:00:00+00:00
45,8.15,7.984999999999999,7.799230769230769,,,2022-10-07 00:00:00+00:00
46,8.06,8.0425,7.821153846153847,,,2022-10-10 00:00:00+00:00
47,8.04,8.095833333333333,7.845769230769231,,,2022-10-11 00:00:00+00:00
48,8.07,8.140833333333333,7.876153846153846,,,2022-10-12 00:00:00+00:00
49,8.08,8.178333333333333,7.902692307692309,8.3278,,2022-10-13 00:00:00+00:00
50,7.53,8.144166666666667,7.902692307692309,8.252,,2022-10-14 00:00:00+00:00
51,7.94,8.1325,7.908461538461538,8.1818,,2022-10-17 00:00:00+00:00
52,8.16,8.135,7.91423076923077,8.1486,,2022-10-18 00:00:00+00:00
53,7.91,8.1075,7.930769230769231,8.1218,,2022-10-19 00:00:00+00:00
54,8.04,8.0725,7.946538461538461,8.0908,,2022-10-20 00:00:00+00:00
55,8.29,8.061666666666666,7.957307692307692,8.0682,,2022-10-21 00:00:00+00:00
56,8.27,8.045,7.976153846153846,8.035400000000001,,2022-10-24 00:00:00+00:00
57,8.66,8.0875,8.006923076923076,8.010399999999999,,2022-10-25 00:00:00+00:00
58,8.57,8.13,8.043461538461539,7.986999999999999,,2022-10-26 00:00:00+00:00
59,8.6,8.176666666666666,8.07846153846154,7.970400000000001,,2022-10-27 00:00:00+00:00
60,8.64,8.224166666666667,8.127307692307692,7.9601999999999995,,2022-10-28 00:00:00+00:00
61,8.79,8.283333333333333,8.180769230769231,7.965800000000001,,2022-10-31 00:00:00+00:00
62,8.65,8.376666666666667,8.223846153846154,7.9774,,2022-11-01 00:00:00+00:00
63,8.22,8.4,8.246538461538462,7.981600000000001,,2022-11-02 00:00:00+00:00
64,8.08,8.393333333333333,8.251923076923077,7.9812,,2022-11-03 00:00:00+00:00
65,7.93,8.395,8.246153846153847,7.9714,,2022-11-04 00:00:00+00:00
66,7.02,8.31,8.203461538461537,7.952999999999999,,2022-11-07 00:00:00+00:00
67,7.21,8.22,8.163846153846153,7.940999999999999,,2022-11-08 00:00:00+00:00
68,6.98,8.1125,8.106923076923078,7.9248,,2022-11-09 00:00:00+00:00
69,7.64,8.0275,8.076923076923077,7.9232,,2022-11-10 00:00:00+00:00
70,8.41,8.014166666666666,8.074615384615385,7.941599999999999,,2022-11-11 00:00:00+00:00
71,8.1,7.9725,8.072692307692307,7.9556000000000004,,2022-11-14 00:00:00+00:00
72,8.34,7.947500000000001,8.083461538461538,7.976800000000001,,2022-11-15 00:00:00+00:00
73,8.06,7.886666666666667,8.08423076923077,7.9902,,2022-11-16 00:00:00+00:00
74,7.62,7.800833333333334,8.066923076923077,7.992000000000001,,2022-11-17 00:00:00+00:00
75,7.39,7.7316666666666665,8.040384615384614,7.984,,2022-11-18 00:00:00+00:00
