,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,330.57,,,,,2022-08-04 00:00:00+00:00
1,331.2,,,,,2022-08-05 00:00:00+00:00
2,335.71,,,,,2022-08-08 00:00:00+00:00
3,342.93,,,,,2022-08-09 00:00:00+00:00
4,345.99,,,,,2022-08-10 00:00:00+00:00
5,346.44,,,,,2022-08-11 00:00:00+00:00
6,351.7,,,,,2022-08-12 00:00:00+00:00
7,355.34,,,,,2022-08-15 00:00:00+00:00
8,353.22,,,,,2022-08-16 00:00:00+00:00
9,355.27,,,,,2022-08-17 00:00:00+00:00
10,352.85,,,,,2022-08-18 00:00:00+00:00
11,351.23,346.03749999999997,,,,2022-08-19 00:00:00+00:00
12,346.35,347.35249999999996,,,,2022-08-22 00:00:00+00:00
13,341.09,348.1766666666667,,,,2022-08-23 00:00:00+00:00
14,343.01,348.785,,,,2022-08-24 00:00:00+00:00
15,350.25,349.395,,,,2022-08-25 00:00:00+00:00
16,344.52,349.2725,,,,2022-08-26 00:00:00+00:00
17,340.67,348.7916666666667,,,,2022-08-29 00:00:00+00:00
18,332.5,347.19166666666666,,,,2022-08-30 00:00:00+00:00
19,330.83,345.14916666666664,,,,2022-08-31 00:00:00+00:00
20,337.78,343.8625,,,,2022-09-01 00:00:00+00:00
21,332.99,342.0058333333333,,,,2022-09-02 00:00:00+00:00
22,339.38,340.8833333333334,,,,2022-09-06 00:00:00+00:00
23,342.29,340.1383333333334,,,,2022-09-07 00:00:00+00:00
24,339.39,339.55833333333334,,,,2022-09-08 00:00:00+00:00
25,339.16,339.3975,342.7946153846154,,,2022-09-09 00:00:00+00:00
26,339.51,339.10583333333335,343.13846153846157,,,2022-09-12 00:00:00+00:00
27,327.79,337.2341666666667,343.0073076923076,,,2022-09-13 00:00:00+00:00
28,324.68,335.5808333333333,342.58307692307693,,,2022-09-14 00:00:00+00:00
29,313.66,333.33,341.45730769230767,,,2022-09-15 00:00:00+00:00
30,313.15,331.7175,340.1942307692308,,,2022-09-16 00:00:00+00:00
31,312.5,330.19,338.8888461538462,,,2022-09-19 00:00:00+00:00
32,306.28,327.565,337.14192307692304,,,2022-09-20 00:00:00+00:00
33,301.73,324.96,335.08,,,2022-09-21 00:00:00+00:00
34,298.91,321.58750000000003,332.99115384615385,,,2022-09-22 00:00:00+00:00
35,295.07,317.6525,330.6757692307692,,,2022-09-23 00:00:00+00:00
36,290.82,313.605,328.29,,,2022-09-26 00:00:00+00:00
37,287.49,309.2991666666667,325.8384615384615,,,2022-09-27 00:00:00+00:00
38,292.57,305.3875,323.77000000000004,,,2022-09-28 00:00:00+00:00
39,287.49,302.02916666666664,321.70846153846156,,,2022-09-29 00:00:00+00:00
40,292.81,299.37333333333333,319.77769230769235,,,2022-09-30 00:00:00+00:00
41,293.95,297.73083333333335,317.6123076923077,,,2022-10-03 00:00:00+00:00
42,297.0,296.38500000000005,315.7846153846154,,,2022-10-04 00:00:00+00:00
43,293.92,294.83666666666664,313.98653846153843,,,2022-10-05 00:00:00+00:00
44,287.96,293.31,312.2734615384615,,,2022-10-06 00:00:00+00:00
45,283.67,291.805,310.4596153846154,,,2022-10-07 00:00:00+00:00
46,287.6,290.8625,308.5296153846154,,,2022-10-10 00:00:00+00:00
47,289.91,290.4325,306.8726923076923,,,2022-10-11 00:00:00+00:00
48,286.91,290.1066666666666,304.8546153846154,,,2022-10-12 00:00:00+00:00
49,289.24,290.2525,302.8142307692308,322.1456,,2022-10-13 00:00:00+00:00
50,281.79,289.3541666666667,300.5988461538461,321.17,,2022-10-14 00:00:00+00:00
51,291.74,289.7083333333333,298.77500000000003,320.38079999999997,,2022-10-17 00:00:00+00:00
52,297.2,290.0741666666667,297.1476923076923,319.61060000000003,,2022-10-18 00:00:00+00:00
53,290.9,289.82,295.7288461538461,318.57,,2022-10-19 00:00:00+00:00
54,293.09,289.4941666666667,294.51384615384615,317.512,,2022-10-20 00:00:00+00:00
55,292.68,289.3908333333334,293.7069230769231,316.4368,,2022-10-21 00:00:00+00:00
56,291.34,289.6725,292.86807692307696,315.2296,,2022-10-24 00:00:00+00:00
57,300.11,291.0425,292.39153846153846,314.125,,2022-10-25 00:00:00+00:00
58,298.08,291.9158333333333,292.0761538461539,313.0222,,2022-10-26 00:00:00+00:00
59,297.84,292.57666666666665,291.9265384615385,311.87359999999995,,2022-10-27 00:00:00+00:00
60,311.54,294.62916666666666,292.4123076923077,311.04740000000004,,2022-10-28 00:00:00+00:00
61,309.75,296.3383333333333,292.9769230769231,310.2178,,2022-10-31 00:00:00+00:00
62,307.64,298.4925,293.6238461538461,309.4436,,2022-11-01 00:00:00+00:00
63,283.02,297.7658333333333,293.4519230769231,308.2822,,2022-11-02 00:00:00+00:00
