,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,212.86,,,,,2022-08-04 00:00:00+00:00
1,217.15,,,,,2022-08-05 00:00:00+00:00
2,217.14,,,,,2022-08-08 00:00:00+00:00
3,218.19,,,,,2022-08-09 00:00:00+00:00
4,217.8,,,,,2022-08-10 00:00:00+00:00
5,228.48,,,,,2022-08-11 00:00:00+00:00
6,232.95,,,,,2022-08-12 00:00:00+00:00
7,229.94,,,,,2022-08-15 00:00:00+00:00
8,229.12,,,,,2022-08-16 00:00:00+00:00
9,232.5,,,,,2022-08-17 00:00:00+00:00
10,241.81,,,,,2022-08-18 00:00:00+00:00
11,242.0,226.66166666666666,,,,2022-08-19 00:00:00+00:00
12,243.45,229.2108333333333,,,,2022-08-22 00:00:00+00:00
13,251.77,232.0958333333333,,,,2022-08-23 00:00:00+00:00
14,256.82,235.4025,,,,2022-08-24 00:00:00+00:00
15,259.89,238.87749999999997,,,,2022-08-25 00:00:00+00:00
16,257.38,242.17583333333334,,,,2022-08-26 00:00:00+00:00
17,262.5,245.01083333333335,,,,2022-08-29 00:00:00+00:00
18,254.71,246.82416666666666,,,,2022-08-30 00:00:00+00:00
19,253.22,248.76416666666663,,,,2022-08-31 00:00:00+00:00
20,247.8,250.32083333333333,,,,2022-09-01 00:00:00+00:00
21,241.76,251.09249999999997,,,,2022-09-02 00:00:00+00:00
22,238.99,250.8575,,,,2022-09-06 00:00:00+00:00
23,234.54,250.23583333333332,,,,2022-09-07 00:00:00+00:00
24,234.02,249.45000000000002,,,,2022-09-08 00:00:00+00:00
25,239.62,248.4375,238.32346153846154,,,2022-09-09 00:00:00+00:00
26,248.68,247.7591666666667,239.70115384615386,,,2022-09-12 00:00:00+00:00
27,242.0,246.26833333333335,240.65692307692308,,,2022-09-13 00:00:00+00:00
28,251.7,245.795,241.98615384615385,,,2022-09-14 00:00:00+00:00
29,244.28,244.27666666666667,242.98961538461538,,,2022-09-15 00:00:00+00:00
30,239.5,243.0091666666667,243.82423076923075,,,2022-09-16 00:00:00+00:00
31,234.85,241.47833333333335,244.06923076923078,,,2022-09-19 00:00:00+00:00
32,231.74,240.14,244.02269230769232,,,2022-09-20 00:00:00+00:00
33,228.0,238.99333333333334,243.9480769230769,,,2022-09-21 00:00:00+00:00
34,226.65,237.965,243.85307692307694,,,2022-09-22 00:00:00+00:00
35,208.99,235.83583333333334,242.94884615384615,,,2022-09-23 00:00:00+00:00
36,205.41,233.45166666666668,241.54884615384617,,,2022-09-26 00:00:00+00:00
37,206.78,230.71500000000003,240.19423076923078,,,2022-09-27 00:00:00+00:00
38,215.14,227.92,239.1053846153846,,,2022-09-28 00:00:00+00:00
39,216.5,225.795,237.74884615384616,,,2022-09-29 00:00:00+00:00
40,216.53,222.86416666666665,236.19923076923075,,,2022-09-30 00:00:00+00:00
41,231.44,221.79416666666665,235.10500000000002,,,2022-10-03 00:00:00+00:00
42,243.41,222.12,234.5676923076923,,,2022-10-04 00:00:00+00:00
43,251.18,223.48083333333332,234.13230769230768,,,2022-10-05 00:00:00+00:00
44,256.7,225.56083333333333,234.20884615384617,,,2022-10-06 00:00:00+00:00
45,256.88,227.9675,234.3496153846154,,,2022-10-07 00:00:00+00:00
46,249.6,229.88,234.41884615384618,,,2022-10-10 00:00:00+00:00
47,246.13,232.975,234.58692307692309,,,2022-10-11 00:00:00+00:00
48,246.89,236.43166666666664,234.89076923076925,,,2022-10-12 00:00:00+00:00
49,253.45,240.32083333333333,235.6180769230769,236.9768,,2022-10-13 00:00:00+00:00
50,239.89,242.38333333333333,235.84384615384613,237.51739999999998,,2022-10-14 00:00:00+00:00
51,244.05,244.67916666666665,236.01423076923078,238.05540000000002,,2022-10-17 00:00:00+00:00
52,244.54,247.01333333333332,235.855,238.6034,,2022-10-18 00:00:00+00:00
53,250.55,248.60583333333332,236.18384615384613,239.25060000000002,,2022-10-19 00:00:00+00:00
54,254.02,249.48999999999998,236.27307692307693,239.975,,2022-10-20 00:00:00+00:00
55,264.35,250.5875,237.04500000000002,240.6924,,2022-10-21 00:00:00+00:00
56,268.62,251.58083333333335,238.165,241.40580000000003,,2022-10-24 00:00:00+00:00
57,264.83,252.24333333333334,239.31807692307692,242.1036,,2022-10-25 00:00:00+00:00
58,265.49,253.5675,240.61615384615385,242.83100000000002,,2022-10-26 00:00:00+00:00
59,265.84,255.21,242.0715384615385,243.4978,,2022-10-27 00:00:00+00:00
60,257.31,256.0783333333333,243.2507692307692,243.8078,,2022-10-28 00:00:00+00:00
61,256.41,256.325,245.07461538461536,244.09599999999998,,2022-10-31 00:00:00+00:00
62,252.93,257.4116666666667,246.9023076923077,244.28560000000002,,2022-11-01 00:00:00+00:00
63,252.92,258.15083333333337,248.6769230769231,244.3086,,2022-11-02 00:00:00+00:00
64,255.64,259.0758333333334,250.23461538461535,244.285,,2022-11-03 00:00:00+00:00
65,255.06,259.45166666666665,251.7176923076923,244.1884,,2022-11-04 00:00:00+00:00
66,257.91,259.77583333333337,253.30923076923077,244.199,,2022-11-07 00:00:00+00:00
67,259.25,259.35083333333336,254.37884615384613,244.13400000000001,,2022-11-08 00:00:00+00:00
