,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,151.01,,,,,2022-08-04 00:00:00+00:00
1,150.21,,,,,2022-08-05 00:00:00+00:00
2,147.81,,,,,2022-08-08 00:00:00+00:00
3,142.51,,,,,2022-08-09 00:00:00+00:00
4,146.99,,,,,2022-08-10 00:00:00+00:00
5,147.83,,,,,2022-08-11 00:00:00+00:00
6,151.29,,,,,2022-08-12 00:00:00+00:00
7,152.13,,,,,2022-08-15 00:00:00+00:00
8,150.03,,,,,2022-08-16 00:00:00+00:00
9,148.53,,,,,2022-08-17 00:00:00+00:00
10,151.38,,,,,2022-08-18 00:00:00+00:00
11,147.6,148.94333333333333,,,,2022-08-19 00:00:00+00:00
12,141.61,148.16,,,,2022-08-22 00:00:00+00:00
13,140.72,147.36916666666667,,,,2022-08-23 00:00:00+00:00
14,141.31,146.82750000000001,,,,2022-08-24 00:00:00+00:00
15,146.25,147.13916666666668,,,,2022-08-25 00:00:00+00:00
16,138.38,146.42166666666665,,,,2022-08-26 00:00:00+00:00
17,137.08,145.52583333333334,,,,2022-08-29 00:00:00+00:00
18,134.41,144.11916666666664,,,,2022-08-30 00:00:00+00:00
19,132.27,142.46416666666667,,,,2022-08-31 00:00:00+00:00
20,129.92,140.78833333333333,,,,2022-09-01 00:00:00+00:00
21,128.48,139.1175,,,,2022-09-02 00:00:00+00:00
22,126.67,137.05833333333334,,,,2022-09-06 00:00:00+00:00
23,128.6,135.475,,,,2022-09-07 00:00:00+00:00
24,128.85,134.41166666666666,,,,2022-09-08 00:00:00+00:00
25,132.05,133.68916666666667,141.30461538461537,,,2022-09-09 00:00:00+00:00
26,133.0,132.99666666666667,140.61192307692306,,,2022-09-12 00:00:00+00:00
27,124.93,131.22,139.63961538461538,,,2022-09-13 00:00:00+00:00
28,127.53,130.31583333333333,138.85961538461538,,,2022-09-14 00:00:00+00:00
29,124.98,129.30749999999998,138.18538461538463,,,2022-09-15 00:00:00+00:00
30,124.95,128.51916666666668,137.3376923076923,,,2022-09-16 00:00:00+00:00
31,126.65,128.05083333333334,136.52307692307693,,,2022-09-19 00:00:00+00:00
32,124.77,127.62166666666667,135.50307692307692,,,2022-09-20 00:00:00+00:00
33,124.62,127.3,134.445,,,2022-09-21 00:00:00+00:00
34,123.68,127.05083333333333,133.43153846153848,,,2022-09-22 00:00:00+00:00
35,121.19,126.43333333333334,132.38,,,2022-09-23 00:00:00+00:00
36,119.74,125.67416666666668,131.16307692307694,,,2022-09-26 00:00:00+00:00
37,120.34,124.69833333333332,130.11461538461538,,,2022-09-27 00:00:00+00:00
38,118.93,123.52583333333332,129.2423076923077,,,2022-09-28 00:00:00+00:00
39,114.84,122.685,128.24692307692308,,,2022-09-29 00:00:00+00:00
40,112.98,121.47250000000001,127.1573076923077,,,2022-09-30 00:00:00+00:00
41,117.22,120.82583333333334,126.04076923076923,,,2022-10-03 00:00:00+00:00
42,122.37,120.61083333333335,125.42499999999998,,,2022-10-04 00:00:00+00:00
