,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,12.31,,,,,2022-08-04 00:00:00+00:00
1,12.28,,,,,2022-08-05 00:00:00+00:00
2,12.48,,,,,2022-08-08 00:00:00+00:00
3,11.72,,,,,2022-08-09 00:00:00+00:00
4,12.67,,,,,2022-08-10 00:00:00+00:00
5,12.62,,,,,2022-08-11 00:00:00+00:00
6,13.63,,,,,2022-08-12 00:00:00+00:00
7,13.18,,,,,2022-08-15 00:00:00+00:00
8,12.71,,,,,2022-08-16 00:00:00+00:00
9,11.98,,,,,2022-08-17 00:00:00+00:00
10,11.92,,,,,2022-08-18 00:00:00+00:00
11,11.36,12.405000000000001,,,,2022-08-19 00:00:00+00:00
12,10.68,12.269166666666665,,,,2022-08-22 00:00:00+00:00
13,10.53,12.123333333333333,,,,2022-08-23 00:00:00+00:00
14,11.25,12.020833333333334,,,,2022-08-24 00:00:00+00:00
15,11.6,12.010833333333332,,,,2022-08-25 00:00:00+00:00
16,10.98,11.87,,,,2022-08-26 00:00:00+00:00
17,10.84,11.721666666666666,,,,2022-08-29 00:00:00+00:00
18,10.72,11.479166666666666,,,,2022-08-30 00:00:00+00:00
19,11.03,11.299999999999999,,,,2022-08-31 00:00:00+00:00
20,10.51,11.116666666666665,,,,2022-09-01 00:00:00+00:00
21,10.01,10.9525,,,,2022-09-02 00:00:00+00:00
22,9.72,10.769166666666665,,,,2022-09-06 00:00:00+00:00
23,10.46,10.694166666666668,,,,2022-09-07 00:00:00+00:00
24,10.44,10.674166666666666,,,,2022-09-08 00:00:00+00:00
25,10.91,10.705833333333333,11.482307692307693,,,2022-09-09 00:00:00+00:00
26,11.52,10.728333333333332,11.451923076923077,,,2022-09-12 00:00:00+00:00
27,11.11,10.6875,11.406923076923078,,,2022-09-13 00:00:00+00:00
28,11.46,10.7275,11.367692307692307,,,2022-09-14 00:00:00+00:00
29,11.89,10.815,11.374230769230767,,,2022-09-15 00:00:00+00:00
30,11.31,10.864166666666668,11.321923076923078,,,2022-09-16 00:00:00+00:00
31,11.21,10.879166666666668,11.26769230769231,,,2022-09-19 00:00:00+00:00
32,10.18,10.851666666666667,11.135000000000002,,,2022-09-20 00:00:00+00:00
33,9.83,10.836666666666666,11.006153846153847,,,2022-09-21 00:00:00+00:00
34,9.12,10.786666666666667,10.868076923076924,,,2022-09-22 00:00:00+00:00
35,9.05,10.669166666666667,10.755384615384617,,,2022-09-23 00:00:00+00:00
36,9.01,10.55,10.643461538461539,,,2022-09-26 00:00:00+00:00
37,9.11,10.4,10.556923076923075,,,2022-09-27 00:00:00+00:00
38,9.23,10.209166666666667,10.501153846153844,,,2022-09-28 00:00:00+00:00
39,8.36,9.98,10.417692307692308,,,2022-09-29 00:00:00+00:00
40,8.41,9.725833333333334,10.308461538461538,,,2022-09-30 00:00:00+00:00
41,9.09,9.492500000000001,10.211923076923076,,,2022-10-03 00:00:00+00:00
42,9.63,9.352500000000001,10.159999999999998,,,2022-10-04 00:00:00+00:00
43,9.25,9.189166666666667,10.098846153846154,,,2022-10-05 00:00:00+00:00
44,9.15,9.103333333333333,10.038461538461538,,,2022-10-06 00:00:00+00:00
45,8.43,8.986666666666666,9.938461538461537,,,2022-10-07 00:00:00+00:00
46,8.0,8.893333333333333,9.841923076923077,,,2022-10-10 00:00:00+00:00
47,8.07,8.811666666666667,9.767307692307693,,,2022-10-11 00:00:00+00:00
