,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,47.96,,,,,2022-08-04 00:00:00+00:00
1,49.24,,,,,2022-08-05 00:00:00+00:00
2,48.9,,,,,2022-08-08 00:00:00+00:00
3,47.35,,,,,2022-08-09 00:00:00+00:00
4,48.01,,,,,2022-08-10 00:00:00+00:00
5,49.56,,,,,2022-08-11 00:00:00+00:00
6,51.15,,,,,2022-08-12 00:00:00+00:00
7,48.96,,,,,2022-08-15 00:00:00+00:00
8,47.76,,,,,2022-08-16 00:00:00+00:00
9,46.1,,,,,2022-08-17 00:00:00+00:00
10,45.09,,,,,2022-08-18 00:00:00+00:00
11,42.68,47.73,,,,2022-08-19 00:00:00+00:00
12,41.5,47.19166666666666,,,,2022-08-22 00:00:00+00:00
13,41.07,46.51083333333333,,,,2022-08-23 00:00:00+00:00
14,41.18,45.8675,,,,2022-08-24 00:00:00+00:00
15,41.47,45.3775,,,,2022-08-25 00:00:00+00:00
16,39.56,44.67333333333334,,,,2022-08-26 00:00:00+00:00
17,39.22,43.81166666666667,,,,2022-08-29 00:00:00+00:00
18,39.03,42.80166666666667,,,,2022-08-30 00:00:00+00:00
19,39.11,41.98083333333333,,,,2022-08-31 00:00:00+00:00
20,38.51,41.21,,,,2022-09-01 00:00:00+00:00
21,37.94,40.53,,,,2022-09-02 00:00:00+00:00
22,37.91,39.931666666666665,,,,2022-09-06 00:00:00+00:00
23,39.94,39.70333333333333,,,,2022-09-07 00:00:00+00:00
24,41.86,39.733333333333334,,,,2022-09-08 00:00:00+00:00
25,45.53,40.105,43.714999999999996,,,2022-09-09 00:00:00+00:00
26,46.57,40.55416666666667,43.66153846153846,,,2022-09-12 00:00:00+00:00
27,43.87,40.75416666666666,43.455,,,2022-09-13 00:00:00+00:00
28,45.07,41.21333333333333,43.30769230769231,,,2022-09-14 00:00:00+00:00
29,43.5,41.57,43.15961538461538,,,2022-09-15 00:00:00+00:00
30,39.5,41.60916666666666,42.83230769230769,,,2022-09-16 00:00:00+00:00
31,37.11,41.442499999999995,42.35346153846154,,,2022-09-19 00:00:00+00:00
32,36.41,41.2675,41.786538461538456,,,2022-09-20 00:00:00+00:00
33,35.81,41.089999999999996,41.28076923076923,,,2022-09-21 00:00:00+00:00
34,35.26,40.869166666666665,40.8,,,2022-09-22 00:00:00+00:00
35,35.54,40.5025,40.393846153846155,,,2022-09-23 00:00:00+00:00
36,35.55,39.97666666666667,40.026923076923076,,,2022-09-26 00:00:00+00:00
37,36.59,39.23166666666667,39.792692307692306,,,2022-09-27 00:00:00+00:00
38,38.04,38.520833333333336,39.659615384615385,,,2022-09-28 00:00:00+00:00
39,35.38,37.81333333333333,39.440769230769234,,,2022-09-29 00:00:00+00:00
40,35.84,37.04416666666666,39.23538461538462,,,2022-09-30 00:00:00+00:00
41,36.41,36.453333333333326,39.04076923076923,,,2022-10-03 00:00:00+00:00
42,38.68,36.385,39.00692307692308,,,2022-10-04 00:00:00+00:00
43,38.0,36.45916666666667,38.96,,,2022-10-05 00:00:00+00:00
44,39.15,36.6875,38.964615384615385,,,2022-10-06 00:00:00+00:00
45,34.82,36.605,38.799615384615386,,,2022-10-07 00:00:00+00:00
46,35.4,36.61666666666667,38.68,,,2022-10-10 00:00:00+00:00
47,34.56,36.535000000000004,38.55,,,2022-10-11 00:00:00+00:00
48,37.19,36.67166666666667,38.52230769230769,,,2022-10-12 00:00:00+00:00
49,37.92,36.7825,38.44461538461538,40.9752,,2022-10-13 00:00:00+00:00
50,35.56,36.575833333333335,38.20230769230769,40.727199999999996,,2022-10-14 00:00:00+00:00
51,42.61,37.178333333333335,38.089999999999996,40.5946,,2022-10-17 00:00:00+00:00
52,43.38,37.806666666666665,37.96730769230769,40.4842,,2022-10-18 00:00:00+00:00
53,41.44,38.225833333333334,37.87384615384615,40.366,,2022-10-19 00:00:00+00:00
54,42.57,38.550000000000004,37.777692307692305,40.2572,,2022-10-20 00:00:00+00:00
55,42.81,38.950833333333335,37.75115384615385,40.1222,,2022-10-21 00:00:00+00:00
56,41.85,39.17583333333334,37.84153846153846,39.9362,,2022-10-24 00:00:00+00:00
57,45.71,40.083333333333336,38.17230769230769,39.8712,,2022-10-25 00:00:00+00:00
58,45.5,40.925000000000004,38.52192307692307,39.826,,2022-10-26 00:00:00+00:00
59,46.5,41.92,38.933076923076925,39.834,,2022-10-27 00:00:00+00:00
60,45.78,42.63583333333333,39.33769230769231,39.8478,,2022-10-28 00:00:00+00:00
61,44.74,43.20416666666667,39.691538461538464,39.889,,2022-10-31 00:00:00+00:00
62,44.31,43.93333333333334,40.02846153846154,39.9452,,2022-11-01 00:00:00+00:00
63,42.87,43.955000000000005,40.269999999999996,39.9812,,2022-11-02 00:00:00+00:00
64,43.3,43.94833333333333,40.472307692307695,40.0236,,2022-11-03 00:00:00+00:00
65,40.58,43.876666666666665,40.67230769230769,40.0058,,2022-11-04 00:00:00+00:00
66,39.82,43.6475,40.825384615384614,40.010999999999996,,2022-11-07 00:00:00+00:00
67,39.14,43.34166666666667,40.93038461538461,40.0094,,2022-11-08 00:00:00+00:00
68,30.92,42.43083333333333,40.63192307692308,39.8472,,2022-11-09 00:00:00+00:00
69,33.73,41.4325,40.4676923076923,39.7396,,2022-11-10 00:00:00+00:00
70,36.74,40.7025,40.375,39.70419999999999,,2022-11-11 00:00:00+00:00
71,35.6,39.79416666666666,40.405,39.6574,,2022-11-14 00:00:00+00:00
72,36.73,39.04,40.45615384615384,39.6338,,2022-11-15 00:00:00+00:00
73,34.41,38.17916666666667,40.450384615384614,39.523199999999996,,2022-11-16 00:00:00+00:00
74,32.53,37.1975,40.271153846153844,39.336600000000004,,2022-11-17 00:00:00+00:00
75,31.72,36.26833333333334,40.0326923076923,39.0604,,2022-11-18 00:00:00+00:00
76,30.77,35.22416666666667,39.848461538461535,38.7444,,2022-11-21 00:00:00+00:00
77,30.84,34.4125,39.39576923076923,38.4838,,2022-11-22 00:00:00+00:00
78,32.0,33.76083333333333,38.95807692307692,38.2224,,2022-11-23 00:00:00+00:00
79,31.76,33.145833333333336,38.58576923076923,37.9876,,2022-11-25 00:00:00+00:00
80,30.88,33.142500000000005,38.136153846153846,37.8152,,2022-11-28 00:00:00+00:00
81,29.83,32.8175,37.636923076923075,37.6696,,2022-11-29 00:00:00+00:00
82,31.77,32.40333333333333,37.24923076923077,37.576800000000006,,2022-11-30 00:00:00+00:00
83,33.39,32.219166666666666,36.77538461538462,37.5284,,2022-12-01 00:00:00+00:00
84,33.99,31.99083333333333,36.33269230769231,37.503,,2022-12-02 00:00:00+00:00
85,31.24,31.726666666666663,35.745769230769234,37.417,,2022-12-05 00:00:00+00:00
86,30.65,31.570000000000004,35.16384615384615,37.319,,2022-12-06 00:00:00+00:00
87,30.77,31.49083333333333,34.62653846153846,37.202600000000004,,2022-12-07 00:00:00+00:00
88,31.93,31.587500000000002,34.15038461538462,37.0804,,2022-12-08 00:00:00+00:00
89,31.65,31.655,33.71884615384616,37.0058,,2022-12-09 00:00:00+00:00
90,33.32,31.765,33.335,36.9554,,2022-12-12 00:00:00+00:00
