,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,614.96,,,,,2022-08-04 00:00:00+00:00
1,613.61,,,,,2022-08-05 00:00:00+00:00
2,630.63,,,,,2022-08-08 00:00:00+00:00
3,622.15,,,,,2022-08-09 00:00:00+00:00
4,641.49,,,,,2022-08-10 00:00:00+00:00
5,623.9,,,,,2022-08-11 00:00:00+00:00
6,628.71,,,,,2022-08-12 00:00:00+00:00
7,643.29,,,,,2022-08-15 00:00:00+00:00
8,648.7,,,,,2022-08-16 00:00:00+00:00
9,636.34,,,,,2022-08-17 00:00:00+00:00
10,624.83,,,,,2022-08-18 00:00:00+00:00
11,618.36,628.9141666666667,,,,2022-08-19 00:00:00+00:00
12,612.1,628.6758333333333,,,,2022-08-22 00:00:00+00:00
13,602.53,627.7525,,,,2022-08-23 00:00:00+00:00
14,602.79,625.4325,,,,2022-08-24 00:00:00+00:00
15,603.8,623.9033333333333,,,,2022-08-25 00:00:00+00:00
16,596.18,620.1274999999999,,,,2022-08-26 00:00:00+00:00
17,592.77,617.5333333333334,,,,2022-08-29 00:00:00+00:00
18,588.39,614.1733333333333,,,,2022-08-30 00:00:00+00:00
19,581.06,608.9875000000001,,,,2022-08-31 00:00:00+00:00
20,600.63,604.9816666666667,,,,2022-09-01 00:00:00+00:00
21,580.62,600.3383333333334,,,,2022-09-02 00:00:00+00:00
22,573.97,596.0999999999999,,,,2022-09-06 00:00:00+00:00
23,596.44,594.2733333333333,,,,2022-09-07 00:00:00+00:00
24,708.85,602.3358333333334,,,,2022-09-08 00:00:00+00:00
25,724.32,612.485,619.67,,,2022-09-09 00:00:00+00:00
26,710.74,621.4808333333333,623.3538461538461,,,2022-09-12 00:00:00+00:00
27,701.39,629.6133333333333,626.73,,,2022-09-13 00:00:00+00:00
28,697.62,638.0666666666667,629.3065384615385,,,2022-09-14 00:00:00+00:00
29,705.85,647.49,632.5257692307691,,,2022-09-15 00:00:00+00:00
30,710.3,657.6491666666667,635.1723076923076,,,2022-09-16 00:00:00+00:00
31,715.34,668.8391666666666,638.6892307692308,,,2022-09-19 00:00:00+00:00
32,704.22,677.4716666666667,641.5934615384615,,,2022-09-20 00:00:00+00:00
33,684.63,686.1391666666667,643.1834615384615,,,2022-09-21 00:00:00+00:00
34,688.26,695.6633333333334,644.7049999999999,,,2022-09-22 00:00:00+00:00
35,697.33,704.0708333333333,647.0507692307692,,,2022-09-23 00:00:00+00:00
36,686.1,702.1750000000001,649.4073076923077,,,2022-09-26 00:00:00+00:00
37,695.01,699.7325000000001,652.3553846153847,,,2022-09-27 00:00:00+00:00
38,705.42,699.2891666666668,655.9446153846154,,,2022-09-28 00:00:00+00:00
39,691.82,698.4916666666667,659.3788461538462,,,2022-09-29 00:00:00+00:00
40,688.87,697.7624999999999,662.6896153846154,,,2022-09-30 00:00:00+00:00
41,735.13,700.2025,667.7407692307693,,,2022-10-03 00:00:00+00:00
42,739.54,702.6391666666667,673.2546153846155,,,2022-10-04 00:00:00+00:00
43,745.68,705.1675,679.1357692307691,,,2022-10-05 00:00:00+00:00
44,731.86,707.4708333333333,684.6538461538462,,,2022-10-06 00:00:00+00:00
45,722.37,710.6158333333333,690.0888461538462,,,2022-10-07 00:00:00+00:00
46,730.92,714.1708333333332,695.0999999999999,,,2022-10-10 00:00:00+00:00
47,737.41,717.5108333333333,701.1303846153846,,,2022-10-11 00:00:00+00:00
48,728.06,721.0075,707.0569230769231,,,2022-10-12 00:00:00+00:00
49,752.56,725.8033333333333,713.0615384615384,664.357,,2022-10-13 00:00:00+00:00
50,736.06,728.3566666666666,714.108076923077,666.779,,2022-10-14 00:00:00+00:00
51,735.96,732.035,714.5557692307691,669.2260000000001,,2022-10-17 00:00:00+00:00
52,722.71,734.8549999999999,715.0161538461538,671.0676000000001,,2022-10-18 00:00:00+00:00
53,709.37,732.7083333333334,715.323076923077,672.812,,2022-10-19 00:00:00+00:00
54,705.89,729.9041666666667,715.6411538461538,674.1,,2022-10-20 00:00:00+00:00
55,713.91,727.2566666666667,715.9511538461538,675.9002,,2022-10-21 00:00:00+00:00
56,737.15,727.6975000000001,716.9838461538462,678.0690000000001,,2022-10-24 00:00:00+00:00
57,747.33,729.7775,718.2142307692308,680.1498000000001,,2022-10-25 00:00:00+00:00
58,733.98,730.0324999999999,719.3588461538461,681.8553999999999,,2022-10-26 00:00:00+00:00
59,724.88,728.9883333333333,720.9069230769231,683.6261999999999,,2022-10-27 00:00:00+00:00
60,750.76,730.88,723.3107692307692,686.1447999999999,,2022-10-28 00:00:00+00:00
61,748.75,730.5625,725.2884615384615,688.7525999999999,,2022-10-31 00:00:00+00:00
62,759.91,732.5500000000001,728.1273076923076,691.7088,,2022-11-01 00:00:00+00:00
63,740.48,732.9266666666667,729.8761538461539,694.4678,,2022-11-02 00:00:00+00:00
64,738.68,734.2575,731.1553846153845,697.1856,,2022-11-03 00:00:00+00:00
65,740.21,736.8275,733.0165384615385,699.9137999999999,,2022-11-04 00:00:00+00:00
66,750.93,740.5808333333333,735.4034615384616,703.0088,,2022-11-07 00:00:00+00:00
67,751.95,743.7508333333334,736.0503846153845,706.1924,,2022-11-08 00:00:00+00:00
68,742.95,744.2341666666666,736.1815384615384,709.2836,,2022-11-09 00:00:00+00:00
69,741.08,743.7133333333335,736.0046153846155,712.484,,2022-11-10 00:00:00+00:00
70,734.45,743.7525,736.1042307692309,715.1604,,2022-11-11 00:00:00+00:00
71,742.01,745.18,736.8596153846154,718.3882000000001,,2022-11-14 00:00:00+00:00
72,728.73,743.3441666666668,736.7753846153846,721.4834000000001,,2022-11-15 00:00:00+00:00
73,735.67,742.2541666666667,736.7084615384616,724.268,,2022-11-16 00:00:00+00:00
74,739.08,740.5183333333333,737.1323076923077,724.8726000000001,,2022-11-17 00:00:00+00:00
75,736.73,740.2058333333334,736.5234615384616,725.1208,,2022-11-18 00:00:00+00:00
76,738.98,740.2308333333334,736.6357692307691,725.6856,,2022-11-21 00:00:00+00:00
77,749.23,740.9825000000001,737.146153846154,726.6424,,2022-11-22 00:00:00+00:00
78,735.36,739.6850000000001,737.6326923076923,727.3972,,2022-11-23 00:00:00+00:00
79,736.23,738.375,738.6657692307691,728.0048000000002,,2022-11-25 00:00:00+00:00
80,741.48,738.2525,740.0346153846154,728.6283999999999,,2022-11-28 00:00:00+00:00
81,736.08,737.8358333333334,740.8873076923077,729.0432,,2022-11-29 00:00:00+00:00
82,751.7,739.2733333333334,741.446923076923,729.9928,,2022-11-30 00:00:00+00:00
83,761.24,740.8758333333334,741.9819230769231,731.525,,2022-12-01 00:00:00+00:00
84,766.39,744.0141666666667,743.2284615384616,733.0876000000001,,2022-12-02 00:00:00+00:00
85,755.45,745.6625,744.4042307692307,734.25,,2022-12-05 00:00:00+00:00
86,747.47,746.3616666666667,744.2776923076924,735.4774000000001,,2022-12-06 00:00:00+00:00
87,764.27,748.6566666666668,744.8746153846155,736.8626,,2022-12-07 00:00:00+00:00
88,765.42,750.86,745.0865384615385,738.0626000000001,,2022-12-08 00:00:00+00:00
89,750.06,750.9291666666667,745.4549999999999,739.2274000000001,,2022-12-09 00:00:00+00:00
90,742.48,751.5225,745.6011538461539,740.2996,,2022-12-12 00:00:00+00:00
91,747.56,752.4666666666667,745.8838461538461,740.5482000000001,,2022-12-13 00:00:00+00:00
92,750.0,753.1766666666667,745.8480769230769,740.7574000000001,,2022-12-14 00:00:00+00:00
93,731.27,752.7758333333335,745.0526923076924,740.4692,,2022-12-15 00:00:00+00:00
94,723.17,750.3983333333332,744.2919230769231,740.2954000000001,,2022-12-16 00:00:00+00:00
95,721.1,747.0533333333333,743.5234615384616,740.27,,2022-12-19 00:00:00+00:00
96,733.53,744.315,743.4880769230768,740.3222000000001,,2022-12-20 00:00:00+00:00
97,736.19,742.71,743.2642307692307,740.2977999999999,,2022-12-21 00:00:00+00:00
98,733.62,741.5558333333333,743.4523076923077,740.409,,2022-12-22 00:00:00+00:00
99,726.74,738.4283333333333,743.1088461538461,739.8926000000001,,2022-12-23 00:00:00+00:00
100,711.35,733.9225,742.0423076923078,739.3984000000002,,2022-12-27 00:00:00+00:00
101,713.03,730.8366666666667,741.1307692307693,738.9398,,2022-12-28 00:00:00+00:00
102,721.29,729.0708333333333,740.4503846153847,738.9114,,2022-12-29 00:00:00+00:00
103,721.49,726.8983333333334,739.3834615384616,739.1538,,2022-12-30 00:00:00+00:00
104,720.47,724.4375,738.8107692307693,739.4454000000001,,2023-01-03 00:00:00+00:00
105,726.49,724.0391666666666,738.4361538461538,739.697,,2023-01-04 00:00:00+00:00
106,723.76,724.0883333333333,737.7546153846154,739.4292,,2023-01-05 00:00:00+00:00
107,737.15,725.4258333333332,737.7957692307692,739.2256,,2023-01-06 00:00:00+00:00
108,680.49,721.0058333333333,735.0569230769231,738.1558,,2023-01-09 00:00:00+00:00
109,698.95,717.9025,732.6611538461538,737.6372,,2023-01-10 00:00:00+00:00
110,709.94,715.9291666666667,730.4899999999999,736.8208,,2023-01-11 00:00:00+00:00
111,714.57,714.915,728.9176923076923,736.1372,,2023-01-12 00:00:00+00:00
112,722.13,715.8133333333334,727.9430769230769,735.3816,,2023-01-13 00:00:00+00:00
113,728.11,717.07,726.5523076923077,735.1342,,2023-01-17 00:00:00+00:00
114,724.55,717.3416666666667,724.9803846153847,734.8516000000001,,2023-01-18 00:00:00+00:00
115,715.57,716.8483333333334,723.6538461538462,734.3588000000001,,2023-01-19 00:00:00+00:00
116,722.0,716.9758333333334,722.8661538461539,733.7802,,2023-01-20 00:00:00+00:00
117,729.91,717.2608333333333,722.1873076923076,733.3394000000001,,2023-01-23 00:00:00+00:00
118,727.47,717.57,721.3207692307692,733.0297999999999,,2023-01-24 00:00:00+00:00
119,741.18,717.9058333333334,721.7019230769231,733.0318,,2023-01-25 00:00:00+00:00
120,742.3,723.0566666666667,722.4376923076924,733.1888,,2023-01-26 00:00:00+00:00
121,742.83,726.7133333333335,723.2734615384616,733.2052,,2023-01-27 00:00:00+00:00
122,736.46,728.9233333333333,723.3861538461539,733.3598,,2023-01-30 00:00:00+00:00
123,758.47,732.5816666666666,724.243076923077,733.8158,,2023-01-31 00:00:00+00:00
124,758.0,735.5708333333333,725.1807692307691,734.1942,,2023-02-01 00:00:00+00:00
125,751.2,737.4949999999999,726.1215384615384,734.4836,,2023-02-02 00:00:00+00:00
126,783.13,742.3766666666667,728.8823076923077,735.3665999999998,,2023-02-03 00:00:00+00:00
127,780.86,747.8175000000001,731.4911538461539,735.9992,,2023-02-06 00:00:00+00:00
128,769.94,751.8125,733.3623076923076,736.6908,,2023-02-07 00:00:00+00:00
129,749.66,753.4583333333334,734.4457692307692,736.9594000000001,,2023-02-08 00:00:00+00:00
130,744.77,754.9,735.3803846153846,737.0252,,2023-02-09 00:00:00+00:00
131,757.61,756.2691666666666,736.5773076923077,737.4558000000001,,2023-02-10 00:00:00+00:00
132,763.97,758.0749999999999,738.1238461538462,737.7012000000001,,2023-02-13 00:00:00+00:00
133,754.21,759.0233333333334,738.7800000000001,737.5606,,2023-02-14 00:00:00+00:00
134,752.4,760.3516666666666,741.5457692307692,737.2808,,2023-02-15 00:00:00+00:00
135,736.33,758.5066666666667,742.9834615384615,736.8983999999999,,2023-02-16 00:00:00+00:00
136,748.74,757.735,744.4757692307693,736.9238,,2023-02-17 00:00:00+00:00
137,746.52,757.3449999999999,745.7046153846154,736.5687999999999,,2023-02-21 00:00:00+00:00
138,748.08,754.4241666666667,746.7026923076924,736.222,,2023-02-22 00:00:00+00:00
139,759.66,752.6574999999999,747.9161538461539,736.414,,2023-02-23 00:00:00+00:00
140,756.99,751.5783333333334,749.1638461538462,736.7042,,2023-02-24 00:00:00+00:00
141,757.79,752.2558333333335,750.7876923076923,736.9088,,2023-02-27 00:00:00+00:00
142,760.42,753.5600000000001,752.2653846153846,737.1172,,2023-02-28 00:00:00+00:00
143,770.44,754.6291666666666,753.8242307692308,737.9006000000002,,2023-03-01 00:00:00+00:00
144,768.9,755.04,755.4176923076923,738.8151999999999,,2023-03-02 00:00:00+00:00
145,779.3,757.1308333333333,756.8838461538461,739.9792,,2023-03-03 00:00:00+00:00
146,780.38,759.4625,758.3484615384616,740.9162,,2023-03-06 00:00:00+00:00
147,773.85,762.5891666666666,759.5415384615385,741.6694,,2023-03-07 00:00:00+00:00
148,745.2,762.2941666666667,759.8776923076923,741.9010000000001,,2023-03-08 00:00:00+00:00
149,743.75,762.0633333333334,759.3115384615386,742.2411999999999,,2023-03-09 00:00:00+00:00
150,747.0,761.9733333333334,758.8884615384616,742.9542,,2023-03-10 00:00:00+00:00
151,752.33,761.3625000000001,758.9319230769231,743.7402000000001,,2023-03-13 00:00:00+00:00
152,766.8,762.18,758.3038461538462,744.6504,,2023-03-14 00:00:00+00:00
153,760.3,762.3891666666667,757.5130769230769,745.4266,,2023-03-15 00:00:00+00:00
154,749.75,761.5,756.7365384615385,746.0122,,2023-03-16 00:00:00+00:00
155,747.65,759.6008333333334,756.6592307692307,746.4354000000001,,2023-03-17 00:00:00+00:00
156,759.25,758.7966666666667,757.2161538461538,747.1452,,2023-03-20 00:00:00+00:00
157,759.76,757.1683333333334,757.2988461538462,747.5973999999999,,2023-03-21 00:00:00+00:00
158,751.3,754.745,756.8115384615384,749.0136,,2023-03-22 00:00:00+00:00
159,802.16,757.1041666666666,758.6557692307692,751.0778000000001,,2023-03-23 00:00:00+00:00
160,820.0,763.3375,761.2557692307693,753.2790000000001,,2023-03-24 00:00:00+00:00
161,820.41,769.7258333333333,764.4896153846154,755.3958,,2023-03-27 00:00:00+00:00
162,826.97,776.39,767.4984615384615,757.4925999999999,,2023-03-28 00:00:00+00:00
163,819.35,781.9749999999999,770.2996153846154,759.3174,,2023-03-29 00:00:00+00:00
164,811.5,785.6999999999999,772.7388461538461,761.0563999999999,,2023-03-30 00:00:00+00:00
165,821.67,790.8141666666666,775.1238461538462,763.1784,,2023-03-31 00:00:00+00:00
166,826.19,797.1841666666666,777.7853846153846,765.2622,,2023-04-03 00:00:00+00:00
167,822.09,803.3874999999999,780.2584615384616,767.1057999999998,,2023-04-04 00:00:00+00:00
168,825.22,808.8849999999999,782.7507692307693,769.0608,,2023-04-05 00:00:00+00:00
169,828.93,814.6491666666666,785.0003846153847,770.8158,,2023-04-06 00:00:00+00:00
170,823.76,820.6875,787.1103846153845,772.445,,2023-04-10 00:00:00+00:00
171,819.64,822.1441666666666,788.661923076923,773.9812,,2023-04-11 00:00:00+00:00
172,820.43,822.18,790.2023076923076,775.6605999999999,,2023-04-12 00:00:00+00:00
173,830.35,823.0083333333333,792.3753846153845,777.0981999999999,,2023-04-13 00:00:00+00:00
174,829.33,823.205,795.6111538461538,778.5247999999999,,2023-04-14 00:00:00+00:00
175,819.74,823.2375000000001,798.5338461538462,779.8956,,2023-04-17 00:00:00+00:00
176,808.01,822.9466666666667,800.8803846153846,780.3932000000001,,2023-04-18 00:00:00+00:00
177,808.86,821.8791666666667,803.0546153846154,780.9532,,2023-04-19 00:00:00+00:00
178,798.1,819.5383333333333,804.2584615384615,781.5164,,2023-04-20 00:00:00+00:00
179,800.73,817.7583333333333,805.8134615384614,782.5378,,2023-04-21 00:00:00+00:00
