,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,8.18,,,,,2022-08-04 00:00:00+00:00
1,8.27,,,,,2022-08-05 00:00:00+00:00
2,8.71,,,,,2022-08-08 00:00:00+00:00
3,8.145,,,,,2022-08-09 00:00:00+00:00
4,9.11,,,,,2022-08-10 00:00:00+00:00
5,9.52,,,,,2022-08-11 00:00:00+00:00
6,9.93,,,,,2022-08-12 00:00:00+00:00
7,9.76,,,,,2022-08-15 00:00:00+00:00
8,9.17,,,,,2022-08-16 00:00:00+00:00
9,8.35,,,,,2022-08-17 00:00:00+00:00
10,8.28,,,,,2022-08-18 00:00:00+00:00
11,7.25,8.722916666666666,,,,2022-08-19 00:00:00+00:00
12,7.0,8.624583333333334,,,,2022-08-22 00:00:00+00:00
13,7.1,8.527083333333332,,,,2022-08-23 00:00:00+00:00
14,7.29,8.40875,,,,2022-08-24 00:00:00+00:00
15,7.43,8.349166666666665,,,,2022-08-25 00:00:00+00:00
16,6.79,8.155833333333332,,,,2022-08-26 00:00:00+00:00
17,6.97,7.9433333333333325,,,,2022-08-29 00:00:00+00:00
18,6.89,7.69,,,,2022-08-30 00:00:00+00:00
19,7.17,7.474166666666666,,,,2022-08-31 00:00:00+00:00
20,6.85,7.280833333333333,,,,2022-09-01 00:00:00+00:00
21,6.63,7.1375,,,,2022-09-02 00:00:00+00:00
22,6.4,6.980833333333333,,,,2022-09-06 00:00:00+00:00
23,6.55,6.922499999999999,,,,2022-09-07 00:00:00+00:00
24,7.46,6.960833333333333,,,,2022-09-08 00:00:00+00:00
25,8.26,7.0575,7.825576923076923,,,2022-09-09 00:00:00+00:00
26,8.47,7.155833333333334,7.836730769230769,,,2022-09-12 00:00:00+00:00
27,7.63,7.1725,7.812115384615385,,,2022-09-13 00:00:00+00:00
28,7.56,7.236666666666667,7.767884615384616,,,2022-09-14 00:00:00+00:00
29,7.38,7.270833333333333,7.738461538461538,,,2022-09-15 00:00:00+00:00
30,6.645,7.250416666666666,7.643653846153847,,,2022-09-16 00:00:00+00:00
31,6.52,7.19625,7.52826923076923,,,2022-09-19 00:00:00+00:00
32,6.22,7.143750000000001,7.385576923076922,,,2022-09-20 00:00:00+00:00
