,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,253.96,,,,,2022-08-04 00:00:00+00:00
1,252.24,,,,,2022-08-05 00:00:00+00:00
2,250.56,,,,,2022-08-08 00:00:00+00:00
3,245.16,,,,,2022-08-09 00:00:00+00:00
4,253.61,,,,,2022-08-10 00:00:00+00:00
5,252.92,,,,,2022-08-11 00:00:00+00:00
6,257.76,,,,,2022-08-12 00:00:00+00:00
7,258.82,,,,,2022-08-15 00:00:00+00:00
8,259.44,,,,,2022-08-16 00:00:00+00:00
9,255.91,,,,,2022-08-17 00:00:00+00:00
10,256.4,,,,,2022-08-18 00:00:00+00:00
11,251.61,254.0325,,,,2022-08-19 00:00:00+00:00
12,243.9,253.19416666666666,,,,2022-08-22 00:00:00+00:00
13,243.42,252.45916666666668,,,,2022-08-23 00:00:00+00:00
14,243.14,251.8408333333333,,,,2022-08-24 00:00:00+00:00
15,246.86,251.9825,,,,2022-08-25 00:00:00+00:00
16,236.88,250.58833333333334,,,,2022-08-26 00:00:00+00:00
17,237.92,249.33833333333334,,,,2022-08-29 00:00:00+00:00
18,236.63,247.5775,,,,2022-08-30 00:00:00+00:00
19,236.94,245.75416666666663,,,,2022-08-31 00:00:00+00:00
20,241.77,244.28166666666664,,,,2022-09-01 00:00:00+00:00
21,238.01,242.79,,,,2022-09-02 00:00:00+00:00
22,238.26,241.2783333333333,,,,2022-09-06 00:00:00+00:00
23,243.0,240.56083333333333,,,,2022-09-07 00:00:00+00:00
24,244.93,240.64666666666668,,,,2022-09-08 00:00:00+00:00
25,255.38,241.64333333333332,247.51653846153846,,,2022-09-09 00:00:00+00:00
26,257.06,242.8033333333333,247.63576923076923,,,2022-09-12 00:00:00+00:00
27,247.61,242.8658333333333,247.45769230769233,,,2022-09-13 00:00:00+00:00
28,250.99,244.04166666666666,247.47423076923076,,,2022-09-14 00:00:00+00:00
29,245.17,244.64583333333334,247.4746153846154,,,2022-09-15 00:00:00+00:00
30,237.9,244.75166666666667,246.8703846153846,,,2022-09-16 00:00:00+00:00
31,242.16,245.1866666666667,246.45653846153846,,,2022-09-19 00:00:00+00:00
32,236.15,244.71833333333333,245.62538461538463,,,2022-09-20 00:00:00+00:00
33,231.06,244.13916666666668,244.55769230769232,,,2022-09-21 00:00:00+00:00
34,225.0,243.03416666666666,243.2330769230769,,,2022-09-22 00:00:00+00:00
35,219.76,241.0975,241.8426923076923,,,2022-09-23 00:00:00+00:00
36,215.42,238.63833333333332,240.26653846153846,,,2022-09-26 00:00:00+00:00
37,212.13,235.0341666666667,238.74807692307692,,,2022-09-27 00:00:00+00:00
38,217.33,231.72333333333336,237.72615384615386,,,2022-09-28 00:00:00+00:00
39,215.78,229.07083333333333,236.66307692307691,,,2022-09-29 00:00:00+00:00
40,215.11,226.08083333333332,235.585,,,2022-09-30 00:00:00+00:00
41,225.64,224.45333333333335,234.76884615384614,,,2022-10-03 00:00:00+00:00
42,231.83,223.9475,234.57461538461536,,,2022-10-04 00:00:00+00:00
43,234.71,223.32666666666663,234.45115384615383,,,2022-10-05 00:00:00+00:00
44,233.12,223.07416666666668,234.3161538461538,,,2022-10-06 00:00:00+00:00
45,225.41,222.60333333333332,233.87269230769232,,,2022-10-07 00:00:00+00:00
46,225.33,222.6308333333333,233.2403846153846,,,2022-10-10 00:00:00+00:00
47,225.93,223.145,232.77576923076924,,,2022-10-11 00:00:00+00:00
48,225.34,223.97166666666666,232.27884615384616,,,2022-10-12 00:00:00+00:00
49,231.98,225.6258333333333,231.85500000000002,239.267,,2022-10-13 00:00:00+00:00
50,223.88,226.17166666666665,231.0453846153846,238.6654,,2022-10-14 00:00:00+00:00
51,230.71,227.41583333333335,230.09653846153844,238.2348,,2022-10-17 00:00:00+00:00
52,236.79,229.2225,229.31692307692308,237.9594,,2022-10-18 00:00:00+00:00
53,233.93,229.91333333333333,228.7907692307692,237.7348,,2022-10-19 00:00:00+00:00
54,225.21,229.36166666666668,227.79923076923075,237.1668,,2022-10-20 00:00:00+00:00
55,231.87,229.125,227.28769230769228,236.74579999999997,,2022-10-21 00:00:00+00:00
56,235.27,229.30416666666667,227.18653846153848,236.296,,2022-10-24 00:00:00+00:00
57,241.65,230.6575,227.16692307692307,235.9526,,2022-10-25 00:00:00+00:00
58,240.96,231.96,227.35192307692307,235.58300000000003,,2022-10-26 00:00:00+00:00
59,246.65,233.68666666666664,227.9515384615385,235.39780000000002,,2022-10-27 00:00:00+00:00
60,257.08,236.33166666666668,229.18538461538463,235.4114,,2022-10-28 00:00:00+00:00
61,255.3,238.275,230.5523076923077,235.4852,,2022-10-31 00:00:00+00:00
62,255.65,240.9225,232.0996153846154,235.72019999999998,,2022-11-01 00:00:00+00:00
63,235.38,241.31166666666664,232.99384615384616,235.5594,,2022-11-02 00:00:00+00:00
64,242.83,241.81500000000003,233.9746153846154,235.5532,,2022-11-03 00:00:00+00:00
65,247.43,242.94000000000003,235.19192307692308,235.56460000000004,,2022-11-04 00:00:00+00:00
66,250.89,245.08,236.56807692307692,235.8448,,2022-11-07 00:00:00+00:00
67,254.33,246.95166666666668,237.67153846153846,236.173,,2022-11-08 00:00:00+00:00
68,253.45,248.46666666666667,238.50307692307692,236.50940000000003,,2022-11-09 00:00:00+00:00
69,265.54,250.4575,239.68884615384616,237.0814,,2022-11-10 00:00:00+00:00
70,273.53,253.1716666666667,241.24307692307696,237.7166,,2022-11-11 00:00:00+00:00
71,267.39,254.9,242.85769230769228,238.30419999999998,,2022-11-14 00:00:00+00:00
72,269.54,255.93833333333336,244.5580769230769,238.9298,,2022-11-15 00:00:00+00:00
73,264.31,256.68916666666667,246.0342307692308,239.356,,2022-11-16 00:00:00+00:00
74,258.67,256.94083333333333,247.31615384615387,239.63080000000002,,2022-11-17 00:00:00+00:00
75,264.74,259.3875,248.57615384615383,239.81799999999998,,2022-11-18 00:00:00+00:00
76,263.59,261.1175,250.10346153846154,239.9486,,2022-11-21 00:00:00+00:00
77,266.97,262.74583333333334,251.49807692307695,240.33579999999998,,2022-11-22 00:00:00+00:00
78,266.61,264.05583333333334,252.645,240.6482,,2022-11-23 00:00:00+00:00
79,264.86,264.93333333333334,253.8346153846154,241.042,,2022-11-25 00:00:00+00:00
80,260.71,265.53833333333336,255.2,241.4982,,2022-11-28 00:00:00+00:00
81,259.63,265.04583333333335,256.2676923076923,241.84760000000003,,2022-11-29 00:00:00+00:00
82,264.22,264.27000000000004,257.38115384615384,242.40900000000002,,2022-11-30 00:00:00+00:00
83,266.75,264.21666666666664,258.34653846153844,243.12279999999998,,2022-12-01 00:00:00+00:00
84,265.49,263.87916666666666,259.29,243.93259999999998,,2022-12-02 00:00:00+00:00
85,262.67,263.7425,259.9061538461538,244.7908,,2022-12-05 00:00:00+00:00
86,256.77,263.5841666666667,259.8942307692308,245.61780000000002,,2022-12-06 00:00:00+00:00
87,254.77,262.7533333333334,259.87384615384616,246.47060000000002,,2022-12-07 00:00:00+00:00
88,257.17,262.2183333333333,259.9323076923077,247.2674,,2022-12-08 00:00:00+00:00
89,259.81,261.62166666666667,260.87192307692305,248.148,,2022-12-09 00:00:00+00:00
90,264.45,261.44166666666666,261.7034615384615,249.13480000000004,,2022-12-12 00:00:00+00:00
91,271.73,262.01416666666665,262.63807692307694,250.0566,,2022-12-13 00:00:00+00:00
92,269.17,262.7191666666667,263.3411538461538,250.8034,,2022-12-14 00:00:00+00:00
93,257.15,262.5125,263.4496153846154,251.25220000000002,,2022-12-15 00:00:00+00:00
94,253.07,261.5833333333333,263.435,251.6512,,2022-12-16 00:00:00+00:00
95,250.66,260.2425,262.8626923076923,252.15619999999998,,2022-12-19 00:00:00+00:00
96,254.4,259.3183333333333,262.1269230769231,252.7376,,2022-12-20 00:00:00+00:00
97,259.36,259.04249999999996,261.81807692307694,253.40619999999998,,2022-12-21 00:00:00+00:00
98,255.97,258.97583333333336,261.29615384615386,254.01879999999997,,2022-12-22 00:00:00+00:00
99,256.74,259.14,261.005,254.514,,2022-12-23 00:00:00+00:00
100,257.55,259.1716666666667,260.9619230769231,255.18740000000003,,2022-12-27 00:00:00+00:00
101,255.19,258.78666666666663,260.5946153846154,255.67700000000002,,2022-12-28 00:00:00+00:00
102,259.63,258.385,260.4423076923077,256.1338,,2022-12-29 00:00:00+00:00
103,257.57,257.205,260.0807692307692,256.6066,,2022-12-30 00:00:00+00:00
104,261.42,256.55916666666667,259.88115384615384,257.33079999999995,,2023-01-03 00:00:00+00:00
105,260.53,256.8408333333333,259.7146153846154,257.904,,2023-01-04 00:00:00+00:00
106,258.58,257.3,259.6326923076923,258.3702,,2023-01-05 00:00:00+00:00
107,267.52,258.705,259.93615384615384,258.8876,,2023-01-06 00:00:00+00:00
108,269.34,259.95,260.13307692307694,259.4552,,2023-01-09 00:00:00+00:00
109,271.66,260.97499999999997,260.3219230769231,259.9554,,2023-01-10 00:00:00+00:00
110,280.1,262.98583333333335,260.88384615384615,260.4158,,2023-01-11 00:00:00+00:00
111,281.41,265.0416666666667,261.6046153846154,260.93800000000005,,2023-01-12 00:00:00+00:00
112,285.24,267.34916666666663,262.69961538461536,261.5298,,2023-01-13 00:00:00+00:00
113,282.19,269.5991666666667,263.7542307692308,262.466,,2023-01-17 00:00:00+00:00
114,274.42,270.83166666666665,264.41769230769233,263.0978,,2023-01-18 00:00:00+00:00
115,265.32,271.4775,264.62961538461536,263.4556,,2023-01-19 00:00:00+00:00
116,270.0,272.1925,264.8430769230769,263.8378,,2023-01-20 00:00:00+00:00
117,275.62,273.45,264.9926923076923,264.2636,,2023-01-23 00:00:00+00:00
118,277.98,275.06666666666666,265.3315384615385,264.75419999999997,,2023-01-24 00:00:00+00:00
119,278.08,275.94666666666666,266.13653846153846,265.005,,2023-01-25 00:00:00+00:00
120,281.87,276.99083333333334,267.2442307692308,265.1718,,2023-01-26 00:00:00+00:00
121,286.46,278.2241666666667,268.62115384615385,265.5532,,2023-01-27 00:00:00+00:00
122,278.5,278.0908333333333,269.5480769230769,265.7324,,2023-01-30 00:00:00+00:00
123,282.03,278.1425,270.42,266.0868,,2023-01-31 00:00:00+00:00
124,282.87,277.945,271.45461538461535,266.5708,,2023-02-01 00:00:00+00:00
125,291.16,278.69250000000005,272.77846153846156,267.0992,,2023-02-02 00:00:00+00:00
126,289.96,279.9875,274.025,267.6266,,2023-02-03 00:00:00+00:00
127,287.72,281.8541666666667,275.2761538461539,268.0416,,2023-02-06 00:00:00+00:00
128,289.39,283.46999999999997,276.4207692307692,268.4972,,2023-02-07 00:00:00+00:00
129,285.42,284.2866666666667,277.4919230769231,268.90840000000003,,2023-02-08 00:00:00+00:00
130,287.7,285.09666666666664,278.5026923076923,269.4482,,2023-02-09 00:00:00+00:00
131,285.18,285.68833333333333,279.4507692307692,269.9592,,2023-02-10 00:00:00+00:00
132,293.79,286.6816666666667,280.80499999999995,270.55060000000003,,2023-02-13 00:00:00+00:00
133,293.17,287.24083333333334,281.79153846153844,271.079,,2023-02-14 00:00:00+00:00
134,298.05,288.87,282.89576923076925,271.7302,,2023-02-15 00:00:00+00:00
135,295.88,290.02416666666664,283.8273076923077,272.3944,,2023-02-16 00:00:00+00:00
136,297.72,291.2616666666667,284.505,273.2134,,2023-02-17 00:00:00+00:00
137,288.72,291.05833333333334,284.78615384615387,273.89239999999995,,2023-02-21 00:00:00+00:00
138,288.94,290.97333333333336,284.92846153846153,274.5278,,2023-02-22 00:00:00+00:00
139,291.95,291.3258333333333,285.30384615384617,275.17060000000004,,2023-02-23 00:00:00+00:00
140,290.39,291.4091666666667,285.9180769230769,275.68940000000003,,2023-02-24 00:00:00+00:00
141,294.39,292.1566666666667,287.0361538461538,276.14259999999996,,2023-02-27 00:00:00+00:00
142,294.93,292.75916666666666,287.995,276.6578,,2023-02-28 00:00:00+00:00
143,292.65,293.38166666666666,288.65,277.3678,,2023-03-01 00:00:00+00:00
144,296.54,293.61083333333335,289.36384615384617,278.23720000000003,,2023-03-02 00:00:00+00:00
145,302.59,294.3958333333333,290.3065384615384,279.2758,,2023-03-03 00:00:00+00:00
146,305.56,295.0216666666667,291.2176923076923,280.29900000000004,,2023-03-06 00:00:00+00:00
147,299.33,295.30916666666667,291.7126923076923,281.0984,,2023-03-07 00:00:00+00:00
148,302.3,295.69083333333333,292.62807692307695,282.025,,2023-03-08 00:00:00+00:00
149,298.92,296.5408333333333,293.2776923076923,282.86859999999996,,2023-03-09 00:00:00+00:00
150,289.07,296.5516666666667,293.5161538461538,283.499,,2023-03-10 00:00:00+00:00
