,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,430.85,,,,,2022-08-04 00:00:00+00:00
1,431.92,,,,,2022-08-05 00:00:00+00:00
2,431.01,,,,,2022-08-08 00:00:00+00:00
3,428.83,,,,,2022-08-09 00:00:00+00:00
4,438.68,,,,,2022-08-10 00:00:00+00:00
5,433.7,,,,,2022-08-11 00:00:00+00:00
6,439.1,,,,,2022-08-12 00:00:00+00:00
7,439.41,,,,,2022-08-15 00:00:00+00:00
8,436.33,,,,,2022-08-16 00:00:00+00:00
9,434.0,,,,,2022-08-17 00:00:00+00:00
10,433.75,,,,,2022-08-18 00:00:00+00:00
11,433.32,434.2416666666666,,,,2022-08-19 00:00:00+00:00
12,422.13,433.51499999999993,,,,2022-08-22 00:00:00+00:00
13,416.73,432.24916666666667,,,,2022-08-23 00:00:00+00:00
14,418.62,431.2166666666667,,,,2022-08-24 00:00:00+00:00
15,424.62,430.86583333333334,,,,2022-08-25 00:00:00+00:00
16,409.83,428.46166666666664,,,,2022-08-26 00:00:00+00:00
17,409.16,426.4166666666667,,,,2022-08-29 00:00:00+00:00
18,407.75,423.8041666666666,,,,2022-08-30 00:00:00+00:00
19,402.58,420.73499999999996,,,,2022-08-31 00:00:00+00:00
20,405.15,418.1366666666667,,,,2022-09-01 00:00:00+00:00
21,400.92,415.38000000000005,,,,2022-09-02 00:00:00+00:00
22,396.92,412.3108333333334,,,,2022-09-06 00:00:00+00:00
23,406.84,410.1041666666667,,,,2022-09-07 00:00:00+00:00
24,408.08,408.9333333333334,,,,2022-09-08 00:00:00+00:00
25,410.16,408.3858333333333,421.1688461538461,,,2022-09-09 00:00:00+00:00
26,409.26,407.6058333333333,420.3384615384615,,,2022-09-12 00:00:00+00:00
27,395.17,405.15166666666664,418.92499999999995,,,2022-09-13 00:00:00+00:00
28,396.19,404.01500000000004,417.5857692307692,,,2022-09-14 00:00:00+00:00
29,384.0,401.91833333333335,415.86153846153843,,,2022-09-15 00:00:00+00:00
30,382.1,399.7808333333333,413.6853846153846,,,2022-09-16 00:00:00+00:00
31,382.35,398.095,411.71038461538467,,,2022-09-19 00:00:00+00:00
32,378.54,395.8775,409.38115384615384,,,2022-09-20 00:00:00+00:00
33,372.4,393.50083333333333,406.80384615384617,,,2022-09-21 00:00:00+00:00
34,375.57,391.72166666666664,404.4669230769231,,,2022-09-22 00:00:00+00:00
35,378.0,389.3183333333334,402.3130769230769,,,2022-09-23 00:00:00+00:00
36,377.07,386.7341666666666,400.13307692307694,,,2022-09-26 00:00:00+00:00
37,366.9,383.1291666666666,397.57846153846157,,,2022-09-27 00:00:00+00:00
38,370.53,379.9016666666667,395.59384615384613,,,2022-09-28 00:00:00+00:00
39,366.75,377.53333333333336,393.67153846153843,,,2022-09-29 00:00:00+00:00
40,359.64,374.48749999999995,391.403076923077,,,2022-09-30 00:00:00+00:00
41,372.24,373.5075,389.38846153846157,,,2022-10-03 00:00:00+00:00
42,379.95,373.3283333333334,388.23923076923074,,,2022-10-04 00:00:00+00:00
43,380.45,373.17,387.135,,,2022-10-05 00:00:00+00:00
44,380.33,373.31916666666666,386.0803846153846,,,2022-10-06 00:00:00+00:00
45,369.37,373.06666666666666,384.80307692307696,,,2022-10-07 00:00:00+00:00
46,365.12,372.19583333333327,383.26346153846157,,,2022-10-10 00:00:00+00:00
47,364.13,371.03999999999996,381.8484615384616,,,2022-10-11 00:00:00+00:00
48,365.95,370.1133333333333,380.6573076923077,,,2022-10-12 00:00:00+00:00
49,370.5,370.41333333333336,379.25961538461536,399.858,,2022-10-13 00:00:00+00:00
50,363.18,369.8008333333334,377.53269230769234,398.50460000000004,,2022-10-14 00:00:00+00:00
51,370.94,370.15000000000003,376.0242307692308,397.285,,2022-10-17 00:00:00+00:00
52,375.39,371.46250000000003,374.72153846153844,396.17260000000005,,2022-10-18 00:00:00+00:00
53,371.43,371.395,373.80846153846153,395.02459999999996,,2022-10-19 00:00:00+00:00
54,367.41,370.34999999999997,372.70153846153846,393.5992,,2022-10-20 00:00:00+00:00
55,370.73,369.53999999999996,372.19115384615384,392.33979999999997,,2022-10-21 00:00:00+00:00
56,372.75,368.9083333333333,371.8315384615384,391.01279999999997,,2022-10-24 00:00:00+00:00
57,378.0,369.62750000000005,371.6642307692307,389.7846,,2022-10-25 00:00:00+00:00
58,388.65,371.5883333333333,372.0530769230769,388.83099999999996,,2022-10-26 00:00:00+00:00
59,400.37,374.60833333333335,373.12884615384615,388.1584,,2022-10-27 00:00:00+00:00
60,413.71,378.58833333333337,374.59576923076924,387.75759999999997,,2022-10-28 00:00:00+00:00
61,414.54,382.2583333333334,376.0011538461539,387.38199999999995,,2022-10-31 00:00:00+00:00
62,413.71,386.4691666666667,377.41038461538454,387.2136,,2022-11-01 00:00:00+00:00
63,403.12,389.15083333333337,378.80346153846153,386.94140000000004,,2022-11-02 00:00:00+00:00
64,397.72,391.0116666666667,379.84923076923076,386.5234,,2022-11-03 00:00:00+00:00
65,396.03,393.06166666666667,380.97538461538466,385.95160000000004,,2022-11-04 00:00:00+00:00
66,412.62,396.82916666666665,383.01307692307694,386.00739999999996,,2022-11-07 00:00:00+00:00
67,416.43,400.6375,384.71269230769224,386.1528,,2022-11-08 00:00:00+00:00
68,416.2,404.25833333333327,386.1069230769231,386.3218,,2022-11-09 00:00:00+00:00
69,438.43,409.29416666666674,388.3369230769231,387.0388,,2022-11-10 00:00:00+00:00
70,438.36,413.43666666666667,390.5688461538462,387.703,,2022-11-11 00:00:00+00:00
71,432.59,416.12166666666667,393.0003846153846,388.33639999999997,,2022-11-14 00:00:00+00:00
72,435.95,417.97499999999997,395.7246153846154,389.11699999999996,,2022-11-15 00:00:00+00:00
73,431.4,419.37999999999994,398.31192307692305,389.6082,,2022-11-16 00:00:00+00:00
74,429.62,420.7058333333334,400.76076923076926,390.039,,2022-11-17 00:00:00+00:00
75,433.01,423.19666666666666,403.165,390.496,,2022-11-18 00:00:00+00:00
76,434.5,426.2616666666666,405.9080769230769,391.00079999999997,,2022-11-21 00:00:00+00:00
77,432.74,429.3208333333334,408.28499999999997,391.7522,,2022-11-22 00:00:00+00:00
78,433.62,431.0708333333334,410.52461538461534,392.5008,,2022-11-23 00:00:00+00:00
