,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,83.76,,,,,2022-08-04 00:00:00+00:00
1,84.23,,,,,2022-08-05 00:00:00+00:00
2,85.31,,,,,2022-08-08 00:00:00+00:00
3,84.46,,,,,2022-08-09 00:00:00+00:00
4,86.18,,,,,2022-08-10 00:00:00+00:00
5,88.15,,,,,2022-08-11 00:00:00+00:00
6,90.12,,,,,2022-08-12 00:00:00+00:00
7,90.16,,,,,2022-08-15 00:00:00+00:00
8,92.64,,,,,2022-08-16 00:00:00+00:00
9,92.82,,,,,2022-08-17 00:00:00+00:00
10,92.0,,,,,2022-08-18 00:00:00+00:00
11,91.01,88.40333333333332,,,,2022-08-19 00:00:00+00:00
12,88.11,88.76583333333333,,,,2022-08-22 00:00:00+00:00
13,87.96,89.07666666666667,,,,2022-08-23 00:00:00+00:00
14,90.56,89.51416666666667,,,,2022-08-24 00:00:00+00:00
15,90.91,90.05166666666668,,,,2022-08-25 00:00:00+00:00
16,87.26,90.14166666666667,,,,2022-08-26 00:00:00+00:00
17,86.96,90.0425,,,,2022-08-29 00:00:00+00:00
18,86.33,89.72666666666667,,,,2022-08-30 00:00:00+00:00
19,86.27,89.40249999999999,,,,2022-08-31 00:00:00+00:00
20,88.51,89.05833333333334,,,,2022-09-01 00:00:00+00:00
21,87.39,88.60583333333334,,,,2022-09-02 00:00:00+00:00
22,86.72,88.16583333333334,,,,2022-09-06 00:00:00+00:00
23,92.14,88.25999999999999,,,,2022-09-07 00:00:00+00:00
24,92.26,88.60583333333334,,,,2022-09-08 00:00:00+00:00
25,93.51,89.06833333333334,88.68192307692308,,,2022-09-09 00:00:00+00:00
26,94.98,89.43666666666667,89.11346153846154,,,2022-09-12 00:00:00+00:00
27,89.86,89.34916666666668,89.33000000000001,,,2022-09-13 00:00:00+00:00
28,89.46,89.53250000000001,89.48961538461539,,,2022-09-14 00:00:00+00:00
29,89.56,89.74916666666667,89.68576923076922,,,2022-09-15 00:00:00+00:00
30,90.25,90.07583333333334,89.8423076923077,,,2022-09-16 00:00:00+00:00
31,90.74,90.44833333333332,89.94192307692308,,,2022-09-19 00:00:00+00:00
32,88.3,90.43083333333334,89.87192307692308,,,2022-09-20 00:00:00+00:00
33,87.85,90.46916666666665,89.78307692307693,,,2022-09-21 00:00:00+00:00
34,86.59,90.45833333333333,89.55038461538462,,,2022-09-22 00:00:00+00:00
35,84.44,89.81666666666666,89.22807692307694,,,2022-09-23 00:00:00+00:00
36,82.93,89.03916666666667,88.87923076923077,,,2022-09-26 00:00:00+00:00
37,84.4,88.27999999999999,88.625,,,2022-09-27 00:00:00+00:00
38,87.01,87.61583333333333,88.58269230769231,,,2022-09-28 00:00:00+00:00
39,84.03,87.13,88.43153846153847,,,2022-09-29 00:00:00+00:00
40,84.27,86.6975,88.1896153846154,,,2022-09-30 00:00:00+00:00
41,85.96,86.3975,87.99923076923076,,,2022-10-03 00:00:00+00:00
42,89.38,86.325,88.08076923076925,,,2022-10-04 00:00:00+00:00
43,89.82,86.24833333333333,88.19076923076923,,,2022-10-05 00:00:00+00:00
44,88.24,86.24333333333334,88.26423076923078,,,2022-10-06 00:00:00+00:00
45,86.86,86.16083333333334,88.28692307692307,,,2022-10-07 00:00:00+00:00
46,85.87,86.10083333333334,88.18538461538462,,,2022-10-10 00:00:00+00:00
47,86.14,86.2425,88.1373076923077,,,2022-10-11 00:00:00+00:00
48,84.51,86.37416666666667,88.05230769230768,,,2022-10-12 00:00:00+00:00
49,85.45,86.46166666666666,87.795,88.0526,,2022-10-13 00:00:00+00:00
50,81.45,85.99833333333333,87.37923076923077,88.0064,,2022-10-14 00:00:00+00:00
51,84.21,86.01333333333334,87.02153846153846,88.006,,2022-10-17 00:00:00+00:00
52,84.66,86.04583333333333,86.62461538461538,87.993,,2022-10-18 00:00:00+00:00
53,83.66,85.85416666666667,86.38615384615385,87.97699999999999,,2022-10-19 00:00:00+00:00
54,82.49,85.28,86.11807692307691,87.90320000000001,,2022-10-20 00:00:00+00:00
55,85.07,84.88416666666666,85.94538461538461,87.8416,,2022-10-21 00:00:00+00:00
56,87.09,84.78833333333334,85.82384615384616,87.781,,2022-10-24 00:00:00+00:00
57,93.07,85.30583333333334,85.91346153846153,87.8392,,2022-10-25 00:00:00+00:00
58,93.39,85.9325,86.10923076923076,87.8542,,2022-10-26 00:00:00+00:00
