,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,86.88,,,,,2022-08-04 00:00:00+00:00
1,85.73,,,,,2022-08-05 00:00:00+00:00
2,85.72,,,,,2022-08-08 00:00:00+00:00
3,84.84,,,,,2022-08-09 00:00:00+00:00
4,86.49,,,,,2022-08-10 00:00:00+00:00
5,87.27,,,,,2022-08-11 00:00:00+00:00
6,88.31,,,,,2022-08-12 00:00:00+00:00
7,89.16,,,,,2022-08-15 00:00:00+00:00
8,89.4,,,,,2022-08-16 00:00:00+00:00
9,88.35,,,,,2022-08-17 00:00:00+00:00
10,88.55,,,,,2022-08-18 00:00:00+00:00
11,86.92,87.30166666666666,,,,2022-08-19 00:00:00+00:00
12,84.95,87.14083333333333,,,,2022-08-22 00:00:00+00:00
13,84.69,87.05416666666667,,,,2022-08-23 00:00:00+00:00
14,86.05,87.08166666666666,,,,2022-08-24 00:00:00+00:00
15,87.39,87.29416666666667,,,,2022-08-25 00:00:00+00:00
16,84.06,87.09166666666665,,,,2022-08-26 00:00:00+00:00
17,84.12,86.82916666666667,,,,2022-08-29 00:00:00+00:00
18,83.41,86.42083333333333,,,,2022-08-30 00:00:00+00:00
19,84.07,85.99666666666667,,,,2022-08-31 00:00:00+00:00
20,85.4,85.66333333333334,,,,2022-09-01 00:00:00+00:00
21,82.94,85.21249999999999,,,,2022-09-02 00:00:00+00:00
22,84.52,84.87666666666668,,,,2022-09-06 00:00:00+00:00
23,88.31,84.99249999999999,,,,2022-09-07 00:00:00+00:00
24,89.46,85.36833333333334,,,,2022-09-08 00:00:00+00:00
25,88.69,85.70166666666667,86.37230769230769,,,2022-09-09 00:00:00+00:00
26,89.07,85.95333333333333,86.45653846153846,,,2022-09-12 00:00:00+00:00
27,87.84,85.99083333333333,86.53769230769231,,,2022-09-13 00:00:00+00:00
28,92.7,86.71083333333333,86.80615384615385,,,2022-09-14 00:00:00+00:00
29,92.22,87.38583333333332,87.08999999999999,,,2022-09-15 00:00:00+00:00
30,91.31,88.04416666666667,87.27538461538462,,,2022-09-16 00:00:00+00:00
31,92.14,88.71666666666665,87.46269230769232,,,2022-09-19 00:00:00+00:00
32,90.79,89.16583333333334,87.55807692307692,,,2022-09-20 00:00:00+00:00
33,88.6,89.63749999999999,87.53653846153846,,,2022-09-21 00:00:00+00:00
34,84.7,89.65249999999999,87.35576923076923,,,2022-09-22 00:00:00+00:00
35,84.17,89.3075,87.195,,,2022-09-23 00:00:00+00:00
36,84.81,88.92,87.05115384615387,,,2022-09-26 00:00:00+00:00
37,84.28,88.55250000000001,86.94961538461538,,,2022-09-27 00:00:00+00:00
38,87.11,88.38916666666667,87.0326923076923,,,2022-09-28 00:00:00+00:00
39,86.57,88.28333333333335,87.10499999999999,,,2022-09-29 00:00:00+00:00
40,84.26,87.58,87.03615384615385,,,2022-09-30 00:00:00+00:00
41,85.62,87.02999999999999,86.96807692307692,,,2022-10-03 00:00:00+00:00
42,88.51,86.79666666666667,87.13923076923076,,,2022-10-04 00:00:00+00:00
43,90.12,86.62833333333333,87.36999999999999,,,2022-10-05 00:00:00+00:00
44,89.35,86.50833333333333,87.59846153846154,,,2022-10-06 00:00:00+00:00
45,87.03,86.3775,87.71230769230769,,,2022-10-07 00:00:00+00:00
46,87.06,86.57416666666667,87.77615384615385,,,2022-10-10 00:00:00+00:00
47,86.21,86.74416666666667,87.90192307692308,,,2022-10-11 00:00:00+00:00
48,86.87,86.91583333333334,87.9923076923077,,,2022-10-12 00:00:00+00:00
49,89.37,87.34000000000002,88.0330769230769,87.12780000000001,,2022-10-13 00:00:00+00:00
50,86.37,87.27833333333335,87.91423076923078,87.1176,,2022-10-14 00:00:00+00:00
51,88.9,87.47250000000001,87.9223076923077,87.181,,2022-10-17 00:00:00+00:00
52,88.96,87.86416666666666,87.91807692307692,87.2458,,2022-10-18 00:00:00+00:00
53,87.52,88.0225,87.90576923076922,87.2994,,2022-10-19 00:00:00+00:00
54,86.79,87.87916666666666,87.67846153846153,87.3054,,2022-10-20 00:00:00+00:00
