,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,243.09,,,,,2022-08-04 00:00:00+00:00
1,237.08,,,,,2022-08-05 00:00:00+00:00
2,240.49,,,,,2022-08-08 00:00:00+00:00
3,232.36,,,,,2022-08-09 00:00:00+00:00
4,243.74,,,,,2022-08-10 00:00:00+00:00
5,243.99,,,,,2022-08-11 00:00:00+00:00
6,251.61,,,,,2022-08-12 00:00:00+00:00
7,257.34,,,,,2022-08-15 00:00:00+00:00
8,256.27,,,,,2022-08-16 00:00:00+00:00
9,251.47,,,,,2022-08-17 00:00:00+00:00
10,248.97,,,,,2022-08-18 00:00:00+00:00
11,244.58,245.91583333333335,,,,2022-08-19 00:00:00+00:00
12,241.44,245.7783333333333,,,,2022-08-22 00:00:00+00:00
13,238.08,245.86166666666668,,,,2022-08-23 00:00:00+00:00
14,239.53,245.78166666666667,,,,2022-08-24 00:00:00+00:00
15,244.53,246.79583333333335,,,,2022-08-25 00:00:00+00:00
16,235.7,246.1258333333333,,,,2022-08-26 00:00:00+00:00
17,234.01,245.29416666666668,,,,2022-08-29 00:00:00+00:00
18,235.0,243.91,,,,2022-08-30 00:00:00+00:00
19,232.1,241.80666666666664,,,,2022-08-31 00:00:00+00:00
20,232.33,239.81166666666664,,,,2022-09-01 00:00:00+00:00
21,231.81,238.17333333333332,,,,2022-09-02 00:00:00+00:00
22,228.38,236.4575,,,,2022-09-06 00:00:00+00:00
23,238.65,235.96333333333334,,,,2022-09-07 00:00:00+00:00
24,240.78,235.90833333333333,,,,2022-09-08 00:00:00+00:00
25,240.35,236.09749999999997,240.91076923076923,,,2022-09-09 00:00:00+00:00
26,242.97,236.3841666666667,240.9061538461538,,,2022-09-12 00:00:00+00:00
27,230.86,235.245,240.66692307692307,,,2022-09-13 00:00:00+00:00
28,225.85,234.42416666666668,240.10384615384615,,,2022-09-14 00:00:00+00:00
29,223.87,233.57916666666665,239.7773076923077,,,2022-09-15 00:00:00+00:00
30,221.56,232.45916666666665,238.92423076923075,,,2022-09-16 00:00:00+00:00
31,223.18,231.71583333333334,238.12384615384616,,,2022-09-19 00:00:00+00:00
32,218.83,230.59083333333334,236.86307692307693,,,2022-09-20 00:00:00+00:00
33,213.84,229.09333333333333,235.19000000000003,,,2022-09-21 00:00:00+00:00
34,208.05,227.39916666666667,233.3353846153846,,,2022-09-22 00:00:00+00:00
35,211.22,225.11333333333332,231.7873076923077,,,2022-09-23 00:00:00+00:00
36,209.0,222.465,230.25,,,2022-09-26 00:00:00+00:00
37,208.56,219.81583333333336,228.8646153846154,,,2022-09-27 00:00:00+00:00
