,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,160.76,,,,,2022-08-04 00:00:00+00:00
1,165.53,,,,,2022-08-05 00:00:00+00:00
2,170.85,,,,,2022-08-08 00:00:00+00:00
3,160.55,,,,,2022-08-09 00:00:00+00:00
4,174.4,,,,,2022-08-10 00:00:00+00:00
5,167.88,,,,,2022-08-11 00:00:00+00:00
6,168.68,,,,,2022-08-12 00:00:00+00:00
7,170.44,,,,,2022-08-15 00:00:00+00:00
8,167.35,,,,,2022-08-16 00:00:00+00:00
9,161.29,,,,,2022-08-17 00:00:00+00:00
10,161.75,,,,,2022-08-18 00:00:00+00:00
11,153.94,165.285,,,,2022-08-19 00:00:00+00:00
12,151.61,164.5225,,,,2022-08-22 00:00:00+00:00
13,153.07,163.48416666666665,,,,2022-08-23 00:00:00+00:00
14,159.49,162.5375,,,,2022-08-24 00:00:00+00:00
15,196.28,165.515,,,,2022-08-25 00:00:00+00:00
16,197.71,167.4575,,,,2022-08-26 00:00:00+00:00
17,186.43,169.00333333333333,,,,2022-08-29 00:00:00+00:00
18,184.74,170.34166666666667,,,,2022-08-30 00:00:00+00:00
19,180.95,171.2175,,,,2022-08-31 00:00:00+00:00
20,173.15,171.70083333333332,,,,2022-09-01 00:00:00+00:00
21,171.49,172.55083333333334,,,,2022-09-02 00:00:00+00:00
22,169.8,173.22166666666666,,,,2022-09-06 00:00:00+00:00
23,177.76,175.20666666666668,,,,2022-09-07 00:00:00+00:00
24,179.48,177.52916666666667,,,,2022-09-08 00:00:00+00:00
25,188.19,180.45583333333335,171.29115384615383,,,2022-09-09 00:00:00+00:00
26,195.21,183.4325,172.61615384615382,,,2022-09-12 00:00:00+00:00
27,187.43,182.69500000000002,173.45846153846153,,,2022-09-13 00:00:00+00:00
28,197.98,182.7175,174.50192307692305,,,2022-09-14 00:00:00+00:00
29,196.49,183.55583333333334,175.88423076923078,,,2022-09-15 00:00:00+00:00
30,184.67,183.54999999999998,176.27923076923076,,,2022-09-16 00:00:00+00:00
31,187.7,184.11249999999998,177.04153846153847,,,2022-09-19 00:00:00+00:00
32,182.74,184.91166666666666,177.5823076923077,,,2022-09-20 00:00:00+00:00
33,178.72,185.51416666666668,177.90076923076924,,,2022-09-21 00:00:00+00:00
34,171.79,185.67999999999998,178.0715384615385,,,2022-09-22 00:00:00+00:00
35,172.13,185.21083333333334,178.48846153846156,,,2022-09-23 00:00:00+00:00
36,165.11,184.01333333333332,178.61769230769232,,,2022-09-26 00:00:00+00:00
37,169.86,182.48583333333332,179.23,,,2022-09-27 00:00:00+00:00
38,173.84,180.705,180.085,,,2022-09-28 00:00:00+00:00
39,170.34,179.28083333333333,180.74923076923076,,,2022-09-29 00:00:00+00:00
40,169.96,176.94583333333333,181.15192307692308,,,2022-09-30 00:00:00+00:00
41,172.51,174.9475,180.23769230769233,,,2022-10-03 00:00:00+00:00
42,183.81,174.8758333333333,179.7030769230769,,,2022-10-04 00:00:00+00:00
43,185.35,174.67999999999998,179.66153846153844,,,2022-10-05 00:00:00+00:00
44,188.91,175.19416666666666,179.82192307692307,,,2022-10-06 00:00:00+00:00
45,175.1,174.8925,179.5969230769231,,,2022-10-07 00:00:00+00:00
46,159.05,173.83083333333335,179.05461538461537,,,2022-10-10 00:00:00+00:00
47,153.53,172.28083333333333,178.36384615384617,,,2022-10-11 00:00:00+00:00
48,158.53,171.7325,177.9303846153846,,,2022-10-12 00:00:00+00:00
49,156.25,170.59833333333333,177.10307692307694,173.8116,,2022-10-13 00:00:00+00:00
