,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,372.29,,,,,2022-08-04 00:00:00+00:00
1,374.29,,,,,2022-08-05 00:00:00+00:00
2,372.07,,,,,2022-08-08 00:00:00+00:00
3,372.61,,,,,2022-08-09 00:00:00+00:00
4,375.71,,,,,2022-08-10 00:00:00+00:00
5,377.01,,,,,2022-08-11 00:00:00+00:00
6,385.44,,,,,2022-08-12 00:00:00+00:00
7,390.45,,,,,2022-08-15 00:00:00+00:00
8,385.67,,,,,2022-08-16 00:00:00+00:00
9,381.0,,,,,2022-08-17 00:00:00+00:00
10,373.32,,,,,2022-08-18 00:00:00+00:00
11,363.0,376.905,,,,2022-08-19 00:00:00+00:00
12,358.1,375.7225,,,,2022-08-22 00:00:00+00:00
13,359.0,374.4483333333333,,,,2022-08-23 00:00:00+00:00
14,358.75,373.33833333333337,,,,2022-08-24 00:00:00+00:00
15,363.26,372.55916666666667,,,,2022-08-25 00:00:00+00:00
16,355.0,370.8333333333333,,,,2022-08-26 00:00:00+00:00
17,347.49,368.3733333333333,,,,2022-08-29 00:00:00+00:00
18,346.0,365.08666666666664,,,,2022-08-30 00:00:00+00:00
19,346.02,361.3841666666667,,,,2022-08-31 00:00:00+00:00
20,332.49,356.95250000000004,,,,2022-09-01 00:00:00+00:00
21,330.56,352.74916666666667,,,,2022-09-02 00:00:00+00:00
22,326.83,348.875,,,,2022-09-06 00:00:00+00:00
23,332.04,346.295,,,,2022-09-07 00:00:00+00:00
24,333.76,344.26666666666665,,,,2022-09-08 00:00:00+00:00
25,340.18,342.6983333333333,359.7053846153846,,,2022-09-09 00:00:00+00:00
26,339.56,341.0991666666667,358.4465384615384,,,2022-09-12 00:00:00+00:00
27,323.61,337.795,356.4973076923077,,,2022-09-13 00:00:00+00:00
28,323.37,335.15916666666664,354.62423076923073,,,2022-09-14 00:00:00+00:00
29,315.94,332.53000000000003,352.44461538461536,,,2022-09-15 00:00:00+00:00
30,314.21,329.8808333333333,350.07923076923083,,,2022-09-16 00:00:00+00:00
31,317.32,327.4891666666667,347.78346153846155,,,2022-09-19 00:00:00+00:00
32,316.26,326.1366666666667,345.1226923076923,,,2022-09-20 00:00:00+00:00
33,313.11,324.68249999999995,342.14807692307687,,,2022-09-21 00:00:00+00:00
34,306.97,323.0275,339.12115384615385,,,2022-09-22 00:00:00+00:00
35,303.28,320.6308333333333,336.13192307692304,,,2022-09-23 00:00:00+00:00
36,303.34,318.09583333333336,333.4403846153846,,,2022-09-26 00:00:00+00:00
37,306.09,315.255,331.2515384615384,,,2022-09-27 00:00:00+00:00
38,313.16,313.055,329.52307692307687,,,2022-09-28 00:00:00+00:00
39,309.22,311.85583333333335,327.60846153846154,,,2022-09-29 00:00:00+00:00
40,305.51,310.3675,325.5607692307692,,,2022-09-30 00:00:00+00:00
41,316.98,310.45416666666665,323.7807692307692,,,2022-10-03 00:00:00+00:00
42,321.7,311.0783333333333,322.5,,,2022-10-04 00:00:00+00:00
43,321.37,311.41583333333335,321.4953846153846,,,2022-10-05 00:00:00+00:00
44,321.93,311.8883333333333,320.56961538461536,,,2022-10-06 00:00:00+00:00
45,307.01,311.38000000000005,319.0692307692307,,,2022-10-07 00:00:00+00:00
46,292.98,310.2141666666667,317.5496153846153,,,2022-10-10 00:00:00+00:00
47,277.34,308.05249999999995,315.5026923076923,,,2022-10-11 00:00:00+00:00
48,276.19,305.79,313.555,,,2022-10-12 00:00:00+00:00
49,287.43,304.23499999999996,311.83923076923077,335.7244,,2022-10-13 00:00:00+00:00
50,277.61,301.2725,309.6796153846154,333.8308,,2022-10-14 00:00:00+00:00
51,289.26,299.6091666666667,307.72115384615387,332.13019999999995,,2022-10-17 00:00:00+00:00
52,292.27,298.5058333333333,305.9023076923077,330.5342,,2022-10-18 00:00:00+00:00
53,288.96,296.17083333333335,304.56961538461536,328.86120000000005,,2022-10-19 00:00:00+00:00
54,289.71,293.50500000000005,303.275,327.1412,,2022-10-20 00:00:00+00:00
55,296.5,291.43249999999995,302.5273076923077,325.531,,2022-10-21 00:00:00+00:00
56,301.68,289.745,302.04538461538465,323.8558,,2022-10-24 00:00:00+00:00
57,294.73,288.72166666666664,301.1765384615384,321.9414,,2022-10-25 00:00:00+00:00
58,292.73,288.7008333333333,300.27153846153846,320.08259999999996,,2022-10-26 00:00:00+00:00
59,289.19,289.68833333333333,299.35153846153844,318.2464,,2022-10-27 00:00:00+00:00
60,295.84,291.3258333333333,298.92346153846154,316.6968,,2022-10-28 00:00:00+00:00
61,292.55,291.7525,298.5107692307692,315.2878,,2022-10-31 00:00:00+00:00
62,291.17,292.8825,298.0426923076923,313.9492,,2022-11-01 00:00:00+00:00
63,281.11,292.2033333333333,297.0819230769231,312.3914,,2022-11-02 00:00:00+00:00
64,279.29,291.12166666666667,295.77923076923076,310.80219999999997,,2022-11-03 00:00:00+00:00
65,276.57,290.08916666666664,294.52346153846156,309.0684,,2022-11-04 00:00:00+00:00
66,280.53,289.32416666666666,293.5626923076923,307.579,,2022-11-07 00:00:00+00:00
67,291.58,288.9141666666667,292.5857692307692,306.4608,,2022-11-08 00:00:00+00:00
68,290.08,287.9475,291.3696153846154,305.3424,,2022-11-09 00:00:00+00:00
69,318.76,289.95,291.2692307692308,304.79720000000003,,2022-11-10 00:00:00+00:00
70,331.4,293.17249999999996,291.6334615384615,304.7754,,2022-11-11 00:00:00+00:00
71,330.68,296.63,292.5438461538462,304.7778,,2022-11-14 00:00:00+00:00
72,334.2,299.82666666666665,294.12923076923073,304.9252,,2022-11-15 00:00:00+00:00
73,331.45,303.0683333333333,296.2103846153846,304.9134,,2022-11-16 00:00:00+00:00
74,324.27,305.82666666666665,298.05961538461537,304.72360000000003,,2022-11-17 00:00:00+00:00
75,325.89,309.55833333333334,299.5388461538461,304.4378,,2022-11-18 00:00:00+00:00
76,324.82,313.35249999999996,301.3546153846154,304.143,,2022-11-21 00:00:00+00:00
77,326.96,317.5516666666667,302.8046153846154,304.21,,2022-11-22 00:00:00+00:00
78,334.29,322.03166666666664,304.4207692307692,304.4284,,2022-11-23 00:00:00+00:00
79,332.64,325.4533333333333,306.10076923076923,304.7624,,2022-11-25 00:00:00+00:00
80,329.12,328.70666666666665,307.6165384615384,305.06059999999997,,2022-11-28 00:00:00+00:00
81,323.66,329.11499999999995,308.66115384615387,305.18739999999997,,2022-11-29 00:00:00+00:00
82,339.54,329.79333333333335,310.1173076923077,305.653,,2022-11-30 00:00:00+00:00
83,357.84,332.0566666666667,312.5446153846154,306.54760000000005,,2022-12-01 00:00:00+00:00
84,348.17,333.22083333333336,314.67692307692306,307.3716,,2022-12-02 00:00:00+00:00
85,331.27,333.2058333333333,316.29538461538465,307.9314,,2022-12-05 00:00:00+00:00
86,328.02,333.5183333333333,317.5330769230769,308.425,,2022-12-06 00:00:00+00:00
87,323.8,333.3441666666667,318.735,308.7792,,2022-12-07 00:00:00+00:00
88,330.61,333.82666666666665,320.25192307692305,309.1282,,2022-12-08 00:00:00+00:00
89,325.75,333.72583333333336,321.9688461538462,309.4588,,2022-12-09 00:00:00+00:00
90,334.34,333.73,324.0861538461538,310.0354,,2022-12-12 00:00:00+00:00
91,338.13,334.1875,326.45384615384614,310.4584,,2022-12-13 00:00:00+00:00
92,332.03,334.43,328.4346153846154,310.665,,2022-12-14 00:00:00+00:00
93,323.82,334.4433333333333,329.67461538461544,310.714,,2022-12-15 00:00:00+00:00
94,329.12,333.575,331.1761538461538,310.8578,,2022-12-16 00:00:00+00:00
95,323.39,330.70416666666665,331.3542307692308,311.18539999999996,,2022-12-19 00:00:00+00:00
96,324.43,328.72583333333336,331.0861538461538,311.8144,,2022-12-20 00:00:00+00:00
97,330.22,328.6383333333333,331.0684615384616,312.872,,2022-12-21 00:00:00+00:00
98,321.72,328.11333333333334,330.5884615384615,313.7826,,2022-12-22 00:00:00+00:00
99,320.21,327.8141666666667,330.1561538461538,314.4382,,2022-12-23 00:00:00+00:00
100,317.95,326.75916666666666,329.9130769230769,315.245,,2022-12-27 00:00:00+00:00
101,315.31,325.88916666666665,329.50615384615384,315.76599999999996,,2022-12-28 00:00:00+00:00
102,321.98,324.8591666666667,329.3969230769231,316.36019999999996,,2022-12-29 00:00:00+00:00
103,319.29,323.28916666666663,329.10192307692313,316.9668,,2022-12-30 00:00:00+00:00
104,319.68,322.26,328.53999999999996,317.5662,,2023-01-03 00:00:00+00:00
105,320.93,322.01916666666665,328.0896153846154,318.0548,,2023-01-04 00:00:00+00:00
106,315.04,320.84583333333336,327.5480769230769,318.322,,2023-01-05 00:00:00+00:00
107,320.54,320.60833333333335,327.4280769230769,318.8382,,2023-01-06 00:00:00+00:00
108,325.95,320.73499999999996,326.9053846153846,319.5026,,2023-01-09 00:00:00+00:00
109,327.63,320.51916666666665,325.74346153846153,320.27139999999997,,2023-01-10 00:00:00+00:00
110,334.35,321.57166666666666,325.2119230769231,321.0416,,2023-01-11 00:00:00+00:00
111,333.1,322.6458333333333,325.2823076923077,321.8526,,2023-01-12 00:00:00+00:00
112,332.97,323.8975,325.47269230769234,322.6886,,2023-01-13 00:00:00+00:00
113,337.3,325.73,325.9919230769231,323.81239999999997,,2023-01-17 00:00:00+00:00
114,335.66,326.87,326.18615384615384,324.9398,,2023-01-18 00:00:00+00:00
115,331.28,327.8691666666667,326.39884615384614,326.034,,2023-01-19 00:00:00+00:00
116,342.42,329.76416666666665,326.7096153846154,327.2718,,2023-01-20 00:00:00+00:00
117,350.33,332.2141666666667,327.17884615384617,328.4468,,2023-01-23 00:00:00+00:00
118,349.28,335.0675,327.84230769230766,329.6308,,2023-01-24 00:00:00+00:00
119,349.27,337.46166666666664,328.82115384615383,330.241,,2023-01-25 00:00:00+00:00
120,356.67,340.0216666666667,329.8807692307692,330.7464,,2023-01-26 00:00:00+00:00
121,357.27,342.49166666666673,331.18384615384616,331.27819999999997,,2023-01-27 00:00:00+00:00
122,349.88,343.7858333333333,332.1626923076923,331.5918,,2023-01-30 00:00:00+00:00
123,353.75,345.50666666666666,333.0676923076923,332.0378,,2023-01-31 00:00:00+00:00
124,367.05,348.34666666666664,334.81115384615384,332.8934,,2023-02-01 00:00:00+00:00
125,368.59,350.95416666666665,336.67192307692306,333.74739999999997,,2023-02-02 00:00:00+00:00
126,361.44,353.10249999999996,338.3446153846154,334.4798,,2023-02-03 00:00:00+00:00
127,359.97,355.49333333333334,340.0623076923076,335.14,,2023-02-06 00:00:00+00:00
128,366.75,357.5208333333333,341.78423076923076,335.7892,,2023-02-07 00:00:00+00:00
129,360.6,358.3766666666666,343.3730769230769,336.3484,,2023-02-08 00:00:00+00:00
130,363.71,359.57916666666665,345.0665384615385,337.04019999999997,,2023-02-09 00:00:00+00:00
131,359.11,360.39916666666664,346.53499999999997,337.7492,,2023-02-10 00:00:00+00:00
132,361.76,360.8233333333333,348.33192307692303,338.1936,,2023-02-13 00:00:00+00:00
133,375.94,362.37916666666666,350.46269230769235,338.5556,,2023-02-14 00:00:00+00:00
134,379.48,364.8458333333333,352.52153846153846,339.1818,,2023-02-15 00:00:00+00:00
135,359.71,365.3425,353.7553846153847,339.75059999999996,,2023-02-16 00:00:00+00:00
