,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,77.97,,,,,2022-08-04 00:00:00+00:00
1,77.27,,,,,2022-08-05 00:00:00+00:00
2,77.19,,,,,2022-08-08 00:00:00+00:00
3,78.25,,,,,2022-08-09 00:00:00+00:00
4,78.29,,,,,2022-08-10 00:00:00+00:00
5,77.9,,,,,2022-08-11 00:00:00+00:00
6,78.12,,,,,2022-08-12 00:00:00+00:00
7,78.37,,,,,2022-08-15 00:00:00+00:00
8,79.07,,,,,2022-08-16 00:00:00+00:00
9,79.25,,,,,2022-08-17 00:00:00+00:00
10,79.72,,,,,2022-08-18 00:00:00+00:00
11,80.16,78.46333333333332,,,,2022-08-19 00:00:00+00:00
12,79.11,78.55833333333332,,,,2022-08-22 00:00:00+00:00
13,78.79,78.685,,,,2022-08-23 00:00:00+00:00
14,78.87,78.825,,,,2022-08-24 00:00:00+00:00
15,79.12,78.89750000000001,,,,2022-08-25 00:00:00+00:00
16,78.2,78.89,,,,2022-08-26 00:00:00+00:00
17,78.68,78.955,,,,2022-08-29 00:00:00+00:00
18,77.58,78.91000000000001,,,,2022-08-30 00:00:00+00:00
19,77.07,78.80166666666666,,,,2022-08-31 00:00:00+00:00
20,78.77,78.77666666666666,,,,2022-09-01 00:00:00+00:00
21,77.87,78.66166666666666,,,,2022-09-02 00:00:00+00:00
22,77.78,78.5,,,,2022-09-06 00:00:00+00:00
23,79.75,78.46583333333332,,,,2022-09-07 00:00:00+00:00
24,79.41,78.49083333333334,,,,2022-09-08 00:00:00+00:00
25,79.52,78.55166666666666,78.54153846153847,,,2022-09-09 00:00:00+00:00
26,80.15,78.65833333333333,78.62538461538462,,,2022-09-12 00:00:00+00:00
27,78.23,78.58416666666666,78.66230769230769,,,2022-09-13 00:00:00+00:00
28,79.43,78.68666666666667,78.74846153846154,,,2022-09-14 00:00:00+00:00
29,77.29,78.57083333333334,78.71153846153847,,,2022-09-15 00:00:00+00:00
30,77.25,78.54333333333334,78.67153846153846,,,2022-09-16 00:00:00+00:00
31,78.27,78.64333333333333,78.68576923076922,,,2022-09-19 00:00:00+00:00
32,77.22,78.51416666666667,78.65115384615385,,,2022-09-20 00:00:00+00:00
33,76.13,78.36916666666667,78.565,,,2022-09-21 00:00:00+00:00
34,75.94,78.21583333333334,78.44461538461539,,,2022-09-22 00:00:00+00:00
35,74.99,77.81916666666667,78.28076923076922,,,2022-09-23 00:00:00+00:00
36,73.15,77.2975,78.02807692307692,,,2022-09-26 00:00:00+00:00
37,71.72,76.6475,77.70346153846154,,,2022-09-27 00:00:00+00:00
38,72.52,76.01166666666667,77.45,,,2022-09-28 00:00:00+00:00
39,69.38,75.27416666666666,77.08807692307693,,,2022-09-29 00:00:00+00:00
40,68.0,74.32166666666667,76.67,,,2022-09-30 00:00:00+00:00
41,69.73,73.69166666666666,76.30884615384615,,,2022-10-03 00:00:00+00:00
42,70.69,73.145,76.02,,,2022-10-04 00:00:00+00:00
43,68.73,72.35,75.6373076923077,,,2022-10-05 00:00:00+00:00
44,65.73,71.3925,75.18153846153847,,,2022-10-06 00:00:00+00:00
45,64.12,70.39166666666667,74.68346153846154,,,2022-10-07 00:00:00+00:00
46,63.99,69.39583333333333,74.115,,,2022-10-10 00:00:00+00:00
47,63.64,68.45,73.56769230769231,,,2022-10-11 00:00:00+00:00
48,61.5,67.47916666666667,72.94153846153846,,,2022-10-12 00:00:00+00:00
49,64.05,66.84,72.33769230769231,75.2786,,2022-10-13 00:00:00+00:00
50,63.51,66.08916666666667,71.72615384615385,74.9894,,2022-10-14 00:00:00+00:00
51,64.28,65.66416666666667,71.14,74.7296,,2022-10-17 00:00:00+00:00
52,65.39,65.44666666666667,70.5723076923077,74.4936,,2022-10-18 00:00:00+00:00
53,64.69,65.02666666666667,70.05153846153846,74.22240000000001,,2022-10-19 00:00:00+00:00
54,63.5,64.42750000000001,69.43884615384614,73.92660000000001,,2022-10-20 00:00:00+00:00
55,64.5,64.075,68.94692307692307,73.6586,,2022-10-21 00:00:00+00:00
56,64.59,63.98,68.46000000000001,73.388,,2022-10-24 00:00:00+00:00
57,65.72,64.11333333333333,67.97730769230769,73.135,,2022-10-25 00:00:00+00:00
58,65.64,64.25083333333333,67.53192307692308,72.8664,,2022-10-26 00:00:00+00:00
59,65.17,64.37833333333334,67.11038461538462,72.5848,,2022-10-27 00:00:00+00:00
60,66.34,64.78166666666667,66.74115384615385,72.3172,,2022-10-28 00:00:00+00:00
61,65.48,64.90083333333332,66.37538461538462,72.0236,,2022-10-31 00:00:00+00:00
62,65.53,65.06916666666666,66.0823076923077,71.752,,2022-11-01 00:00:00+00:00
63,64.8,65.1125,65.81615384615385,71.4722,,2022-11-02 00:00:00+00:00
64,64.85,65.06750000000001,65.52115384615385,71.1918,,2022-11-03 00:00:00+00:00
65,64.91,65.08583333333333,65.34923076923077,70.9076,,2022-11-04 00:00:00+00:00
66,63.36,65.07416666666667,65.17076923076924,70.6108,,2022-11-07 00:00:00+00:00
67,63.95,65.02833333333332,64.94846153846154,70.3162,,2022-11-08 00:00:00+00:00
68,63.44,64.9325,64.66961538461538,70.0334,,2022-11-09 00:00:00+00:00
69,65.71,64.93166666666667,64.55346153846153,69.8062,,2022-11-10 00:00:00+00:00
70,65.09,64.88583333333334,64.52884615384616,69.5326,,2022-11-11 00:00:00+00:00
71,64.54,64.83333333333333,64.545,69.266,,2022-11-14 00:00:00+00:00
72,65.89,64.79583333333333,64.61807692307693,69.0282,,2022-11-15 00:00:00+00:00
73,65.83,64.825,64.7023076923077,68.7498,,2022-11-16 00:00:00+00:00
74,64.92,64.77416666666666,64.83384615384615,68.46,,2022-11-17 00:00:00+00:00
75,65.57,64.83833333333332,64.8923076923077,68.181,,2022-11-18 00:00:00+00:00
76,65.73,64.91166666666666,64.97769230769231,67.8926,,2022-11-21 00:00:00+00:00
77,65.95,64.99833333333333,65.04192307692307,67.64699999999999,,2022-11-22 00:00:00+00:00
